Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,0.31207,0.00000,0.12957
0.01001,0.01000,0.30651,0.01000,0.13096
0.02001,0.02000,0.30029,0.02000,0.13217
0.03002,0.03000,0.29363,0.03000,0.13305
0.04002,0.04000,0.28681,0.04000,0.13347
0.05003,0.05000,0.28013,0.05000,0.13330
0.06003,0.06000,0.27389,0.06000,0.13246
0.07004,0.07000,0.26838,0.07000,0.13091
0.08005,0.08000,0.26382,0.08000,0.12863
0.09005,0.09000,0.26036,0.09000,0.12568
0.10006,0.10000,0.25807,0.10000,0.12216
0.11006,0.11000,0.25689,0.11000,0.11819
0.12007,0.12000,0.25670,0.12000,0.11397
0.13007,0.13000,0.25725,0.13000,0.10968
0.14008,0.14000,0.25828,0.14000,0.10553
0.15009,0.15000,0.25945,0.15000,0.10171
0.16009,0.16000,0.26045,0.16000,0.09833
0.17010,0.17000,0.26099,0.17000,0.09550
0.18010,0.18000,0.26081,0.18000,0.09320
0.19011,0.19000,0.25976,0.19000,0.09136
0.20011,0.20000,0.25772,0.20000,0.08985
0.21012,0.21000,0.25472,0.21000,0.08847
0.22013,0.22000,0.25082,0.22000,0.08698
0.23013,0.23000,0.24620,0.23000,0.08511
0.24014,0.24000,0.24110,0.24000,0.08262
0.25014,0.25000,0.23579,0.25000,0.07925
0.26015,0.26000,0.23058,0.26000,0.07479
0.27015,0.27000,0.22577,0.27000,0.06908
0.28016,0.28000,0.22162,0.28000,0.06202
0.29016,0.29000,0.21836,0.29000,0.05362
0.30017,0.30000,0.21612,0.30000,0.04395
0.31018,0.31000,0.21497,0.31000,0.03323
0.32018,0.32000,0.21490,0.32000,0.02172
0.33019,0.33000,0.21584,0.33000,0.00978
0.34019,0.34000,0.21768,0.34000,-0.00218
0.35020,0.35000,0.22029,0.35000,-0.01377
0.36020,0.36000,0.22354,0.36000,-0.02463
0.37021,0.37000,0.22737,0.37000,-0.03447
0.38022,0.38000,0.23175,0.38000,-0.04307
0.39022,0.39000,0.23674,0.39000,-0.05033
0.40023,0.40000,0.24247,0.40000,-0.05624
0.41023,0.41000,0.24915,0.41000,-0.06089
0.42024,0.42000,0.25708,0.42000,-0.06442
0.43024,0.43000,0.26657,0.43000,-0.06700
0.44025,0.44000,0.27798,0.44000,-0.06882
0.45026,0.45000,0.29165,0.45000,-0.07003
0.46026,0.46000,0.30789,0.46000,-0.07071
0.47027,0.47000,0.32692,0.47000,-0.07087
0.48027,0.48000,0.34887,0.48000,-0.07044
0.49028,0.49000,0.37372,0.49000,-0.06928
0.50028,0.50000,0.40131,0.50000,-0.06717
0.51029,0.51000,0.43126,0.51000,-0.06389
0.52030,0.52000,0.46306,0.52000,-0.05926
0.53030,0.53000,0.49600,0.53000,-0.05311
0.54031,0.54000,0.52923,0.54000,-0.04537
0.55031,0.55000,0.56183,0.55000,-0.03609
0.56032,0.56000,0.59278,0.56000,-0.02540
0.57032,0.57000,0.62107,0.57000,-0.01358
0.58033,0.58000,0.64572,0.58000,-0.00098
0.59033,0.59000,0.66584,0.59000,0.01201
0.60034,0.60000,0.68063,0.60000,0.02491
0.61035,0.61000,0.68947,0.61000,0.03730
0.62035,0.62000,0.69188,0.62000,0.04876
0.63036,0.63000,0.68759,0.63000,0.05892
0.64036,0.64000,0.67654,0.64000,0.06747
0.65037,0.65000,0.65888,0.65000,0.07416
0.66037,0.66000,0.63494,0.66000,0.07882
0.67038,0.67000,0.60526,0.67000,0.08133
0.68039,0.68000,0.57054,0.68000,0.08170
0.69039,0.69000,0.53164,0.69000,0.07998
0.70040,0.70000,0.48956,0.70000,0.07632
0.71040,0.71000,0.44537,0.71000,0.07097
0.72041,0.72000,0.40021,0.72000,0.06420
0.73041,0.73000,0.35526,0.73000,0.05635
0.74042,0.74000,0.31163,0.74000,0.04774
0.75043,0.75000,0.27041,0.75000,0.03865
0.76043,0.76000,0.23254,0.76000,0.02929
0.77044,0.77000,0.19886,0.77000,0.01976
0.78044,0.78000,0.17003,0.78000,0.01007
0.79045,0.79000,0.14655,0.79000,0.00009
0.80045,0.80000,0.12877,0.80000,-0.01036
0.81046,0.81000,0.11686,0.81000,-0.02150
0.82047,0.82000,0.11085,0.82000,-0.03357
0.83047,0.83000,0.11061,0.83000,-0.04674
0.84048,0.84000,0.11592,0.84000,-0.06112
0.85048,0.85000,0.12643,0.85000,-0.07675
0.86049,0.86000,0.14171,0.86000,-0.09358
0.87049,0.87000,0.16128,0.87000,-0.11148
0.88050,0.88000,0.18459,0.88000,-0.13030
0.89051,0.89000,0.21109,0.89000,-0.14987
0.90051,0.90000,0.24017,0.90000,-0.17002
0.91052,0.91000,0.27122,0.91000,-0.19061
0.92052,0.92000,0.30359,0.92000,-0.21153
0.93053,0.93000,0.33661,0.93000,-0.23270
0.94053,0.94000,0.36959,0.94000,-0.25409
0.95054,0.95000,0.40182,0.95000,-0.27568
0.96054,0.96000,0.43259,0.96000,-0.29748
0.97055,0.97000,0.46122,0.97000,-0.31944
0.98056,0.98000,0.48708,0.98000,-0.34151
0.99056,0.99000,0.50961,0.99000,-0.36356
1.00057,1.00000,0.52834,1.00000,-0.38538
1.01057,1.01000,0.54289,1.01000,-0.40671
1.02058,1.02000,0.55300,1.02000,-0.42722
1.03058,1.03000,0.55851,1.03000,-0.44653
