Tiempo,Flexo-extensión torso_X,Flexo-extensión torso_Y,Flexión lateral torso_X,Flexión lateral torso_Y,Rotación torso_X,Rotación torso_Y,Inclinación torso_X,Inclinación torso_Y
0.00000,0.00000,-0.31157,0.00000,-0.00324,0.00000,0.13841,0.00000,0.31197
0.01000,0.01000,-0.31068,0.01000,-0.00591,0.01000,0.14492,0.01000,0.31115
0.02000,0.02000,-0.30963,0.02000,-0.00856,0.02000,0.15236,0.02000,0.31017
0.03001,0.03000,-0.30841,0.03000,-0.01101,0.03000,0.16054,0.03000,0.30899
0.04001,0.04000,-0.30693,0.04000,-0.01308,0.04000,0.16918,0.04000,0.30752
0.05001,0.05000,-0.30510,0.05000,-0.01461,0.05000,0.17799,0.05000,0.30566
0.06001,0.06000,-0.30278,0.06000,-0.01546,0.06000,0.18663,0.06000,0.30327
0.07001,0.07000,-0.29983,0.07000,-0.01555,0.07000,0.19476,0.07000,0.30020
0.08001,0.08000,-0.29607,0.08000,-0.01486,0.08000,0.20205,0.08000,0.29627
0.09001,0.09000,-0.29134,0.09000,-0.01341,0.09000,0.20819,0.09000,0.29135
0.10002,0.10000,-0.28551,0.10000,-0.01124,0.10000,0.21290,0.10000,0.28532
0.11002,0.11000,-0.27849,0.11000,-0.00844,0.11000,0.21594,0.11000,0.27810
0.12002,0.12000,-0.27023,0.12000,-0.00507,0.12000,0.21715,0.12000,0.26969
0.13002,0.13000,-0.26078,0.13000,-0.00121,0.13000,0.21641,0.13000,0.26018
0.14002,0.14000,-0.25024,0.14000,0.00308,0.14000,0.21369,0.14000,0.24969
0.15002,0.15000,-0.23879,0.15000,0.00778,0.15000,0.20902,0.15000,0.23846
0.16002,0.16000,-0.22667,0.16000,0.01286,0.16000,0.20253,0.16000,0.22678
0.17003,0.17000,-0.21418,0.17000,0.01829,0.17000,0.19439,0.17000,0.21500
0.18003,0.18000,-0.20167,0.18000,0.02408,0.18000,0.18483,0.18000,0.20350
0.19003,0.19000,-0.18951,0.19000,0.03020,0.19000,0.17413,0.19000,0.19269
0.20003,0.20000,-0.17806,0.20000,0.03666,0.20000,0.16258,0.20000,0.18295
0.21003,0.21000,-0.16768,0.21000,0.04342,0.21000,0.15047,0.21000,0.17464
0.22003,0.22000,-0.15865,0.22000,0.05049,0.22000,0.13809,0.22000,0.16807
0.23004,0.23000,-0.15124,0.23000,0.05783,0.23000,0.12570,0.23000,0.16345
0.24004,0.24000,-0.14561,0.24000,0.06540,0.24000,0.11355,0.24000,0.16091
0.25004,0.25000,-0.14184,0.25000,0.07316,0.25000,0.10182,0.25000,0.16050
0.26004,0.26000,-0.13995,0.26000,0.08103,0.26000,0.09069,0.26000,0.16212
0.27004,0.27000,-0.13984,0.27000,0.08892,0.27000,0.08026,0.27000,0.16562
0.28004,0.28000,-0.14135,0.28000,0.09673,0.28000,0.07065,0.28000,0.17074
0.29004,0.29000,-0.14424,0.29000,0.10434,0.29000,0.06192,0.29000,0.17715
0.30005,0.30000,-0.14824,0.30000,0.11160,0.30000,0.05413,0.30000,0.18447
0.31005,0.31000,-0.15301,0.31000,0.11839,0.31000,0.04736,0.31000,0.19230
0.32005,0.32000,-0.15822,0.32000,0.12457,0.32000,0.04164,0.32000,0.20023
