Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,-0.10134,0.00000,-0.10795
0.01001,0.01000,-0.10179,0.01000,-0.12120
0.02001,0.02000,-0.10247,0.02000,-0.13653
0.03002,0.03000,-0.10339,0.03000,-0.15355
0.04003,0.04000,-0.10454,0.04000,-0.17177
0.05004,0.05000,-0.10588,0.05000,-0.19060
0.06004,0.06000,-0.10736,0.06000,-0.20940
0.07005,0.07000,-0.10890,0.07000,-0.22753
0.08006,0.08000,-0.11044,0.08000,-0.24441
0.09006,0.09000,-0.11191,0.09000,-0.25952
0.10007,0.10000,-0.11326,0.10000,-0.27247
0.11008,0.11000,-0.11448,0.11000,-0.28297
0.12009,0.12000,-0.11556,0.12000,-0.29089
0.13009,0.13000,-0.11652,0.13000,-0.29619
0.14010,0.14000,-0.11738,0.14000,-0.29896
0.15011,0.15000,-0.11819,0.15000,-0.29937
0.16011,0.16000,-0.11899,0.16000,-0.29768
0.17012,0.17000,-0.11980,0.17000,-0.29417
0.18013,0.18000,-0.12063,0.18000,-0.28918
0.19014,0.19000,-0.12146,0.19000,-0.28300
0.20014,0.20000,-0.12226,0.20000,-0.27594
0.21015,0.21000,-0.12296,0.21000,-0.26827
0.22016,0.22000,-0.12349,0.22000,-0.26020
0.23016,0.23000,-0.12374,0.23000,-0.25190
0.24017,0.24000,-0.12362,0.24000,-0.24349
0.25018,0.25000,-0.12301,0.25000,-0.23502
0.26019,0.26000,-0.12183,0.26000,-0.22650
0.27019,0.27000,-0.12001,0.27000,-0.21791
0.28020,0.28000,-0.11751,0.28000,-0.20921
0.29021,0.29000,-0.11432,0.29000,-0.20033
0.30021,0.30000,-0.11044,0.30000,-0.19122
0.31022,0.31000,-0.10591,0.31000,-0.18184
0.32023,0.32000,-0.10075,0.32000,-0.17219
0.33023,0.33000,-0.09505,0.33000,-0.16226
0.34024,0.34000,-0.08886,0.34000,-0.15209
0.35025,0.35000,-0.08227,0.35000,-0.14173
0.36026,0.36000,-0.07537,0.36000,-0.13123
0.37026,0.37000,-0.06824,0.37000,-0.12067
0.38027,0.38000,-0.06102,0.38000,-0.11010
0.39028,0.39000,-0.05379,0.39000,-0.09961
0.40028,0.40000,-0.04670,0.40000,-0.08925
0.41029,0.41000,-0.03985,0.41000,-0.07912
0.42030,0.42000,-0.03337,0.42000,-0.06928
0.43031,0.43000,-0.02737,0.43000,-0.05983
0.44031,0.44000,-0.02193,0.44000,-0.05087
0.45032,0.45000,-0.01713,0.45000,-0.04248
0.46033,0.46000,-0.01303,0.46000,-0.03478
0.47033,0.47000,-0.00966,0.47000,-0.02787
0.48034,0.48000,-0.00704,0.48000,-0.02183
0.49035,0.49000,-0.00515,0.49000,-0.01672
0.50036,0.50000,-0.00397,0.50000,-0.01259
0.51036,0.51000,-0.00346,0.51000,-0.00944
0.52037,0.52000,-0.00357,0.52000,-0.00722
0.53038,0.53000,-0.00423,0.53000,-0.00585
0.54038,0.54000,-0.00537,0.54000,-0.00524
0.55039,0.55000,-0.00689,0.55000,-0.00524
0.56040,0.56000,-0.00870,0.56000,-0.00572
0.57041,0.57000,-0.01070,0.57000,-0.00653
0.58041,0.58000,-0.01281,0.58000,-0.00753
0.59042,0.59000,-0.01495,0.59000,-0.00856
0.60043,0.60000,-0.01706,0.60000,-0.00950
0.61043,0.61000,-0.01909,0.61000,-0.01020
0.62044,0.62000,-0.02104,0.62000,-0.01054
0.63045,0.63000,-0.02288,0.63000,-0.01039
0.64045,0.64000,-0.02463,0.64000,-0.00966
0.65046,0.65000,-0.02628,0.65000,-0.00827
0.66047,0.66000,-0.02786,0.66000,-0.00621
0.67048,0.67000,-0.02937,0.67000,-0.00350
0.68048,0.68000,-0.03081,0.68000,-0.00021
0.69049,0.69000,-0.03219,0.69000,0.00353
0.70050,0.70000,-0.03349,0.70000,0.00760
0.71050,0.71000,-0.03470,0.71000,0.01183
0.72051,0.72000,-0.03577,0.72000,0.01611
0.73052,0.73000,-0.03667,0.73000,0.02035
0.74053,0.74000,-0.03733,0.74000,0.02453
0.75053,0.75000,-0.03768,0.75000,0.02866
0.76054,0.76000,-0.03763,0.76000,0.03280
0.77055,0.77000,-0.03712,0.77000,0.03700
0.78055,0.78000,-0.03611,0.78000,0.04131
0.79056,0.79000,-0.03457,0.79000,0.04573
0.80057,0.80000,-0.03251,0.80000,0.05024
0.81058,0.81000,-0.02999,0.81000,0.05474
0.82058,0.82000,-0.02710,0.82000,0.05913
0.83059,0.83000,-0.02395,0.83000,0.06326
0.84060,0.84000,-0.02068,0.84000,0.06701
0.85060,0.85000,-0.01745,0.85000,0.07026
0.86061,0.86000,-0.01440,0.86000,0.07293
0.87062,0.87000,-0.01165,0.87000,0.07498
0.88063,0.88000,-0.00928,0.88000,0.07640
0.89063,0.89000,-0.00735,0.89000,0.07727
0.90064,0.90000,-0.00588,0.90000,0.07766
0.91065,0.91000,-0.00483,0.91000,0.07770
0.92065,0.92000,-0.00417,0.92000,0.07752
0.93066,0.93000,-0.00385,0.93000,0.07726
0.94067,0.94000,-0.00380,0.94000,0.07701
0.95067,0.95000,-0.00397,0.95000,0.07682
0.96068,0.96000,-0.00433,0.96000,0.07673
0.97069,0.97000,-0.00483,0.97000,0.07670
0.98070,0.98000,-0.00549,0.98000,0.07665
0.99070,0.99000,-0.00629,0.99000,0.07650
1.00071,1.00000,-0.00726,1.00000,0.07613
1.01072,1.01000,-0.00843,1.01000,0.07544
1.02072,1.02000,-0.00983,1.02000,0.07432
1.03073,1.03000,-0.01148,1.03000,0.07268
1.04074,1.04000,-0.01340,1.04000,0.07047
1.05075,1.05000,-0.01557,1.05000,0.06766
1.06075,1.06000,-0.01795,1.06000,0.06423
1.07076,1.07000,-0.02051,1.07000,0.06020
1.08077,1.08000,-0.02317,1.08000,0.05559
1.09077,1.09000,-0.02585,1.09000,0.05043
1.10078,1.10000,-0.02848,1.10000,0.04478
1.11079,1.11000,-0.03099,1.11000,0.03868
1.12080,1.12000,-0.03330,1.12000,0.03216
1.13080,1.13000,-0.03537,1.13000,0.02530
1.14081,1.14000,-0.03716,1.14000,0.01814
1.15082,1.15000,-0.03863,1.15000,0.01076
1.16082,1.16000,-0.03975,1.16000,0.00322
1.17083,1.17000,-0.04049,1.17000,-0.00442
1.18084,1.18000,-0.04082,1.18000,-0.01212
1.19085,1.19000,-0.04073,1.19000,-0.01984
1.20085,1.20000,-0.04019,1.20000,-0.02755
1.21086,1.21000,-0.03919,1.21000,-0.03525
1.22087,1.22000,-0.03773,1.22000,-0.04291
1.23087,1.23000,-0.03586,1.23000,-0.05053
1.24088,1.24000,-0.03359,1.24000,-0.05807
1.25089,1.25000,-0.03098,1.25000,-0.06547
1.26089,1.26000,-0.02809,1.26000,-0.07269
1.27090,1.27000,-0.02498,1.27000,-0.07964
1.28091,1.28000,-0.02170,1.28000,-0.08624
1.29092,1.29000,-0.01829,1.29000,-0.09242
1.30092,1.30000,-0.01481,1.30000,-0.09810
1.31093,1.31000,-0.01129,1.31000,-0.10320
1.32094,1.32000,-0.00775,1.32000,-0.10767
1.33094,1.33000,-0.00424,1.33000,-0.11145
1.34095,1.34000,-0.00078,1.34000,-0.11453
1.35096,1.35000,0.00257,1.35000,-0.11685
1.36097,1.36000,0.00577,1.36000,-0.11842
1.37097,1.37000,0.00879,1.37000,-0.11922
1.38098,1.38000,0.01158,1.38000,-0.11925
1.39099,1.39000,0.01411,1.39000,-0.11853
1.40099,1.40000,0.01635,1.40000,-0.11710
1.41100,1.41000,0.01828,1.41000,-0.11500
1.42101,1.42000,0.01992,1.42000,-0.11225
1.43102,1.43000,0.02126,1.43000,-0.10887
1.44102,1.44000,0.02234,1.44000,-0.10488
1.45103,1.45000,0.02319,1.45000,-0.10025
1.46104,1.46000,0.02385,1.46000,-0.09497
1.47104,1.47000,0.02437,1.47000,-0.08899
1.48105,1.48000,0.02480,1.48000,-0.08232
1.49106,1.49000,0.02517,1.49000,-0.07496
1.50107,1.50000,0.02551,1.50000,-0.06694
1.51107,1.51000,0.02583,1.51000,-0.05835
1.52108,1.52000,0.02611,1.52000,-0.04930
1.53109,1.53000,0.02632,1.53000,-0.03991
1.54109,1.54000,0.02639,1.54000,-0.03034
1.55110,1.55000,0.02625,1.55000,-0.02074
1.56111,1.56000,0.02581,1.56000,-0.01127
1.57111,1.57000,0.02501,1.57000,-0.00208
1.58112,1.58000,0.02378,1.58000,0.00669
1.59113,1.59000,0.02208,1.59000,0.01489
1.60114,1.60000,0.01993,1.60000,0.02239
1.61114,1.61000,0.01736,1.61000,0.02905
1.62115,1.62000,0.01444,1.62000,0.03477
1.63116,1.63000,0.01125,1.63000,0.03947
1.64116,1.64000,0.00793,1.64000,0.04315
