Tiempo;Evento
2.78;Posición inicial
5.02;< Contacto inicial derecho
5.08;> Despegue izquierdo
5.51;< Contacto inicial izquierdo
5.59;> Despegue derecho
6.03;< Contacto inicial derecho
6.1;> Despegue izquierdo
6.54;< Contacto inicial izquierdo
6.63;> Despegue derecho
7.06;< Contacto inicial derecho
7.14;> Despegue izquierdo
7.59;< Contacto inicial izquierdo
7.68;> Despegue derecho
8.13;< Contacto inicial derecho
8.21;> Despegue izquierdo
8.65;< Contacto inicial izquierdo
8.74;> Despegue derecho
9.22;< Contacto inicial derecho
9.29;> Despegue izquierdo
9.73;< Contacto inicial izquierdo
9.82;> Despegue derecho
10.26;< Contacto inicial derecho
10.35;> Despegue izquierdo
10.83;< Contacto inicial izquierdo
10.93;> Despegue derecho
11.43;< Contacto inicial derecho
11.51;> Despegue izquierdo
11.98;< Contacto inicial izquierdo
12.05;> Despegue derecho
12.47;< Contacto inicial derecho
12.55;> Despegue izquierdo
12.98;< Contacto inicial izquierdo
13.07;> Despegue derecho
13.52;< Contacto inicial derecho
13.61;> Despegue izquierdo
14.01;< Contacto inicial izquierdo
14.11;> Despegue derecho
14.58;< Contacto inicial derecho
14.67;> Despegue izquierdo
15.1;< Contacto inicial izquierdo
15.21;> Despegue derecho
15.7;< Contacto inicial derecho
15.79;> Despegue izquierdo
15.95;< Contacto inicial izquierdo
16.1;> Despegue derecho
17.16;< Contacto inicial izquierdo
17.28;> Despegue derecho
17.77;< Contacto inicial derecho
17.84;> Despegue izquierdo
18.57;< Contacto inicial izquierdo
18.63;> Despegue derecho
19.12;< Contacto inicial derecho
19.19;> Despegue izquierdo
19.65;< Contacto inicial izquierdo
19.73;> Despegue derecho
20.17;< Contacto inicial derecho
20.25;> Despegue izquierdo
20.7;< Contacto inicial izquierdo
20.78;> Despegue derecho
21.22;< Contacto inicial derecho
21.3;> Despegue izquierdo
21.73;< Contacto inicial izquierdo
21.82;> Despegue derecho
22.26;< Contacto inicial derecho
22.35;> Despegue izquierdo
22.76;< Contacto inicial izquierdo
22.87;> Despegue derecho
23.35;< Contacto inicial derecho
23.44;> Despegue izquierdo
23.91;< Contacto inicial izquierdo
24;> Despegue derecho
24.48;< Contacto inicial derecho
24.56;> Despegue izquierdo
25.02;< Contacto inicial izquierdo
25.11;> Despegue derecho
25.58;< Contacto inicial derecho
25.67;> Despegue izquierdo
26.14;< Contacto inicial izquierdo
26.22;> Despegue derecho
26.71;< Contacto inicial derecho
26.79;> Despegue izquierdo
27.29;< Contacto inicial izquierdo
27.36;> Despegue derecho
27.8;< Contacto inicial derecho
27.88;> Despegue izquierdo
28.28;< Contacto inicial izquierdo
28.38;> Despegue derecho
28.85;< Contacto inicial derecho
28.94;> Despegue izquierdo
29.32;< Contacto inicial izquierdo
29.46;> Despegue derecho
29.93;< Contacto inicial derecho
29.96;> Despegue izquierdo
30.06;< Contacto inicial izquierdo
30.24;> Despegue derecho
31.31;< Contacto inicial derecho
31.32;> Despegue izquierdo
31.89;< Contacto inicial izquierdo
31.96;> Despegue derecho
32.47;< Contacto inicial derecho
32.53;> Despegue izquierdo
32.98;< Contacto inicial izquierdo
33.05;> Despegue derecho
33.47;< Contacto inicial derecho
33.55;> Despegue izquierdo
34.02;< Contacto inicial izquierdo
34.1;> Despegue derecho
34.54;< Contacto inicial derecho
34.61;> Despegue izquierdo
35.04;< Contacto inicial izquierdo
35.13;> Despegue derecho
35.58;< Contacto inicial derecho
35.67;> Despegue izquierdo
36.11;< Contacto inicial izquierdo
36.2;> Despegue derecho
36.66;< Contacto inicial derecho
36.75;> Despegue izquierdo
37.22;< Contacto inicial izquierdo
37.3;> Despegue derecho
37.75;< Contacto inicial derecho
37.83;> Despegue izquierdo
38.26;< Contacto inicial izquierdo
38.36;> Despegue derecho
38.84;< Contacto inicial derecho
38.93;> Despegue izquierdo
39.4;< Contacto inicial izquierdo
39.48;> Despegue derecho
39.95;< Contacto inicial derecho
40.03;> Despegue izquierdo
40.44;< Contacto inicial izquierdo
40.53;> Despegue derecho
40.99;< Contacto inicial derecho
41.08;> Despegue izquierdo
41.48;< Contacto inicial izquierdo
41.58;> Despegue derecho
42.06;< Contacto inicial derecho
42.15;> Despegue izquierdo
42.57;< Contacto inicial izquierdo
42.68;> Despegue derecho
43.17;< Contacto inicial derecho
43.28;> Despegue izquierdo
43.56;< Contacto inicial izquierdo
43.67;> Despegue derecho
44.38;< Contacto inicial derecho
44.43;> Despegue izquierdo
45.08;< Contacto inicial izquierdo
45.15;> Despegue derecho
45.64;< Contacto inicial derecho
45.71;> Despegue izquierdo
46.18;< Contacto inicial izquierdo
46.26;> Despegue derecho
46.74;< Contacto inicial derecho
46.82;> Despegue izquierdo
47.29;< Contacto inicial izquierdo
47.37;> Despegue derecho
47.81;< Contacto inicial derecho
47.88;> Despegue izquierdo
48.31;< Contacto inicial izquierdo
48.39;> Despegue derecho
48.84;< Contacto inicial derecho
48.92;> Despegue izquierdo
49.35;< Contacto inicial izquierdo
49.43;> Despegue derecho
49.86;< Contacto inicial derecho
49.94;> Despegue izquierdo
50.36;< Contacto inicial izquierdo
50.46;> Despegue derecho
50.93;< Contacto inicial derecho
51.01;> Despegue izquierdo
51.46;< Contacto inicial izquierdo
51.54;> Despegue derecho
52.01;< Contacto inicial derecho
52.09;> Despegue izquierdo
52.49;< Contacto inicial izquierdo
52.6;> Despegue derecho
53.09;< Contacto inicial derecho
53.17;> Despegue izquierdo
53.63;< Contacto inicial izquierdo
53.71;> Despegue derecho
54.21;< Contacto inicial derecho
54.28;> Despegue izquierdo
54.69;< Contacto inicial izquierdo
54.77;> Despegue derecho
55.22;< Contacto inicial derecho
