Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Flexo-extensión hombro izquierdo_X,Flexo-extensión hombro izquierdo_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Abducción-aducción hombro izquierdo_X,Abducción-aducción hombro izquierdo_Y,Rotación hombro derecho_X,Rotación hombro derecho_Y,Rotación hombro izquierdo_X,Rotación hombro izquierdo_Y
0.00000,0.00000,0.00587,0.00000,0.19912,0.00000,-0.21796,0.00000,0.26434,0.00000,0.00506,0.00000,0.19863
0.01000,0.01000,0.00327,0.01000,0.20007,0.01000,-0.22726,0.01000,0.27267,0.01000,0.00242,0.01000,0.19955
0.02000,0.02000,-0.00011,0.02000,0.20106,0.02000,-0.23802,0.02000,0.28224,0.02000,-0.00100,0.02000,0.20050
0.03000,0.03000,-0.00424,0.03000,0.20205,0.03000,-0.25007,0.03000,0.29282,0.03000,-0.00519,0.03000,0.20146
0.04001,0.04000,-0.00908,0.04000,0.20301,0.04000,-0.26313,0.04000,0.30408,0.04000,-0.01008,0.04000,0.20238
0.05001,0.05000,-0.01451,0.05000,0.20389,0.05000,-0.27692,0.05000,0.31567,0.05000,-0.01555,0.05000,0.20324
0.06001,0.06000,-0.02036,0.06000,0.20469,0.06000,-0.29113,0.06000,0.32719,0.06000,-0.02146,0.06000,0.20401
0.07001,0.07000,-0.02643,0.07000,0.20538,0.07000,-0.30550,0.07000,0.33825,0.07000,-0.02758,0.07000,0.20468
0.08001,0.08000,-0.03250,0.08000,0.20596,0.08000,-0.31979,0.08000,0.34851,0.08000,-0.03369,0.08000,0.20524
0.09001,0.09000,-0.03832,0.09000,0.20639,0.09000,-0.33382,0.09000,0.35767,0.09000,-0.03957,0.09000,0.20568
0.10001,0.10000,-0.04369,0.10000,0.20667,0.10000,-0.34746,0.10000,0.36550,0.10000,-0.04498,0.10000,0.20597
0.11002,0.11000,-0.04842,0.11000,0.20676,0.11000,-0.36067,0.11000,0.37187,0.11000,-0.04976,0.11000,0.20607
0.12002,0.12000,-0.05238,0.12000,0.20662,0.12000,-0.37344,0.12000,0.37671,0.12000,-0.05378,0.12000,0.20596
0.13002,0.13000,-0.05552,0.13000,0.20618,0.13000,-0.38583,0.13000,0.38005,0.13000,-0.05697,0.13000,0.20555
0.14002,0.14000,-0.05785,0.14000,0.20537,0.14000,-0.39790,0.14000,0.38200,0.14000,-0.05936,0.14000,0.20478
0.15002,0.15000,-0.05946,0.15000,0.20408,0.15000,-0.40974,0.15000,0.38271,0.15000,-0.06104,0.15000,0.20353
0.16002,0.16000,-0.06051,0.16000,0.20220,0.16000,-0.42144,0.16000,0.38238,0.16000,-0.06217,0.16000,0.20168
0.17002,0.17000,-0.06123,0.17000,0.19962,0.17000,-0.43306,0.17000,0.38123,0.17000,-0.06297,0.17000,0.19914
0.18003,0.18000,-0.06190,0.18000,0.19624,0.18000,-0.44464,0.18000,0.37948,0.18000,-0.06373,0.18000,0.19580
0.19003,0.19000,-0.06280,0.19000,0.19203,0.19000,-0.45616,0.19000,0.37736,0.19000,-0.06472,0.19000,0.19163
