Tiempo,Flexo-extensión torso_X,Flexo-extensión torso_Y,Flexión lateral torso_X,Flexión lateral torso_Y,Rotación torso_X,Rotación torso_Y,Inclinación torso_X,Inclinación torso_Y
0.00000,0.00000,0.17774,0.00000,0.00125,0.00000,0.10502,0.00000,0.17753
0.01000,0.01000,0.17592,0.01000,-0.00873,0.01000,0.09639,0.01000,0.17754
0.02000,0.02000,0.17392,0.02000,-0.02048,0.02000,0.08685,0.02000,0.17822
0.03000,0.03000,0.17178,0.03000,-0.03380,0.03000,0.07681,0.03000,0.17967
0.04001,0.04000,0.16951,0.04000,-0.04838,0.04000,0.06677,0.04000,0.18195
0.05001,0.05000,0.16712,0.05000,-0.06384,0.05000,0.05729,0.05000,0.18507
0.06001,0.06000,0.16457,0.06000,-0.07978,0.06000,0.04890,0.06000,0.18895
0.07001,0.07000,0.16185,0.07000,-0.09578,0.07000,0.04211,0.07000,0.19346
0.08001,0.08000,0.15892,0.08000,-0.11142,0.08000,0.03727,0.08000,0.19842
0.09001,0.09000,0.15577,0.09000,-0.12637,0.09000,0.03460,0.09000,0.20364
0.10001,0.10000,0.15241,0.10000,-0.14035,0.10000,0.03410,0.10000,0.20894
0.11002,0.11000,0.14889,0.11000,-0.15317,0.11000,0.03558,0.11000,0.21417
0.12002,0.12000,0.14532,0.12000,-0.16471,0.12000,0.03863,0.12000,0.21924
0.13002,0.13000,0.14184,0.13000,-0.17496,0.13000,0.04264,0.13000,0.22410
0.14002,0.14000,0.13863,0.14000,-0.18397,0.14000,0.04691,0.14000,0.22877
0.15002,0.15000,0.13589,0.15000,-0.19187,0.15000,0.05066,0.15000,0.23333
0.16002,0.16000,0.13381,0.16000,-0.19879,0.16000,0.05315,0.16000,0.23785
0.17002,0.17000,0.13254,0.17000,-0.20492,0.17000,0.05372,0.17000,0.24244
0.18003,0.18000,0.13218,0.18000,-0.21041,0.18000,0.05184,0.18000,0.24714
0.19003,0.19000,0.13273,0.19000,-0.21539,0.19000,0.04718,0.19000,0.25198
0.20003,0.20000,0.13413,0.20000,-0.21996,0.20000,0.03959,0.20000,0.25692
0.21003,0.21000,0.13622,0.21000,-0.22418,0.21000,0.02913,0.21000,0.26185
0.22003,0.22000,0.13875,0.22000,-0.22804,0.22000,0.01602,0.22000,0.26662
