Tiempo,Rotación pelvis_X,Rotación pelvis_Y,Inclinación pelvis_X,Inclinación pelvis_Y,Oblicuidad pelvis_X,Oblicuidad pelvis_Y
0.00000,0.00000,1.43068,0.00000,-0.94978,0.00000,-0.41443
0.01000,0.01000,1.41622,0.01000,-0.91039,0.01000,-0.38010
0.02000,0.02000,1.39638,0.02000,-0.86420,0.02000,-0.33994
0.03000,0.03000,1.37103,0.03000,-0.81199,0.03000,-0.29481
0.04001,0.04000,1.34042,0.04000,-0.75492,0.04000,-0.24597
0.05001,0.05000,1.30527,0.05000,-0.69447,0.05000,-0.19498
0.06001,0.06000,1.26671,0.06000,-0.63243,0.06000,-0.14362
0.07001,0.07000,1.22624,0.07000,-0.57083,0.07000,-0.09375
0.08001,0.08000,1.18562,0.08000,-0.51185,0.08000,-0.04725
0.09001,0.09000,1.14666,0.09000,-0.45774,0.09000,-0.00579
0.10002,0.10000,1.11110,0.10000,-0.41066,0.10000,0.02921
0.11002,0.11000,1.08034,0.11000,-0.37256,0.11000,0.05674
0.12002,0.12000,1.05534,0.12000,-0.34507,0.12000,0.07628
0.13002,0.13000,1.03651,0.13000,-0.32935,0.13000,0.08783
0.14002,0.14000,1.02359,0.14000,-0.32608,0.14000,0.09192
0.15002,0.15000,1.01573,0.15000,-0.33543,0.15000,0.08958
0.16002,0.16000,1.01153,0.16000,-0.35707,0.16000,0.08225
0.17003,0.17000,1.00917,0.17000,-0.39023,0.17000,0.07171
0.18003,0.18000,1.00659,0.18000,-0.43383,0.18000,0.05992
0.19003,0.19000,1.00166,0.19000,-0.48652,0.19000,0.04889
0.20003,0.20000,0.99240,0.20000,-0.54679,0.20000,0.04056
0.21003,0.21000,0.97717,0.21000,-0.61306,0.21000,0.03667
0.22003,0.22000,0.95478,0.22000,-0.68371,0.22000,0.03869
0.23003,0.23000,0.92460,0.23000,-0.75714,0.23000,0.04774
0.24004,0.24000,0.88658,0.24000,-0.83173,0.24000,0.06458
0.25004,0.25000,0.84120,0.25000,-0.90582,0.25000,0.08959
0.26004,0.26000,0.78934,0.26000,-0.97771,0.26000,0.12284
0.27004,0.27000,0.73213,0.27000,-1.04559,0.27000,0.16405
0.28004,0.28000,0.67081,0.28000,-1.10766,0.28000,0.21268
0.29004,0.29000,0.60648,0.29000,-1.16212,0.29000,0.26795
0.30004,0.30000,0.54002,0.30000,-1.20735,0.30000,0.32886
0.31005,0.31000,0.47196,0.31000,-1.24198,0.31000,0.39425
0.32005,0.32000,0.40244,0.32000,-1.26503,0.32000,0.46281
0.33005,0.33000,0.33119,0.33000,-1.27598,0.33000,0.53313
0.34005,0.34000,0.25765,0.34000,-1.27480,0.34000,0.60380
0.35005,0.35000,0.18103,0.35000,-1.26188,0.35000,0.67339
0.36005,0.36000,0.10048,0.36000,-1.23801,0.36000,0.74060
0.37005,0.37000,0.01526,0.37000,-1.20423,0.37000,0.80429
0.38006,0.38000,-0.07508,0.38000,-1.16173,0.38000,0.86354
0.39006,0.39000,-0.17056,0.39000,-1.11178,0.39000,0.91772
0.40006,0.40000,-0.27063,0.40000,-1.05563,0.40000,0.96649
0.41006,0.41000,-0.37412,0.41000,-0.99448,0.41000,1.00982
0.42006,0.42000,-0.47926,0.42000,-0.92942,0.42000,1.04795
0.43006,0.43000,-0.58373,0.43000,-0.86139,0.43000,1.08136
0.44006,0.44000,-0.68485,0.44000,-0.79122,0.44000,1.11069
0.45007,0.45000,-0.77977,0.45000,-0.71961,0.45000,1.13666
0.46007,0.46000,-0.86574,0.46000,-0.64709,0.46000,1.15998
0.47007,0.47000,-0.94032,0.47000,-0.57409,0.47000,1.18128
0.48007,0.48000,-1.00164,0.48000,-0.50093,0.48000,1.20099
0.49007,0.49000,-1.04850,0.49000,-0.42784,0.49000,1.21934
0.50007,0.50000,-1.08049,0.50000,-0.35503,0.50000,1.23629
0.51008,0.51000,-1.09801,0.51000,-0.28273,0.51000,1.25157
0.52008,0.52000,-1.10212,0.52000,-0.21131,0.52000,1.26466
0.53008,0.53000,-1.09445,0.53000,-0.14127,0.53000,1.27492
0.54008,0.54000,-1.07696,0.54000,-0.07336,0.54000,1.28161
0.55008,0.55000,-1.05177,0.55000,-0.00852,0.55000,1.28404
0.56008,0.56000,-1.02091,0.56000,0.05215,0.56000,1.28166
0.57008,0.57000,-0.98618,0.57000,0.10751,0.57000,1.27414
0.58009,0.58000,-0.94903,0.58000,0.15646,0.58000,1.26142
0.59009,0.59000,-0.91044,0.59000,0.19810,0.59000,1.24378
0.60009,0.60000,-0.87097,0.60000,0.23181,0.60000,1.22175
0.61009,0.61000,-0.83075,0.61000,0.25729,0.61000,1.19612
0.62009,0.62000,-0.78963,0.62000,0.27466,0.62000,1.16779
0.63009,0.63000,-0.74729,0.63000,0.28434,0.63000,1.13765
0.64009,0.64000,-0.70341,0.64000,0.28704,0.64000,1.10648
0.65010,0.65000,-0.65779,0.65000,0.28360,0.65000,1.07479
0.66010,0.66000,-0.61044,0.66000,0.27491,0.66000,1.04277
0.67010,0.67000,-0.56170,0.67000,0.26172,0.67000,1.01026
0.68010,0.68000,-0.51218,0.68000,0.24459,0.68000,0.97675
0.69010,0.69000,-0.46276,0.69000,0.22388,0.69000,0.94149
0.70010,0.70000,-0.41447,0.70000,0.19966,0.70000,0.90362
0.71010,0.71000,-0.36835,0.71000,0.17186,0.71000,0.86228
0.72011,0.72000,-0.32532,0.72000,0.14020,0.72000,0.81684
0.73011,0.73000,-0.28598,0.73000,0.10436,0.73000,0.76701
0.74011,0.74000,-0.25049,0.74000,0.06400,0.74000,0.71297
0.75011,0.75000,-0.21848,0.75000,0.01892,0.75000,0.65545
0.76011,0.76000,-0.18902,0.76000,-0.03088,0.76000,0.59571
0.77011,0.77000,-0.16061,0.77000,-0.08516,0.77000,0.53547
0.78011,0.78000,-0.13140,0.78000,-0.14335,0.78000,0.47671
0.79012,0.79000,-0.09931,0.79000,-0.20464,0.79000,0.42149
0.80012,0.80000,-0.06235,0.80000,-0.26805,0.80000,0.37173
0.81012,0.81000,-0.01889,0.81000,-0.33256,0.81000,0.32890
0.82012,0.82000,0.03211,0.82000,-0.39722,0.82000,0.29392
0.83012,0.83000,0.09087,0.83000,-0.46133,0.83000,0.26703
0.84012,0.84000,0.15677,0.84000,-0.52444,0.84000,0.24779
0.85012,0.85000,0.22840,0.85000,-0.58638,0.85000,0.23515
0.86013,0.86000,0.30381,0.86000,-0.64716,0.86000,0.22769
0.87013,0.87000,0.38073,0.87000,-0.70686,0.87000,0.22381
0.88013,0.88000,0.45697,0.88000,-0.76553,0.88000,0.22197
0.89013,0.89000,0.53067,0.89000,-0.82305,0.89000,0.22091
0.90013,0.90000,0.60050,0.90000,-0.87913,0.90000,0.21979
