Tiempo,Flexo-extensión torso_X,Flexo-extensión torso_Y,Flexión lateral torso_X,Flexión lateral torso_Y,Rotación torso_X,Rotación torso_Y,Inclinación torso_X,Inclinación torso_Y
0.00000,0.00000,-1.17183,0.00000,0.84757,0.00000,-0.54144,0.00000,1.44007
0.01001,0.01000,-1.17309,0.01000,0.83322,0.01000,-0.55774,0.01000,1.43288
0.02001,0.02000,-1.17405,0.02000,0.81657,0.02000,-0.57617,0.02000,1.42421
0.03002,0.03000,-1.17451,0.03000,0.79793,0.03000,-0.59615,0.03000,1.41410
0.04003,0.04000,-1.17429,0.04000,0.77768,0.04000,-0.61698,0.04000,1.40264
0.05003,0.05000,-1.17322,0.05000,0.75626,0.05000,-0.63785,0.05000,1.38996
0.06004,0.06000,-1.17116,0.06000,0.73414,0.06000,-0.65793,0.06000,1.37622
0.07005,0.07000,-1.16805,0.07000,0.71174,0.07000,-0.67642,0.07000,1.36160
0.08005,0.08000,-1.16385,0.08000,0.68947,0.08000,-0.69257,0.08000,1.34631
0.09006,0.09000,-1.15862,0.09000,0.66764,0.09000,-0.70579,0.09000,1.33057
0.10006,0.10000,-1.15245,0.10000,0.64650,0.10000,-0.71560,0.10000,1.31459
0.11007,0.11000,-1.14547,0.11000,0.62624,0.11000,-0.72171,0.11000,1.29857
0.12008,0.12000,-1.13785,0.12000,0.60695,0.12000,-0.72400,0.12000,1.28266
0.13008,0.13000,-1.12972,0.13000,0.58869,0.13000,-0.72252,0.13000,1.26700
0.14009,0.14000,-1.12120,0.14000,0.57147,0.14000,-0.71747,0.14000,1.25166
0.15010,0.15000,-1.11236,0.15000,0.55526,0.15000,-0.70919,0.15000,1.23666
0.16010,0.16000,-1.10322,0.16000,0.54001,0.16000,-0.69814,0.16000,1.22196
0.17011,0.17000,-1.09378,0.17000,0.52564,0.17000,-0.68482,0.17000,1.20748
0.18012,0.18000,-1.08397,0.18000,0.51205,0.18000,-0.66979,0.18000,1.19310
0.19012,0.19000,-1.07371,0.19000,0.49914,0.19000,-0.65362,0.19000,1.17866
0.20013,0.20000,-1.06292,0.20000,0.48676,0.20000,-0.63684,0.20000,1.16400
0.21014,0.21000,-1.05150,0.21000,0.47477,0.21000,-0.61990,0.21000,1.14897
0.22014,0.22000,-1.03936,0.22000,0.46302,0.22000,-0.60320,0.22000,1.13339
0.23015,0.23000,-1.02645,0.23000,0.45138,0.23000,-0.58701,0.23000,1.11717
0.24016,0.24000,-1.01271,0.24000,0.43974,0.24000,-0.57152,0.24000,1.10019
0.25016,0.25000,-0.99815,0.25000,0.42802,0.25000,-0.55679,0.25000,1.08241
0.26017,0.26000,-0.98277,0.26000,0.41619,0.26000,-0.54276,0.26000,1.06385
0.27017,0.27000,-0.96663,0.27000,0.40426,0.27000,-0.52931,0.27000,1.04454
0.28018,0.28000,-0.94983,0.28000,0.39228,0.28000,-0.51622,0.28000,1.02459
0.29019,0.29000,-0.93248,0.29000,0.38035,0.29000,-0.50323,0.29000,1.00415
0.30019,0.30000,-0.91473,0.30000,0.36854,0.30000,-0.49007,0.30000,0.98340
0.31020,0.31000,-0.89674,0.31000,0.35697,0.31000,-0.47644,0.31000,0.96251
0.32021,0.32000,-0.87869,0.32000,0.34570,0.32000,-0.46207,0.32000,0.94169
0.33021,0.33000,-0.86075,0.33000,0.33478,0.33000,-0.44674,0.33000,0.92112
0.34022,0.34000,-0.84309,0.34000,0.32421,0.34000,-0.43029,0.34000,0.90096
0.35023,0.35000,-0.82587,0.35000,0.31396,0.35000,-0.41264,0.35000,0.88134
0.36023,0.36000,-0.80921,0.36000,0.30396,0.36000,-0.39382,0.36000,0.86237
0.37024,0.37000,-0.79324,0.37000,0.29416,0.37000,-0.37393,0.37000,0.84413
0.38025,0.38000,-0.77801,0.38000,0.28447,0.38000,-0.35314,0.38000,0.82667
0.39025,0.39000,-0.76355,0.39000,0.27486,0.39000,-0.33171,0.39000,0.80997
0.40026,0.40000,-0.74983,0.40000,0.26530,0.40000,-0.30994,0.40000,0.79402
0.41026,0.41000,-0.73676,0.41000,0.25582,0.41000,-0.28814,0.41000,0.77872
0.42027,0.42000,-0.72417,0.42000,0.24651,0.42000,-0.26663,0.42000,0.76395
0.43028,0.43000,-0.71184,0.43000,0.23748,0.43000,-0.24571,0.43000,0.74955
0.44028,0.44000,-0.69954,0.44000,0.22891,0.44000,-0.22560,0.44000,0.73532
0.45029,0.45000,-0.68700,0.45000,0.22097,0.45000,-0.20648,0.45000,0.72108
0.46030,0.46000,-0.67398,0.46000,0.21386,0.46000,-0.18844,0.46000,0.70666
0.47030,0.47000,-0.66026,0.47000,0.20775,0.47000,-0.17149,0.47000,0.69191
0.48031,0.48000,-0.64569,0.48000,0.20280,0.48000,-0.15558,0.48000,0.67673
0.49032,0.49000,-0.63017,0.49000,0.19908,0.49000,-0.14059,0.49000,0.66103
0.50032,0.50000,-0.61362,0.50000,0.19659,0.50000,-0.12643,0.50000,0.64475
0.51033,0.51000,-0.59603,0.51000,0.19524,0.51000,-0.11301,0.51000,0.62782
0.52034,0.52000,-0.57741,0.52000,0.19485,0.52000,-0.10027,0.52000,0.61021
0.53034,0.53000,-0.55778,0.53000,0.19515,0.53000,-0.08824,0.53000,0.59183
0.54035,0.54000,-0.53720,0.54000,0.19584,0.54000,-0.07697,0.54000,0.57264
0.55035,0.55000,-0.51572,0.55000,0.19659,0.55000,-0.06660,0.55000,0.55259
0.56036,0.56000,-0.49338,0.56000,0.19711,0.56000,-0.05724,0.56000,0.53164
0.57037,0.57000,-0.47019,0.57000,0.19718,0.57000,-0.04905,0.57000,0.50976
0.58037,0.58000,-0.44617,0.58000,0.19669,0.58000,-0.04214,0.58000,0.48698
0.59038,0.59000,-0.42131,0.59000,0.19559,0.59000,-0.03661,0.59000,0.46332
0.60039,0.60000,-0.39560,0.60000,0.19395,0.60000,-0.03249,0.60000,0.43891
0.61039,0.61000,-0.36904,0.61000,0.19191,0.61000,-0.02976,0.61000,0.41390
0.62040,0.62000,-0.34170,0.62000,0.18963,0.62000,-0.02829,0.62000,0.38853
0.63041,0.63000,-0.31366,0.63000,0.18731,0.63000,-0.02789,0.63000,0.36309
0.64041,0.64000,-0.28505,0.64000,0.18512,0.64000,-0.02829,0.64000,0.33794
0.65042,0.65000,-0.25604,0.65000,0.18320,0.65000,-0.02916,0.65000,0.31345
0.66043,0.66000,-0.22684,0.66000,0.18163,0.66000,-0.03015,0.66000,0.29000
0.67043,0.67000,-0.19763,0.67000,0.18045,0.67000,-0.03089,0.67000,0.26798
0.68044,0.68000,-0.16861,0.68000,0.17963,0.68000,-0.03108,0.68000,0.24774
0.69045,0.69000,-0.13997,0.69000,0.17909,0.69000,-0.03048,0.69000,0.22958
0.70045,0.70000,-0.11185,0.70000,0.17874,0.70000,-0.02899,0.70000,0.21379
0.71046,0.71000,-0.08439,0.71000,0.17844,0.71000,-0.02661,0.71000,0.20057
0.72046,0.72000,-0.05764,0.72000,0.17804,0.72000,-0.02348,0.72000,0.19008
0.73047,0.73000,-0.03164,0.73000,0.17737,0.73000,-0.01986,0.73000,0.18242
0.74048,0.74000,-0.00634,0.74000,0.17631,0.74000,-0.01610,0.74000,0.17764
0.75048,0.75000,0.01835,0.75000,0.17471,0.75000,-0.01261,0.75000,0.17574
0.76049,0.76000,0.04257,0.76000,0.17248,0.76000,-0.00983,0.76000,0.17669
