Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,0.22020,0.00000,0.10509
0.01000,0.01000,0.21093,0.01000,0.09724
0.02000,0.02000,0.19993,0.02000,0.08789
0.03000,0.03000,0.18734,0.03000,0.07717
0.04001,0.04000,0.17345,0.04000,0.06528
0.05001,0.05000,0.15859,0.05000,0.05250
0.06001,0.06000,0.14314,0.06000,0.03912
0.07001,0.07000,0.12751,0.07000,0.02547
0.08001,0.08000,0.11208,0.08000,0.01186
0.09001,0.09000,0.09720,0.09000,-0.00145
0.10001,0.10000,0.08317,0.10000,-0.01420
0.11002,0.11000,0.07021,0.11000,-0.02621
0.12002,0.12000,0.05846,0.12000,-0.03733
0.13002,0.13000,0.04797,0.13000,-0.04746
0.14002,0.14000,0.03870,0.14000,-0.05652
0.15002,0.15000,0.03057,0.15000,-0.06446
0.16002,0.16000,0.02340,0.16000,-0.07126
0.17003,0.17000,0.01698,0.17000,-0.07692
0.18003,0.18000,0.01108,0.18000,-0.08147
0.19003,0.19000,0.00547,0.19000,-0.08493
0.20003,0.20000,-0.00006,0.20000,-0.08736
0.21003,0.21000,-0.00569,0.21000,-0.08881
0.22003,0.22000,-0.01152,0.22000,-0.08936
0.23003,0.23000,-0.01761,0.23000,-0.08909
0.24004,0.24000,-0.02394,0.24000,-0.08813
0.25004,0.25000,-0.03044,0.25000,-0.08655
0.26004,0.26000,-0.03698,0.26000,-0.08447
0.27004,0.27000,-0.04338,0.27000,-0.08197
0.28004,0.28000,-0.04943,0.28000,-0.07911
0.29004,0.29000,-0.05489,0.29000,-0.07591
0.30004,0.30000,-0.05952,0.30000,-0.07236
0.31005,0.31000,-0.06307,0.31000,-0.06840
0.32005,0.32000,-0.06534,0.32000,-0.06396
0.33005,0.33000,-0.06616,0.33000,-0.05892
0.34005,0.34000,-0.06543,0.34000,-0.05317
0.35005,0.35000,-0.06313,0.35000,-0.04657
0.36005,0.36000,-0.05934,0.36000,-0.03903
0.37005,0.37000,-0.05425,0.37000,-0.03047
0.38006,0.38000,-0.04815,0.38000,-0.02088
0.39006,0.39000,-0.04141,0.39000,-0.01029
0.40006,0.40000,-0.03449,0.40000,0.00118
0.41006,0.41000,-0.02786,0.41000,0.01339
0.42006,0.42000,-0.02198,0.42000,0.02612
0.43006,0.43000,-0.01723,0.43000,0.03916
0.44006,0.44000,-0.01391,0.44000,0.05223
0.45007,0.45000,-0.01217,0.45000,0.06506
0.46007,0.46000,-0.01199,0.46000,0.07735
0.47007,0.47000,-0.01323,0.47000,0.08881
0.48007,0.48000,-0.01561,0.48000,0.09915
0.49007,0.49000,-0.01878,0.49000,0.10815
0.50007,0.50000,-0.02237,0.50000,0.11563
0.51007,0.51000,-0.02599,0.51000,0.12147
0.52008,0.52000,-0.02934,0.52000,0.12565
0.53008,0.53000,-0.03216,0.53000,0.12819
0.54008,0.54000,-0.03430,0.54000,0.12913
0.55008,0.55000,-0.03572,0.55000,0.12855
0.56008,0.56000,-0.03643,0.56000,0.12654
0.57008,0.57000,-0.03656,0.57000,0.12318
0.58008,0.58000,-0.03624,0.58000,0.11857
0.59009,0.59000,-0.03563,0.59000,0.11284
0.60009,0.60000,-0.03487,0.60000,0.10614
0.61009,0.61000,-0.03405,0.61000,0.09862
0.62009,0.62000,-0.03320,0.62000,0.09048
0.63009,0.63000,-0.03231,0.63000,0.08193
0.64009,0.64000,-0.03129,0.64000,0.07320
0.65009,0.65000,-0.03001,0.65000,0.06452
0.66010,0.66000,-0.02833,0.66000,0.05612
0.67010,0.67000,-0.02609,0.67000,0.04823
0.68010,0.68000,-0.02313,0.68000,0.04106
0.69010,0.69000,-0.01933,0.69000,0.03478
0.70010,0.70000,-0.01461,0.70000,0.02955
0.71010,0.71000,-0.00894,0.71000,0.02545
0.72010,0.72000,-0.00234,0.72000,0.02257
0.73011,0.73000,0.00512,0.73000,0.02090
0.74011,0.74000,0.01331,0.74000,0.02041
0.75011,0.75000,0.02208,0.75000,0.02102
0.76011,0.76000,0.03123,0.76000,0.02258
0.77011,0.77000,0.04053,0.77000,0.02491
0.78011,0.78000,0.04973,0.78000,0.02778
0.79011,0.79000,0.05860,0.79000,0.03093
0.80012,0.80000,0.06691,0.80000,0.03410
0.81012,0.81000,0.07445,0.81000,0.03703
0.82012,0.82000,0.08108,0.82000,0.03949
