Tiempo,Flexo-extensión torso_X,Flexo-extensión torso_Y,Flexión lateral torso_X,Flexión lateral torso_Y,Rotación torso_X,Rotación torso_Y,Inclinación torso_X,Inclinación torso_Y
0.00000,0.00000,-1.25683,0.00000,0.34173,0.00000,0.40622,0.00000,1.30485
0.01000,0.01000,-1.25812,0.01000,0.34067,0.01000,0.40711,0.01000,1.30582
0.02000,0.02000,-1.25948,0.02000,0.33944,0.02000,0.40776,0.02000,1.30681
0.03000,0.03000,-1.26084,0.03000,0.33807,0.03000,0.40807,0.03000,1.30777
0.04001,0.04000,-1.26217,0.04000,0.33661,0.04000,0.40802,0.04000,1.30866
0.05001,0.05000,-1.26340,0.05000,0.33508,0.05000,0.40759,0.05000,1.30944
0.06001,0.06000,-1.26450,0.06000,0.33354,0.06000,0.40685,0.06000,1.31009
0.07001,0.07000,-1.26546,0.07000,0.33202,0.07000,0.40590,0.07000,1.31061
0.08001,0.08000,-1.26626,0.08000,0.33058,0.08000,0.40490,0.08000,1.31100
0.09001,0.09000,-1.26690,0.09000,0.32927,0.09000,0.40405,0.09000,1.31126
0.10002,0.10000,-1.26735,0.10000,0.32814,0.10000,0.40356,0.10000,1.31140
0.11002,0.11000,-1.26760,0.11000,0.32725,0.11000,0.40364,0.11000,1.31140
0.12002,0.12000,-1.26760,0.12000,0.32666,0.12000,0.40448,0.12000,1.31125
0.13002,0.13000,-1.26733,0.13000,0.32643,0.13000,0.40621,0.13000,1.31094
0.14002,0.14000,-1.26677,0.14000,0.32663,0.14000,0.40891,0.14000,1.31046
0.15002,0.15000,-1.26591,0.15000,0.32731,0.15000,0.41259,0.15000,1.30984
0.16002,0.16000,-1.26481,0.16000,0.32853,0.16000,0.41718,0.16000,1.30913
0.17003,0.17000,-1.26351,0.17000,0.33030,0.17000,0.42254,0.17000,1.30838
0.18003,0.18000,-1.26209,0.18000,0.33264,0.18000,0.42847,0.18000,1.30768
0.19003,0.19000,-1.26065,0.19000,0.33552,0.19000,0.43472,0.19000,1.30710
0.20003,0.20000,-1.25926,0.20000,0.33887,0.20000,0.44103,0.20000,1.30671
0.21003,0.21000,-1.25801,0.21000,0.34261,0.21000,0.44712,0.21000,1.30656
0.22003,0.22000,-1.25700,0.22000,0.34663,0.22000,0.45276,0.22000,1.30672
0.23003,0.23000,-1.25632,0.23000,0.35079,0.23000,0.45776,0.23000,1.30723
0.24004,0.24000,-1.25606,0.24000,0.35498,0.24000,0.46199,0.24000,1.30817
0.25004,0.25000,-1.25633,0.25000,0.35909,0.25000,0.46541,0.25000,1.30959
0.26004,0.26000,-1.25721,0.26000,0.36305,0.26000,0.46805,0.26000,1.31155
0.27004,0.27000,-1.25875,0.27000,0.36681,0.27000,0.47000,0.27000,1.31409
0.28004,0.28000,-1.26094,0.28000,0.37036,0.28000,0.47136,0.28000,1.31720
0.29004,0.29000,-1.26372,0.29000,0.37369,0.29000,0.47221,0.29000,1.32083
0.30005,0.30000,-1.26700,0.30000,0.37680,0.30000,0.47259,0.30000,1.32487
0.31005,0.31000,-1.27064,0.31000,0.37966,0.31000,0.47251,0.31000,1.32918
0.32005,0.32000,-1.27448,0.32000,0.38228,0.32000,0.47192,0.32000,1.33362
0.33005,0.33000,-1.27838,0.33000,0.38463,0.33000,0.47077,0.33000,1.33804
0.34005,0.34000,-1.28220,0.34000,0.38672,0.34000,0.46900,0.34000,1.34231
0.35005,0.35000,-1.28584,0.35000,0.38859,0.35000,0.46663,0.35000,1.34633
0.36005,0.36000,-1.28920,0.36000,0.39028,0.36000,0.46374,0.36000,1.35004
0.37006,0.37000,-1.29224,0.37000,0.39186,0.37000,0.46047,0.37000,1.35340
0.38006,0.38000,-1.29492,0.38000,0.39340,0.38000,0.45707,0.38000,1.35640
0.39006,0.39000,-1.29723,0.39000,0.39498,0.39000,0.45383,0.39000,1.35907
0.40006,0.40000,-1.29918,0.40000,0.39665,0.40000,0.45106,0.40000,1.36142
0.41006,0.41000,-1.30078,0.41000,0.39847,0.41000,0.44909,0.41000,1.36350
0.42006,0.42000,-1.30206,0.42000,0.40047,0.42000,0.44819,0.42000,1.36533
0.43006,0.43000,-1.30300,0.43000,0.40268,0.43000,0.44858,0.43000,1.36691
0.44007,0.44000,-1.30360,0.44000,0.40508,0.44000,0.45040,0.44000,1.36824
0.45007,0.45000,-1.30381,0.45000,0.40768,0.45000,0.45368,0.45000,1.36926
0.46007,0.46000,-1.30357,0.46000,0.41042,0.46000,0.45839,0.46000,1.36991
0.47007,0.47000,-1.30281,0.47000,0.41323,0.47000,0.46443,0.47000,1.37010
0.48007,0.48000,-1.30147,0.48000,0.41603,0.48000,0.47163,0.48000,1.36974
0.49007,0.49000,-1.29950,0.49000,0.41872,0.49000,0.47979,0.49000,1.36875
0.50007,0.50000,-1.29689,0.50000,0.42118,0.50000,0.48871,0.50000,1.36709
0.51008,0.51000,-1.29367,0.51000,0.42335,0.51000,0.49817,0.51000,1.36476
0.52008,0.52000,-1.28986,0.52000,0.42521,0.52000,0.50795,0.52000,1.36178
0.53008,0.53000,-1.28556,0.53000,0.42679,0.53000,0.51788,0.53000,1.35824
0.54008,0.54000,-1.28082,0.54000,0.42815,0.54000,0.52778,0.54000,1.35425
0.55008,0.55000,-1.27575,0.55000,0.42944,0.55000,0.53752,0.55000,1.34991
0.56008,0.56000,-1.27040,0.56000,0.43078,0.56000,0.54699,0.56000,1.34535
0.57009,0.57000,-1.26482,0.57000,0.43232,0.57000,0.55608,0.57000,1.34065
0.58009,0.58000,-1.25902,0.58000,0.43419,0.58000,0.56468,0.58000,1.33587
0.59009,0.59000,-1.25300,0.59000,0.43644,0.59000,0.57268,0.59000,1.33102
0.60009,0.60000,-1.24670,0.60000,0.43911,0.60000,0.57997,0.60000,1.32606
0.61009,0.61000,-1.24007,0.61000,0.44216,0.61000,0.58645,0.61000,1.32093
0.62009,0.62000,-1.23302,0.62000,0.44552,0.62000,0.59202,0.62000,1.31553
0.63009,0.63000,-1.22550,0.63000,0.44907,0.63000,0.59660,0.63000,1.30975
0.64010,0.64000,-1.21747,0.64000,0.45270,0.64000,0.60018,0.64000,1.30355
0.65010,0.65000,-1.20896,0.65000,0.45628,0.65000,0.60276,0.65000,1.29689
0.66010,0.66000,-1.20003,0.66000,0.45973,0.66000,0.60441,0.66000,1.28979
0.67010,0.67000,-1.19077,0.67000,0.46298,0.67000,0.60522,0.67000,1.28233
0.68010,0.68000,-1.18132,0.68000,0.46598,0.68000,0.60530,0.68000,1.27462
0.69010,0.69000,-1.17180,0.69000,0.46873,0.69000,0.60474,0.69000,1.26678
0.70010,0.70000,-1.16233,0.70000,0.47123,0.70000,0.60359,0.70000,1.25891
0.71011,0.71000,-1.15297,0.71000,0.47350,0.71000,0.60185,0.71000,1.25107
0.72011,0.72000,-1.14374,0.72000,0.47555,0.72000,0.59948,0.72000,1.24330
0.73011,0.73000,-1.13461,0.73000,0.47741,0.73000,0.59636,0.73000,1.23557
0.74011,0.74000,-1.12550,0.74000,0.47905,0.74000,0.59237,0.74000,1.22778
0.75011,0.75000,-1.11629,0.75000,0.48047,0.75000,0.58738,0.75000,1.21984
0.76011,0.76000,-1.10685,0.76000,0.48164,0.76000,0.58127,0.76000,1.21159
0.77012,0.77000,-1.09704,0.77000,0.48250,0.77000,0.57400,0.77000,1.20289
0.78012,0.78000,-1.08674,0.78000,0.48302,0.78000,0.56561,0.78000,1.19362
0.79012,0.79000,-1.07588,0.79000,0.48318,0.79000,0.55623,0.79000,1.18368
0.80012,0.80000,-1.06442,0.80000,0.48295,0.80000,0.54611,0.80000,1.17306
0.81012,0.81000,-1.05239,0.81000,0.48235,0.81000,0.53559,0.81000,1.16178
0.82012,0.82000,-1.03987,0.82000,0.48143,0.82000,0.52510,0.82000,1.14993
0.83012,0.83000,-1.02695,0.83000,0.48023,0.83000,0.51511,0.83000,1.13763
0.84013,0.84000,-1.01376,0.84000,0.47884,0.84000,0.50608,0.84000,1.12502
0.85013,0.85000,-1.00041,0.85000,0.47731,0.85000,0.49847,0.85000,1.11225
0.86013,0.86000,-0.98702,0.86000,0.47573,0.86000,0.49263,0.86000,1.09947
0.87013,0.87000,-0.97370,0.87000,0.47415,0.87000,0.48881,0.87000,1.08678
0.88013,0.88000,-0.96052,0.88000,0.47265,0.88000,0.48713,0.88000,1.07429
0.89013,0.89000,-0.94756,0.89000,0.47126,0.89000,0.48756,0.89000,1.06209
0.90013,0.90000,-0.93487,0.90000,0.47004,0.90000,0.48993,0.90000,1.05024
0.91014,0.91000,-0.92248,0.91000,0.46903,0.91000,0.49395,0.91000,1.03878
0.92014,0.92000,-0.91041,0.92000,0.46826,0.92000,0.49926,0.92000,1.02772
0.93014,0.93000,-0.89864,0.93000,0.46772,0.93000,0.50542,0.93000,1.01705
0.94014,0.94000,-0.88713,0.94000,0.46740,0.94000,0.51200,0.94000,1.00669
0.95014,0.95000,-0.87581,0.95000,0.46719,0.95000,0.51855,0.95000,0.99653
0.96014,0.96000,-0.86456,0.96000,0.46696,0.96000,0.52470,0.96000,0.98640
0.97015,0.97000,-0.85328,0.97000,0.46656,0.97000,0.53012,0.97000,0.97612
0.98015,0.98000,-0.84186,0.98000,0.46580,0.98000,0.53459,0.98000,0.96553
0.99015,0.99000,-0.83021,0.99000,0.46453,0.99000,0.53797,0.99000,0.95448
1.00015,1.00000,-0.81828,1.00000,0.46263,1.00000,0.54018,1.00000,0.94288
1.01015,1.01000,-0.80604,1.01000,0.46006,1.01000,0.54121,1.01000,0.93071
1.02015,1.02000,-0.79348,1.02000,0.45681,1.02000,0.54111,1.02000,0.91800
1.03015,1.03000,-0.78063,1.03000,0.45292,1.03000,0.53993,1.03000,0.90484
1.04016,1.04000,-0.76755,1.04000,0.44847,1.04000,0.53774,1.04000,0.89135
1.05016,1.05000,-0.75433,1.05000,0.44353,1.05000,0.53461,1.05000,0.87770
1.06016,1.06000,-0.74108,1.06000,0.43819,1.06000,0.53061,1.06000,0.86406
1.07016,1.07000,-0.72793,1.07000,0.43254,1.07000,0.52581,1.07000,0.85059
1.08016,1.08000,-0.71503,1.08000,0.42667,1.08000,0.52030,1.08000,0.83748
1.09016,1.09000,-0.70252,1.09000,0.42065,1.09000,0.51417,1.09000,0.82485
1.10016,1.10000,-0.69056,1.10000,0.41458,1.10000,0.50754,1.10000,0.81283
1.11017,1.11000,-0.67927,1.11000,0.40855,1.11000,0.50053,1.11000,0.80145
1.12017,1.12000,-0.66873,1.12000,0.40264,1.12000,0.49327,1.12000,0.79068
1.13017,1.13000,-0.65897,1.13000,0.39693,1.13000,0.48593,1.13000,0.78038
1.14017,1.14000,-0.64991,1.14000,0.39147,1.14000,0.47870,1.14000,0.77031
1.15017,1.15000,-0.64139,1.15000,0.38631,1.15000,0.47180,1.15000,0.76008
1.16017,1.16000,-0.63312,1.16000,0.38144,1.16000,0.46548,1.16000,0.74922
1.17017,1.17000,-0.62467,1.17000,0.37687,1.17000,0.46003,1.17000,0.73716
1.18018,1.18000,-0.61551,1.18000,0.37255,1.18000,0.45574,1.18000,0.72327
1.19018,1.19000,-0.60495,1.19000,0.36843,1.19000,0.45289,1.19000,0.70692
1.20018,1.20000,-0.59219,1.20000,0.36443,1.20000,0.45174,1.20000,0.68754
1.21018,1.21000,-0.57637,1.21000,0.36045,1.21000,0.45248,1.21000,0.66470
1.22018,1.22000,-0.55658,1.22000,0.35639,1.22000,0.45522,1.22000,0.63817
1.23018,1.23000,-0.53192,1.23000,0.35210,1.23000,0.45999,1.23000,0.60804
1.24019,1.24000,-0.50155,1.24000,0.34744,1.24000,0.46672,1.24000,0.57473
1.25019,1.25000,-0.46475,1.25000,0.34226,1.25000,0.47527,1.25000,0.53909
1.26019,1.26000,-0.42097,1.26000,0.33641,1.26000,0.48540,1.26000,0.50233
1.27019,1.27000,-0.36985,1.27000,0.32974,1.27000,0.49682,1.27000,0.46603
1.28019,1.28000,-0.31127,1.28000,0.32212,1.28000,0.50918,1.28000,0.43206
1.29019,1.29000,-0.24538,1.29000,0.31340,1.29000,0.52206,1.29000,0.40243
1.30019,1.30000,-0.17264,1.30000,0.30345,1.30000,0.53498,1.30000,0.37915
1.31020,1.31000,-0.09382,1.31000,0.29215,1.31000,0.54741,1.31000,0.36408
1.32020,1.32000,-0.00999,1.32000,0.27933,1.32000,0.55881,1.32000,0.35868
1.33020,1.33000,0.07753,1.33000,0.26487,1.33000,0.56859,1.33000,0.36393
1.34020,1.34000,0.16721,1.34000,0.24861,1.34000,0.57619,1.34000,0.38015
1.35020,1.35000,0.25744,1.35000,0.23043,1.35000,0.58105,1.35000,0.40701
1.36020,1.36000,0.34660,1.36000,0.21026,1.36000,0.58271,1.36000,0.44354
1.37020,1.37000,0.43321,1.37000,0.18810,1.37000,0.58080,1.37000,0.48826
1.38021,1.38000,0.51596,1.38000,0.16405,1.38000,0.57509,1.38000,0.53935
