Tiempo	Flexo-extensión cadera derecha_X	Flexo-extensión cadera derecha_Y	Flexo-extensión cadera izquierda_X	Flexo-extensión cadera izquierda_Y	Abducción-aducción cadera derecha_X	Abducción-aducción cadera derecha_Y	Abducción-aducción cadera izquierda_X	Abducción-aducción cadera izquierda_Y	Rotación cadera derecha_X	Rotación cadera derecha_Y	Rotación cadera izquierda_X	Rotación cadera izquierda_Y	Flexo-extensión codo derecho_X	Flexo-extensión codo derecho_Y	Flexo-extensión codo izquierdo_X	Flexo-extensión codo izquierdo_Y	Flexo-extensión cuello_X	Flexo-extensión cuello_Y	Flexión lateral cuello_X	Flexión lateral cuello_Y	Rotación cuello_X	Rotación cuello_Y	Flexo-extensión hombro derecho_X	Flexo-extensión hombro derecho_Y	Flexo-extensión hombro izquierdo_X	Flexo-extensión hombro izquierdo_Y	Abducción-aducción hombro derecho_X	Abducción-aducción hombro derecho_Y	Abducción-aducción hombro izquierdo_X	Abducción-aducción hombro izquierdo_Y	Rotación hombro derecho_X	Rotación hombro derecho_Y	Rotación hombro izquierdo_X	Rotación hombro izquierdo_Y	Flexo-extensión muñeca derecha_X	Flexo-extensión muñeca derecha_Y	Flexo-extensión muñeca izquierda_X	Flexo-extensión muñeca izquierda_Y	Abducción-aducción muñeca derecha_X	Abducción-aducción muñeca derecha_Y	Abducción-aducción muñeca izquierda_X	Abducción-aducción muñeca izquierda_Y	Rotación muñeca derecha_X	Rotación muñeca derecha_Y	Rotación muñeca izquierda_X	Rotación muñeca izquierda_Y	Rotación pelvis_X	Rotación pelvis_Y	Inclinación pelvis_X	Inclinación pelvis_Y	Oblicuidad pelvis_X	Oblicuidad pelvis_Y	Flexo-extensión rodilla derecha_X	Flexo-extensión rodilla derecha_Y	Flexo-extensión rodilla izquierda_X	Flexo-extensión rodilla izquierda_Y	Abducción-aducción rodilla derecha_X	Abducción-aducción rodilla derecha_Y	Abducción-aducción rodilla izquierda_X	Abducción-aducción rodilla izquierda_Y	Rotación rodilla derecha_X	Rotación rodilla derecha_Y	Rotación rodilla izquierda_X	Rotación rodilla izquierda_Y	Dorsiflexión-plantarflexión tobillo izquierdo_X	Dorsiflexión-plantarflexión tobillo izquierdo_Y	Dorsiflexión-plantarflexión tobillo izquierdo_X	Dorsiflexión-plantarflexión tobillo izquierdo_Y	Eversión-inversión tobillo derecho_X	Eversión-inversión tobillo derecho_Y	Eversión-inversión tobillo izquierdo_X	Eversión-inversión tobillo izquierdo_Y	Rotación tobillo derecho_X	Rotación tobillo derecho_Y	Rotación tobillo izquierdo_X	Rotación tobillo izquierdo_Y	Flexo-extensión torso_X	Flexo-extensión torso_Y	Flexión lateral torso_X	Flexión lateral torso_Y	Rotación torso_X	Rotación torso_Y	Inclinación torso_X	Inclinación torso_Y	
0.00000	0.00000	-2.87340	0.00000	-1.64599	0.00000	1.80025	0.00000	-1.34397	0.00000	0.91638	0.00000	0.15868	0.00000	-0.28687	0.00000	-4.30940	0.00000	-0.29644	0.00000	-0.07588	0.00000	-0.02694	0.00000	0.30456	0.00000	-0.70385	0.00000	-0.37657	0.00000	-0.76305	0.00000	0.30442	0.00000	-0.72008	0.00000	-0.16218	0.00000	7.71643	0.00000	-0.37732	0.00000	-9.57240	0.00000	0.88629	0.00000	-7.20452	0.00000	0.29412	0.00000	3.13466	0.00000	1.25720	0.00000	-0.53295	0.00000	0.13968	0.00000	0.77513	0.00000	-0.40997	0.00000	2.63725	0.00000	0.49090	0.00000	-0.13238	0.00000	-0.84258	0.00000	-1.54150	0.00000	1.66119	0.00000	3.63758	0.00000	1.77686	0.00000	1.26338	0.00000	-0.04201	0.00000	0.06386	0.00000	1.26413	
0.01001	0.01000	-2.87299	0.01000	-1.64542	0.01000	1.79852	0.01000	-1.34549	0.01000	0.91404	0.01000	0.16678	0.01000	-0.28753	0.01000	-4.31010	0.01000	-0.29740	0.01000	-0.07075	0.01000	-0.02583	0.01000	0.30455	0.01000	-0.70269	0.01000	-0.37822	0.01000	-0.76360	0.01000	0.30443	0.01000	-0.71890	0.01000	-0.16383	0.01000	7.71790	0.01000	-0.37520	0.01000	-9.56819	0.01000	0.88729	0.01000	-7.19081	0.01000	0.29558	0.01000	3.12855	0.01000	1.25772	0.01000	-0.53626	0.01000	0.13729	0.01000	0.77353	0.01000	-0.40457	0.01000	2.64652	0.01000	0.48369	0.01000	-0.13246	0.01000	-0.84104	0.01000	-1.53832	0.01000	1.65878	0.01000	3.63936	0.01000	1.77943	0.01000	1.26211	0.01000	-0.04241	0.01000	0.06529	0.01000	1.26287	
0.02002	0.02000	-2.87205	0.02000	-1.64462	0.02000	1.79678	0.02000	-1.34760	0.02000	0.91068	0.02000	0.17654	0.02000	-0.28833	0.02000	-4.31099	0.02000	-0.29785	0.02000	-0.06565	0.02000	-0.02482	0.02000	0.30498	0.02000	-0.70136	0.02000	-0.37995	0.02000	-0.76450	0.02000	0.30488	0.02000	-0.71755	0.02000	-0.16543	0.02000	7.71980	0.02000	-0.37236	0.02000	-9.56348	0.02000	0.88691	0.02000	-7.17576	0.02000	0.29691	0.02000	3.12133	0.02000	1.25852	0.02000	-0.53964	0.02000	0.13453	0.02000	0.77166	0.02000	-0.39813	0.02000	2.66405	0.02000	0.47530	0.02000	-0.13257	0.02000	-0.83948	0.02000	-1.53464	0.02000	1.65612	0.02000	3.64098	0.02000	1.78227	0.02000	1.26023	0.02000	-0.04305	0.02000	0.06672	0.02000	1.26102	
0.03002	0.03000	-2.87049	0.03000	-1.64360	0.03000	1.79510	0.03000	-1.35030	0.03000	0.90627	0.03000	0.18774	0.03000	-0.28922	0.03000	-4.31199	0.03000	-0.29768	0.03000	-0.06093	0.03000	-0.02410	0.03000	0.30597	0.03000	-0.69991	0.03000	-0.38170	0.03000	-0.76577	0.03000	0.30589	0.03000	-0.71608	0.03000	-0.16685	0.03000	7.72219	0.03000	-0.36877	0.03000	-9.55840	0.03000	0.88471	0.03000	-7.15989	0.03000	0.29801	0.03000	3.11310	0.03000	1.25965	0.03000	-0.54289	0.03000	0.13147	0.03000	0.76956	0.03000	-0.39082	0.03000	2.68375	0.03000	0.46598	0.03000	-0.13267	0.03000	-0.83794	0.03000	-1.53055	0.03000	1.65331	0.03000	3.64232	0.03000	1.78525	0.03000	1.25774	0.03000	-0.04393	0.03000	0.06806	0.03000	1.25857	
0.04003	0.04000	-2.86826	0.04000	-1.64237	0.04000	1.79357	0.04000	-1.35351	0.04000	0.90082	0.04000	0.20005	0.04000	-0.29017	0.04000	-4.31302	0.04000	-0.29683	0.04000	-0.05695	0.04000	-0.02387	0.04000	0.30762	0.04000	-0.69837	0.04000	-0.38337	0.04000	-0.76739	0.04000	0.30756	0.04000	-0.71453	0.04000	-0.16792	0.04000	7.72517	0.04000	-0.36444	0.04000	-9.55311	0.04000	0.88032	0.04000	-7.14375	0.04000	0.29879	0.04000	3.10407	0.04000	1.26113	0.04000	-0.54575	0.04000	0.12826	0.04000	0.76736	0.04000	-0.38288	0.04000	2.69641	0.04000	0.45600	0.04000	-0.13271	0.04000	-0.83643	0.04000	-1.52618	0.04000	1.65044	0.04000	3.64326	0.04000	1.78820	0.04000	1.25471	0.04000	-0.04503	0.04000	0.06925	0.04000	1.25559	
0.05004	0.05000	-2.86534	0.05000	-1.64101	0.05000	1.79224	0.05000	-1.35709	0.05000	0.89442	0.05000	0.21303	0.05000	-0.29111	0.05000	-4.31394	0.05000	-0.29530	0.05000	-0.05402	0.05000	-0.02437	0.05000	0.31000	0.05000	-0.69678	0.05000	-0.38489	0.05000	-0.76933	0.05000	0.30996	0.05000	-0.71294	0.05000	-0.16848	0.05000	7.72885	0.05000	-0.35942	0.05000	-9.54775	0.05000	0.87345	0.05000	-7.12794	0.05000	0.29920	0.05000	3.09451	0.05000	1.26298	0.05000	-0.54799	0.05000	0.12504	0.05000	0.76518	0.05000	-0.37462	0.05000	2.70384	0.05000	0.44571	0.05000	-0.13264	0.05000	-0.83496	0.05000	-1.52166	0.05000	1.64764	0.05000	3.64372	0.05000	1.79090	0.05000	1.25125	0.05000	-0.04633	0.05000	0.07022	0.05000	1.25219	
0.06005	0.06000	-2.86178	0.06000	-1.63959	0.06000	1.79112	0.06000	-1.36086	0.06000	0.88721	0.06000	0.22618	0.06000	-0.29197	0.06000	-4.31459	0.06000	-0.29320	0.06000	-0.05239	0.06000	-0.02585	0.06000	0.31316	0.06000	-0.69516	0.06000	-0.38622	0.06000	-0.77152	0.06000	0.31315	0.06000	-0.71132	0.06000	-0.16838	0.06000	7.73334	0.06000	-0.35381	0.06000	-9.54248	0.06000	0.86394	0.06000	-7.11300	0.06000	0.29920	0.06000	3.08470	0.06000	1.26521	0.06000	-0.54940	0.06000	0.12200	0.06000	0.76317	0.06000	-0.36643	0.06000	2.71508	0.06000	0.43543	0.06000	-0.13237	0.06000	-0.83344	0.06000	-1.51715	0.06000	1.64503	0.06000	3.64368	0.06000	1.79313	0.06000	1.24759	0.06000	-0.04774	0.06000	0.07094	0.06000	1.24859	
0.07005	0.07000	-2.85770	0.07000	-1.63823	0.07000	1.79023	0.07000	-1.36455	0.07000	0.87936	0.07000	0.23897	0.07000	-0.29269	0.07000	-4.31484	0.07000	-0.29074	0.07000	-0.05220	0.07000	-0.02855	0.07000	0.31711	0.07000	-0.69352	0.07000	-0.38733	0.07000	-0.77387	0.07000	0.31713	0.07000	-0.70969	0.07000	-0.16750	0.07000	7.73872	0.07000	-0.34776	0.07000	-9.53747	0.07000	0.85176	0.07000	-7.09939	0.07000	0.29878	0.07000	3.07497	0.07000	1.26779	0.07000	-0.54978	0.07000	0.11934	0.07000	0.76149	0.07000	-0.35875	0.07000	2.72240	0.07000	0.42547	0.07000	-0.13180	0.07000	-0.83178	0.07000	-1.51276	0.07000	1.64273	0.07000	3.64314	0.07000	1.79461	0.07000	1.24399	0.07000	-0.04919	0.07000	0.07137	0.07000	1.24505	
0.08006	0.08000	-2.85324	0.08000	-1.63703	0.08000	1.78952	0.08000	-1.36791	0.08000	0.87106	0.08000	0.25093	0.08000	-0.29326	0.08000	-4.31454	0.08000	-0.28819	0.08000	-0.05349	0.08000	-0.03263	0.08000	0.32186	0.08000	-0.69183	0.08000	-0.38827	0.08000	-0.77630	0.08000	0.32189	0.08000	-0.70800	0.08000	-0.16576	0.08000	7.74510	0.08000	-0.34143	0.08000	-9.53286	0.08000	0.83707	0.08000	-7.08747	0.08000	0.29796	0.08000	3.06565	0.08000	1.27072	0.08000	-0.54899	0.08000	0.11729	0.08000	0.76029	0.08000	-0.35201	0.08000	2.71768	0.08000	0.41603	0.08000	-0.13084	0.08000	-0.82983	0.08000	-1.50863	0.08000	1.64084	0.08000	3.64213	0.08000	1.79510	0.08000	1.24077	0.08000	-0.05057	0.08000	0.07151	0.08000	1.24190	
0.09007	0.09000	-2.84858	0.09000	-1.63612	0.09000	1.78895	0.09000	-1.37068	0.09000	0.86251	0.09000	0.26164	0.09000	-0.29368	0.09000	-4.31361	0.09000	-0.28590	0.09000	-0.05619	0.09000	-0.03821	0.09000	0.32735	0.09000	-0.69002	0.09000	-0.38909	0.09000	-0.77873	0.09000	0.32742	0.09000	-0.70620	0.09000	-0.16314	0.09000	7.75250	0.09000	-0.33500	0.09000	-9.52880	0.09000	0.82015	0.09000	-7.07748	0.09000	0.29682	0.09000	3.05704	0.09000	1.27395	0.09000	-0.54694	0.09000	0.11605	0.09000	0.75968	0.09000	-0.34662	0.09000	2.71783	0.09000	0.40727	0.09000	-0.12938	0.09000	-0.82743	0.09000	-1.50484	0.09000	1.63945	0.09000	3.64071	0.09000	1.79435	0.09000	1.23827	0.09000	-0.05180	0.09000	0.07138	0.09000	1.23946	
