Tiempo,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Flexo-extensión muñeca izquierda_X,Flexo-extensión muñeca izquierda_Y,Abducción-aducción muñeca derecha_X,Abducción-aducción muñeca derecha_Y,Abducción-aducción muñeca izquierda_X,Abducción-aducción muñeca izquierda_Y,Rotación muñeca derecha_X,Rotación muñeca derecha_Y,Rotación muñeca izquierda_X,Rotación muñeca izquierda_Y
0.00000,0.00000,0.16807,0.00000,-0.04807,0.00000,-0.61559,0.00000,0.56378,0.00000,0.41660,0.00000,-1.32206
0.01000,0.01000,0.16609,0.01000,-0.04819,0.01000,-0.61180,0.01000,0.56263,0.01000,0.42107,0.01000,-1.32141
0.02000,0.02000,0.16354,0.02000,-0.04740,0.02000,-0.60739,0.02000,0.56124,0.02000,0.42692,0.02000,-1.32090
0.03000,0.03000,0.16019,0.03000,-0.04550,0.03000,-0.60230,0.03000,0.55965,0.03000,0.43444,0.03000,-1.32042
0.04001,0.04000,0.15575,0.04000,-0.04231,0.04000,-0.59641,0.04000,0.55791,0.04000,0.44404,0.04000,-1.31974
0.05001,0.05000,0.14982,0.05000,-0.03780,0.05000,-0.58953,0.05000,0.55610,0.05000,0.45618,0.05000,-1.31852
0.06001,0.06000,0.14194,0.06000,-0.03203,0.06000,-0.58137,0.06000,0.55434,0.06000,0.47146,0.06000,-1.31632
0.07001,0.07000,0.13160,0.07000,-0.02522,0.07000,-0.57156,0.07000,0.55280,0.07000,0.49047,0.07000,-1.31268
0.08001,0.08000,0.11827,0.08000,-0.01771,0.08000,-0.55963,0.08000,0.55165,0.08000,0.51381,0.08000,-1.30713
0.09001,0.09000,0.10152,0.09000,-0.00995,0.09000,-0.54502,0.09000,0.55106,0.09000,0.54195,0.09000,-1.29935
0.10002,0.10000,0.08100,0.10000,-0.00243,0.10000,-0.52707,0.10000,0.55114,0.10000,0.57513,0.10000,-1.28919
0.11002,0.11000,0.05653,0.11000,0.00439,0.11000,-0.50504,0.11000,0.55195,0.11000,0.61325,0.11000,-1.27677
0.12002,0.12000,0.02814,0.12000,0.01015,0.12000,-0.47808,0.12000,0.55344,0.12000,0.65590,0.12000,-1.26241
0.13002,0.13000,-0.00401,0.13000,0.01460,0.13000,-0.44525,0.13000,0.55546,0.13000,0.70243,0.13000,-1.24664
0.14002,0.14000,-0.03964,0.14000,0.01767,0.14000,-0.40558,0.14000,0.55781,0.14000,0.75204,0.14000,-1.23007
0.15002,0.15000,-0.07844,0.15000,0.01940,0.15000,-0.35811,0.15000,0.56028,0.15000,0.80392,0.15000,-1.21332
0.16002,0.16000,-0.12013,0.16000,0.01991,0.16000,-0.30199,0.16000,0.56268,0.16000,0.85740,0.16000,-1.19689
0.17003,0.17000,-0.16444,0.17000,0.01936,0.17000,-0.23657,0.17000,0.56487,0.17000,0.91190,0.17000,-1.18119
0.18003,0.18000,-0.21117,0.18000,0.01793,0.18000,-0.16144,0.18000,0.56679,0.18000,0.96687,0.18000,-1.16644
0.19003,0.19000,-0.26010,0.19000,0.01576,0.19000,-0.07651,0.19000,0.56842,0.19000,1.02181,0.19000,-1.15271
0.20003,0.20000,-0.31097,0.20000,0.01296,0.20000,0.01798,0.20000,0.56982,0.20000,1.07616,0.20000,-1.13997
0.21003,0.21000,-0.36350,0.21000,0.00967,0.21000,0.12141,0.21000,0.57100,0.21000,1.12934,0.21000,-1.12809
0.22003,0.22000,-0.41730,0.22000,0.00602,0.22000,0.23283,0.22000,0.57200,0.22000,1.18077,0.22000,-1.11688
0.23003,0.23000,-0.47194,0.23000,0.00221,0.23000,0.35097,0.23000,0.57279,0.23000,1.22984,0.23000,-1.10616
0.24004,0.24000,-0.52692,0.24000,-0.00152,0.24000,0.47432,0.24000,0.57332,0.24000,1.27595,0.24000,-1.09568
0.25004,0.25000,-0.58171,0.25000,-0.00490,0.25000,0.60127,0.25000,0.57351,0.25000,1.31846,0.25000,-1.08522
0.26004,0.26000,-0.63572,0.26000,-0.00768,0.26000,0.73018,0.26000,0.57326,0.26000,1.35676,0.26000,-1.07457
0.27004,0.27000,-0.68843,0.27000,-0.00964,0.27000,0.85949,0.27000,0.57252,0.27000,1.39030,0.27000,-1.06351
0.28004,0.28000,-0.73935,0.28000,-0.01066,0.28000,0.98772,0.28000,0.57123,0.28000,1.41871,0.28000,-1.05186
0.29004,0.29000,-0.78809,0.29000,-0.01074,0.29000,1.11354,0.29000,0.56942,0.29000,1.44183,0.29000,-1.03950
