Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Flexo-extensión hombro izquierdo_X,Flexo-extensión hombro izquierdo_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Abducción-aducción hombro izquierdo_X,Abducción-aducción hombro izquierdo_Y,Rotación hombro derecho_X,Rotación hombro derecho_Y,Rotación hombro izquierdo_X,Rotación hombro izquierdo_Y
0.00000,0.00000,-0.05962,0.00000,-0.09682,0.00000,-0.09102,0.00000,0.17289,0.00000,-0.05885,0.00000,-0.09752
0.01000,0.01000,-0.05560,0.01000,-0.09407,0.01000,-0.09364,0.01000,0.17284,0.01000,-0.05480,0.01000,-0.09477
0.02000,0.02000,-0.05122,0.02000,-0.09094,0.02000,-0.09670,0.02000,0.17292,0.02000,-0.05039,0.02000,-0.09166
0.03000,0.03000,-0.04664,0.03000,-0.08753,0.03000,-0.10015,0.03000,0.17314,0.03000,-0.04577,0.03000,-0.08826
0.04001,0.04000,-0.04203,0.04000,-0.08394,0.04000,-0.10390,0.04000,0.17353,0.04000,-0.04112,0.04000,-0.08468
0.05001,0.05000,-0.03759,0.05000,-0.08029,0.05000,-0.10790,0.05000,0.17409,0.05000,-0.03663,0.05000,-0.08104
0.06001,0.06000,-0.03347,0.06000,-0.07668,0.06000,-0.11204,0.06000,0.17479,0.06000,-0.03246,0.06000,-0.07745
0.07001,0.07000,-0.02982,0.07000,-0.07324,0.07000,-0.11624,0.07000,0.17561,0.07000,-0.02876,0.07000,-0.07402
0.08001,0.08000,-0.02678,0.08000,-0.07006,0.08000,-0.12042,0.08000,0.17651,0.08000,-0.02567,0.08000,-0.07085
0.09001,0.09000,-0.02443,0.09000,-0.06723,0.09000,-0.12451,0.09000,0.17741,0.09000,-0.02327,0.09000,-0.06803
0.10001,0.10000,-0.02285,0.10000,-0.06480,0.10000,-0.12844,0.10000,0.17827,0.10000,-0.02164,0.10000,-0.06561
0.11002,0.11000,-0.02207,0.11000,-0.06281,0.11000,-0.13215,0.11000,0.17900,0.11000,-0.02082,0.11000,-0.06363
0.12002,0.12000,-0.02212,0.12000,-0.06129,0.12000,-0.13561,0.12000,0.17955,0.12000,-0.02083,0.12000,-0.06212
0.13002,0.13000,-0.02299,0.13000,-0.06023,0.13000,-0.13877,0.13000,0.17984,0.13000,-0.02166,0.13000,-0.06105
0.14002,0.14000,-0.02464,0.14000,-0.05960,0.14000,-0.14162,0.14000,0.17983,0.14000,-0.02328,0.14000,-0.06042
0.15002,0.15000,-0.02702,0.15000,-0.05935,0.15000,-0.14417,0.15000,0.17949,0.15000,-0.02563,0.15000,-0.06018
0.16002,0.16000,-0.03005,0.16000,-0.05946,0.16000,-0.14640,0.16000,0.17881,0.16000,-0.02863,0.16000,-0.06027
0.17002,0.17000,-0.03365,0.17000,-0.05985,0.17000,-0.14835,0.17000,0.17776,0.17000,-0.03221,0.17000,-0.06066
0.18003,0.18000,-0.03771,0.18000,-0.06049,0.18000,-0.15003,0.18000,0.17637,0.18000,-0.03626,0.18000,-0.06129
0.19003,0.19000,-0.04214,0.19000,-0.06133,0.19000,-0.15147,0.19000,0.17462,0.19000,-0.04067,0.19000,-0.06212
0.20003,0.20000,-0.04684,0.20000,-0.06233,0.20000,-0.15270,0.20000,0.17254,0.20000,-0.04536,0.20000,-0.06312
0.21003,0.21000,-0.05170,0.21000,-0.06348,0.21000,-0.15372,0.21000,0.17013,0.21000,-0.05021,0.21000,-0.06425
0.22003,0.22000,-0.05665,0.22000,-0.06475,0.22000,-0.15457,0.22000,0.16742,0.22000,-0.05516,0.22000,-0.06551
0.23003,0.23000,-0.06163,0.23000,-0.06616,0.23000,-0.15526,0.23000,0.16440,0.23000,-0.06013,0.23000,-0.06691
0.24003,0.24000,-0.06658,0.24000,-0.06772,0.24000,-0.15582,0.24000,0.16109,0.24000,-0.06508,0.24000,-0.06845
0.25003,0.25000,-0.07150,0.25000,-0.06943,0.25000,-0.15625,0.25000,0.15750,0.25000,-0.07000,0.25000,-0.07015
0.26004,0.26000,-0.07638,0.26000,-0.07134,0.26000,-0.15660,0.26000,0.15367,0.26000,-0.07488,0.26000,-0.07203
0.27004,0.27000,-0.08123,0.27000,-0.07344,0.27000,-0.15689,0.27000,0.14961,0.27000,-0.07974,0.27000,-0.07411
0.28004,0.28000,-0.08609,0.28000,-0.07576,0.28000,-0.15717,0.28000,0.14537,0.28000,-0.08460,0.28000,-0.07640
0.29004,0.29000,-0.09096,0.29000,-0.07828,0.29000,-0.15747,0.29000,0.14099,0.29000,-0.08949,0.29000,-0.07890
0.30004,0.30000,-0.09587,0.30000,-0.08100,0.30000,-0.15784,0.30000,0.13653,0.30000,-0.09440,0.30000,-0.08159
0.31004,0.31000,-0.10081,0.31000,-0.08389,0.31000,-0.15834,0.31000,0.13206,0.31000,-0.09936,0.31000,-0.08446
0.32004,0.32000,-0.10578,0.32000,-0.08692,0.32000,-0.15903,0.32000,0.12765,0.32000,-0.10434,0.32000,-0.08746
0.33005,0.33000,-0.11077,0.33000,-0.09005,0.33000,-0.15996,0.33000,0.12339,0.33000,-0.10934,0.33000,-0.09056
0.34005,0.34000,-0.11576,0.34000,-0.09325,0.34000,-0.16119,0.34000,0.11936,0.34000,-0.11434,0.34000,-0.09373
0.35005,0.35000,-0.12072,0.35000,-0.09648,0.35000,-0.16278,0.35000,0.11564,0.35000,-0.11931,0.35000,-0.09694
0.36005,0.36000,-0.12564,0.36000,-0.09974,0.36000,-0.16478,0.36000,0.11229,0.36000,-0.12423,0.36000,-0.10017
0.37005,0.37000,-0.13048,0.37000,-0.10301,0.37000,-0.16722,0.37000,0.10937,0.37000,-0.12907,0.37000,-0.10341
0.38005,0.38000,-0.13521,0.38000,-0.10630,0.38000,-0.17012,0.38000,0.10691,0.38000,-0.13380,0.38000,-0.10667
0.39005,0.39000,-0.13979,0.39000,-0.10962,0.39000,-0.17347,0.39000,0.10489,0.39000,-0.13838,0.39000,-0.10998
0.40006,0.40000,-0.14419,0.40000,-0.11302,0.40000,-0.17726,0.40000,0.10329,0.40000,-0.14278,0.40000,-0.11335
0.41006,0.41000,-0.14836,0.41000,-0.11651,0.41000,-0.18143,0.41000,0.10207,0.41000,-0.14694,0.41000,-0.11683
0.42006,0.42000,-0.15226,0.42000,-0.12016,0.42000,-0.18591,0.42000,0.10114,0.42000,-0.15081,0.42000,-0.12046
0.43006,0.43000,-0.15582,0.43000,-0.12398,0.43000,-0.19062,0.43000,0.10041,0.43000,-0.15436,0.43000,-0.12427
0.44006,0.44000,-0.15901,0.44000,-0.12801,0.44000,-0.19543,0.44000,0.09980,0.44000,-0.15753,0.44000,-0.12828
0.45006,0.45000,-0.16176,0.45000,-0.13224,0.45000,-0.20024,0.45000,0.09921,0.45000,-0.16026,0.45000,-0.13250
0.46006,0.46000,-0.16401,0.46000,-0.13665,0.46000,-0.20490,0.46000,0.09853,0.46000,-0.16249,0.46000,-0.13689
0.47007,0.47000,-0.16570,0.47000,-0.14118,0.47000,-0.20930,0.47000,0.09767,0.47000,-0.16415,0.47000,-0.14141
0.48007,0.48000,-0.16676,0.48000,-0.14577,0.48000,-0.21331,0.48000,0.09655,0.48000,-0.16519,0.48000,-0.14599
0.49007,0.49000,-0.16712,0.49000,-0.15031,0.49000,-0.21683,0.49000,0.09510,0.49000,-0.16553,0.49000,-0.15052
0.50007,0.50000,-0.16671,0.50000,-0.15471,0.50000,-0.21979,0.50000,0.09327,0.50000,-0.16510,0.50000,-0.15490
0.51007,0.51000,-0.16546,0.51000,-0.15884,0.51000,-0.22212,0.51000,0.09102,0.51000,-0.16384,0.51000,-0.15903
0.52007,0.52000,-0.16333,0.52000,-0.16261,0.52000,-0.22381,0.52000,0.08835,0.52000,-0.16170,0.52000,-0.16279
0.53007,0.53000,-0.16027,0.53000,-0.16595,0.53000,-0.22488,0.53000,0.08528,0.53000,-0.15863,0.53000,-0.16612
0.54007,0.54000,-0.15629,0.54000,-0.16878,0.54000,-0.22539,0.54000,0.08185,0.54000,-0.15464,0.54000,-0.16894
0.55008,0.55000,-0.15140,0.55000,-0.17109,0.55000,-0.22543,0.55000,0.07813,0.55000,-0.14975,0.55000,-0.17125
0.56008,0.56000,-0.14568,0.56000,-0.17288,0.56000,-0.22513,0.56000,0.07423,0.56000,-0.14402,0.56000,-0.17304
0.57008,0.57000,-0.13924,0.57000,-0.17420,0.57000,-0.22466,0.57000,0.07026,0.57000,-0.13758,0.57000,-0.17436
0.58008,0.58000,-0.13226,0.58000,-0.17512,0.58000,-0.22421,0.58000,0.06634,0.58000,-0.13058,0.58000,-0.17527
0.59008,0.59000,-0.12493,0.59000,-0.17570,0.59000,-0.22401,0.59000,0.06262,0.59000,-0.12324,0.59000,-0.17585
0.60008,0.60000,-0.11751,0.60000,-0.17604,0.60000,-0.22427,0.60000,0.05920,0.60000,-0.11580,0.60000,-0.17619
