Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,1.44566,0.00000,0.26219
0.01001,0.01000,1.33741,0.01000,0.39668
0.02001,0.02000,1.20188,0.02000,0.55503
0.03002,0.03000,1.03955,0.03000,0.73485
0.04003,0.04000,0.85238,0.04000,0.93263
0.05003,0.05000,0.64381,0.05000,1.14410
0.06004,0.06000,0.41859,0.06000,1.36452
0.07004,0.07000,0.18254,0.07000,1.58906
0.08005,0.08000,-0.05776,0.08000,1.81304
0.09006,0.09000,-0.29525,0.09000,2.03218
0.10006,0.10000,-0.52278,0.10000,2.24266
0.11007,0.11000,-0.73338,0.11000,2.44116
0.12007,0.12000,-0.92057,0.12000,2.62475
0.13008,0.13000,-1.07867,0.13000,2.79080
0.14009,0.14000,-1.20297,0.14000,2.93680
0.15009,0.15000,-1.28994,0.15000,3.06014
0.16010,0.16000,-1.33732,0.16000,3.15810
0.17011,0.17000,-1.34410,0.17000,3.22765
0.18011,0.18000,-1.31047,0.18000,3.26556
0.19012,0.19000,-1.23767,0.19000,3.26845
0.20012,0.20000,-1.12778,0.20000,3.23290
0.21013,0.21000,-0.98353,0.21000,3.15568
0.22014,0.22000,-0.80813,0.22000,3.03393
0.23014,0.23000,-0.60512,0.23000,2.86539
0.24015,0.24000,-0.37821,0.24000,2.64863
0.25015,0.25000,-0.13122,0.25000,2.38319
0.26016,0.26000,0.13206,0.26000,2.06976
0.27017,0.27000,0.40793,0.27000,1.71031
0.28017,0.28000,0.69292,0.28000,1.30813
0.29018,0.29000,0.98382,0.29000,0.86789
0.30019,0.30000,1.27774,0.30000,0.39557
0.31019,0.31000,1.57212,0.31000,-0.10162
0.32020,0.32000,1.86465,0.32000,-0.61541
0.33020,0.33000,2.15324,0.33000,-1.13673
0.34021,0.34000,2.43582,0.34000,-1.65598
0.35022,0.35000,2.71027,0.35000,-2.16338
0.36022,0.36000,2.97427,0.36000,-2.64932
0.37023,0.37000,3.22519,0.37000,-3.10469
0.38023,0.38000,3.46009,0.38000,-3.52125
0.39024,0.39000,3.67567,0.39000,-3.89186
0.40025,0.40000,3.86844,0.40000,-4.21081
0.41025,0.41000,4.03479,0.41000,-4.47396
0.42026,0.42000,4.17119,0.42000,-4.67895
0.43027,0.43000,4.27438,0.43000,-4.82527
0.44027,0.44000,4.34149,0.44000,-4.91431
0.45028,0.45000,4.37023,0.45000,-4.94931
0.46028,0.46000,4.35900,0.46000,-4.93517
0.47029,0.47000,4.30697,0.47000,-4.87819
0.48030,0.48000,4.21413,0.48000,-4.78566
0.49030,0.49000,4.08137,0.49000,-4.66538
0.50031,0.50000,3.91042,0.50000,-4.52511
0.51031,0.51000,3.70387,0.51000,-4.37204
0.52032,0.52000,3.46517,0.52000,-4.21228
0.53033,0.53000,3.19855,0.53000,-4.05060
0.54033,0.54000,2.90893,0.54000,-3.89022
0.55034,0.55000,2.60184,0.55000,-3.73284
0.56035,0.56000,2.28323,0.56000,-3.57875
0.57035,0.57000,1.95931,0.57000,-3.42710
0.58036,0.58000,1.63628,0.58000,-3.27618
0.59036,0.59000,1.32014,0.59000,-3.12375
0.60037,0.60000,1.01645,0.60000,-2.96731
0.61038,0.61000,0.73010,0.61000,-2.80437
0.62038,0.62000,0.46512,0.62000,-2.63266
0.63039,0.63000,0.22458,0.63000,-2.45033
0.64039,0.64000,0.01050,0.64000,-2.25600
0.65040,0.65000,-0.17619,0.65000,-2.04884
0.66041,0.66000,-0.33555,0.66000,-1.82857
0.67041,0.67000,-0.46855,0.67000,-1.59540
0.68042,0.68000,-0.57692,0.68000,-1.35001
0.69043,0.69000,-0.66294,0.69000,-1.09342
0.70043,0.70000,-0.72927,0.70000,-0.82696
0.71044,0.71000,-0.77871,0.71000,-0.55223
0.72044,0.72000,-0.81404,0.72000,-0.27107
0.73045,0.73000,-0.83785,0.73000,0.01449
0.74046,0.74000,-0.85240,0.74000,0.30217
0.75046,0.75000,-0.85949,0.75000,0.58945
0.76047,0.76000,-0.86047,0.76000,0.87361
0.77047,0.77000,-0.85624,0.77000,1.15168
0.78048,0.78000,-0.84721,0.78000,1.42054
0.79049,0.79000,-0.83346,0.79000,1.67698
0.80049,0.80000,-0.81478,0.80000,1.91775
0.81050,0.81000,-0.79074,0.81000,2.13971
0.82051,0.82000,-0.76082,0.82000,2.33989
0.83051,0.83000,-0.72445,0.83000,2.51561
0.84052,0.84000,-0.68105,0.84000,2.66447
0.85052,0.85000,-0.63007,0.85000,2.78445
0.86053,0.86000,-0.57101,0.86000,2.87390
0.87054,0.87000,-0.50342,0.87000,2.93152
0.88054,0.88000,-0.42690,0.88000,2.95640
0.89055,0.89000,-0.34111,0.89000,2.94795
0.90056,0.90000,-0.24582,0.90000,2.90595
0.91056,0.91000,-0.14092,0.91000,2.83046
0.92057,0.92000,-0.02649,0.92000,2.72193
0.93057,0.93000,0.09716,0.93000,2.58116
0.94058,0.94000,0.22943,0.94000,2.40936
0.95059,0.95000,0.36942,0.95000,2.20826
0.96059,0.96000,0.51590,0.96000,1.98007
0.97060,0.97000,0.66734,0.97000,1.72763
0.98060,0.98000,0.82188,0.98000,1.45434
0.99061,0.99000,0.97742,0.99000,1.16412
1.00062,1.00000,1.13166,1.00000,0.86137
1.01062,1.01000,1.28217,1.01000,0.55082
1.02063,1.02000,1.42647,1.02000,0.23734
1.03064,1.03000,1.56219,1.03000,-0.07418
1.04064,1.04000,1.68709,1.04000,-0.37908
1.05065,1.05000,1.79927,1.05000,-0.67304
1.06065,1.06000,1.89713,1.06000,-0.95226
1.07066,1.07000,1.97955,1.07000,-1.21357
1.08067,1.08000,2.04581,1.08000,-1.45449
1.09067,1.09000,2.09565,1.09000,-1.67328
1.10068,1.10000,2.12920,1.10000,-1.86889
1.11068,1.11000,2.14691,1.11000,-2.04098
1.12069,1.12000,2.14953,1.12000,-2.18981
1.13070,1.13000,2.13794,1.13000,-2.31616
1.14070,1.14000,2.11313,1.14000,-2.42124
1.15071,1.15000,2.07614,1.15000,-2.50653
1.16072,1.16000,2.02793,1.16000,-2.57372
1.17072,1.17000,1.96944,1.17000,-2.62459
1.18073,1.18000,1.90151,1.18000,-2.66089
1.19073,1.19000,1.82493,1.19000,-2.68431
1.20074,1.20000,1.74044,1.20000,-2.69643
1.21075,1.21000,1.64878,1.21000,-2.69866
1.22075,1.22000,1.55071,1.22000,-2.69226
1.23076,1.23000,1.44707,1.23000,-2.67834
1.24076,1.24000,1.33877,1.24000,-2.65781
1.25077,1.25000,1.22686,1.25000,-2.63144
1.26078,1.26000,1.11247,1.26000,-2.59983
1.27078,1.27000,0.99688,1.27000,-2.56341
1.28079,1.28000,0.88141,1.28000,-2.52245
1.29080,1.29000,0.76743,1.29000,-2.47709
1.30080,1.30000,0.65630,1.30000,-2.42732
1.31081,1.31000,0.54931,1.31000,-2.37301
1.32081,1.32000,0.44765,1.32000,-2.31394
1.33082,1.33000,0.35233,1.33000,-2.24985
