Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,0.08882,0.00000,-0.00358
0.01000,0.01000,0.09099,0.01000,-0.00280
0.02000,0.02000,0.09360,0.02000,-0.00171
0.03000,0.03000,0.09662,0.03000,-0.00023
0.04001,0.04000,0.09997,0.04000,0.00167
0.05001,0.05000,0.10357,0.05000,0.00404
0.06001,0.06000,0.10730,0.06000,0.00691
0.07001,0.07000,0.11105,0.07000,0.01028
0.08001,0.08000,0.11469,0.08000,0.01413
0.09001,0.09000,0.11810,0.09000,0.01843
0.10002,0.10000,0.12116,0.10000,0.02309
0.11002,0.11000,0.12377,0.11000,0.02804
0.12002,0.12000,0.12583,0.12000,0.03315
0.13002,0.13000,0.12724,0.13000,0.03832
0.14002,0.14000,0.12794,0.14000,0.04340
0.15002,0.15000,0.12786,0.15000,0.04829
0.16002,0.16000,0.12699,0.16000,0.05287
0.17003,0.17000,0.12534,0.17000,0.05707
0.18003,0.18000,0.12296,0.18000,0.06086
0.19003,0.19000,0.11993,0.19000,0.06422
0.20003,0.20000,0.11638,0.20000,0.06716
0.21003,0.21000,0.11249,0.21000,0.06969
0.22003,0.22000,0.10846,0.22000,0.07181
0.23003,0.23000,0.10448,0.23000,0.07349
0.24004,0.24000,0.10078,0.24000,0.07469
0.25004,0.25000,0.09753,0.25000,0.07532
0.26004,0.26000,0.09488,0.26000,0.07527
0.27004,0.27000,0.09291,0.27000,0.07445
0.28004,0.28000,0.09162,0.28000,0.07274
0.29004,0.29000,0.09094,0.29000,0.07010
0.30005,0.30000,0.09073,0.30000,0.06650
0.31005,0.31000,0.09079,0.31000,0.06199
0.32005,0.32000,0.09089,0.32000,0.05667
0.33005,0.33000,0.09081,0.33000,0.05068
0.34005,0.34000,0.09035,0.34000,0.04423
0.35005,0.35000,0.08935,0.35000,0.03754
0.36005,0.36000,0.08773,0.36000,0.03083
0.37006,0.37000,0.08549,0.37000,0.02432
0.38006,0.38000,0.08266,0.38000,0.01817
0.39006,0.39000,0.07936,0.39000,0.01255
0.40006,0.40000,0.07572,0.40000,0.00756
0.41006,0.41000,0.07191,0.41000,0.00327
0.42006,0.42000,0.06811,0.42000,-0.00028
0.43006,0.43000,0.06446,0.43000,-0.00306
0.44007,0.44000,0.06113,0.44000,-0.00505
0.45007,0.45000,0.05823,0.45000,-0.00627
0.46007,0.46000,0.05588,0.46000,-0.00670
0.47007,0.47000,0.05414,0.47000,-0.00634
0.48007,0.48000,0.05306,0.48000,-0.00520
0.49007,0.49000,0.05266,0.49000,-0.00328
0.50008,0.50000,0.05290,0.50000,-0.00061
0.51008,0.51000,0.05372,0.51000,0.00276
0.52008,0.52000,0.05502,0.52000,0.00674
0.53008,0.53000,0.05667,0.53000,0.01118
0.54008,0.54000,0.05854,0.54000,0.01594
0.55008,0.55000,0.06049,0.55000,0.02083
0.56008,0.56000,0.06235,0.56000,0.02571
0.57009,0.57000,0.06398,0.57000,0.03042
0.58009,0.58000,0.06524,0.58000,0.03487
0.59009,0.59000,0.06599,0.59000,0.03901
0.60009,0.60000,0.06611,0.60000,0.04281
0.61009,0.61000,0.06550,0.61000,0.04629
0.62009,0.62000,0.06409,0.62000,0.04946
0.63009,0.63000,0.06183,0.63000,0.05232
0.64010,0.64000,0.05872,0.64000,0.05485
0.65010,0.65000,0.05480,0.65000,0.05702
0.66010,0.66000,0.05014,0.66000,0.05874
0.67010,0.67000,0.04486,0.67000,0.05993
0.68010,0.68000,0.03909,0.68000,0.06048
0.69010,0.69000,0.03300,0.69000,0.06031
0.70010,0.70000,0.02679,0.70000,0.05934
0.71011,0.71000,0.02068,0.71000,0.05755
0.72011,0.72000,0.01491,0.72000,0.05492
0.73011,0.73000,0.00969,0.73000,0.05153
0.74011,0.74000,0.00526,0.74000,0.04746
0.75011,0.75000,0.00180,0.75000,0.04288
0.76011,0.76000,-0.00054,0.76000,0.03797
0.77012,0.77000,-0.00165,0.77000,0.03293
0.78012,0.78000,-0.00148,0.78000,0.02796
0.79012,0.79000,-0.00006,0.79000,0.02324
0.80012,0.80000,0.00257,0.80000,0.01892
0.81012,0.81000,0.00628,0.81000,0.01510
0.82012,0.82000,0.01091,0.82000,0.01180
0.83012,0.83000,0.01624,0.83000,0.00902
0.84013,0.84000,0.02205,0.84000,0.00671
0.85013,0.85000,0.02806,0.85000,0.00479
0.86013,0.86000,0.03399,0.86000,0.00318
0.87013,0.87000,0.03956,0.87000,0.00179
0.88013,0.88000,0.04453,0.88000,0.00055
0.89013,0.89000,0.04869,0.89000,-0.00061
0.90013,0.90000,0.05188,0.90000,-0.00171
0.91014,0.91000,0.05402,0.91000,-0.00273
0.92014,0.92000,0.05509,0.92000,-0.00364
0.93014,0.93000,0.05513,0.93000,-0.00439
0.94014,0.94000,0.05423,0.94000,-0.00494
0.95014,0.95000,0.05249,0.95000,-0.00526
0.96014,0.96000,0.05005,0.96000,-0.00538
0.97015,0.97000,0.04701,0.97000,-0.00538
0.98015,0.98000,0.04349,0.98000,-0.00533
0.99015,0.99000,0.03959,0.99000,-0.00535
1.00015,1.00000,0.03540,1.00000,-0.00552
1.01015,1.01000,0.03099,1.01000,-0.00593
1.02015,1.02000,0.02644,1.02000,-0.00658
1.03015,1.03000,0.02183,1.03000,-0.00750
1.04016,1.04000,0.01722,1.04000,-0.00862
1.05016,1.05000,0.01267,1.05000,-0.00991
1.06016,1.06000,0.00826,1.06000,-0.01129
1.07016,1.07000,0.00405,1.07000,-0.01270
1.08016,1.08000,0.00010,1.08000,-0.01406
1.09016,1.09000,-0.00356,1.09000,-0.01533
1.10016,1.10000,-0.00687,1.10000,-0.01645
1.11017,1.11000,-0.00981,1.11000,-0.01738
1.12017,1.12000,-0.01233,1.12000,-0.01809
1.13017,1.13000,-0.01441,1.13000,-0.01852
1.14017,1.14000,-0.01602,1.14000,-0.01864
1.15017,1.15000,-0.01713,1.15000,-0.01837
1.16017,1.16000,-0.01772,1.16000,-0.01767
1.17017,1.17000,-0.01778,1.17000,-0.01647
1.18018,1.18000,-0.01730,1.18000,-0.01473
1.19018,1.19000,-0.01632,1.19000,-0.01242
1.20018,1.20000,-0.01487,1.20000,-0.00956
1.21018,1.21000,-0.01300,1.21000,-0.00623
1.22018,1.22000,-0.01077,1.22000,-0.00252
1.23018,1.23000,-0.00827,1.23000,0.00144
1.24019,1.24000,-0.00555,1.24000,0.00550
1.25019,1.25000,-0.00268,1.25000,0.00952
1.26019,1.26000,0.00030,1.26000,0.01335
1.27019,1.27000,0.00337,1.27000,0.01688
1.28019,1.28000,0.00650,1.28000,0.02002
1.29019,1.29000,0.00971,1.29000,0.02269
1.30019,1.30000,0.01301,1.30000,0.02482
1.31020,1.31000,0.01642,1.31000,0.02634
1.32020,1.32000,0.01992,1.32000,0.02720
1.33020,1.33000,0.02351,1.33000,0.02736
1.34020,1.34000,0.02715,1.34000,0.02677
1.35020,1.35000,0.03081,1.35000,0.02544
1.36020,1.36000,0.03439,1.36000,0.02337
1.37020,1.37000,0.03781,1.37000,0.02063
1.38021,1.38000,0.04097,1.38000,0.01727
1.39021,1.39000,0.04373,1.39000,0.01342
1.40021,1.40000,0.04598,1.40000,0.00922
1.41021,1.41000,0.04759,1.41000,0.00483
1.42021,1.42000,0.04847,1.42000,0.00044
1.43021,1.43000,0.04854,1.43000,-0.00375
1.44022,1.44000,0.04776,1.44000,-0.00753
