Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,1.86208,0.00000,0.09583
0.01001,0.01000,1.85647,0.01000,0.09710
0.02001,0.02000,1.84979,0.02000,0.09874
0.03001,0.03000,1.84204,0.03000,0.10077
0.04002,0.04000,1.83319,0.04000,0.10318
0.05002,0.05000,1.82323,0.05000,0.10595
0.06003,0.06000,1.81215,0.06000,0.10904
0.07003,0.07000,1.79990,0.07000,0.11240
0.08004,0.08000,1.78649,0.08000,0.11594
0.09004,0.09000,1.77188,0.09000,0.11959
0.10005,0.10000,1.75609,0.10000,0.12324
0.11005,0.11000,1.73913,0.11000,0.12679
0.12006,0.12000,1.72099,0.12000,0.13012
0.13006,0.13000,1.70169,0.13000,0.13314
0.14007,0.14000,1.68119,0.14000,0.13574
0.15007,0.15000,1.65947,0.15000,0.13786
0.16008,0.16000,1.63645,0.16000,0.13946
0.17008,0.17000,1.61208,0.17000,0.14056
0.18009,0.18000,1.58624,0.18000,0.14119
0.19009,0.19000,1.55882,0.19000,0.14145
0.20010,0.20000,1.52968,0.20000,0.14149
0.21010,0.21000,1.49864,0.21000,0.14145
0.22010,0.22000,1.46553,0.22000,0.14151
0.23011,0.23000,1.43021,0.23000,0.14183
0.24011,0.24000,1.39258,0.24000,0.14255
0.25012,0.25000,1.35260,0.25000,0.14379
0.26012,0.26000,1.31031,0.26000,0.14561
0.27013,0.27000,1.26585,0.27000,0.14801
0.28013,0.28000,1.21942,0.28000,0.15097
0.29014,0.29000,1.17130,0.29000,0.15442
0.30014,0.30000,1.12180,0.30000,0.15825
0.31015,0.31000,1.07132,0.31000,0.16233
0.32015,0.32000,1.02026,0.32000,0.16654
0.33016,0.33000,0.96908,0.33000,0.17074
0.34016,0.34000,0.91825,0.34000,0.17479
0.35017,0.35000,0.86826,0.35000,0.17857
0.36017,0.36000,0.81960,0.36000,0.18196
0.37018,0.37000,0.77276,0.37000,0.18486
0.38018,0.38000,0.72819,0.38000,0.18718
0.39019,0.39000,0.68630,0.39000,0.18887
0.40019,0.40000,0.64744,0.40000,0.18993
0.41019,0.41000,0.61189,0.41000,0.19037
0.42020,0.42000,0.57981,0.42000,0.19023
0.43020,0.43000,0.55127,0.43000,0.18961
0.44021,0.44000,0.52622,0.44000,0.18859
0.45021,0.45000,0.50448,0.45000,0.18730
0.46022,0.46000,0.48574,0.46000,0.18589
0.47022,0.47000,0.46961,0.47000,0.18451
0.48023,0.48000,0.45561,0.48000,0.18333
0.49023,0.49000,0.44321,0.49000,0.18250
0.50024,0.50000,0.43189,0.50000,0.18217
0.51024,0.51000,0.42116,0.51000,0.18243
0.52025,0.52000,0.41062,0.52000,0.18333
0.53025,0.53000,0.39998,0.53000,0.18486
0.54026,0.54000,0.38904,0.54000,0.18695
0.55026,0.55000,0.37776,0.55000,0.18946
0.56027,0.56000,0.36617,0.56000,0.19222
0.57027,0.57000,0.35440,0.57000,0.19503
0.58028,0.58000,0.34260,0.58000,0.19768
0.59028,0.59000,0.33098,0.59000,0.20001
0.60029,0.60000,0.31973,0.60000,0.20185
0.61029,0.61000,0.30903,0.61000,0.20309
0.62029,0.62000,0.29902,0.62000,0.20369
0.63030,0.63000,0.28981,0.63000,0.20363
0.64030,0.64000,0.28144,0.64000,0.20294
0.65031,0.65000,0.27395,0.65000,0.20165
0.66031,0.66000,0.26731,0.66000,0.19982
0.67032,0.67000,0.26148,0.67000,0.19748
0.68032,0.68000,0.25640,0.68000,0.19467
0.69033,0.69000,0.25199,0.69000,0.19140
0.70033,0.70000,0.24816,0.70000,0.18770
0.71034,0.71000,0.24482,0.71000,0.18361
0.72034,0.72000,0.24186,0.72000,0.17917
0.73035,0.73000,0.23919,0.73000,0.17446
0.74035,0.74000,0.23669,0.74000,0.16959
0.75036,0.75000,0.23428,0.75000,0.16469
0.76036,0.76000,0.23185,0.76000,0.15992
0.77037,0.77000,0.22931,0.77000,0.15542
0.78037,0.78000,0.22661,0.78000,0.15134
0.79038,0.79000,0.22368,0.79000,0.14781
0.80038,0.80000,0.22051,0.80000,0.14493
0.81038,0.81000,0.21712,0.81000,0.14275
0.82039,0.82000,0.21355,0.82000,0.14127
0.83039,0.83000,0.20987,0.83000,0.14046
0.84040,0.84000,0.20616,0.84000,0.14021
0.85040,0.85000,0.20252,0.85000,0.14039
0.86041,0.86000,0.19902,0.86000,0.14084
0.87041,0.87000,0.19571,0.87000,0.14137
0.88042,0.88000,0.19263,0.88000,0.14175
0.89042,0.89000,0.18976,0.89000,0.14177
0.90043,0.90000,0.18708,0.90000,0.14121
0.91043,0.91000,0.18453,0.91000,0.13985
0.92044,0.92000,0.18208,0.92000,0.13753
0.93044,0.93000,0.17964,0.93000,0.13412
0.94045,0.94000,0.17719,0.94000,0.12955
0.95045,0.95000,0.17467,0.95000,0.12384
0.96046,0.96000,0.17208,0.96000,0.11706
0.97046,0.97000,0.16939,0.97000,0.10936
0.98047,0.98000,0.16661,0.98000,0.10094
0.99047,0.99000,0.16372,0.99000,0.09205
1.00047,1.00000,0.16072,1.00000,0.08296
1.01048,1.01000,0.15760,1.01000,0.07392
1.02048,1.02000,0.15438,1.02000,0.06519
1.03049,1.03000,0.15103,1.03000,0.05701
1.04049,1.04000,0.14758,1.04000,0.04955
1.05050,1.05000,0.14401,1.05000,0.04299
1.06050,1.06000,0.14034,1.06000,0.03744
1.07051,1.07000,0.13656,1.07000,0.03297
1.08051,1.08000,0.13267,1.08000,0.02965
1.09052,1.09000,0.12866,1.09000,0.02749
1.10052,1.10000,0.12454,1.10000,0.02649
1.11053,1.11000,0.12033,1.11000,0.02659
1.12053,1.12000,0.11602,1.12000,0.02775
1.13054,1.13000,0.11166,1.13000,0.02984
1.14054,1.14000,0.10728,1.14000,0.03275
1.15055,1.15000,0.10294,1.15000,0.03632
1.16055,1.16000,0.09866,1.16000,0.04040
1.17056,1.17000,0.09451,1.17000,0.04482
1.18056,1.18000,0.09052,1.18000,0.04940
1.19057,1.19000,0.08672,1.19000,0.05399
1.20057,1.20000,0.08314,1.20000,0.05843
1.21057,1.21000,0.07979,1.21000,0.06259
1.22058,1.22000,0.07670,1.22000,0.06638
1.23058,1.23000,0.07387,1.23000,0.06976
1.24059,1.24000,0.07134,1.24000,0.07273
1.25059,1.25000,0.06913,1.25000,0.07531
1.26060,1.26000,0.06724,1.26000,0.07757
1.27060,1.27000,0.06571,1.27000,0.07955
1.28061,1.28000,0.06452,1.28000,0.08130
1.29061,1.29000,0.06366,1.29000,0.08279
1.30062,1.30000,0.06310,1.30000,0.08399
1.31062,1.31000,0.06283,1.31000,0.08479
1.32063,1.32000,0.06283,1.32000,0.08509
1.33063,1.33000,0.06307,1.33000,0.08474
1.34064,1.34000,0.06356,1.34000,0.08363
1.35064,1.35000,0.06432,1.35000,0.08163
1.36065,1.36000,0.06536,1.36000,0.07870
1.37065,1.37000,0.06673,1.37000,0.07482
1.38066,1.38000,0.06841,1.38000,0.07002
1.39066,1.39000,0.07040,1.39000,0.06439
1.40066,1.40000,0.07267,1.40000,0.05808
1.41067,1.41000,0.07512,1.41000,0.05126
1.42067,1.42000,0.07767,1.42000,0.04413
1.43068,1.43000,0.08021,1.43000,0.03692
1.44068,1.44000,0.08263,1.44000,0.02982
1.45069,1.45000,0.08485,1.45000,0.02308
1.46069,1.46000,0.08680,1.46000,0.01689
1.47070,1.47000,0.08845,1.47000,0.01147
1.48070,1.48000,0.08979,1.48000,0.00697
1.49071,1.49000,0.09084,1.49000,0.00356
1.50071,1.50000,0.09163,1.50000,0.00132
1.51072,1.51000,0.09225,1.51000,0.00029
1.52072,1.52000,0.09276,1.52000,0.00043
1.53073,1.53000,0.09324,1.53000,0.00166
1.54073,1.54000,0.09375,1.54000,0.00382
1.55074,1.55000,0.09434,1.55000,0.00668
1.56074,1.56000,0.09504,1.56000,0.00997
1.57075,1.57000,0.09581,1.57000,0.01338
1.58075,1.58000,0.09662,1.58000,0.01658
1.59075,1.59000,0.09737,1.59000,0.01923
1.60076,1.60000,0.09794,1.60000,0.02100
1.61076,1.61000,0.09818,1.61000,0.02162
1.62077,1.62000,0.09795,1.62000,0.02091
1.63077,1.63000,0.09711,1.63000,0.01875
1.64078,1.64000,0.09554,1.64000,0.01515
1.65078,1.65000,0.09318,1.65000,0.01022
1.66079,1.66000,0.09000,1.66000,0.00415
1.67079,1.67000,0.08605,1.67000,-0.00276
1.68080,1.68000,0.08141,1.68000,-0.01018
