Tiempo;Evento
2.95;Posición inicial
4.8;< Contacto inicial derecho
4.88;> Despegue izquierdo
5.33;< Contacto inicial izquierdo
5.39;> Despegue derecho
5.86;< Contacto inicial derecho
5.94;> Despegue izquierdo
6.35;< Contacto inicial izquierdo
6.42;> Despegue derecho
6.87;< Contacto inicial derecho
6.95;> Despegue izquierdo
7.38;< Contacto inicial izquierdo
7.45;> Despegue derecho
7.89;< Contacto inicial derecho
7.97;> Despegue izquierdo
8.39;< Contacto inicial izquierdo
8.46;> Despegue derecho
8.91;< Contacto inicial derecho
9;> Despegue izquierdo
9.43;< Contacto inicial izquierdo
9.5;> Despegue derecho
9.95;< Contacto inicial derecho
10.03;> Despegue izquierdo
10.45;< Contacto inicial izquierdo
10.52;> Despegue derecho
10.97;< Contacto inicial derecho
11.05;> Despegue izquierdo
11.48;< Contacto inicial izquierdo
11.55;> Despegue derecho
12.03;< Contacto inicial derecho
12.11;> Despegue izquierdo
12.53;< Contacto inicial izquierdo
12.61;> Despegue derecho
13.09;< Contacto inicial derecho
13.18;> Despegue izquierdo
13.62;< Contacto inicial izquierdo
13.71;> Despegue derecho
14.03;< Contacto inicial derecho
14.12;> Despegue izquierdo
15.43;< Contacto inicial derecho
15.51;> Despegue izquierdo
15.95;< Contacto inicial izquierdo
16.03;> Despegue derecho
16.52;< Contacto inicial derecho
16.6;> Despegue izquierdo
17;< Contacto inicial izquierdo
17.07;> Despegue derecho
17.55;< Contacto inicial derecho
17.63;> Despegue izquierdo
18.05;< Contacto inicial izquierdo
18.12;> Despegue derecho
18.61;< Contacto inicial derecho
18.69;> Despegue izquierdo
19.09;< Contacto inicial izquierdo
19.16;> Despegue derecho
19.65;< Contacto inicial derecho
19.73;> Despegue izquierdo
20.13;< Contacto inicial izquierdo
20.2;> Despegue derecho
20.7;< Contacto inicial derecho
20.78;> Despegue izquierdo
21.18;< Contacto inicial izquierdo
21.25;> Despegue derecho
21.73;< Contacto inicial derecho
21.81;> Despegue izquierdo
22.2;< Contacto inicial izquierdo
22.27;> Despegue derecho
22.76;< Contacto inicial derecho
22.85;> Despegue izquierdo
23.25;< Contacto inicial izquierdo
23.33;> Despegue derecho
23.83;< Contacto inicial derecho
23.93;> Despegue izquierdo
24.08;< Contacto inicial izquierdo
24.26;> Despegue derecho
25.15;< Contacto inicial izquierdo
25.39;> Despegue derecho
26.12;< Contacto inicial derecho
26.19;> Despegue izquierdo
26.59;< Contacto inicial izquierdo
26.66;> Despegue derecho
27.18;< Contacto inicial derecho
27.26;> Despegue izquierdo
27.66;< Contacto inicial izquierdo
27.73;> Despegue derecho
28.26;< Contacto inicial derecho
28.33;> Despegue izquierdo
28.72;< Contacto inicial izquierdo
28.79;> Despegue derecho
29.3;< Contacto inicial derecho
29.38;> Despegue izquierdo
29.77;< Contacto inicial izquierdo
29.84;> Despegue derecho
30.34;< Contacto inicial derecho
30.42;> Despegue izquierdo
30.81;< Contacto inicial izquierdo
30.88;> Despegue derecho
31.38;< Contacto inicial derecho
31.46;> Despegue izquierdo
31.85;< Contacto inicial izquierdo
31.92;> Despegue derecho
32.42;< Contacto inicial derecho
32.5;> Despegue izquierdo
32.9;< Contacto inicial izquierdo
32.97;> Despegue derecho
33.47;< Contacto inicial derecho
33.55;> Despegue izquierdo
33.95;< Contacto inicial izquierdo
34.02;> Despegue derecho
34.53;< Contacto inicial derecho
34.62;> Despegue izquierdo
35.02;< Contacto inicial izquierdo
35.09;> Despegue derecho
35.5;< Contacto inicial derecho
35.69;> Despegue izquierdo
36.85;< Contacto inicial derecho
36.93;> Despegue izquierdo
37.32;< Contacto inicial izquierdo
37.4;> Despegue derecho
37.91;< Contacto inicial derecho
37.99;> Despegue izquierdo
38.38;< Contacto inicial izquierdo
38.45;> Despegue derecho
38.94;< Contacto inicial derecho
39.02;> Despegue izquierdo
39.41;< Contacto inicial izquierdo
39.49;> Despegue derecho
39.99;< Contacto inicial derecho
40.07;> Despegue izquierdo
40.47;< Contacto inicial izquierdo
40.55;> Despegue derecho
41.03;< Contacto inicial derecho
41.11;> Despegue izquierdo
41.52;< Contacto inicial izquierdo
41.59;> Despegue derecho
42.08;< Contacto inicial derecho
42.16;> Despegue izquierdo
42.55;< Contacto inicial izquierdo
42.62;> Despegue derecho
43.12;< Contacto inicial derecho
43.2;> Despegue izquierdo
43.61;< Contacto inicial izquierdo
43.68;> Despegue derecho
44.16;< Contacto inicial derecho
44.25;> Despegue izquierdo
44.66;< Contacto inicial izquierdo
44.74;> Despegue derecho
45.21;< Contacto inicial derecho
45.3;> Despegue izquierdo
45.72;< Contacto inicial izquierdo
45.8;> Despegue derecho
46.68;< Contacto inicial izquierdo
46.83;> Despegue derecho
47.48;< Contacto inicial derecho
47.55;> Despegue izquierdo
47.98;< Contacto inicial izquierdo
48.06;> Despegue derecho
48.55;< Contacto inicial derecho
48.63;> Despegue izquierdo
49.05;< Contacto inicial izquierdo
49.13;> Despegue derecho
49.63;< Contacto inicial derecho
49.71;> Despegue izquierdo
50.12;< Contacto inicial izquierdo
50.19;> Despegue derecho
50.67;< Contacto inicial derecho
50.75;> Despegue izquierdo
51.16;< Contacto inicial izquierdo
51.24;> Despegue derecho
51.71;< Contacto inicial derecho
51.79;> Despegue izquierdo
52.2;< Contacto inicial izquierdo
52.27;> Despegue derecho
52.73;< Contacto inicial derecho
52.81;> Despegue izquierdo
53.22;< Contacto inicial izquierdo
53.29;> Despegue derecho
53.77;< Contacto inicial derecho
53.85;> Despegue izquierdo
54.27;< Contacto inicial izquierdo
54.34;> Despegue derecho
54.82;< Contacto inicial derecho
54.9;> Despegue izquierdo
55.3;< Contacto inicial izquierdo
55.37;> Despegue derecho
55.87;< Contacto inicial derecho
55.95;> Despegue izquierdo
56.4;< Contacto inicial izquierdo
56.49;> Despegue derecho
56.93;< Contacto inicial derecho
57.16;> Despegue izquierdo
58.3;< Contacto inicial derecho
58.37;> Despegue izquierdo
58.77;< Contacto inicial izquierdo
58.85;> Despegue derecho
59.35;< Contacto inicial derecho
59.43;> Despegue izquierdo
59.86;< Contacto inicial izquierdo
59.93;> Despegue derecho
60.42;< Contacto inicial derecho
60.5;> Despegue izquierdo
60.89;< Contacto inicial izquierdo
60.97;> Despegue derecho
61.44;< Contacto inicial derecho
61.52;> Despegue izquierdo
61.94;< Contacto inicial izquierdo
62.01;> Despegue derecho
62.49;< Contacto inicial derecho
62.57;> Despegue izquierdo
62.99;< Contacto inicial izquierdo
63.06;> Despegue derecho
