Tiempo,Flexo-extensión torso_X,Flexo-extensión torso_Y,Flexión lateral torso_X,Flexión lateral torso_Y,Rotación torso_X,Rotación torso_Y,Inclinación torso_X,Inclinación torso_Y
0.00000,0.00000,0.27301,0.00000,-0.22413,0.00000,-0.39573,0.00000,0.35214
0.01000,0.01000,0.26949,0.01000,-0.22264,0.01000,-0.38916,0.01000,0.34853
0.02000,0.02000,0.26550,0.02000,-0.22052,0.02000,-0.38171,0.02000,0.34415
0.03000,0.03000,0.26109,0.03000,-0.21773,0.03000,-0.37357,0.03000,0.33903
0.04001,0.04000,0.25630,0.04000,-0.21426,0.04000,-0.36496,0.04000,0.33319
0.05001,0.05000,0.25115,0.05000,-0.21016,0.05000,-0.35612,0.05000,0.32666
0.06001,0.06000,0.24566,0.06000,-0.20552,0.06000,-0.34726,0.06000,0.31952
0.07001,0.07000,0.23980,0.07000,-0.20045,0.07000,-0.33860,0.07000,0.31183
0.08001,0.08000,0.23359,0.08000,-0.19510,0.08000,-0.33029,0.08000,0.30367
0.09001,0.09000,0.22701,0.09000,-0.18961,0.09000,-0.32246,0.09000,0.29514
0.10001,0.10000,0.22012,0.10000,-0.18412,0.10000,-0.31520,0.10000,0.28636
0.11002,0.11000,0.21300,0.11000,-0.17876,0.11000,-0.30856,0.11000,0.27747
0.12002,0.12000,0.20579,0.12000,-0.17361,0.12000,-0.30253,0.12000,0.26863
0.13002,0.13000,0.19869,0.13000,-0.16872,0.13000,-0.29711,0.13000,0.26003
0.14002,0.14000,0.19189,0.14000,-0.16411,0.14000,-0.29223,0.14000,0.25184
0.15002,0.15000,0.18563,0.15000,-0.15977,0.15000,-0.28780,0.15000,0.24422
0.16002,0.16000,0.18009,0.16000,-0.15565,0.16000,-0.28372,0.16000,0.23731
0.17002,0.17000,0.17541,0.17000,-0.15170,0.17000,-0.27986,0.17000,0.23117
0.18003,0.18000,0.17168,0.18000,-0.14785,0.18000,-0.27607,0.18000,0.22586
0.19003,0.19000,0.16894,0.19000,-0.14404,0.19000,-0.27221,0.19000,0.22135
0.20003,0.20000,0.16715,0.20000,-0.14019,0.20000,-0.26813,0.20000,0.21761
0.21003,0.21000,0.16625,0.21000,-0.13624,0.21000,-0.26372,0.21000,0.21454
0.22003,0.22000,0.16612,0.22000,-0.13216,0.22000,-0.25885,0.22000,0.21204
0.23003,0.23000,0.16661,0.23000,-0.12791,0.23000,-0.25346,0.23000,0.20998
0.24003,0.24000,0.16755,0.24000,-0.12349,0.24000,-0.24749,0.24000,0.20823
0.25004,0.25000,0.16873,0.25000,-0.11889,0.25000,-0.24093,0.25000,0.20663
0.26004,0.26000,0.16996,0.26000,-0.11417,0.26000,-0.23380,0.26000,0.20503
0.27004,0.27000,0.17101,0.27000,-0.10934,0.27000,-0.22615,0.27000,0.20328
0.28004,0.28000,0.17170,0.28000,-0.10447,0.28000,-0.21808,0.28000,0.20124
0.29004,0.29000,0.17183,0.29000,-0.09962,0.29000,-0.20970,0.29000,0.19878
0.30004,0.30000,0.17125,0.30000,-0.09484,0.30000,-0.20113,0.30000,0.19579
0.31004,0.31000,0.16984,0.31000,-0.09018,0.31000,-0.19250,0.31000,0.19219
0.32005,0.32000,0.16757,0.32000,-0.08568,0.32000,-0.18395,0.32000,0.18797
0.33005,0.33000,0.16447,0.33000,-0.08138,0.33000,-0.17559,0.33000,0.18317
0.34005,0.34000,0.16067,0.34000,-0.07729,0.34000,-0.16753,0.34000,0.17790
0.35005,0.35000,0.15639,0.35000,-0.07344,0.35000,-0.15988,0.35000,0.17235
0.36005,0.36000,0.15191,0.36000,-0.06982,0.36000,-0.15273,0.36000,0.16678
0.37005,0.37000,0.14755,0.37000,-0.06647,0.37000,-0.14616,0.37000,0.16149
0.38005,0.38000,0.14368,0.38000,-0.06339,0.38000,-0.14027,0.38000,0.15677
0.39006,0.39000,0.14059,0.39000,-0.06063,0.39000,-0.13516,0.39000,0.15293
0.40006,0.40000,0.13855,0.40000,-0.05820,0.40000,-0.13090,0.40000,0.15019
0.41006,0.41000,0.13773,0.41000,-0.05614,0.41000,-0.12760,0.41000,0.14872
0.42006,0.42000,0.13821,0.42000,-0.05449,0.42000,-0.12533,0.42000,0.14861
0.43006,0.43000,0.13997,0.43000,-0.05325,0.43000,-0.12414,0.43000,0.14983
0.44006,0.44000,0.14291,0.44000,-0.05240,0.44000,-0.12405,0.44000,0.15229
0.45006,0.45000,0.14686,0.45000,-0.05192,0.45000,-0.12504,0.45000,0.15584
0.46007,0.46000,0.15162,0.46000,-0.05172,0.46000,-0.12706,0.46000,0.16025
0.47007,0.47000,0.15699,0.47000,-0.05169,0.47000,-0.13001,0.47000,0.16532
0.48007,0.48000,0.16277,0.48000,-0.05172,0.48000,-0.13379,0.48000,0.17082
0.49007,0.49000,0.16877,0.49000,-0.05168,0.49000,-0.13823,0.49000,0.17654
0.50007,0.50000,0.17482,0.50000,-0.05147,0.50000,-0.14320,0.50000,0.18230
0.51007,0.51000,0.18077,0.51000,-0.05101,0.51000,-0.14852,0.51000,0.18792
0.52007,0.52000,0.18648,0.52000,-0.05027,0.52000,-0.15402,0.52000,0.19325
0.53008,0.53000,0.19178,0.53000,-0.04926,0.53000,-0.15953,0.53000,0.19814
0.54008,0.54000,0.19651,0.54000,-0.04804,0.54000,-0.16490,0.54000,0.20244
0.55008,0.55000,0.20052,0.55000,-0.04671,0.55000,-0.16998,0.55000,0.20602
0.56008,0.56000,0.20367,0.56000,-0.04536,0.56000,-0.17463,0.56000,0.20876
0.57008,0.57000,0.20585,0.57000,-0.04413,0.57000,-0.17874,0.57000,0.21059
0.58008,0.58000,0.20701,0.58000,-0.04313,0.58000,-0.18224,0.58000,0.21147
0.59008,0.59000,0.20716,0.59000,-0.04244,0.59000,-0.18508,0.59000,0.21146
0.60009,0.60000,0.20641,0.60000,-0.04213,0.60000,-0.18724,0.60000,0.21065
0.61009,0.61000,0.20490,0.61000,-0.04222,0.61000,-0.18871,0.61000,0.20919
0.62009,0.62000,0.20283,0.62000,-0.04269,0.62000,-0.18950,0.62000,0.20727
0.63009,0.63000,0.20040,0.63000,-0.04350,0.63000,-0.18966,0.63000,0.20508
0.64009,0.64000,0.19782,0.64000,-0.04456,0.64000,-0.18920,0.64000,0.20279
0.65009,0.65000,0.19524,0.65000,-0.04575,0.65000,-0.18816,0.65000,0.20053
0.66009,0.66000,0.19276,0.66000,-0.04696,0.66000,-0.18659,0.66000,0.19838
0.67010,0.67000,0.19044,0.67000,-0.04806,0.67000,-0.18455,0.67000,0.19634
0.68010,0.68000,0.18823,0.68000,-0.04894,0.68000,-0.18210,0.68000,0.19437
0.69010,0.69000,0.18606,0.69000,-0.04951,0.69000,-0.17933,0.69000,0.19237
0.70010,0.70000,0.18384,0.70000,-0.04970,0.70000,-0.17637,0.70000,0.19022
0.71010,0.71000,0.18146,0.71000,-0.04946,0.71000,-0.17334,0.71000,0.18783
0.72010,0.72000,0.17883,0.72000,-0.04875,0.72000,-0.17039,0.72000,0.18510
0.73010,0.73000,0.17594,0.73000,-0.04758,0.73000,-0.16766,0.73000,0.18202
0.74011,0.74000,0.17281,0.74000,-0.04595,0.74000,-0.16531,0.74000,0.17862
0.75011,0.75000,0.16953,0.75000,-0.04390,0.75000,-0.16345,0.75000,0.17500
0.76011,0.76000,0.16626,0.76000,-0.04146,0.76000,-0.16217,0.76000,0.17131
0.77011,0.77000,0.16315,0.77000,-0.03872,0.77000,-0.16151,0.77000,0.16773
0.78011,0.78000,0.16037,0.78000,-0.03574,0.78000,-0.16145,0.78000,0.16445
0.79011,0.79000,0.15807,0.79000,-0.03265,0.79000,-0.16193,0.79000,0.16162
0.80011,0.80000,0.15634,0.80000,-0.02955,0.80000,-0.16281,0.80000,0.15936
0.81012,0.81000,0.15521,0.81000,-0.02655,0.81000,-0.16393,0.81000,0.15772
0.82012,0.82000,0.15465,0.82000,-0.02377,0.82000,-0.16512,0.82000,0.15668
0.83012,0.83000,0.15457,0.83000,-0.02128,0.83000,-0.16619,0.83000,0.15619
0.84012,0.84000,0.15487,0.84000,-0.01914,0.84000,-0.16697,0.84000,0.15614
0.85012,0.85000,0.15539,0.85000,-0.01739,0.85000,-0.16732,0.85000,0.15637
0.86012,0.86000,0.15597,0.86000,-0.01603,0.86000,-0.16710,0.86000,0.15674
0.87012,0.87000,0.15649,0.87000,-0.01507,0.87000,-0.16623,0.87000,0.15710
0.88013,0.88000,0.15680,0.88000,-0.01446,0.88000,-0.16462,0.88000,0.15733
0.89013,0.89000,0.15683,0.89000,-0.01417,0.89000,-0.16220,0.89000,0.15732
0.90013,0.90000,0.15652,0.90000,-0.01415,0.90000,-0.15894,0.90000,0.15702
0.91013,0.91000,0.15587,0.91000,-0.01434,0.91000,-0.15478,0.91000,0.15641
0.92013,0.92000,0.15490,0.92000,-0.01468,0.92000,-0.14974,0.92000,0.15550
0.93013,0.93000,0.15370,0.93000,-0.01510,0.93000,-0.14382,0.93000,0.15438
0.94013,0.94000,0.15237,0.94000,-0.01554,0.94000,-0.13709,0.94000,0.15312
0.95014,0.95000,0.15100,0.95000,-0.01594,0.95000,-0.12961,0.95000,0.15182
0.96014,0.96000,0.14972,0.96000,-0.01622,0.96000,-0.12151,0.96000,0.15059
0.97014,0.97000,0.14857,0.97000,-0.01637,0.97000,-0.11291,0.97000,0.14949
0.98014,0.98000,0.14763,0.98000,-0.01634,0.98000,-0.10395,0.98000,0.14856
0.99014,0.99000,0.14687,0.99000,-0.01614,0.99000,-0.09477,0.99000,0.14780
1.00014,1.00000,0.14629,1.00000,-0.01578,1.00000,-0.08551,1.00000,0.14719
1.01014,1.01000,0.14582,1.01000,-0.01529,1.01000,-0.07631,1.01000,0.14668
1.02015,1.02000,0.14540,1.02000,-0.01473,1.02000,-0.06731,1.02000,0.14621
1.03015,1.03000,0.14498,1.03000,-0.01414,1.03000,-0.05862,1.03000,0.14574
1.04015,1.04000,0.14451,1.04000,-0.01357,1.04000,-0.05039,1.04000,0.14522
1.05015,1.05000,0.14398,1.05000,-0.01306,1.05000,-0.04272,1.05000,0.14464
1.06015,1.06000,0.14341,1.06000,-0.01262,1.06000,-0.03574,1.06000,0.14403
1.07015,1.07000,0.14286,1.07000,-0.01227,1.07000,-0.02956,1.07000,0.14346
1.08015,1.08000,0.14246,1.08000,-0.01199,1.08000,-0.02426,1.08000,0.14303
1.09016,1.09000,0.14233,1.09000,-0.01176,1.09000,-0.01994,1.09000,0.14289
1.10016,1.10000,0.14266,1.10000,-0.01157,1.10000,-0.01663,1.10000,0.14320
1.11016,1.11000,0.14360,1.11000,-0.01139,1.11000,-0.01434,1.11000,0.14412
1.12016,1.12000,0.14529,1.12000,-0.01122,1.12000,-0.01304,1.12000,0.14579
1.13016,1.13000,0.14782,1.13000,-0.01105,1.13000,-0.01262,1.13000,0.14830
