Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,-0.16827,0.00000,0.29795
0.01000,0.01000,-0.17845,0.01000,0.28575
0.02000,0.02000,-0.19021,0.02000,0.27071
0.03000,0.03000,-0.20325,0.03000,0.25284
0.04001,0.04000,-0.21720,0.04000,0.23229
0.05001,0.05000,-0.23161,0.05000,0.20928
0.06001,0.06000,-0.24599,0.06000,0.18412
0.07001,0.07000,-0.25985,0.07000,0.15718
0.08001,0.08000,-0.27274,0.08000,0.12889
0.09001,0.09000,-0.28427,0.09000,0.09972
0.10002,0.10000,-0.29411,0.10000,0.07013
0.11002,0.11000,-0.30207,0.11000,0.04062
0.12002,0.12000,-0.30802,0.12000,0.01167
0.13002,0.13000,-0.31198,0.13000,-0.01628
0.14002,0.14000,-0.31402,0.14000,-0.04280
0.15002,0.15000,-0.31434,0.15000,-0.06753
0.16002,0.16000,-0.31314,0.16000,-0.09019
0.17003,0.17000,-0.31069,0.17000,-0.11058
0.18003,0.18000,-0.30727,0.18000,-0.12862
0.19003,0.19000,-0.30313,0.19000,-0.14436
0.20003,0.20000,-0.29852,0.20000,-0.15793
0.21003,0.21000,-0.29367,0.21000,-0.16960
0.22003,0.22000,-0.28876,0.22000,-0.17972
0.23003,0.23000,-0.28394,0.23000,-0.18867
0.24004,0.24000,-0.27936,0.24000,-0.19689
0.25004,0.25000,-0.27511,0.25000,-0.20479
0.26004,0.26000,-0.27129,0.26000,-0.21272
0.27004,0.27000,-0.26797,0.27000,-0.22100
0.28004,0.28000,-0.26522,0.28000,-0.22985
0.29004,0.29000,-0.26310,0.29000,-0.23939
0.30004,0.30000,-0.26164,0.30000,-0.24967
0.31005,0.31000,-0.26085,0.31000,-0.26066
0.32005,0.32000,-0.26075,0.32000,-0.27227
0.33005,0.33000,-0.26127,0.33000,-0.28434
0.34005,0.34000,-0.26237,0.34000,-0.29667
0.35005,0.35000,-0.26393,0.35000,-0.30902
0.36005,0.36000,-0.26584,0.36000,-0.32114
0.37005,0.37000,-0.26795,0.37000,-0.33274
0.38006,0.38000,-0.27009,0.38000,-0.34357
0.39006,0.39000,-0.27209,0.39000,-0.35334
0.40006,0.40000,-0.27380,0.40000,-0.36185
0.41006,0.41000,-0.27504,0.41000,-0.36891
0.42006,0.42000,-0.27571,0.42000,-0.37439
0.43006,0.43000,-0.27572,0.43000,-0.37826
0.44007,0.44000,-0.27503,0.44000,-0.38055
0.45007,0.45000,-0.27364,0.45000,-0.38140
0.46007,0.46000,-0.27164,0.46000,-0.38101
0.47007,0.47000,-0.26912,0.47000,-0.37965
0.48007,0.48000,-0.26625,0.48000,-0.37767
0.49007,0.49000,-0.26319,0.49000,-0.37542
0.50007,0.50000,-0.26012,0.50000,-0.37327
0.51008,0.51000,-0.25718,0.51000,-0.37149
0.52008,0.52000,-0.25450,0.52000,-0.37029
0.53008,0.53000,-0.25215,0.53000,-0.36975
0.54008,0.54000,-0.25015,0.54000,-0.36978
0.55008,0.55000,-0.24851,0.55000,-0.37018
0.56008,0.56000,-0.24718,0.56000,-0.37061
0.57008,0.57000,-0.24612,0.57000,-0.37069
0.58009,0.58000,-0.24530,0.58000,-0.37001
0.59009,0.59000,-0.24469,0.59000,-0.36819
0.60009,0.60000,-0.24429,0.60000,-0.36494
0.61009,0.61000,-0.24412,0.61000,-0.36009
0.62009,0.62000,-0.24421,0.62000,-0.35358
0.63009,0.63000,-0.24459,0.63000,-0.34553
0.64009,0.64000,-0.24527,0.64000,-0.33616
0.65010,0.65000,-0.24622,0.65000,-0.32580
0.66010,0.66000,-0.24739,0.66000,-0.31484
0.67010,0.67000,-0.24869,0.67000,-0.30372
0.68010,0.68000,-0.25000,0.68000,-0.29284
0.69010,0.69000,-0.25117,0.69000,-0.28255
0.70010,0.70000,-0.25207,0.70000,-0.27314
0.71011,0.71000,-0.25256,0.71000,-0.26477
0.72011,0.72000,-0.25255,0.72000,-0.25752
0.73011,0.73000,-0.25197,0.73000,-0.25136
0.74011,0.74000,-0.25077,0.74000,-0.24619
0.75011,0.75000,-0.24896,0.75000,-0.24184
0.76011,0.76000,-0.24657,0.76000,-0.23812
0.77011,0.77000,-0.24369,0.77000,-0.23482
0.78012,0.78000,-0.24040,0.78000,-0.23173
0.79012,0.79000,-0.23683,0.79000,-0.22866
0.80012,0.80000,-0.23311,0.80000,-0.22545
0.81012,0.81000,-0.22938,0.81000,-0.22200
0.82012,0.82000,-0.22575,0.82000,-0.21824
0.83012,0.83000,-0.22230,0.83000,-0.21417
0.84012,0.84000,-0.21907,0.84000,-0.20984
0.85013,0.85000,-0.21606,0.85000,-0.20531
0.86013,0.86000,-0.21319,0.86000,-0.20071
0.87013,0.87000,-0.21038,0.87000,-0.19617
0.88013,0.88000,-0.20745,0.88000,-0.19185
0.89013,0.89000,-0.20427,0.89000,-0.18789
0.90013,0.90000,-0.20064,0.90000,-0.18444
0.91013,0.91000,-0.19642,0.91000,-0.18165
0.92014,0.92000,-0.19148,0.92000,-0.17961
0.93014,0.93000,-0.18573,0.93000,-0.17841
0.94014,0.94000,-0.17913,0.94000,-0.17809
0.95014,0.95000,-0.17170,0.95000,-0.17863
0.96014,0.96000,-0.16350,0.96000,-0.18001
0.97014,0.97000,-0.15465,0.97000,-0.18214
0.98014,0.98000,-0.14532,0.98000,-0.18491
0.99015,0.99000,-0.13568,0.99000,-0.18821
1.00015,1.00000,-0.12594,1.00000,-0.19186
1.01015,1.01000,-0.11631,1.01000,-0.19573
1.02015,1.02000,-0.10700,1.02000,-0.19963
1.03015,1.03000,-0.09818,1.03000,-0.20338
1.04015,1.04000,-0.08999,1.04000,-0.20682
1.05016,1.05000,-0.08255,1.05000,-0.20975
1.06016,1.06000,-0.07591,1.06000,-0.21203
1.07016,1.07000,-0.07009,1.07000,-0.21349
1.08016,1.08000,-0.06504,1.08000,-0.21402
1.09016,1.09000,-0.06070,1.09000,-0.21352
