Tiempo;Evento
2.58;Posición inicial
5.28;< Contacto inicial derecho
5.35;> Despegue izquierdo
5.79;< Contacto inicial izquierdo
5.84;> Despegue derecho
6.26;< Contacto inicial derecho
6.33;> Despegue izquierdo
6.76;< Contacto inicial izquierdo
6.82;> Despegue derecho
7.24;< Contacto inicial derecho
7.31;> Despegue izquierdo
7.76;< Contacto inicial izquierdo
7.82;> Despegue derecho
8.22;< Contacto inicial derecho
8.29;> Despegue izquierdo
8.74;< Contacto inicial izquierdo
8.8;> Despegue derecho
9.22;< Contacto inicial derecho
9.3;> Despegue izquierdo
9.79;< Contacto inicial izquierdo
9.85;> Despegue derecho
10.26;< Contacto inicial derecho
10.34;> Despegue izquierdo
10.83;< Contacto inicial izquierdo
10.89;> Despegue derecho
11.32;< Contacto inicial derecho
11.4;> Despegue izquierdo
11.88;< Contacto inicial izquierdo
11.94;> Despegue derecho
12.37;< Contacto inicial derecho
12.45;> Despegue izquierdo
12.93;< Contacto inicial izquierdo
13;> Despegue derecho
13.41;< Contacto inicial derecho
13.5;> Despegue izquierdo
14.02;< Contacto inicial izquierdo
14.1;> Despegue derecho
14.48;< Contacto inicial derecho
14.66;> Despegue izquierdo
14.92;< Contacto inicial izquierdo
15.05;> Despegue derecho
15.78;< Contacto inicial derecho
15.86;> Despegue izquierdo
16.35;< Contacto inicial izquierdo
16.42;> Despegue derecho
16.85;< Contacto inicial derecho
16.92;> Despegue izquierdo
17.39;< Contacto inicial izquierdo
17.46;> Despegue derecho
17.9;< Contacto inicial derecho
17.98;> Despegue izquierdo
18.45;< Contacto inicial izquierdo
18.52;> Despegue derecho
18.94;< Contacto inicial derecho
19.01;> Despegue izquierdo
19.5;< Contacto inicial izquierdo
19.57;> Despegue derecho
19.98;< Contacto inicial derecho
20.05;> Despegue izquierdo
20.55;< Contacto inicial izquierdo
20.61;> Despegue derecho
21.01;< Contacto inicial derecho
21.08;> Despegue izquierdo
21.58;< Contacto inicial izquierdo
21.65;> Despegue derecho
22.07;< Contacto inicial derecho
22.15;> Despegue izquierdo
22.65;< Contacto inicial izquierdo
22.72;> Despegue derecho
23.15;< Contacto inicial derecho
23.23;> Despegue izquierdo
23.73;< Contacto inicial izquierdo
23.79;> Despegue derecho
24.2;< Contacto inicial derecho
24.28;> Despegue izquierdo
24.8;< Contacto inicial izquierdo
24.88;> Despegue derecho
26.78;< Contacto inicial derecho
26.85;> Despegue izquierdo
27.34;< Contacto inicial izquierdo
27.41;> Despegue derecho
27.86;< Contacto inicial derecho
27.94;> Despegue izquierdo
28.43;< Contacto inicial izquierdo
28.5;> Despegue derecho
28.93;< Contacto inicial derecho
29.01;> Despegue izquierdo
29.48;< Contacto inicial izquierdo
29.55;> Despegue derecho
29.98;< Contacto inicial derecho
30.06;> Despegue izquierdo
30.56;< Contacto inicial izquierdo
30.63;> Despegue derecho
31.02;< Contacto inicial derecho
31.1;> Despegue izquierdo
31.62;< Contacto inicial izquierdo
31.69;> Despegue derecho
32.1;< Contacto inicial derecho
32.18;> Despegue izquierdo
32.68;< Contacto inicial izquierdo
32.75;> Despegue derecho
33.15;< Contacto inicial derecho
33.23;> Despegue izquierdo
33.72;< Contacto inicial izquierdo
33.78;> Despegue derecho
34.18;< Contacto inicial derecho
34.27;> Despegue izquierdo
34.76;< Contacto inicial izquierdo
34.83;> Despegue derecho
35.23;< Contacto inicial derecho
35.32;> Despegue izquierdo
35.89;< Contacto inicial izquierdo
35.98;> Despegue derecho
36.4;< Contacto inicial derecho
36.57;> Despegue izquierdo
36.71;< Contacto inicial izquierdo
36.73;> Despegue derecho
37.8;< Contacto inicial derecho
37.87;> Despegue izquierdo
38.36;< Contacto inicial izquierdo
38.43;> Despegue derecho
