Tiempo,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Flexo-extensión muñeca izquierda_X,Flexo-extensión muñeca izquierda_Y,Abducción-aducción muñeca derecha_X,Abducción-aducción muñeca derecha_Y,Abducción-aducción muñeca izquierda_X,Abducción-aducción muñeca izquierda_Y,Rotación muñeca derecha_X,Rotación muñeca derecha_Y,Rotación muñeca izquierda_X,Rotación muñeca izquierda_Y
0.00000,0.00000,0.03729,0.00000,0.26212,0.00000,-0.29625,0.00000,-0.12456,0.00000,1.13544,0.00000,0.52830
0.01000,0.01000,0.03577,0.01000,0.25683,0.01000,-0.29879,0.01000,-0.12193,0.01000,1.13400,0.01000,0.52807
0.02000,0.02000,0.03418,0.02000,0.25037,0.02000,-0.30122,0.02000,-0.11876,0.02000,1.13165,0.02000,0.52826
0.03000,0.03000,0.03261,0.03000,0.24283,0.03000,-0.30334,0.03000,-0.11515,0.03000,1.12828,0.03000,0.52910
0.04001,0.04000,0.03118,0.04000,0.23443,0.04000,-0.30493,0.04000,-0.11125,0.04000,1.12389,0.04000,0.53082
0.05001,0.05000,0.03001,0.05000,0.22546,0.05000,-0.30579,0.05000,-0.10723,0.05000,1.11852,0.05000,0.53370
0.06001,0.06000,0.02921,0.06000,0.21634,0.06000,-0.30575,0.06000,-0.10332,0.06000,1.11230,0.06000,0.53804
0.07001,0.07000,0.02888,0.07000,0.20753,0.07000,-0.30468,0.07000,-0.09973,0.07000,1.10540,0.07000,0.54414
0.08001,0.08000,0.02906,0.08000,0.19958,0.08000,-0.30248,0.08000,-0.09667,0.08000,1.09805,0.08000,0.55227
0.09001,0.09000,0.02976,0.09000,0.19304,0.09000,-0.29912,0.09000,-0.09430,0.09000,1.09050,0.09000,0.56264
0.10002,0.10000,0.03093,0.10000,0.18843,0.10000,-0.29464,0.10000,-0.09277,0.10000,1.08300,0.10000,0.57529
0.11002,0.11000,0.03250,0.11000,0.18621,0.11000,-0.28913,0.11000,-0.09213,0.11000,1.07578,0.11000,0.59016
0.12002,0.12000,0.03438,0.12000,0.18669,0.12000,-0.28274,0.12000,-0.09241,0.12000,1.06904,0.12000,0.60696
0.13002,0.13000,0.03644,0.13000,0.19005,0.13000,-0.27565,0.13000,-0.09356,0.13000,1.06293,0.13000,0.62523
0.14002,0.14000,0.03859,0.14000,0.19627,0.14000,-0.26809,0.14000,-0.09548,0.14000,1.05753,0.14000,0.64437
0.15002,0.15000,0.04075,0.15000,0.20513,0.15000,-0.26027,0.15000,-0.09804,0.15000,1.05285,0.15000,0.66364
0.16002,0.16000,0.04286,0.16000,0.21625,0.16000,-0.25240,0.16000,-0.10107,0.16000,1.04883,0.16000,0.68228
0.17003,0.17000,0.04490,0.17000,0.22906,0.17000,-0.24465,0.17000,-0.10436,0.17000,1.04530,0.17000,0.69956
0.18003,0.18000,0.04686,0.18000,0.24291,0.18000,-0.23717,0.18000,-0.10771,0.18000,1.04208,0.18000,0.71485
0.19003,0.19000,0.04875,0.19000,0.25705,0.19000,-0.23004,0.19000,-0.11095,0.19000,1.03893,0.19000,0.72770
0.20003,0.20000,0.05059,0.20000,0.27074,0.20000,-0.22331,0.20000,-0.11392,0.20000,1.03562,0.20000,0.73790
0.21003,0.21000,0.05240,0.21000,0.28333,0.21000,-0.21698,0.21000,-0.11654,0.21000,1.03194,0.21000,0.74546
0.22003,0.22000,0.05420,0.22000,0.29429,0.22000,-0.21103,0.22000,-0.11879,0.22000,1.02774,0.22000,0.75066
0.23003,0.23000,0.05600,0.23000,0.30327,0.23000,-0.20544,0.23000,-0.12073,0.23000,1.02296,0.23000,0.75394
0.24004,0.24000,0.05784,0.24000,0.31017,0.24000,-0.20018,0.24000,-0.12249,0.24000,1.01762,0.24000,0.75589
