Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,0.48738,0.00000,-0.45282
0.01001,0.01000,0.47653,0.01000,-0.46492
0.02001,0.02000,0.46288,0.02000,-0.47708
0.03002,0.03000,0.44633,0.03000,-0.48852
0.04003,0.04000,0.42687,0.04000,-0.49842
0.05003,0.05000,0.40459,0.05000,-0.50601
0.06004,0.06000,0.37963,0.06000,-0.51058
0.07004,0.07000,0.35219,0.07000,-0.51157
0.08005,0.08000,0.32249,0.08000,-0.50851
0.09006,0.09000,0.29080,0.09000,-0.50112
0.10006,0.10000,0.25739,0.10000,-0.48921
0.11007,0.11000,0.22255,0.11000,-0.47272
0.12007,0.12000,0.18660,0.12000,-0.45167
0.13008,0.13000,0.14986,0.13000,-0.42619
0.14009,0.14000,0.11266,0.14000,-0.39647
0.15009,0.15000,0.07537,0.15000,-0.36278
0.16010,0.16000,0.03835,0.16000,-0.32546
0.17011,0.17000,0.00198,0.17000,-0.28493
0.18011,0.18000,-0.03337,0.18000,-0.24171
0.19012,0.19000,-0.06733,0.19000,-0.19634
0.20012,0.20000,-0.09954,0.20000,-0.14946
0.21013,0.21000,-0.12966,0.21000,-0.10172
0.22014,0.22000,-0.15740,0.22000,-0.05380
0.23014,0.23000,-0.18249,0.23000,-0.00636
0.24015,0.24000,-0.20468,0.24000,0.03997
0.25015,0.25000,-0.22380,0.25000,0.08464
0.26016,0.26000,-0.23969,0.26000,0.12716
0.27017,0.27000,-0.25223,0.27000,0.16717
0.28017,0.28000,-0.26133,0.28000,0.20443
0.29018,0.29000,-0.26693,0.29000,0.23882
0.30019,0.30000,-0.26903,0.30000,0.27031
0.31019,0.31000,-0.26768,0.31000,0.29899
0.32020,0.32000,-0.26300,0.32000,0.32495
0.33020,0.33000,-0.25521,0.33000,0.34830
0.34021,0.34000,-0.24461,0.34000,0.36908
0.35022,0.35000,-0.23163,0.35000,0.38725
0.36022,0.36000,-0.21676,0.36000,0.40265
0.37023,0.37000,-0.20058,0.37000,0.41505
0.38023,0.38000,-0.18369,0.38000,0.42418
0.39024,0.39000,-0.16670,0.39000,0.42975
0.40025,0.40000,-0.15019,0.40000,0.43157
0.41025,0.41000,-0.13465,0.41000,0.42954
0.42026,0.42000,-0.12048,0.42000,0.42376
0.43027,0.43000,-0.10795,0.43000,0.41445
0.44027,0.44000,-0.09721,0.44000,0.40203
0.45028,0.45000,-0.08829,0.45000,0.38701
0.46028,0.46000,-0.08111,0.46000,0.37002
0.47029,0.47000,-0.07554,0.47000,0.35168
0.48030,0.48000,-0.07138,0.48000,0.33261
0.49030,0.49000,-0.06841,0.49000,0.31338
0.50031,0.50000,-0.06644,0.50000,0.29444
0.51031,0.51000,-0.06531,0.51000,0.27611
0.52032,0.52000,-0.06487,0.52000,0.25860
0.53033,0.53000,-0.06503,0.53000,0.24203
0.54033,0.54000,-0.06569,0.54000,0.22639
0.55034,0.55000,-0.06679,0.55000,0.21166
0.56035,0.56000,-0.06825,0.56000,0.19779
0.57035,0.57000,-0.07004,0.57000,0.18475
0.58036,0.58000,-0.07209,0.58000,0.17252
0.59036,0.59000,-0.07440,0.59000,0.16109
0.60037,0.60000,-0.07692,0.60000,0.15049
0.61038,0.61000,-0.07967,0.61000,0.14070
0.62038,0.62000,-0.08266,0.62000,0.13172
0.63039,0.63000,-0.08590,0.63000,0.12350
0.64039,0.64000,-0.08942,0.64000,0.11602
0.65040,0.65000,-0.09324,0.65000,0.10920
0.66041,0.66000,-0.09737,0.66000,0.10302
0.67041,0.67000,-0.10180,0.67000,0.09745
0.68042,0.68000,-0.10650,0.68000,0.09250
0.69043,0.69000,-0.11137,0.69000,0.08819
0.70043,0.70000,-0.11630,0.70000,0.08458
0.71044,0.71000,-0.12110,0.71000,0.08177
0.72044,0.72000,-0.12557,0.72000,0.07984
0.73045,0.73000,-0.12945,0.73000,0.07887
0.74046,0.74000,-0.13248,0.74000,0.07896
0.75046,0.75000,-0.13442,0.75000,0.08014
0.76047,0.76000,-0.13502,0.76000,0.08244
0.77047,0.77000,-0.13412,0.77000,0.08582
0.78048,0.78000,-0.13161,0.78000,0.09016
0.79049,0.79000,-0.12745,0.79000,0.09530
0.80049,0.80000,-0.12170,0.80000,0.10100
0.81050,0.81000,-0.11446,0.81000,0.10695
0.82051,0.82000,-0.10592,0.82000,0.11281
0.83051,0.83000,-0.09631,0.83000,0.11823
0.84052,0.84000,-0.08586,0.84000,0.12286
0.85052,0.85000,-0.07483,0.85000,0.12642
0.86053,0.86000,-0.06344,0.86000,0.12868
0.87054,0.87000,-0.05192,0.87000,0.12952
0.88054,0.88000,-0.04047,0.88000,0.12892
0.89055,0.89000,-0.02928,0.89000,0.12693
0.90055,0.90000,-0.01852,0.90000,0.12366
0.91056,0.91000,-0.00836,0.91000,0.11927
0.92057,0.92000,0.00104,0.92000,0.11388
0.93057,0.93000,0.00955,0.93000,0.10763
0.94058,0.94000,0.01705,0.94000,0.10059
0.95059,0.95000,0.02343,0.95000,0.09286
0.96059,0.96000,0.02862,0.96000,0.08453
0.97060,0.97000,0.03257,0.97000,0.07576
0.98060,0.98000,0.03528,0.98000,0.06677
0.99061,0.99000,0.03677,0.99000,0.05791
1.00062,1.00000,0.03711,1.00000,0.04956
1.01062,1.01000,0.03641,1.01000,0.04221
1.02063,1.02000,0.03481,1.02000,0.03632
1.03063,1.03000,0.03248,1.03000,0.03234
1.04064,1.04000,0.02962,1.04000,0.03063
1.05065,1.05000,0.02642,1.05000,0.03140
1.06065,1.06000,0.02305,1.06000,0.03474
1.07066,1.07000,0.01963,1.07000,0.04053
1.08067,1.08000,0.01624,1.08000,0.04854
1.09067,1.09000,0.01291,1.09000,0.05837
1.10068,1.10000,0.00962,1.10000,0.06953
1.11068,1.11000,0.00629,1.11000,0.08149
1.12069,1.12000,0.00283,1.12000,0.09369
1.13070,1.13000,-0.00087,1.13000,0.10564
1.14070,1.14000,-0.00490,1.14000,0.11695
1.15071,1.15000,-0.00934,1.15000,0.12732
1.16071,1.16000,-0.01420,1.16000,0.13661
1.17072,1.17000,-0.01948,1.17000,0.14480
1.18073,1.18000,-0.02509,1.18000,0.15195
1.19073,1.19000,-0.03088,1.19000,0.15825
1.20074,1.20000,-0.03668,1.20000,0.16390
1.21075,1.21000,-0.04229,1.21000,0.16913
1.22075,1.22000,-0.04749,1.22000,0.17416
1.23076,1.23000,-0.05210,1.23000,0.17916
1.24076,1.24000,-0.05595,1.24000,0.18427
1.25077,1.25000,-0.05893,1.25000,0.18955
