Tiempo,Rotación pelvis_X,Rotación pelvis_Y,Inclinación pelvis_X,Inclinación pelvis_Y,Oblicuidad pelvis_X,Oblicuidad pelvis_Y
0.00000,0.00000,0.42568,0.00000,0.12330,0.00000,0.11843
0.01000,0.01000,0.42659,0.01000,0.12091,0.01000,0.11905
0.02000,0.02000,0.42749,0.02000,0.11789,0.02000,0.11948
0.03000,0.03000,0.42831,0.03000,0.11424,0.03000,0.11964
0.04001,0.04000,0.42892,0.04000,0.10998,0.04000,0.11949
0.05001,0.05000,0.42920,0.05000,0.10517,0.05000,0.11902
0.06001,0.06000,0.42900,0.06000,0.09987,0.06000,0.11822
0.07001,0.07000,0.42821,0.07000,0.09419,0.07000,0.11714
0.08001,0.08000,0.42669,0.08000,0.08820,0.08000,0.11585
0.09001,0.09000,0.42435,0.09000,0.08200,0.09000,0.11440
0.10002,0.10000,0.42114,0.10000,0.07568,0.10000,0.11289
0.11002,0.11000,0.41703,0.11000,0.06931,0.11000,0.11136
0.12002,0.12000,0.41206,0.12000,0.06290,0.12000,0.10985
0.13002,0.13000,0.40632,0.13000,0.05650,0.13000,0.10837
0.14002,0.14000,0.39994,0.14000,0.05009,0.14000,0.10687
0.15002,0.15000,0.39312,0.15000,0.04367,0.15000,0.10529
0.16002,0.16000,0.38610,0.16000,0.03721,0.16000,0.10358
0.17003,0.17000,0.37914,0.17000,0.03074,0.17000,0.10164
0.18003,0.18000,0.37256,0.18000,0.02427,0.18000,0.09943
0.19003,0.19000,0.36665,0.19000,0.01787,0.19000,0.09693
0.20003,0.20000,0.36170,0.20000,0.01160,0.20000,0.09415
0.21003,0.21000,0.35796,0.21000,0.00558,0.21000,0.09116
0.22003,0.22000,0.35559,0.22000,-0.00011,0.22000,0.08804
0.23003,0.23000,0.35468,0.23000,-0.00537,0.23000,0.08489
0.24004,0.24000,0.35520,0.24000,-0.01018,0.24000,0.08181
0.25004,0.25000,0.35698,0.25000,-0.01450,0.25000,0.07890
0.26004,0.26000,0.35981,0.26000,-0.01837,0.26000,0.07620
0.27004,0.27000,0.36337,0.27000,-0.02186,0.27000,0.07377
0.28004,0.28000,0.36732,0.28000,-0.02503,0.28000,0.07159
0.29004,0.29000,0.37136,0.29000,-0.02801,0.29000,0.06966
0.30005,0.30000,0.37519,0.30000,-0.03088,0.30000,0.06795
0.31005,0.31000,0.37861,0.31000,-0.03373,0.31000,0.06644
0.32005,0.32000,0.38147,0.32000,-0.03664,0.32000,0.06508
0.33005,0.33000,0.38370,0.33000,-0.03968,0.33000,0.06388
0.34005,0.34000,0.38526,0.34000,-0.04286,0.34000,0.06281
0.35005,0.35000,0.38620,0.35000,-0.04621,0.35000,0.06187
0.36005,0.36000,0.38655,0.36000,-0.04969,0.36000,0.06106
0.37006,0.37000,0.38639,0.37000,-0.05328,0.37000,0.06036
0.38006,0.38000,0.38578,0.38000,-0.05690,0.38000,0.05975
0.39006,0.39000,0.38481,0.39000,-0.06049,0.39000,0.05919
0.40006,0.40000,0.38353,0.40000,-0.06397,0.40000,0.05863
0.41006,0.41000,0.38199,0.41000,-0.06727,0.41000,0.05801
0.42006,0.42000,0.38021,0.42000,-0.07032,0.42000,0.05725
0.43006,0.43000,0.37822,0.43000,-0.07309,0.43000,0.05629
