Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,2.09776,0.00000,1.67813
0.01001,0.01000,2.09829,0.01000,1.68001
0.02001,0.02000,2.09887,0.02000,1.68228
0.03002,0.03000,2.09947,0.03000,1.68487
0.04002,0.04000,2.10004,0.04000,1.68764
0.05003,0.05000,2.10052,0.05000,1.69042
0.06003,0.06000,2.10084,0.06000,1.69300
0.07004,0.07000,2.10094,0.07000,1.69513
0.08005,0.08000,2.10077,0.08000,1.69660
0.09005,0.09000,2.10026,0.09000,1.69718
0.10006,0.10000,2.09940,0.10000,1.69671
0.11006,0.11000,2.09815,0.11000,1.69508
0.12007,0.12000,2.09654,0.12000,1.69224
0.13008,0.13000,2.09459,0.13000,1.68821
0.14008,0.14000,2.09237,0.14000,1.68307
0.15009,0.15000,2.08993,0.15000,1.67695
0.16009,0.16000,2.08738,0.16000,1.67002
0.17010,0.17000,2.08480,0.17000,1.66246
0.18010,0.18000,2.08228,0.18000,1.65444
0.19011,0.19000,2.07991,0.19000,1.64612
0.20012,0.20000,2.07776,0.20000,1.63764
0.21012,0.21000,2.07586,0.21000,1.62916
0.22013,0.22000,2.07426,0.22000,1.62080
0.23013,0.23000,2.07296,0.23000,1.61269
0.24014,0.24000,2.07195,0.24000,1.60499
0.25014,0.25000,2.07118,0.25000,1.59785
0.26015,0.26000,2.07061,0.26000,1.59143
0.27016,0.27000,2.07018,0.27000,1.58588
0.28016,0.28000,2.06981,0.28000,1.58134
0.29017,0.29000,2.06942,0.29000,1.57795
0.30017,0.30000,2.06896,0.30000,1.57581
0.31018,0.31000,2.06836,0.31000,1.57500
0.32018,0.32000,2.06759,0.32000,1.57556
0.33019,0.33000,2.06663,0.33000,1.57752
0.34020,0.34000,2.06548,0.34000,1.58081
0.35020,0.35000,2.06419,0.35000,1.58534
0.36021,0.36000,2.06279,0.36000,1.59095
0.37021,0.37000,2.06138,0.37000,1.59743
0.38022,0.38000,2.06002,0.38000,1.60453
0.39022,0.39000,2.05880,0.39000,1.61203
0.40023,0.40000,2.05782,0.40000,1.61970
0.41024,0.41000,2.05714,0.41000,1.62740
0.42024,0.42000,2.05681,0.42000,1.63503
0.43025,0.43000,2.05686,0.43000,1.64257
0.44025,0.44000,2.05729,0.44000,1.65002
0.45026,0.45000,2.05805,0.45000,1.65745
0.46026,0.46000,2.05907,0.46000,1.66487
0.47027,0.47000,2.06027,0.47000,1.67229
0.48028,0.48000,2.06154,0.48000,1.67966
0.49028,0.49000,2.06278,0.49000,1.68688
0.50029,0.50000,2.06392,0.50000,1.69384
0.51029,0.51000,2.06488,0.51000,1.70041
0.52030,0.52000,2.06564,0.52000,1.70649
0.53030,0.53000,2.06620,0.53000,1.71202
0.54031,0.54000,2.06660,0.54000,1.71700
0.55032,0.55000,2.06690,0.55000,1.72147
0.56032,0.56000,2.06716,0.56000,1.72551
0.57033,0.57000,2.06745,0.57000,1.72921
0.58033,0.58000,2.06784,0.58000,1.73265
0.59034,0.59000,2.06836,0.59000,1.73590
0.60035,0.60000,2.06901,0.60000,1.73898
0.61035,0.61000,2.06977,0.61000,1.74187
0.62036,0.62000,2.07061,0.62000,1.74450
0.63036,0.63000,2.07148,0.63000,1.74677
0.64037,0.64000,2.07232,0.64000,1.74858
0.65037,0.65000,2.07311,0.65000,1.74981
0.66038,0.66000,2.07381,0.66000,1.75036
0.67039,0.67000,2.07444,0.67000,1.75019
0.68039,0.68000,2.07502,0.68000,1.74927
0.69040,0.69000,2.07560,0.69000,1.74761
0.70040,0.70000,2.07622,0.70000,1.74525
0.71041,0.71000,2.07691,0.71000,1.74225
0.72041,0.72000,2.07769,0.72000,1.73869
0.73042,0.73000,2.07856,0.73000,1.73469
0.74043,0.74000,2.07949,0.74000,1.73033
0.75043,0.75000,2.08044,0.75000,1.72571
0.76044,0.76000,2.08136,0.76000,1.72093
0.77044,0.77000,2.08220,0.77000,1.71608
0.78045,0.78000,2.08289,0.78000,1.71123
0.79045,0.79000,2.08342,0.79000,1.70645
0.80046,0.80000,2.08377,0.80000,1.70182
0.81047,0.81000,2.08394,0.81000,1.69740
0.82047,0.82000,2.08399,0.82000,1.69325
0.83048,0.83000,2.08398,0.83000,1.68940
0.84048,0.84000,2.08397,0.84000,1.68588
0.85049,0.85000,2.08407,0.85000,1.68268
0.86049,0.86000,2.08435,0.86000,1.67977
0.87050,0.87000,2.08490,0.87000,1.67710
0.88051,0.88000,2.08580,0.88000,1.67459
0.89051,0.89000,2.08707,0.89000,1.67217
0.90052,0.90000,2.08877,0.90000,1.66979
0.91052,0.91000,2.09088,0.91000,1.66742
0.92053,0.92000,2.09340,0.92000,1.66505
0.93053,0.93000,2.09627,0.93000,1.66273
0.94054,0.94000,2.09943,0.94000,1.66054
0.95055,0.95000,2.10281,0.95000,1.65859
