Tiempo,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Flexo-extensión muñeca izquierda_X,Flexo-extensión muñeca izquierda_Y,Abducción-aducción muñeca derecha_X,Abducción-aducción muñeca derecha_Y,Abducción-aducción muñeca izquierda_X,Abducción-aducción muñeca izquierda_Y,Rotación muñeca derecha_X,Rotación muñeca derecha_Y,Rotación muñeca izquierda_X,Rotación muñeca izquierda_Y
0.00000,0.00000,-27.77075,0.00000,-26.74285,0.00000,20.20574,0.00000,38.64599,0.00000,19.15562,0.00000,-25.71435
0.01001,0.01000,-27.71398,0.01000,-26.70382,0.01000,20.24483,0.01000,38.55430,0.01000,19.14912,0.01000,-25.59154
0.02001,0.02000,-27.65044,0.02000,-26.65792,0.02000,20.28844,0.02000,38.45489,0.02000,19.13561,0.02000,-25.45380
0.03001,0.03000,-27.58189,0.03000,-26.60693,0.03000,20.33569,0.03000,38.35146,0.03000,19.11443,0.03000,-25.30630
0.04002,0.04000,-27.51035,0.04000,-26.55341,0.04000,20.38560,0.04000,38.24810,0.04000,19.08548,0.04000,-25.15544
0.05002,0.05000,-27.43787,0.05000,-26.50042,0.05000,20.43711,0.05000,38.14882,0.05000,19.04924,0.05000,-25.00824
0.06003,0.06000,-27.36633,0.06000,-26.45116,0.06000,20.48911,0.06000,38.05718,0.06000,19.00670,0.06000,-24.87157
0.07003,0.07000,-27.29719,0.07000,-26.40848,0.07000,20.54040,0.07000,37.97597,0.07000,18.95916,0.07000,-24.75127
0.08004,0.08000,-27.23142,0.08000,-26.37453,0.08000,20.58975,0.08000,37.90706,0.08000,18.90808,0.08000,-24.65152
0.09004,0.09000,-27.16938,0.09000,-26.35036,0.09000,20.63595,0.09000,37.85133,0.09000,18.85486,0.09000,-24.57437
0.10005,0.10000,-27.11091,0.10000,-26.33584,0.10000,20.67797,0.10000,37.80880,0.10000,18.80070,0.10000,-24.51964
0.11005,0.11000,-27.05534,0.11000,-26.32972,0.11000,20.71506,0.11000,37.77876,0.11000,18.74661,0.11000,-24.48514
0.12006,0.12000,-27.00174,0.12000,-26.32992,0.12000,20.74684,0.12000,37.75992,0.12000,18.69341,0.12000,-24.46713
0.13006,0.13000,-26.94907,0.13000,-26.33391,0.13000,20.77337,0.13000,37.75068,0.13000,18.64183,0.13000,-24.46101
0.14007,0.14000,-26.89638,0.14000,-26.33914,0.14000,20.79509,0.14000,37.74934,0.14000,18.59254,0.14000,-24.46190
0.15007,0.15000,-26.84291,0.15000,-26.34343,0.15000,20.81276,0.15000,37.75428,0.15000,18.54623,0.15000,-24.46531
0.16008,0.16000,-26.78819,0.16000,-26.34522,0.16000,20.82724,0.16000,37.76419,0.16000,18.50352,0.16000,-24.46766
0.17008,0.17000,-26.73204,0.17000,-26.34364,0.17000,20.83941,0.17000,37.77810,0.17000,18.46497,0.17000,-24.46660
0.18009,0.18000,-26.67459,0.18000,-26.33852,0.18000,20.85001,0.18000,37.79541,0.18000,18.43097,0.18000,-24.46115
0.19009,0.19000,-26.61626,0.19000,-26.33014,0.19000,20.85959,0.19000,37.81572,0.19000,18.40180,0.19000,-24.45161
0.20010,0.20000,-26.55771,0.20000,-26.31903,0.20000,20.86849,0.20000,37.83880,0.20000,18.37754,0.20000,-24.43931
0.21010,0.21000,-26.49976,0.21000,-26.30574,0.21000,20.87690,0.21000,37.86437,0.21000,18.35814,0.21000,-24.42629
0.22010,0.22000,-26.44329,0.22000,-26.29071,0.22000,20.88485,0.22000,37.89211,0.22000,18.34331,0.22000,-24.41492
0.23011,0.23000,-26.38903,0.23000,-26.27423,0.23000,20.89229,0.23000,37.92166,0.23000,18.33250,0.23000,-24.40764
0.24011,0.24000,-26.33741,0.24000,-26.25642,0.24000,20.89908,0.24000,37.95259,0.24000,18.32480,0.24000,-24.40669
0.25012,0.25000,-26.28842,0.25000,-26.23736,0.25000,20.90506,0.25000,37.98451,0.25000,18.31891,0.25000,-24.41398
0.26012,0.26000,-26.24154,0.26000,-26.21712,0.26000,20.90998,0.26000,38.01711,0.26000,18.31319,0.26000,-24.43085
0.27013,0.27000,-26.19586,0.27000,-26.19589,0.27000,20.91353,0.27000,38.05012,0.27000,18.30578,0.27000,-24.45801
0.28013,0.28000,-26.15028,0.28000,-26.17400,0.28000,20.91534,0.28000,38.08328,0.28000,18.29489,0.28000,-24.49543
0.29014,0.29000,-26.10373,0.29000,-26.15187,0.29000,20.91498,0.29000,38.11626,0.29000,18.27906,0.29000,-24.54232
