Tiempo	Flexo-extensión cadera derecha_X	Flexo-extensión cadera derecha_Y	Flexo-extensión cadera izquierda_X	Flexo-extensión cadera izquierda_Y	Abducción-aducción cadera derecha_X	Abducción-aducción cadera derecha_Y	Abducción-aducción cadera izquierda_X	Abducción-aducción cadera izquierda_Y	Rotación cadera derecha_X	Rotación cadera derecha_Y	Rotación cadera izquierda_X	Rotación cadera izquierda_Y	Flexo-extensión codo derecho_X	Flexo-extensión codo derecho_Y	Flexo-extensión codo izquierdo_X	Flexo-extensión codo izquierdo_Y	Flexo-extensión cuello_X	Flexo-extensión cuello_Y	Flexión lateral cuello_X	Flexión lateral cuello_Y	Rotación cuello_X	Rotación cuello_Y	Flexo-extensión hombro derecho_X	Flexo-extensión hombro derecho_Y	Flexo-extensión hombro izquierdo_X	Flexo-extensión hombro izquierdo_Y	Abducción-aducción hombro derecho_X	Abducción-aducción hombro derecho_Y	Abducción-aducción hombro izquierdo_X	Abducción-aducción hombro izquierdo_Y	Rotación hombro derecho_X	Rotación hombro derecho_Y	Rotación hombro izquierdo_X	Rotación hombro izquierdo_Y	Flexo-extensión muñeca derecha_X	Flexo-extensión muñeca derecha_Y	Flexo-extensión muñeca izquierda_X	Flexo-extensión muñeca izquierda_Y	Abducción-aducción muñeca derecha_X	Abducción-aducción muñeca derecha_Y	Abducción-aducción muñeca izquierda_X	Abducción-aducción muñeca izquierda_Y	Rotación muñeca derecha_X	Rotación muñeca derecha_Y	Rotación muñeca izquierda_X	Rotación muñeca izquierda_Y	Rotación pelvis_X	Rotación pelvis_Y	Inclinación pelvis_X	Inclinación pelvis_Y	Oblicuidad pelvis_X	Oblicuidad pelvis_Y	Flexo-extensión rodilla derecha_X	Flexo-extensión rodilla derecha_Y	Flexo-extensión rodilla izquierda_X	Flexo-extensión rodilla izquierda_Y	Abducción-aducción rodilla derecha_X	Abducción-aducción rodilla derecha_Y	Abducción-aducción rodilla izquierda_X	Abducción-aducción rodilla izquierda_Y	Rotación rodilla derecha_X	Rotación rodilla derecha_Y	Rotación rodilla izquierda_X	Rotación rodilla izquierda_Y	Dorsiflexión-plantarflexión tobillo izquierdo_X	Dorsiflexión-plantarflexión tobillo izquierdo_Y	Dorsiflexión-plantarflexión tobillo izquierdo_X	Dorsiflexión-plantarflexión tobillo izquierdo_Y	Eversión-inversión tobillo derecho_X	Eversión-inversión tobillo derecho_Y	Eversión-inversión tobillo izquierdo_X	Eversión-inversión tobillo izquierdo_Y	Rotación tobillo derecho_X	Rotación tobillo derecho_Y	Rotación tobillo izquierdo_X	Rotación tobillo izquierdo_Y	Flexo-extensión torso_X	Flexo-extensión torso_Y	Flexión lateral torso_X	Flexión lateral torso_Y	Rotación torso_X	Rotación torso_Y	Inclinación torso_X	Inclinación torso_Y	
0.00000	0.00000	-0.32441	0.00000	-0.16648	0.00000	0.00623	0.00000	-0.06391	0.00000	0.27654	0.00000	-0.31833	0.00000	-0.04089	0.00000	0.04610	0.00000	-0.35590	0.00000	-0.22569	0.00000	-0.20630	0.00000	-0.06980	0.00000	-0.17513	0.00000	0.13260	0.00000	-0.09082	0.00000	-0.06983	0.00000	-0.17517	0.00000	0.00551	0.00000	-0.01503	0.00000	-0.01739	0.00000	-0.00591	0.00000	-0.09612	0.00000	-0.30600	0.00000	0.15775	0.00000	0.44874	0.00000	0.27805	0.00000	0.05622	0.00000	0.09908	0.00000	0.18824	0.00000	-0.10848	0.00000	-0.20977	0.00000	0.08313	0.00000	0.11972	0.00000	-0.17500	0.00000	0.02073	0.00000	-0.05020	0.00000	-0.03190	0.00000	0.01709	0.00000	-0.01646	0.00000	-0.00056	0.00000	0.04859	0.00000	0.01333	
0.01001	0.01000	-0.32367	0.01000	-0.16570	0.01000	0.00704	0.01000	-0.06282	0.01000	0.26841	0.01000	-0.31073	0.01000	-0.04096	0.01000	0.04444	0.01000	-0.35551	0.01000	-0.22572	0.01000	-0.20283	0.01000	-0.07056	0.01000	-0.17538	0.01000	0.13214	0.01000	-0.09133	0.01000	-0.07059	0.01000	-0.17542	0.01000	0.00504	0.01000	-0.01630	0.01000	-0.01694	0.01000	-0.00574	0.01000	-0.09564	0.01000	-0.30426	0.01000	0.15392	0.01000	0.44559	0.01000	0.27675	0.01000	0.05544	0.01000	0.09787	0.01000	0.18683	0.01000	-0.10863	0.01000	-0.19997	0.01000	0.08162	0.01000	0.12080	0.01000	-0.17404	0.01000	0.02043	0.01000	-0.05028	0.01000	-0.03092	0.01000	0.01462	0.01000	-0.01556	0.01000	-0.00014	0.01000	0.04015	0.01000	0.01222	
0.02001	0.02000	-0.32272	0.02000	-0.16468	0.02000	0.00807	0.02000	-0.06172	0.02000	0.25962	0.02000	-0.30203	0.02000	-0.04077	0.02000	0.04273	0.02000	-0.35498	0.02000	-0.22603	0.02000	-0.19912	0.02000	-0.07141	0.02000	-0.17577	0.02000	0.13179	0.02000	-0.09170	0.02000	-0.07144	0.02000	-0.17581	0.02000	0.00468	0.02000	-0.01748	0.02000	-0.01645	0.02000	-0.00560	0.02000	-0.09440	0.02000	-0.30145	0.02000	0.14993	0.02000	0.44186	0.02000	0.27527	0.02000	0.05463	0.02000	0.09663	0.02000	0.18522	0.02000	-0.10877	0.02000	-0.19812	0.02000	0.07987	0.02000	0.12208	0.02000	-0.17280	0.02000	0.02005	0.02000	-0.05029	0.02000	-0.02992	0.02000	0.01164	0.02000	-0.01443	0.02000	0.00059	0.02000	0.03142	0.02000	0.01129	
0.03002	0.03000	-0.32154	0.03000	-0.16342	0.03000	0.00933	0.03000	-0.06069	0.03000	0.25057	0.03000	-0.29249	0.03000	-0.04027	0.03000	0.04104	0.03000	-0.35432	0.03000	-0.22668	0.03000	-0.19532	0.03000	-0.07232	0.03000	-0.17629	0.03000	0.13161	0.03000	-0.09187	0.03000	-0.07233	0.03000	-0.17634	0.03000	0.00446	0.03000	-0.01849	0.03000	-0.01594	0.03000	-0.00552	0.03000	-0.09232	0.03000	-0.29746	0.03000	0.14600	0.03000	0.43758	0.03000	0.27367	0.03000	0.05381	0.03000	0.09541	0.03000	0.18344	0.03000	-0.10887	0.03000	-0.19260	0.03000	0.07796	0.03000	0.12356	0.03000	-0.17126	0.03000	0.01960	0.03000	-0.05022	0.03000	-0.02900	0.03000	0.00822	0.03000	-0.01304	0.03000	0.00165	0.03000	0.02283	0.03000	0.01063	
0.04003	0.04000	-0.32015	0.04000	-0.16191	0.04000	0.01084	0.04000	-0.05982	0.04000	0.24169	0.04000	-0.28243	0.04000	-0.03945	0.04000	0.03945	0.04000	-0.35358	0.04000	-0.22772	0.04000	-0.19158	0.04000	-0.07323	0.04000	-0.17692	0.04000	0.13166	0.04000	-0.09177	0.04000	-0.07323	0.04000	-0.17698	0.04000	0.00440	0.04000	-0.01921	0.04000	-0.01546	0.04000	-0.00552	0.04000	-0.08934	0.04000	-0.29224	0.04000	0.14240	0.04000	0.43281	0.04000	0.27200	0.04000	0.05302	0.04000	0.09428	0.04000	0.18154	0.04000	-0.10889	0.04000	-0.18028	0.04000	0.07594	0.04000	0.12521	0.04000	-0.16942	0.04000	0.01907	0.04000	-0.05002	0.04000	-0.02830	0.04000	0.00444	0.04000	-0.01134	0.04000	0.00306	0.04000	0.01483	0.04000	0.01038	
0.05003	0.05000	-0.31855	0.05000	-0.16019	0.05000	0.01258	0.05000	-0.05922	0.05000	0.23344	0.05000	-0.27223	0.05000	-0.03830	0.05000	0.03804	0.05000	-0.35281	0.05000	-0.22916	0.05000	-0.18803	0.05000	-0.07409	0.05000	-0.17762	0.05000	0.13195	0.05000	-0.09137	0.05000	-0.07409	0.05000	-0.17769	0.05000	0.00448	0.05000	-0.01959	0.05000	-0.01505	0.05000	-0.00565	0.05000	-0.08549	0.05000	-0.28583	0.05000	0.13939	0.05000	0.42762	0.05000	0.27031	0.05000	0.05230	0.05000	0.09329	0.05000	0.17957	0.05000	-0.10879	0.05000	-0.16819	0.05000	0.07391	0.05000	0.12702	0.05000	-0.16730	0.05000	0.01847	0.05000	-0.04969	0.05000	-0.02799	0.05000	0.00042	0.05000	-0.00930	0.05000	0.00485	0.05000	0.00782	0.05000	0.01062	
0.06004	0.06000	-0.31676	0.06000	-0.15827	0.06000	0.01457	0.06000	-0.05895	0.06000	0.22626	0.06000	-0.26230	0.06000	-0.03686	0.06000	0.03684	0.06000	-0.35208	0.06000	-0.23098	0.06000	-0.18476	0.06000	-0.07486	0.06000	-0.17834	0.06000	0.13249	0.06000	-0.09062	0.06000	-0.07485	0.06000	-0.17841	0.06000	0.00466	0.06000	-0.01956	0.06000	-0.01475	0.06000	-0.00592	0.06000	-0.08086	0.06000	-0.27834	0.06000	0.13719	0.06000	0.42208	0.06000	0.26866	0.06000	0.05167	0.06000	0.09248	0.06000	0.17758	0.06000	-0.10851	0.06000	-0.16309	0.06000	0.07195	0.06000	0.12897	0.06000	-0.16490	0.06000	0.01778	0.06000	-0.04919	0.06000	-0.02822	0.06000	-0.00370	0.06000	-0.00686	0.06000	0.00698	0.06000	0.00212	0.06000	0.01146	
0.07005	0.07000	-0.31480	0.07000	-0.15620	0.07000	0.01680	0.07000	-0.05908	0.07000	0.22051	0.07000	-0.25302	0.07000	-0.03522	0.07000	0.03590	0.07000	-0.35144	0.07000	-0.23311	0.07000	-0.18182	0.07000	-0.07549	0.07000	-0.17901	0.07000	0.13326	0.07000	-0.08952	0.07000	-0.07547	0.07000	-0.17909	0.07000	0.00490	0.07000	-0.01912	0.07000	-0.01459	0.07000	-0.00634	0.07000	-0.07564	0.07000	-0.26997	0.07000	0.13599	0.07000	0.41628	0.07000	0.26711	0.07000	0.05113	0.07000	0.09186	0.07000	0.17560	0.07000	-0.10803	0.07000	-0.16058	0.07000	0.07011	0.07000	0.13102	0.07000	-0.16228	0.07000	0.01701	0.07000	-0.04853	0.07000	-0.02912	0.07000	-0.00779	0.07000	-0.00401	0.07000	0.00941	0.07000	-0.00206	0.07000	0.01293	
0.08005	0.08000	-0.31273	0.08000	-0.15402	0.08000	0.01929	0.08000	-0.05964	0.08000	0.21646	0.08000	-0.24473	0.08000	-0.03346	0.08000	0.03522	0.08000	-0.35090	0.08000	-0.23542	0.08000	-0.17914	0.08000	-0.07595	0.08000	-0.17960	0.08000	0.13420	0.08000	-0.08809	0.08000	-0.07592	0.08000	-0.17969	0.08000	0.00512	0.08000	-0.01830	0.08000	-0.01463	0.08000	-0.00692	0.08000	-0.07007	0.08000	-0.26100	0.08000	0.13593	0.08000	0.41027	0.08000	0.26570	0.08000	0.05067	0.08000	0.09144	0.08000	0.17365	0.08000	-0.10730	0.08000	-0.15669	0.08000	0.06846	0.08000	0.13315	0.08000	-0.15947	0.08000	0.01614	0.08000	-0.04772	0.08000	-0.03077	0.08000	-0.01172	0.08000	-0.00072	0.08000	0.01206	0.08000	-0.00466	0.08000	0.01507	
0.09006	0.09000	-0.31057	0.09000	-0.15177	0.09000	0.02204	0.09000	-0.06062	0.09000	0.21426	0.09000	-0.23770	0.09000	-0.03171	0.09000	0.03478	0.09000	-0.35047	0.09000	-0.23773	0.09000	-0.17661	0.09000	-0.07626	0.09000	-0.18008	0.09000	0.13525	0.09000	-0.08637	0.09000	-0.07622	0.09000	-0.18018	0.09000	0.00525	0.09000	-0.01718	0.09000	-0.01486	0.09000	-0.00761	0.09000	-0.06440	0.09000	-0.25173	0.09000	0.13706	0.09000	0.40413	0.09000	0.26446	0.09000	0.05028	0.09000	0.09121	0.09000	0.17173	0.09000	-0.10631	0.09000	-0.15224	0.09000	0.06702	0.09000	0.13534	0.09000	-0.15653	0.09000	0.01518	0.09000	-0.04679	0.09000	-0.03320	0.09000	-0.01537	0.09000	0.00300	0.09000	0.01483	0.09000	-0.00575	0.09000	0.01785	
