Tiempo,Flexo-extensión torso_X,Flexo-extensión torso_Y,Flexión lateral torso_X,Flexión lateral torso_Y,Rotación torso_X,Rotación torso_Y,Inclinación torso_X,Inclinación torso_Y
0.00000,0.00000,-0.20325,0.00000,0.05859,0.00000,0.01143,0.00000,0.21110
0.01000,0.01000,-0.20309,0.01000,0.05214,0.01000,0.01480,0.01000,0.20979
0.02000,0.02000,-0.20282,0.02000,0.04460,0.02000,0.01717,0.02000,0.20840
0.03000,0.03000,-0.20244,0.03000,0.03609,0.03000,0.01813,0.03000,0.20701
0.04001,0.04000,-0.20198,0.04000,0.02678,0.04000,0.01731,0.04000,0.20569
0.05001,0.05000,-0.20149,0.05000,0.01691,0.05000,0.01447,0.05000,0.20455
0.06001,0.06000,-0.20103,0.06000,0.00672,0.06000,0.00953,0.06000,0.20369
0.07001,0.07000,-0.20067,0.07000,-0.00349,0.07000,0.00263,0.07000,0.20320
0.08001,0.08000,-0.20051,0.08000,-0.01341,0.08000,-0.00595,0.08000,0.20317
0.09001,0.09000,-0.20066,0.09000,-0.02271,0.09000,-0.01571,0.09000,0.20365
0.10002,0.10000,-0.20120,0.10000,-0.03108,0.10000,-0.02607,0.10000,0.20469
0.11002,0.11000,-0.20221,0.11000,-0.03818,0.11000,-0.03635,0.11000,0.20629
0.12002,0.12000,-0.20375,0.12000,-0.04376,0.12000,-0.04589,0.12000,0.20844
0.13002,0.13000,-0.20584,0.13000,-0.04760,0.13000,-0.05407,0.13000,0.21107
0.14002,0.14000,-0.20846,0.14000,-0.04957,0.14000,-0.06037,0.14000,0.21411
0.15002,0.15000,-0.21157,0.15000,-0.04966,0.15000,-0.06442,0.15000,0.21743
0.16002,0.16000,-0.21506,0.16000,-0.04795,0.16000,-0.06602,0.16000,0.22092
0.17003,0.17000,-0.21880,0.17000,-0.04463,0.17000,-0.06517,0.17000,0.22443
0.18003,0.18000,-0.22264,0.18000,-0.03997,0.18000,-0.06202,0.18000,0.22782
0.19003,0.19000,-0.22641,0.19000,-0.03433,0.19000,-0.05690,0.19000,0.23093
0.20003,0.20000,-0.22994,0.20000,-0.02805,0.20000,-0.05024,0.20000,0.23363
0.21003,0.21000,-0.23307,0.21000,-0.02147,0.21000,-0.04255,0.21000,0.23581
0.22003,0.22000,-0.23566,0.22000,-0.01490,0.22000,-0.03431,0.22000,0.23735
0.23003,0.23000,-0.23756,0.23000,-0.00855,0.23000,-0.02599,0.23000,0.23817
0.24004,0.24000,-0.23868,0.24000,-0.00253,0.24000,-0.01794,0.24000,0.23822
0.25004,0.25000,-0.23891,0.25000,0.00313,0.25000,-0.01043,0.25000,0.23745
0.26004,0.26000,-0.23815,0.26000,0.00849,0.26000,-0.00358,0.26000,0.23585
0.27004,0.27000,-0.23631,0.27000,0.01369,0.27000,0.00255,0.27000,0.23340
0.28004,0.28000,-0.23328,0.28000,0.01892,0.28000,0.00799,0.28000,0.23013
0.29004,0.29000,-0.22898,0.29000,0.02436,0.29000,0.01277,0.29000,0.22606
0.30004,0.30000,-0.22329,0.30000,0.03020,0.30000,0.01689,0.30000,0.22125
0.31005,0.31000,-0.21613,0.31000,0.03660,0.31000,0.02028,0.31000,0.21574
0.32005,0.32000,-0.20744,0.32000,0.04365,0.32000,0.02283,0.32000,0.20964
0.33005,0.33000,-0.19719,0.33000,0.05137,0.33000,0.02432,0.33000,0.20305
0.34005,0.34000,-0.18539,0.34000,0.05973,0.34000,0.02450,0.34000,0.19611
0.35005,0.35000,-0.17216,0.35000,0.06861,0.35000,0.02310,0.35000,0.18897
0.36005,0.36000,-0.15764,0.36000,0.07785,0.36000,0.01990,0.36000,0.18180
0.37006,0.37000,-0.14210,0.37000,0.08724,0.37000,0.01473,0.37000,0.17479
0.38006,0.38000,-0.12584,0.38000,0.09652,0.38000,0.00751,0.38000,0.16809
0.39006,0.39000,-0.10923,0.39000,0.10542,0.39000,-0.00172,0.39000,0.16184
0.40006,0.40000,-0.09266,0.40000,0.11365,0.40000,-0.01283,0.40000,0.15613
0.41006,0.41000,-0.07651,0.41000,0.12090,0.41000,-0.02557,0.41000,0.15097
0.42006,0.42000,-0.06113,0.42000,0.12689,0.42000,-0.03960,0.42000,0.14632
0.43006,0.43000,-0.04675,0.43000,0.13136,0.43000,-0.05449,0.43000,0.14206
0.44007,0.44000,-0.03355,0.44000,0.13412,0.44000,-0.06981,0.44000,0.13803
0.45007,0.45000,-0.02159,0.45000,0.13504,0.45000,-0.08506,0.45000,0.13407
0.46007,0.46000,-0.01081,0.46000,0.13411,0.46000,-0.09979,0.46000,0.13006
0.47007,0.47000,-0.00113,0.47000,0.13138,0.47000,-0.11358,0.47000,0.12590
0.48007,0.48000,0.00764,0.48000,0.12702,0.48000,-0.12608,0.48000,0.12158
0.49007,0.49000,0.01565,0.49000,0.12125,0.49000,-0.13706,0.49000,0.11713
0.50007,0.50000,0.02309,0.50000,0.11437,0.50000,-0.14641,0.50000,0.11265
0.51008,0.51000,0.03009,0.51000,0.10664,0.51000,-0.15411,0.51000,0.10822
0.52008,0.52000,0.03675,0.52000,0.09834,0.52000,-0.16026,0.52000,0.10395
0.53008,0.53000,0.04309,0.53000,0.08970,0.53000,-0.16501,0.53000,0.09991
0.54008,0.54000,0.04909,0.54000,0.08091,0.54000,-0.16856,0.54000,0.09614
0.55008,0.55000,0.05466,0.55000,0.07211,0.55000,-0.17105,0.55000,0.09262
0.56008,0.56000,0.05968,0.56000,0.06337,0.56000,-0.17257,0.56000,0.08932
0.57008,0.57000,0.06400,0.57000,0.05476,0.57000,-0.17313,0.57000,0.08617
0.58009,0.58000,0.06747,0.58000,0.04627,0.58000,-0.17271,0.58000,0.08310
0.59009,0.59000,0.06998,0.59000,0.03791,0.59000,-0.17122,0.59000,0.08008
0.60009,0.60000,0.07146,0.60000,0.02966,0.60000,-0.16857,0.60000,0.07708
0.61009,0.61000,0.07188,0.61000,0.02148,0.61000,-0.16475,0.61000,0.07413
0.62009,0.62000,0.07127,0.62000,0.01337,0.62000,-0.15979,0.62000,0.07131
0.63009,0.63000,0.06971,0.63000,0.00530,0.63000,-0.15384,0.63000,0.06872
0.64010,0.64000,0.06729,0.64000,-0.00274,0.64000,-0.14714,0.64000,0.06648
0.65010,0.65000,0.06413,0.65000,-0.01077,0.65000,-0.14004,0.65000,0.06473
