Tiempo,Flexo-extensión torso_X,Flexo-extensión torso_Y,Flexión lateral torso_X,Flexión lateral torso_Y,Rotación torso_X,Rotación torso_Y,Inclinación torso_X,Inclinación torso_Y
0.00000,0.00000,0.19091,0.00000,0.05755,0.00000,0.15201,0.00000,0.19948
0.01001,0.01000,0.19119,0.01000,0.06012,0.01000,0.15232,0.01000,0.20055
0.02001,0.02000,0.19164,0.02000,0.06293,0.02000,0.15222,0.02000,0.20186
0.03002,0.03000,0.19228,0.03000,0.06591,0.03000,0.15161,0.03000,0.20340
0.04003,0.04000,0.19314,0.04000,0.06894,0.04000,0.15041,0.04000,0.20517
0.05003,0.05000,0.19423,0.05000,0.07193,0.05000,0.14859,0.05000,0.20715
0.06004,0.06000,0.19557,0.06000,0.07480,0.06000,0.14617,0.06000,0.20933
0.07005,0.07000,0.19719,0.07000,0.07751,0.07000,0.14320,0.07000,0.21173
0.08005,0.08000,0.19911,0.08000,0.08005,0.08000,0.13982,0.08000,0.21436
0.09006,0.09000,0.20137,0.09000,0.08244,0.09000,0.13619,0.09000,0.21727
0.10007,0.10000,0.20400,0.10000,0.08477,0.10000,0.13253,0.10000,0.22054
0.11007,0.11000,0.20704,0.11000,0.08715,0.11000,0.12906,0.11000,0.22424
0.12008,0.12000,0.21055,0.12000,0.08971,0.12000,0.12602,0.12000,0.22846
0.13009,0.13000,0.21457,0.13000,0.09259,0.13000,0.12364,0.13000,0.23331
0.14009,0.14000,0.21910,0.14000,0.09595,0.14000,0.12213,0.14000,0.23885
0.15010,0.15000,0.22416,0.15000,0.09989,0.15000,0.12163,0.15000,0.24515
0.16011,0.16000,0.22973,0.16000,0.10451,0.16000,0.12224,0.16000,0.25220
0.17011,0.17000,0.23573,0.17000,0.10984,0.17000,0.12397,0.17000,0.25998
0.18012,0.18000,0.24208,0.18000,0.11585,0.18000,0.12675,0.18000,0.26836
0.19013,0.19000,0.24863,0.19000,0.12244,0.19000,0.13043,0.19000,0.27718
0.20014,0.20000,0.25521,0.20000,0.12944,0.20000,0.13476,0.20000,0.28621
0.21014,0.21000,0.26163,0.21000,0.13660,0.21000,0.13942,0.21000,0.29515
0.22015,0.22000,0.26771,0.22000,0.14360,0.22000,0.14406,0.22000,0.30372
0.23016,0.23000,0.27330,0.23000,0.15008,0.23000,0.14825,0.23000,0.31161
0.24016,0.24000,0.27830,0.24000,0.15567,0.24000,0.15160,0.24000,0.31856
0.25017,0.25000,0.28270,0.25000,0.16002,0.25000,0.15372,0.25000,0.32442
0.26018,0.26000,0.28652,0.26000,0.16286,0.26000,0.15431,0.26000,0.32908
0.27018,0.27000,0.28987,0.27000,0.16400,0.27000,0.15317,0.27000,0.33259
0.28019,0.28000,0.29291,0.28000,0.16342,0.28000,0.15023,0.28000,0.33507
0.29020,0.29000,0.29582,0.29000,0.16117,0.29000,0.14556,0.29000,0.33673
0.30020,0.30000,0.29877,0.30000,0.15744,0.30000,0.13936,0.30000,0.33782
0.31021,0.31000,0.30192,0.31000,0.15248,0.31000,0.13192,0.31000,0.33862
0.32022,0.32000,0.30536,0.32000,0.14660,0.32000,0.12362,0.32000,0.33936
0.33022,0.33000,0.30912,0.33000,0.14012,0.33000,0.11489,0.33000,0.34019
0.34023,0.34000,0.31314,0.34000,0.13334,0.34000,0.10614,0.34000,0.34119
0.35024,0.35000,0.31723,0.35000,0.12656,0.35000,0.09777,0.35000,0.34234
0.36024,0.36000,0.32117,0.36000,0.12002,0.36000,0.09011,0.36000,0.34349
0.37025,0.37000,0.32462,0.37000,0.11393,0.37000,0.08344,0.37000,0.34442
0.38026,0.38000,0.32723,0.38000,0.10843,0.38000,0.07794,0.38000,0.34486
0.39026,0.39000,0.32865,0.39000,0.10362,0.39000,0.07369,0.39000,0.34448
0.40027,0.40000,0.32856,0.40000,0.09955,0.40000,0.07074,0.40000,0.34299
0.41028,0.41000,0.32669,0.41000,0.09622,0.41000,0.06905,0.41000,0.34014
0.42028,0.42000,0.32290,0.42000,0.09357,0.42000,0.06853,0.42000,0.33574
0.43029,0.43000,0.31713,0.43000,0.09151,0.43000,0.06904,0.43000,0.32971
0.44030,0.44000,0.30944,0.44000,0.08993,0.44000,0.07042,0.44000,0.32204
0.45030,0.45000,0.29997,0.45000,0.08868,0.45000,0.07246,0.45000,0.31281
0.46031,0.46000,0.28898,0.46000,0.08758,0.46000,0.07497,0.46000,0.30218
0.47032,0.47000,0.27675,0.47000,0.08646,0.47000,0.07775,0.47000,0.29035
0.48032,0.48000,0.26362,0.48000,0.08517,0.48000,0.08063,0.48000,0.27758
0.49033,0.49000,0.24993,0.49000,0.08354,0.49000,0.08346,0.49000,0.26413
0.50034,0.50000,0.23600,0.50000,0.08146,0.50000,0.08618,0.50000,0.25024
0.51034,0.51000,0.22212,0.51000,0.07885,0.51000,0.08872,0.51000,0.23615
0.52035,0.52000,0.20854,0.52000,0.07568,0.52000,0.09110,0.52000,0.22208
0.53036,0.53000,0.19543,0.53000,0.07196,0.53000,0.09335,0.53000,0.20819
0.54036,0.54000,0.18294,0.54000,0.06774,0.54000,0.09549,0.54000,0.19464
0.55037,0.55000,0.17111,0.55000,0.06310,0.55000,0.09756,0.55000,0.18153
0.56038,0.56000,0.15997,0.56000,0.05811,0.56000,0.09957,0.56000,0.16891
0.57038,0.57000,0.14946,0.57000,0.05285,0.57000,0.10151,0.57000,0.15683
0.58039,0.58000,0.13951,0.58000,0.04738,0.58000,0.10335,0.58000,0.14528
0.59040,0.59000,0.12999,0.59000,0.04172,0.59000,0.10506,0.59000,0.13423
0.60040,0.60000,0.12078,0.60000,0.03588,0.60000,0.10659,0.60000,0.12367
0.61041,0.61000,0.11174,0.61000,0.02984,0.61000,0.10789,0.61000,0.11357
0.62042,0.62000,0.10275,0.62000,0.02360,0.62000,0.10896,0.62000,0.10392
0.63042,0.63000,0.09371,0.63000,0.01715,0.63000,0.10979,0.63000,0.09474
0.64043,0.64000,0.08455,0.64000,0.01054,0.64000,0.11042,0.64000,0.08607
0.65044,0.65000,0.07523,0.65000,0.00382,0.65000,0.11091,0.65000,0.07796
0.66044,0.66000,0.06577,0.66000,-0.00289,0.66000,0.11135,0.66000,0.07051
0.67045,0.67000,0.05619,0.67000,-0.00944,0.67000,0.11185,0.67000,0.06380
0.68046,0.68000,0.04660,0.68000,-0.01567,0.68000,0.11252,0.68000,0.05790
0.69046,0.69000,0.03708,0.69000,-0.02142,0.69000,0.11346,0.69000,0.05290
0.70047,0.70000,0.02778,0.70000,-0.02653,0.70000,0.11475,0.70000,0.04882
0.71048,0.71000,0.01880,0.71000,-0.03092,0.71000,0.11638,0.71000,0.04569
0.72049,0.72000,0.01028,0.72000,-0.03453,0.72000,0.11831,0.72000,0.04351
0.73049,0.73000,0.00230,0.73000,-0.03738,0.73000,0.12044,0.73000,0.04226
0.74050,0.74000,-0.00507,0.74000,-0.03960,0.74000,0.12260,0.74000,0.04195
0.75051,0.75000,-0.01182,0.75000,-0.04135,0.75000,0.12460,0.75000,0.04258
0.76051,0.76000,-0.01798,0.76000,-0.04290,0.76000,0.12619,0.76000,0.04419
0.77052,0.77000,-0.02363,0.77000,-0.04455,0.77000,0.12716,0.77000,0.04686
0.78053,0.78000,-0.02888,0.78000,-0.04663,0.78000,0.12727,0.78000,0.05067
0.79053,0.79000,-0.03388,0.79000,-0.04951,0.79000,0.12632,0.79000,0.05576
0.80054,0.80000,-0.03875,0.80000,-0.05352,0.80000,0.12419,0.80000,0.06224
0.81055,0.81000,-0.04361,0.81000,-0.05893,0.81000,0.12080,0.81000,0.07020
0.82055,0.82000,-0.04855,0.82000,-0.06592,0.82000,0.11622,0.82000,0.07965
0.83056,0.83000,-0.05359,0.83000,-0.07455,0.83000,0.11061,0.83000,0.09053
0.84057,0.84000,-0.05873,0.84000,-0.08472,0.84000,0.10425,0.84000,0.10267
0.85057,0.85000,-0.06396,0.85000,-0.09619,0.85000,0.09748,0.85000,0.11578
0.86058,0.86000,-0.06922,0.86000,-0.10858,0.86000,0.09070,0.86000,0.12948
0.87059,0.87000,-0.07447,0.87000,-0.12145,0.87000,0.08429,0.87000,0.14339
0.88059,0.88000,-0.07972,0.88000,-0.13428,0.88000,0.07856,0.88000,0.15708
0.89060,0.89000,-0.08498,0.89000,-0.14659,0.89000,0.07372,0.89000,0.17019
0.90061,0.90000,-0.09031,0.90000,-0.15794,0.90000,0.06989,0.90000,0.18244
0.91061,0.91000,-0.09582,0.91000,-0.16797,0.91000,0.06707,0.91000,0.19362
0.92062,0.92000,-0.10162,0.92000,-0.17644,0.92000,0.06519,0.92000,0.20365
0.93063,0.93000,-0.10785,0.93000,-0.18318,0.93000,0.06414,0.93000,0.21253
0.94063,0.94000,-0.11462,0.94000,-0.18816,0.94000,0.06382,0.94000,0.22033
0.95064,0.95000,-0.12202,0.95000,-0.19141,0.95000,0.06413,0.95000,0.22717
0.96065,0.96000,-0.13010,0.96000,-0.19302,0.96000,0.06499,0.96000,0.23324
0.97065,0.97000,-0.13883,0.97000,-0.19319,0.97000,0.06635,0.97000,0.23869
0.98066,0.98000,-0.14816,0.98000,-0.19211,0.98000,0.06813,0.98000,0.24370
0.99067,0.99000,-0.15797,0.99000,-0.19001,0.99000,0.07026,0.99000,0.24843
1.00067,1.00000,-0.16814,1.00000,-0.18713,1.00000,0.07262,1.00000,0.25301
1.01068,1.01000,-0.17853,1.01000,-0.18373,1.01000,0.07509,1.01000,0.25758
1.02069,1.02000,-0.18902,1.02000,-0.18002,1.02000,0.07754,1.02000,0.26224
1.03069,1.03000,-0.19950,1.03000,-0.17622,1.03000,0.07987,1.03000,0.26710
1.04070,1.04000,-0.20992,1.04000,-0.17253,1.04000,0.08206,1.04000,0.27226
1.05071,1.05000,-0.22022,1.05000,-0.16910,1.05000,0.08413,1.05000,0.27779
1.06071,1.06000,-0.23039,1.06000,-0.16605,1.06000,0.08620,1.06000,0.28374
1.07072,1.07000,-0.24043,1.07000,-0.16345,1.07000,0.08842,1.07000,0.29015
1.08073,1.08000,-0.25034,1.08000,-0.16133,1.08000,0.09101,1.08000,0.29699
1.09073,1.09000,-0.26009,1.09000,-0.15967,1.09000,0.09417,1.09000,0.30421
1.10074,1.10000,-0.26966,1.10000,-0.15841,1.10000,0.09807,1.10000,0.31171
1.11075,1.11000,-0.27901,1.11000,-0.15748,1.11000,0.10283,1.11000,0.31938
1.12075,1.12000,-0.28810,1.12000,-0.15681,1.12000,0.10849,1.12000,0.32709
1.13076,1.13000,-0.29687,1.13000,-0.15636,1.13000,0.11502,1.13000,0.33473
1.14077,1.14000,-0.30527,1.14000,-0.15612,1.14000,0.12228,1.14000,0.34221
1.15077,1.15000,-0.31324,1.15000,-0.15609,1.15000,0.13008,1.15000,0.34944
1.16078,1.16000,-0.32074,1.16000,-0.15633,1.16000,0.13814,1.16000,0.35638
1.17079,1.17000,-0.32769,1.17000,-0.15686,1.17000,0.14619,1.17000,0.36296
1.18079,1.18000,-0.33405,1.18000,-0.15771,1.18000,0.15393,1.18000,0.36914
1.19080,1.19000,-0.33976,1.19000,-0.15888,1.19000,0.16112,1.19000,0.37484
1.20081,1.20000,-0.34472,1.20000,-0.16032,1.20000,0.16753,1.20000,0.37998
1.21081,1.21000,-0.34888,1.21000,-0.16193,1.21000,0.17302,1.21000,0.38443
1.22082,1.22000,-0.35213,1.22000,-0.16356,1.22000,0.17750,1.22000,0.38806
1.23083,1.23000,-0.35439,1.23000,-0.16501,1.23000,0.18096,1.23000,0.39070
1.24083,1.24000,-0.35557,1.24000,-0.16609,1.24000,0.18340,1.24000,0.39220
1.25084,1.25000,-0.35561,1.25000,-0.16658,1.25000,0.18485,1.25000,0.39240
1.26085,1.26000,-0.35444,1.26000,-0.16630,1.26000,0.18536,1.26000,0.39117
1.27086,1.27000,-0.35202,1.27000,-0.16512,1.27000,0.18495,1.27000,0.38844
1.28086,1.28000,-0.34837,1.28000,-0.16298,1.28000,0.18360,1.28000,0.38416
1.29087,1.29000,-0.34351,1.29000,-0.15989,1.29000,0.18129,1.29000,0.37840
1.30088,1.30000,-0.33753,1.30000,-0.15593,1.30000,0.17796,1.30000,0.37126
1.31088,1.31000,-0.33058,1.31000,-0.15130,1.31000,0.17356,1.31000,0.36296
1.32089,1.32000,-0.32283,1.32000,-0.14623,1.32000,0.16806,1.32000,0.35376
1.33090,1.33000,-0.31451,1.33000,-0.14103,1.33000,0.16144,1.33000,0.34402
1.34090,1.34000,-0.30589,1.34000,-0.13601,1.34000,0.15374,1.34000,0.33412
1.35091,1.35000,-0.29724,1.35000,-0.13155,1.35000,0.14504,1.35000,0.32445
1.36092,1.36000,-0.28882,1.36000,-0.12796,1.36000,0.13549,1.36000,0.31542
1.37092,1.37000,-0.28083,1.37000,-0.12553,1.37000,0.12528,1.37000,0.30732
1.38093,1.38000,-0.27341,1.38000,-0.12447,1.38000,0.11468,1.38000,0.30038
1.39094,1.39000,-0.26662,1.39000,-0.12485,1.39000,0.10398,1.39000,0.29469
1.40094,1.40000,-0.26043,1.40000,-0.12662,1.40000,0.09354,1.40000,0.29019
1.41095,1.41000,-0.25477,1.41000,-0.12960,1.41000,0.08370,1.41000,0.28675
1.42096,1.42000,-0.24954,1.42000,-0.13348,1.42000,0.07480,1.42000,0.28411
1.43096,1.43000,-0.24461,1.43000,-0.13787,1.43000,0.06714,1.43000,0.28200
1.44097,1.44000,-0.23992,1.44000,-0.14234,1.44000,0.06095,1.44000,0.28013
1.45098,1.45000,-0.23543,1.45000,-0.14646,1.45000,0.05638,1.45000,0.27827
1.46098,1.46000,-0.23114,1.46000,-0.14985,1.46000,0.05346,1.46000,0.27621
1.47099,1.47000,-0.22709,1.47000,-0.15221,1.47000,0.05212,1.47000,0.27384
1.48100,1.48000,-0.22334,1.48000,-0.15334,1.48000,0.05218,1.48000,0.27109
1.49100,1.49000,-0.21994,1.49000,-0.15313,1.49000,0.05335,1.49000,0.26798
1.50101,1.50000,-0.21695,1.50000,-0.15160,1.50000,0.05527,1.50000,0.26453
1.51102,1.51000,-0.21437,1.51000,-0.14887,1.51000,0.05755,1.51000,0.26081
1.52102,1.52000,-0.21217,1.52000,-0.14510,1.52000,0.05977,1.52000,0.25690
1.53103,1.53000,-0.21029,1.53000,-0.14056,1.53000,0.06158,1.53000,0.25286
1.54104,1.54000,-0.20864,1.54000,-0.13552,1.54000,0.06267,1.54000,0.24878
1.55104,1.55000,-0.20711,1.55000,-0.13026,1.55000,0.06282,1.55000,0.24470
1.56105,1.56000,-0.20559,1.56000,-0.12510,1.56000,0.06190,1.56000,0.24069
1.57106,1.57000,-0.20397,1.57000,-0.12029,1.57000,0.05988,1.57000,0.23680
1.58106,1.58000,-0.20215,1.58000,-0.11607,1.58000,0.05679,1.58000,0.23308
1.59107,1.59000,-0.20007,1.59000,-0.11266,1.59000,0.05272,1.59000,0.22957
1.60108,1.60000,-0.19767,1.60000,-0.11020,1.60000,0.04782,1.60000,0.22630
1.61108,1.61000,-0.19492,1.61000,-0.10876,1.61000,0.04221,1.61000,0.22328
1.62109,1.62000,-0.19182,1.62000,-0.10835,1.62000,0.03606,1.62000,0.22052
1.63110,1.63000,-0.18839,1.63000,-0.10890,1.63000,0.02949,1.63000,0.21800
1.64110,1.64000,-0.18467,1.64000,-0.11025,1.64000,0.02262,1.64000,0.21565
1.65111,1.65000,-0.18072,1.65000,-0.11218,1.65000,0.01554,1.65000,0.21343
1.66112,1.66000,-0.17660,1.66000,-0.11442,1.66000,0.00836,1.66000,0.21123
1.67112,1.67000,-0.17241,1.67000,-0.11670,1.67000,0.00115,1.67000,0.20898
1.68113,1.68000,-0.16822,1.68000,-0.11872,1.68000,-0.00599,1.68000,0.20658
1.69114,1.69000,-0.16410,1.69000,-0.12026,1.69000,-0.01296,1.69000,0.20397
