Tiempo,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Flexo-extensión muñeca izquierda_X,Flexo-extensión muñeca izquierda_Y,Abducción-aducción muñeca derecha_X,Abducción-aducción muñeca derecha_Y,Abducción-aducción muñeca izquierda_X,Abducción-aducción muñeca izquierda_Y,Rotación muñeca derecha_X,Rotación muñeca derecha_Y,Rotación muñeca izquierda_X,Rotación muñeca izquierda_Y
0.00000,0.00000,0.06776,0.00000,-0.06108,0.00000,-0.05355,0.00000,-0.12070,0.00000,-0.27929,0.00000,-0.32097
0.01001,0.01000,0.06937,0.01000,-0.06608,0.01000,-0.05166,0.01000,-0.11531,0.01000,-0.28363,0.01000,-0.32053
0.02002,0.02000,0.07075,0.02000,-0.07145,0.02000,-0.04911,0.02000,-0.10974,0.02000,-0.28795,0.02000,-0.32011
0.03002,0.03000,0.07171,0.03000,-0.07678,0.03000,-0.04590,0.03000,-0.10428,0.03000,-0.29210,0.03000,-0.31977
0.04003,0.04000,0.07205,0.04000,-0.08161,0.04000,-0.04203,0.04000,-0.09919,0.04000,-0.29605,0.04000,-0.31963
0.05004,0.05000,0.07159,0.05000,-0.08545,0.05000,-0.03755,0.05000,-0.09470,0.05000,-0.29984,0.05000,-0.31980
0.06004,0.06000,0.07020,0.06000,-0.08783,0.06000,-0.03255,0.06000,-0.09096,0.06000,-0.30361,0.06000,-0.32042
0.07005,0.07000,0.06782,0.07000,-0.08843,0.07000,-0.02714,0.07000,-0.08799,0.07000,-0.30758,0.07000,-0.32162
0.08006,0.08000,0.06450,0.08000,-0.08709,0.08000,-0.02144,0.08000,-0.08572,0.08000,-0.31203,0.08000,-0.32352
0.09007,0.09000,0.06035,0.09000,-0.08387,0.09000,-0.01559,0.09000,-0.08399,0.09000,-0.31725,0.09000,-0.32621
0.10007,0.10000,0.05560,0.10000,-0.07905,0.10000,-0.00974,0.10000,-0.08258,0.10000,-0.32351,0.10000,-0.32969
0.11008,0.11000,0.05053,0.11000,-0.07306,0.11000,-0.00405,0.11000,-0.08130,0.11000,-0.33096,0.11000,-0.33391
0.12009,0.12000,0.04548,0.12000,-0.06643,0.12000,0.00133,0.12000,-0.08000,0.12000,-0.33968,0.12000,-0.33874
0.13010,0.13000,0.04079,0.13000,-0.05971,0.13000,0.00624,0.13000,-0.07859,0.13000,-0.34959,0.13000,-0.34398
0.14010,0.14000,0.03678,0.14000,-0.05340,0.14000,0.01057,0.14000,-0.07707,0.14000,-0.36048,0.14000,-0.34937
0.15011,0.15000,0.03373,0.15000,-0.04789,0.15000,0.01422,0.15000,-0.07550,0.15000,-0.37204,0.15000,-0.35465
0.16012,0.16000,0.03186,0.16000,-0.04343,0.16000,0.01712,0.16000,-0.07398,0.16000,-0.38387,0.16000,-0.35956
0.17013,0.17000,0.03130,0.17000,-0.04010,0.17000,0.01926,0.17000,-0.07262,0.17000,-0.39556,0.17000,-0.36390
0.18013,0.18000,0.03208,0.18000,-0.03789,0.18000,0.02067,0.18000,-0.07149,0.18000,-0.40668,0.18000,-0.36751
0.19014,0.19000,0.03415,0.19000,-0.03665,0.19000,0.02140,0.19000,-0.07064,0.19000,-0.41688,0.19000,-0.37034
0.20015,0.20000,0.03738,0.20000,-0.03619,0.20000,0.02158,0.20000,-0.07008,0.20000,-0.42587,0.20000,-0.37240
0.21016,0.21000,0.04155,0.21000,-0.03627,0.21000,0.02132,0.21000,-0.06981,0.21000,-0.43351,0.21000,-0.37381
0.22016,0.22000,0.04641,0.22000,-0.03665,0.22000,0.02077,0.22000,-0.06983,0.22000,-0.43977,0.22000,-0.37475
0.23017,0.23000,0.05170,0.23000,-0.03711,0.23000,0.02005,0.23000,-0.07018,0.23000,-0.44472,0.23000,-0.37541
0.24018,0.24000,0.05714,0.24000,-0.03747,0.24000,0.01929,0.24000,-0.07089,0.24000,-0.44848,0.24000,-0.37601
0.25019,0.25000,0.06247,0.25000,-0.03762,0.25000,0.01860,0.25000,-0.07205,0.25000,-0.45123,0.25000,-0.37671
0.26019,0.26000,0.06742,0.26000,-0.03750,0.26000,0.01805,0.26000,-0.07373,0.26000,-0.45311,0.26000,-0.37761
0.27020,0.27000,0.07178,0.27000,-0.03715,0.27000,0.01769,0.27000,-0.07595,0.27000,-0.45425,0.27000,-0.37868
0.28021,0.28000,0.07534,0.28000,-0.03669,0.28000,0.01754,0.28000,-0.07870,0.28000,-0.45471,0.28000,-0.37978
0.29021,0.29000,0.07792,0.29000,-0.03632,0.29000,0.01758,0.29000,-0.08188,0.29000,-0.45452,0.29000,-0.38068
0.30022,0.30000,0.07938,0.30000,-0.03628,0.30000,0.01776,0.30000,-0.08531,0.30000,-0.45368,0.30000,-0.38106
0.31023,0.31000,0.07962,0.31000,-0.03681,0.31000,0.01803,0.31000,-0.08873,0.31000,-0.45222,0.31000,-0.38061
0.32024,0.32000,0.07857,0.32000,-0.03814,0.32000,0.01833,0.32000,-0.09188,0.32000,-0.45017,0.32000,-0.37900
0.33024,0.33000,0.07621,0.33000,-0.04040,0.33000,0.01860,0.33000,-0.09450,0.33000,-0.44760,0.33000,-0.37600
0.34025,0.34000,0.07260,0.34000,-0.04362,0.34000,0.01883,0.34000,-0.09640,0.34000,-0.44462,0.34000,-0.37145
0.35026,0.35000,0.06789,0.35000,-0.04766,0.35000,0.01903,0.35000,-0.09748,0.35000,-0.44137,0.35000,-0.36532
0.36027,0.36000,0.06230,0.36000,-0.05230,0.36000,0.01925,0.36000,-0.09773,0.36000,-0.43796,0.36000,-0.35768
0.37027,0.37000,0.05613,0.37000,-0.05720,0.37000,0.01954,0.37000,-0.09724,0.37000,-0.43449,0.37000,-0.34872
0.38028,0.38000,0.04973,0.38000,-0.06200,0.38000,0.01998,0.38000,-0.09619,0.38000,-0.43101,0.38000,-0.33871
0.39029,0.39000,0.04348,0.39000,-0.06634,0.39000,0.02063,0.39000,-0.09477,0.39000,-0.42750,0.39000,-0.32796
0.40030,0.40000,0.03771,0.40000,-0.06993,0.40000,0.02154,0.40000,-0.09318,0.40000,-0.42390,0.40000,-0.31685
0.41030,0.41000,0.03271,0.41000,-0.07257,0.41000,0.02272,0.41000,-0.09158,0.41000,-0.42010,0.41000,-0.30569
0.42031,0.42000,0.02872,0.42000,-0.07417,0.42000,0.02416,0.42000,-0.09011,0.42000,-0.41599,0.42000,-0.29480
0.43032,0.43000,0.02586,0.43000,-0.07474,0.43000,0.02581,0.43000,-0.08886,0.43000,-0.41146,0.43000,-0.28441
0.44033,0.44000,0.02420,0.44000,-0.07433,0.44000,0.02758,0.44000,-0.08786,0.44000,-0.40645,0.44000,-0.27469
0.45033,0.45000,0.02372,0.45000,-0.07304,0.45000,0.02940,0.45000,-0.08713,0.45000,-0.40095,0.45000,-0.26578
0.46034,0.46000,0.02438,0.46000,-0.07095,0.46000,0.03116,0.46000,-0.08666,0.46000,-0.39499,0.46000,-0.25777
0.47035,0.47000,0.02609,0.47000,-0.06813,0.47000,0.03277,0.47000,-0.08640,0.47000,-0.38867,0.47000,-0.25074
0.48036,0.48000,0.02871,0.48000,-0.06461,0.48000,0.03416,0.48000,-0.08628,0.48000,-0.38212,0.48000,-0.24480
0.49036,0.49000,0.03209,0.49000,-0.06037,0.49000,0.03529,0.49000,-0.08623,0.49000,-0.37550,0.49000,-0.24007
0.50037,0.50000,0.03602,0.50000,-0.05541,0.50000,0.03612,0.50000,-0.08616,0.50000,-0.36898,0.50000,-0.23669
0.51038,0.51000,0.04026,0.51000,-0.04972,0.51000,0.03664,0.51000,-0.08596,0.51000,-0.36272,0.51000,-0.23483
0.52038,0.52000,0.04456,0.52000,-0.04329,0.52000,0.03686,0.52000,-0.08556,0.52000,-0.35684,0.52000,-0.23464
0.53039,0.53000,0.04863,0.53000,-0.03616,0.53000,0.03677,0.53000,-0.08490,0.53000,-0.35144,0.53000,-0.23625
0.54040,0.54000,0.05221,0.54000,-0.02838,0.54000,0.03635,0.54000,-0.08398,0.54000,-0.34656,0.54000,-0.23971
0.55041,0.55000,0.05506,0.55000,-0.02009,0.55000,0.03558,0.55000,-0.08282,0.55000,-0.34217,0.55000,-0.24498
0.56041,0.56000,0.05706,0.56000,-0.01144,0.56000,0.03438,0.56000,-0.08145,0.56000,-0.33819,0.56000,-0.25193
0.57042,0.57000,0.05813,0.57000,-0.00269,0.57000,0.03270,0.57000,-0.07993,0.57000,-0.33448,0.57000,-0.26027
0.58043,0.58000,0.05836,0.58000,0.00584,0.58000,0.03046,0.58000,-0.07827,0.58000,-0.33082,0.58000,-0.26958
0.59044,0.59000,0.05793,0.59000,0.01377,0.59000,0.02762,0.59000,-0.07648,0.59000,-0.32697,0.59000,-0.27934
0.60044,0.60000,0.05710,0.60000,0.02071,0.60000,0.02418,0.60000,-0.07450,0.60000,-0.32263,0.60000,-0.28896
