Tiempo	Flexo-extensión cadera derecha_X	Flexo-extensión cadera derecha_Y	Flexo-extensión cadera izquierda_X	Flexo-extensión cadera izquierda_Y	Abducción-aducción cadera derecha_X	Abducción-aducción cadera derecha_Y	Abducción-aducción cadera izquierda_X	Abducción-aducción cadera izquierda_Y	Rotación cadera derecha_X	Rotación cadera derecha_Y	Rotación cadera izquierda_X	Rotación cadera izquierda_Y	Flexo-extensión codo derecho_X	Flexo-extensión codo derecho_Y	Flexo-extensión codo izquierdo_X	Flexo-extensión codo izquierdo_Y	Flexo-extensión cuello_X	Flexo-extensión cuello_Y	Flexión lateral cuello_X	Flexión lateral cuello_Y	Rotación cuello_X	Rotación cuello_Y	Flexo-extensión hombro derecho_X	Flexo-extensión hombro derecho_Y	Flexo-extensión hombro izquierdo_X	Flexo-extensión hombro izquierdo_Y	Abducción-aducción hombro derecho_X	Abducción-aducción hombro derecho_Y	Abducción-aducción hombro izquierdo_X	Abducción-aducción hombro izquierdo_Y	Rotación hombro derecho_X	Rotación hombro derecho_Y	Rotación hombro izquierdo_X	Rotación hombro izquierdo_Y	Flexo-extensión muñeca derecha_X	Flexo-extensión muñeca derecha_Y	Flexo-extensión muñeca izquierda_X	Flexo-extensión muñeca izquierda_Y	Abducción-aducción muñeca derecha_X	Abducción-aducción muñeca derecha_Y	Abducción-aducción muñeca izquierda_X	Abducción-aducción muñeca izquierda_Y	Rotación muñeca derecha_X	Rotación muñeca derecha_Y	Rotación muñeca izquierda_X	Rotación muñeca izquierda_Y	Rotación pelvis_X	Rotación pelvis_Y	Inclinación pelvis_X	Inclinación pelvis_Y	Oblicuidad pelvis_X	Oblicuidad pelvis_Y	Flexo-extensión rodilla derecha_X	Flexo-extensión rodilla derecha_Y	Flexo-extensión rodilla izquierda_X	Flexo-extensión rodilla izquierda_Y	Abducción-aducción rodilla derecha_X	Abducción-aducción rodilla derecha_Y	Abducción-aducción rodilla izquierda_X	Abducción-aducción rodilla izquierda_Y	Rotación rodilla derecha_X	Rotación rodilla derecha_Y	Rotación rodilla izquierda_X	Rotación rodilla izquierda_Y	Dorsiflexión-plantarflexión tobillo izquierdo_X	Dorsiflexión-plantarflexión tobillo izquierdo_Y	Dorsiflexión-plantarflexión tobillo izquierdo_X	Dorsiflexión-plantarflexión tobillo izquierdo_Y	Eversión-inversión tobillo derecho_X	Eversión-inversión tobillo derecho_Y	Eversión-inversión tobillo izquierdo_X	Eversión-inversión tobillo izquierdo_Y	Rotación tobillo derecho_X	Rotación tobillo derecho_Y	Rotación tobillo izquierdo_X	Rotación tobillo izquierdo_Y	Flexo-extensión torso_X	Flexo-extensión torso_Y	Flexión lateral torso_X	Flexión lateral torso_Y	Rotación torso_X	Rotación torso_Y	Inclinación torso_X	Inclinación torso_Y	
0.00000	0.00000	0.55901	0.00000	0.41079	0.00000	0.13081	0.00000	-1.52953	0.00000	-1.46495	0.00000	-1.88016	0.00000	0.22692	0.00000	0.65396	0.00000	1.69533	0.00000	1.12265	0.00000	0.77322	0.00000	-0.12284	0.00000	-0.50420	0.00000	0.18518	0.00000	-0.21006	0.00000	-0.12362	0.00000	-0.50454	0.00000	0.54379	0.00000	-0.36872	0.00000	-0.39510	0.00000	0.01196	0.00000	-0.15517	0.00000	-0.53949	0.00000	1.14771	0.00000	2.34438	0.00000	-0.48189	0.00000	-0.08180	0.00000	-1.46104	0.00000	0.77406	0.00000	1.48440	0.00000	1.52778	0.00000	1.70900	0.00000	-0.27422	0.00000	-3.29807	0.00000	0.39849	0.00000	-1.27398	0.00000	-0.68996	0.00000	1.21157	0.00000	2.07488	0.00000	0.35341	0.00000	-0.77233	0.00000	2.10961	
0.01001	0.01000	0.56408	0.01000	0.41241	0.01000	0.12923	0.01000	-1.53023	0.01000	-1.46479	0.01000	-1.88933	0.01000	0.22742	0.01000	0.65314	0.01000	1.69604	0.01000	1.12202	0.01000	0.77197	0.01000	-0.12400	0.01000	-0.50460	0.01000	0.18460	0.01000	-0.21011	0.01000	-0.12478	0.01000	-0.50493	0.01000	0.54452	0.01000	-0.36873	0.01000	-0.39692	0.01000	0.01166	0.01000	-0.16031	0.01000	-0.53839	0.01000	1.15047	0.01000	2.34862	0.01000	-0.47973	0.01000	-0.07045	0.01000	-1.45944	0.01000	0.77766	0.01000	1.48395	0.01000	1.53359	0.01000	1.71372	0.01000	-0.26889	0.01000	-3.30162	0.01000	0.40030	0.01000	-1.27490	0.01000	-0.68824	0.01000	1.20791	0.01000	2.07660	0.01000	0.34982	0.01000	-0.76984	0.01000	2.11066	
0.02001	0.02000	0.56938	0.02000	0.41406	0.02000	0.12742	0.02000	-1.53101	0.02000	-1.46481	0.02000	-1.89970	0.02000	0.22756	0.02000	0.65212	0.02000	1.69733	0.02000	1.12090	0.02000	0.76993	0.02000	-0.12527	0.02000	-0.50510	0.02000	0.18382	0.02000	-0.21019	0.02000	-0.12606	0.02000	-0.50544	0.02000	0.54526	0.02000	-0.36900	0.02000	-0.39937	0.02000	0.01146	0.02000	-0.16534	0.02000	-0.53733	0.02000	1.15368	0.02000	2.35405	0.02000	-0.47709	0.02000	-0.05724	0.02000	-1.45718	0.02000	0.78210	0.02000	1.48309	0.02000	1.53680	0.02000	1.71901	0.02000	-0.26272	0.02000	-3.30564	0.02000	0.40219	0.02000	-1.27578	0.02000	-0.68677	0.02000	1.20362	0.02000	2.07875	0.02000	0.34545	0.02000	-0.76722	0.02000	2.11200	
0.03002	0.03000	0.57466	0.03000	0.41563	0.03000	0.12544	0.03000	-1.53185	0.03000	-1.46509	0.03000	-1.91099	0.03000	0.22722	0.03000	0.65090	0.03000	1.69936	0.03000	1.11920	0.03000	0.76699	0.03000	-0.12663	0.03000	-0.50573	0.03000	0.18286	0.03000	-0.21032	0.03000	-0.12742	0.03000	-0.50607	0.03000	0.54600	0.03000	-0.36960	0.03000	-0.40247	0.03000	0.01139	0.03000	-0.16991	0.03000	-0.53649	0.03000	1.15732	0.03000	2.36074	0.03000	-0.47396	0.03000	-0.04245	0.03000	-1.45419	0.03000	0.78734	0.03000	1.48173	0.03000	1.53428	0.03000	1.72468	0.03000	-0.25585	0.03000	-3.31004	0.03000	0.40406	0.03000	-1.27656	0.03000	-0.68576	0.03000	1.19874	0.03000	2.08131	0.03000	0.34029	0.03000	-0.76461	0.03000	2.11364	
0.04003	0.04000	0.57962	0.04000	0.41704	0.04000	0.12335	0.04000	-1.53274	0.04000	-1.46572	0.04000	-1.92286	0.04000	0.22625	0.04000	0.64950	0.04000	1.70230	0.04000	1.11687	0.04000	0.76303	0.04000	-0.12807	0.04000	-0.50651	0.04000	0.18173	0.04000	-0.21048	0.04000	-0.12886	0.04000	-0.50684	0.04000	0.54670	0.04000	-0.37057	0.04000	-0.40625	0.04000	0.01150	0.04000	-0.17364	0.04000	-0.53605	0.04000	1.16130	0.04000	2.36865	0.04000	-0.47038	0.04000	-0.02644	0.04000	-1.45040	0.04000	0.79332	0.04000	1.47984	0.04000	1.53197	0.04000	1.73050	0.04000	-0.24847	0.04000	-3.31467	0.04000	0.40585	0.04000	-1.27718	0.04000	-0.68539	0.04000	1.19331	0.04000	2.08424	0.04000	0.33440	0.04000	-0.76216	0.04000	2.11551	
0.05003	0.05000	0.58399	0.05000	0.41820	0.05000	0.12121	0.05000	-1.53368	0.05000	-1.46676	0.05000	-1.93495	0.05000	0.22454	0.05000	0.64795	0.05000	1.70631	0.05000	1.11389	0.05000	0.75799	0.05000	-0.12957	0.05000	-0.50744	0.05000	0.18048	0.05000	-0.21067	0.05000	-0.13036	0.05000	-0.50778	0.05000	0.54733	0.05000	-0.37199	0.05000	-0.41064	0.05000	0.01178	0.05000	-0.17620	0.05000	-0.53619	0.05000	1.16556	0.05000	2.37773	0.05000	-0.46641	0.05000	-0.00964	0.05000	-1.44579	0.05000	0.79990	0.05000	1.47736	0.05000	1.53333	0.05000	1.73621	0.05000	-0.24081	0.05000	-3.31937	0.05000	0.40749	0.05000	-1.27756	0.05000	-0.68584	0.05000	1.18741	0.05000	2.08744	0.05000	0.32785	0.05000	-0.76005	0.05000	2.11758	
0.06004	0.06000	0.58752	0.06000	0.41904	0.06000	0.11909	0.06000	-1.53465	0.06000	-1.46826	0.06000	-1.94690	0.06000	0.22200	0.06000	0.64626	0.06000	1.71150	0.06000	1.11027	0.06000	0.75186	0.06000	-0.13115	0.06000	-0.50853	0.06000	0.17918	0.06000	-0.21086	0.06000	-0.13193	0.06000	-0.50888	0.06000	0.54787	0.06000	-0.37388	0.06000	-0.41556	0.06000	0.01224	0.06000	-0.17730	0.06000	-0.53711	0.06000	1.16999	0.06000	2.38788	0.06000	-0.46211	0.06000	0.00749	0.06000	-1.44035	0.06000	0.80694	0.06000	1.47432	0.06000	1.53415	0.06000	1.74158	0.06000	-0.23310	0.06000	-3.32400	0.06000	0.40892	0.06000	-1.27766	0.06000	-0.68721	0.06000	1.18112	0.06000	2.09082	0.06000	0.32071	0.06000	-0.75842	0.06000	2.11975	
0.07004	0.07000	0.59004	0.07000	0.41951	0.07000	0.11706	0.07000	-1.53567	0.07000	-1.47026	0.07000	-1.95839	0.07000	0.21860	0.07000	0.64449	0.07000	1.71794	0.07000	1.10609	0.07000	0.74467	0.07000	-0.13281	0.07000	-0.50978	0.07000	0.17789	0.07000	-0.21100	0.07000	-0.13359	0.07000	-0.51013	0.07000	0.54831	0.07000	-0.37626	0.07000	-0.42087	0.07000	0.01284	0.07000	-0.17675	0.07000	-0.53896	0.07000	1.17450	0.07000	2.39896	0.07000	-0.45754	0.07000	0.02452	0.07000	-1.43410	0.07000	0.81425	0.07000	1.47073	0.07000	1.53812	0.07000	1.74639	0.07000	-0.22559	0.07000	-3.32841	0.07000	0.41012	0.07000	-1.27745	0.07000	-0.68955	0.07000	1.17454	0.07000	2.09427	0.07000	0.31310	0.07000	-0.75742	0.07000	2.12193	
0.08005	0.08000	0.59143	0.08000	0.41958	0.08000	0.11519	0.08000	-1.53675	0.08000	-1.47275	0.08000	-1.96916	0.08000	0.21437	0.08000	0.64264	0.08000	1.72560	0.08000	1.10144	0.08000	0.73650	0.08000	-0.13458	0.08000	-0.51116	0.08000	0.17669	0.08000	-0.21105	0.08000	-0.13535	0.08000	-0.51151	0.08000	0.54868	0.08000	-0.37912	0.08000	-0.42636	0.08000	0.01354	0.08000	-0.17444	0.08000	-0.54183	0.08000	1.17901	0.08000	2.41079	0.08000	-0.45280	0.08000	0.04103	0.08000	-1.42712	0.08000	0.82169	0.08000	1.46668	0.08000	1.54330	0.08000	1.75052	0.08000	-0.21846	0.08000	-3.33248	0.08000	0.41106	0.08000	-1.27692	0.08000	-0.69280	0.08000	1.16783	0.08000	2.09765	0.08000	0.30511	0.08000	-0.75717	0.08000	2.12401	
0.09006	0.09000	0.59163	0.09000	0.41925	0.09000	0.11351	0.09000	-1.53793	0.09000	-1.47571	0.09000	-1.97901	0.09000	0.20941	0.09000	0.64076	0.09000	1.73434	0.09000	1.09645	0.09000	0.72748	0.09000	-0.13647	0.09000	-0.51261	0.09000	0.17569	0.09000	-0.21095	0.09000	-0.13723	0.09000	-0.51298	0.09000	0.54899	0.09000	-0.38244	0.09000	-0.43180	0.09000	0.01427	0.09000	-0.17033	0.09000	-0.54570	0.09000	1.18339	0.09000	2.42320	0.09000	-0.44798	0.09000	0.05670	0.09000	-1.41948	0.09000	0.82908	0.09000	1.46226	0.09000	1.54585	0.09000	1.75392	0.09000	-0.21188	0.09000	-3.33611	0.09000	0.41171	0.09000	-1.27608	0.09000	-0.69684	0.09000	1.16113	0.09000	2.10083	0.09000	0.29686	0.09000	-0.75776	0.09000	2.12590	
