Tiempo,Rotación pelvis_X,Rotación pelvis_Y,Inclinación pelvis_X,Inclinación pelvis_Y,Oblicuidad pelvis_X,Oblicuidad pelvis_Y
0.00000,0.00000,1.46199,0.00000,0.99631,0.00000,0.02751
0.01000,0.01000,1.45957,0.01000,0.99442,0.01000,0.02704
0.02000,0.02000,1.45647,0.02000,0.99205,0.02000,0.02658
0.03000,0.03000,1.45262,0.03000,0.98920,0.03000,0.02618
0.04001,0.04000,1.44799,0.04000,0.98588,0.04000,0.02583
0.05001,0.05000,1.44253,0.05000,0.98212,0.05000,0.02556
0.06001,0.06000,1.43622,0.06000,0.97797,0.06000,0.02537
0.07001,0.07000,1.42902,0.07000,0.97351,0.07000,0.02523
0.08001,0.08000,1.42092,0.08000,0.96885,0.08000,0.02513
0.09001,0.09000,1.41188,0.09000,0.96412,0.09000,0.02504
0.10001,0.10000,1.40188,0.10000,0.95949,0.10000,0.02491
0.11002,0.11000,1.39090,0.11000,0.95514,0.11000,0.02470
0.12002,0.12000,1.37891,0.12000,0.95128,0.12000,0.02437
0.13002,0.13000,1.36593,0.13000,0.94810,0.13000,0.02385
0.14002,0.14000,1.35200,0.14000,0.94581,0.14000,0.02310
0.15002,0.15000,1.33717,0.15000,0.94458,0.15000,0.02209
0.16002,0.16000,1.32158,0.16000,0.94452,0.16000,0.02077
0.17002,0.17000,1.30537,0.17000,0.94573,0.17000,0.01915
0.18003,0.18000,1.28873,0.18000,0.94821,0.18000,0.01724
0.19003,0.19000,1.27191,0.19000,0.95191,0.19000,0.01508
0.20003,0.20000,1.25514,0.20000,0.95670,0.20000,0.01274
0.21003,0.21000,1.23869,0.21000,0.96235,0.21000,0.01030
0.22003,0.22000,1.22282,0.22000,0.96857,0.22000,0.00787
0.23003,0.23000,1.20775,0.23000,0.97498,0.23000,0.00556
0.24003,0.24000,1.19367,0.24000,0.98113,0.24000,0.00351
0.25004,0.25000,1.18071,0.25000,0.98654,0.25000,0.00182
0.26004,0.26000,1.16894,0.26000,0.99066,0.26000,0.00062
0.27004,0.27000,1.15836,0.27000,0.99293,0.27000,0.00003
0.28004,0.28000,1.14891,0.28000,0.99281,0.28000,0.00011
0.29004,0.29000,1.14049,0.29000,0.98978,0.29000,0.00097
0.30004,0.30000,1.13301,0.30000,0.98336,0.30000,0.00264
0.31004,0.31000,1.12634,0.31000,0.97314,0.31000,0.00518
0.32005,0.32000,1.12040,0.32000,0.95881,0.32000,0.00861
0.33005,0.33000,1.11511,0.33000,0.94014,0.33000,0.01295
0.34005,0.34000,1.11040,0.34000,0.91700,0.34000,0.01820
0.35005,0.35000,1.10624,0.35000,0.88940,0.35000,0.02438
0.36005,0.36000,1.10256,0.36000,0.85742,0.36000,0.03148
0.37005,0.37000,1.09933,0.37000,0.82131,0.37000,0.03951
0.38005,0.38000,1.09648,0.38000,0.78141,0.38000,0.04843
0.39005,0.39000,1.09393,0.39000,0.73818,0.39000,0.05824
0.40006,0.40000,1.09159,0.40000,0.69217,0.40000,0.06890
0.41006,0.41000,1.08937,0.41000,0.64403,0.41000,0.08034
0.42006,0.42000,1.08714,0.42000,0.59446,0.42000,0.09250
0.43006,0.43000,1.08479,0.43000,0.54419,0.43000,0.10528
0.44006,0.44000,1.08222,0.44000,0.49398,0.44000,0.11854
0.45006,0.45000,1.07934,0.45000,0.44454,0.45000,0.13214
0.46006,0.46000,1.07609,0.46000,0.39656,0.46000,0.14591
0.47007,0.47000,1.07243,0.47000,0.35063,0.47000,0.15968
0.48007,0.48000,1.06834,0.48000,0.30728,0.48000,0.17326
0.49007,0.49000,1.06382,0.49000,0.26688,0.49000,0.18647
0.50007,0.50000,1.05889,0.50000,0.22971,0.50000,0.19915
0.51007,0.51000,1.05355,0.51000,0.19588,0.51000,0.21115
0.52007,0.52000,1.04782,0.52000,0.16541,0.52000,0.22232
0.53007,0.53000,1.04172,0.53000,0.13816,0.53000,0.23257
0.54008,0.54000,1.03526,0.54000,0.11391,0.54000,0.24180
0.55008,0.55000,1.02846,0.55000,0.09232,0.55000,0.24997
0.56008,0.56000,1.02134,0.56000,0.07304,0.56000,0.25702
0.57008,0.57000,1.01393,0.57000,0.05566,0.57000,0.26298
0.58008,0.58000,1.00626,0.58000,0.03980,0.58000,0.26786
0.59008,0.59000,0.99834,0.59000,0.02511,0.59000,0.27172
0.60008,0.60000,0.99019,0.60000,0.01130,0.60000,0.27464
0.61009,0.61000,0.98179,0.61000,-0.00182,0.61000,0.27671
0.62009,0.62000,0.97310,0.62000,-0.01437,0.62000,0.27806
0.63009,0.63000,0.96405,0.63000,-0.02636,0.63000,0.27879
0.64009,0.64000,0.95453,0.64000,-0.03774,0.64000,0.27901
0.65009,0.65000,0.94443,0.65000,-0.04838,0.65000,0.27882
