Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,0.21267,0.00000,0.37096
0.01000,0.01000,0.20883,0.01000,0.37757
0.02000,0.02000,0.20515,0.02000,0.38474
0.03000,0.03000,0.20184,0.03000,0.39226
0.04001,0.04000,0.19904,0.04000,0.39994
0.05001,0.05000,0.19684,0.05000,0.40763
0.06001,0.06000,0.19522,0.06000,0.41518
0.07001,0.07000,0.19409,0.07000,0.42254
0.08001,0.08000,0.19331,0.08000,0.42966
0.09001,0.09000,0.19281,0.09000,0.43656
0.10001,0.10000,0.19251,0.10000,0.44323
0.11002,0.11000,0.19246,0.11000,0.44970
0.12002,0.12000,0.19269,0.12000,0.45594
0.13002,0.13000,0.19327,0.13000,0.46191
0.14002,0.14000,0.19421,0.14000,0.46753
0.15002,0.15000,0.19543,0.15000,0.47271
0.16002,0.16000,0.19680,0.16000,0.47734
0.17002,0.17000,0.19815,0.17000,0.48133
0.18003,0.18000,0.19928,0.18000,0.48462
0.19003,0.19000,0.20004,0.19000,0.48721
0.20003,0.20000,0.20034,0.20000,0.48913
0.21003,0.21000,0.20010,0.21000,0.49049
0.22003,0.22000,0.19929,0.22000,0.49141
0.23003,0.23000,0.19788,0.23000,0.49204
0.24003,0.24000,0.19582,0.24000,0.49252
0.25004,0.25000,0.19308,0.25000,0.49296
0.26004,0.26000,0.18966,0.26000,0.49343
0.27004,0.27000,0.18560,0.27000,0.49395
0.28004,0.28000,0.18098,0.28000,0.49453
0.29004,0.29000,0.17593,0.29000,0.49513
0.30004,0.30000,0.17058,0.30000,0.49571
0.31004,0.31000,0.16506,0.31000,0.49625
0.32005,0.32000,0.15948,0.32000,0.49676
0.33005,0.33000,0.15393,0.33000,0.49726
0.34005,0.34000,0.14849,0.34000,0.49783
0.35005,0.35000,0.14322,0.35000,0.49860
0.36005,0.36000,0.13818,0.36000,0.49977
0.37005,0.37000,0.13342,0.37000,0.50161
0.38005,0.38000,0.12901,0.38000,0.50447
0.39006,0.39000,0.12500,0.39000,0.50874
0.40006,0.40000,0.12145,0.40000,0.51480
0.41006,0.41000,0.11840,0.41000,0.52303
0.42006,0.42000,0.11589,0.42000,0.53370
0.43006,0.43000,0.11389,0.43000,0.54696
0.44006,0.44000,0.11236,0.44000,0.56283
0.45006,0.45000,0.11121,0.45000,0.58114
0.46007,0.46000,0.11033,0.46000,0.60157
0.47007,0.47000,0.10959,0.47000,0.62364
0.48007,0.48000,0.10891,0.48000,0.64682
0.49007,0.49000,0.10818,0.49000,0.67046
0.50007,0.50000,0.10734,0.50000,0.69396
0.51007,0.51000,0.10633,0.51000,0.71669
0.52007,0.52000,0.10508,0.52000,0.73811
0.53008,0.53000,0.10353,0.53000,0.75777
0.54008,0.54000,0.10161,0.54000,0.77536
0.55008,0.55000,0.09925,0.55000,0.79071
0.56008,0.56000,0.09641,0.56000,0.80382
0.57008,0.57000,0.09306,0.57000,0.81485
0.58008,0.58000,0.08927,0.58000,0.82406
0.59008,0.59000,0.08513,0.59000,0.83181
0.60009,0.60000,0.08080,0.60000,0.83849
0.61009,0.61000,0.07646,0.61000,0.84449
0.62009,0.62000,0.07232,0.62000,0.85011
0.63009,0.63000,0.06851,0.63000,0.85559
0.64009,0.64000,0.06515,0.64000,0.86106
0.65009,0.65000,0.06225,0.65000,0.86657
0.66009,0.66000,0.05981,0.66000,0.87209
0.67010,0.67000,0.05773,0.67000,0.87756
0.68010,0.68000,0.05591,0.68000,0.88290
0.69010,0.69000,0.05425,0.69000,0.88805
0.70010,0.70000,0.05268,0.70000,0.89298
0.71010,0.71000,0.05117,0.71000,0.89769
0.72010,0.72000,0.04975,0.72000,0.90222
0.73010,0.73000,0.04849,0.73000,0.90663
0.74011,0.74000,0.04750,0.74000,0.91099
0.75011,0.75000,0.04691,0.75000,0.91537
0.76011,0.76000,0.04680,0.76000,0.91985
0.77011,0.77000,0.04724,0.77000,0.92449
0.78011,0.78000,0.04824,0.78000,0.92933
0.79011,0.79000,0.04972,0.79000,0.93439
0.80011,0.80000,0.05158,0.80000,0.93965
0.81012,0.81000,0.05369,0.81000,0.94505
0.82012,0.82000,0.05592,0.82000,0.95051
0.83012,0.83000,0.05814,0.83000,0.95592
0.84012,0.84000,0.06027,0.84000,0.96118
0.85012,0.85000,0.06231,0.85000,0.96618
0.86012,0.86000,0.06427,0.86000,0.97082
0.87012,0.87000,0.06622,0.87000,0.97504
0.88013,0.88000,0.06826,0.88000,0.97881
0.89013,0.89000,0.07046,0.89000,0.98216
0.90013,0.90000,0.07291,0.90000,0.98517
0.91013,0.91000,0.07561,0.91000,0.98798
0.92013,0.92000,0.07854,0.92000,0.99075
0.93013,0.93000,0.08162,0.93000,0.99365
0.94013,0.94000,0.08472,0.94000,0.99682
0.95014,0.95000,0.08772,0.95000,1.00038
0.96014,0.96000,0.09045,0.96000,1.00436
0.97014,0.97000,0.09279,0.97000,1.00873
0.98014,0.98000,0.09461,0.98000,1.01338
0.99014,0.99000,0.09584,0.99000,1.01816
1.00014,1.00000,0.09645,1.00000,1.02281
1.01014,1.01000,0.09645,1.01000,1.02706
1.02014,1.02000,0.09592,1.02000,1.03059
