Tiempo;Evento
2.96;Posición inicial
5.73;< Contacto inicial derecho
5.8;> Despegue izquierdo
6.24;< Contacto inicial izquierdo
6.32;> Despegue derecho
6.77;< Contacto inicial derecho
6.85;> Despegue izquierdo
7.27;< Contacto inicial izquierdo
7.34;> Despegue derecho
7.77;< Contacto inicial derecho
7.84;> Despegue izquierdo
8.26;< Contacto inicial izquierdo
8.34;> Despegue derecho
8.75;< Contacto inicial derecho
8.83;> Despegue izquierdo
9.25;< Contacto inicial izquierdo
9.33;> Despegue derecho
9.77;< Contacto inicial derecho
9.85;> Despegue izquierdo
10.27;< Contacto inicial izquierdo
10.35;> Despegue derecho
10.77;< Contacto inicial derecho
10.85;> Despegue izquierdo
11.27;< Contacto inicial izquierdo
11.35;> Despegue derecho
11.75;< Contacto inicial derecho
11.83;> Despegue izquierdo
12.24;< Contacto inicial izquierdo
12.32;> Despegue derecho
12.72;< Contacto inicial derecho
12.8;> Despegue izquierdo
13.24;< Contacto inicial izquierdo
13.32;> Despegue derecho
13.7;< Contacto inicial derecho
13.78;> Despegue izquierdo
14.21;< Contacto inicial izquierdo
14.29;> Despegue derecho
14.68;< Contacto inicial derecho
14.75;> Despegue izquierdo
15.18;< Contacto inicial izquierdo
15.26;> Despegue derecho
15.63;< Contacto inicial derecho
15.72;> Despegue izquierdo
15.93;< Contacto inicial izquierdo
16.13;> Despegue derecho
16.82;< Contacto inicial derecho
16.9;> Despegue izquierdo
18.05;< Contacto inicial derecho
18.11;> Despegue izquierdo
18.5;< Contacto inicial izquierdo
18.58;> Despegue derecho
19;< Contacto inicial derecho
19.07;> Despegue izquierdo
19.45;< Contacto inicial izquierdo
19.53;> Despegue derecho
19.93;< Contacto inicial derecho
20.01;> Despegue izquierdo
20.44;< Contacto inicial izquierdo
20.52;> Despegue derecho
20.95;< Contacto inicial derecho
21.02;> Despegue izquierdo
21.46;< Contacto inicial izquierdo
21.53;> Despegue derecho
21.93;< Contacto inicial derecho
22;> Despegue izquierdo
22.43;< Contacto inicial izquierdo
22.5;> Despegue derecho
22.88;< Contacto inicial derecho
22.96;> Despegue izquierdo
23.39;< Contacto inicial izquierdo
23.47;> Despegue derecho
23.86;< Contacto inicial derecho
23.94;> Despegue izquierdo
24.38;< Contacto inicial izquierdo
24.45;> Despegue derecho
24.85;< Contacto inicial derecho
24.93;> Despegue izquierdo
25.35;< Contacto inicial izquierdo
25.44;> Despegue derecho
25.82;< Contacto inicial derecho
25.91;> Despegue izquierdo
26.42;< Contacto inicial izquierdo
26.48;> Despegue derecho
26.9;< Contacto inicial derecho
26.97;> Despegue izquierdo
27.38;< Contacto inicial izquierdo
27.47;> Despegue derecho
27.87;< Contacto inicial derecho
27.97;> Despegue izquierdo
28.45;< Contacto inicial izquierdo
28.54;> Despegue derecho
28.88;< Contacto inicial derecho
29.03;> Despegue izquierdo
29.98;< Contacto inicial izquierdo
30.15;> Despegue derecho
30.77;< Contacto inicial derecho
30.83;> Despegue izquierdo
31.22;< Contacto inicial izquierdo
31.29;> Despegue derecho
31.72;< Contacto inicial derecho
31.8;> Despegue izquierdo
32.21;< Contacto inicial izquierdo
32.29;> Despegue derecho
32.71;< Contacto inicial derecho
32.78;> Despegue izquierdo
33.19;< Contacto inicial izquierdo
33.27;> Despegue derecho
33.67;< Contacto inicial derecho
33.75;> Despegue izquierdo
34.17;< Contacto inicial izquierdo
34.25;> Despegue derecho
34.64;< Contacto inicial derecho
34.72;> Despegue izquierdo
35.18;< Contacto inicial izquierdo
35.26;> Despegue derecho
35.65;< Contacto inicial derecho
35.73;> Despegue izquierdo
36.18;< Contacto inicial izquierdo
36.26;> Despegue derecho
36.63;< Contacto inicial derecho
36.71;> Despegue izquierdo
37.19;< Contacto inicial izquierdo
37.28;> Despegue derecho
37.65;< Contacto inicial derecho
37.74;> Despegue izquierdo
38.2;< Contacto inicial izquierdo
38.28;> Despegue derecho
38.66;< Contacto inicial derecho
38.74;> Despegue izquierdo
39.2;< Contacto inicial izquierdo
39.28;> Despegue derecho
39.63;< Contacto inicial derecho
39.72;> Despegue izquierdo
40.19;< Contacto inicial izquierdo
40.27;> Despegue derecho
40.57;< Contacto inicial derecho
40.69;> Despegue izquierdo
41.72;< Contacto inicial derecho
41.75;> Despegue izquierdo
42.28;< Contacto inicial izquierdo
42.35;> Despegue derecho
42.85;< Contacto inicial derecho
42.91;> Despegue izquierdo
43.33;< Contacto inicial izquierdo
43.4;> Despegue derecho
43.81;< Contacto inicial derecho
43.88;> Despegue izquierdo
44.31;< Contacto inicial izquierdo
44.39;> Despegue derecho
44.79;< Contacto inicial derecho
44.86;> Despegue izquierdo
45.31;< Contacto inicial izquierdo
45.38;> Despegue derecho
45.77;< Contacto inicial derecho
45.84;> Despegue izquierdo
46.27;< Contacto inicial izquierdo
46.35;> Despegue derecho
46.75;< Contacto inicial derecho
46.82;> Despegue izquierdo
47.29;< Contacto inicial izquierdo
47.37;> Despegue derecho
47.76;< Contacto inicial derecho
47.83;> Despegue izquierdo
48.3;< Contacto inicial izquierdo
48.37;> Despegue derecho
48.76;< Contacto inicial derecho
48.83;> Despegue izquierdo
49.29;< Contacto inicial izquierdo
49.37;> Despegue derecho
49.75;< Contacto inicial derecho
49.82;> Despegue izquierdo
50.3;< Contacto inicial izquierdo
50.38;> Despegue derecho
50.79;< Contacto inicial derecho
50.85;> Despegue izquierdo
51.3;< Contacto inicial izquierdo
51.38;> Despegue derecho
51.75;< Contacto inicial derecho
51.83;> Despegue izquierdo
52.31;< Contacto inicial izquierdo
52.45;> Despegue derecho
54.56;< Contacto inicial derecho
54.62;> Despegue izquierdo
55.05;< Contacto inicial izquierdo
55.14;> Despegue derecho
55.59;< Contacto inicial derecho
55.66;> Despegue izquierdo
56.08;< Contacto inicial izquierdo
56.16;> Despegue derecho
56.58;< Contacto inicial derecho
56.66;> Despegue izquierdo
57.1;< Contacto inicial izquierdo
57.18;> Despegue derecho
57.6;< Contacto inicial derecho
57.67;> Despegue izquierdo
58.13;< Contacto inicial izquierdo
58.21;> Despegue derecho
58.6;< Contacto inicial derecho
58.68;> Despegue izquierdo
59.12;< Contacto inicial izquierdo
59.21;> Despegue derecho
59.6;< Contacto inicial derecho
59.68;> Despegue izquierdo
60.14;< Contacto inicial izquierdo
60.22;> Despegue derecho
60.61;< Contacto inicial derecho
60.69;> Despegue izquierdo
61.16;< Contacto inicial izquierdo
61.25;> Despegue derecho
61.61;< Contacto inicial derecho
61.69;> Despegue izquierdo
62.19;< Contacto inicial izquierdo
62.27;> Despegue derecho
62.65;< Contacto inicial derecho
62.72;> Despegue izquierdo
63.19;< Contacto inicial izquierdo
63.28;> Despegue derecho
63.61;< Contacto inicial derecho
63.71;> Despegue izquierdo
64.21;< Contacto inicial izquierdo
64.29;> Despegue derecho
64.63;< Contacto inicial derecho
64.74;> Despegue izquierdo
65.2;< Contacto inicial izquierdo
65.71;> Despegue derecho
65.75;< Contacto inicial izquierdo
65.98;> Despegue derecho
