Tiempo,Flexo-extensión torso_X,Flexo-extensión torso_Y,Flexión lateral torso_X,Flexión lateral torso_Y,Rotación torso_X,Rotación torso_Y,Inclinación torso_X,Inclinación torso_Y
0.00000,0.00000,-1.42225,0.00000,0.96644,0.00000,1.57759,0.00000,1.74195
0.01000,0.01000,-1.41415,0.01000,0.96278,0.01000,1.58007,0.01000,1.73313
0.02000,0.02000,-1.40469,0.02000,0.95878,0.02000,1.58342,0.02000,1.72300
0.03000,0.03000,-1.39399,0.03000,0.95453,0.03000,1.58764,0.03000,1.71173
0.04001,0.04000,-1.38223,0.04000,0.95011,0.04000,1.59267,0.04000,1.69948
0.05001,0.05000,-1.36957,0.05000,0.94558,0.05000,1.59841,0.05000,1.68644
0.06001,0.06000,-1.35623,0.06000,0.94097,0.06000,1.60470,0.06000,1.67280
0.07001,0.07000,-1.34243,0.07000,0.93626,0.07000,1.61138,0.07000,1.65872
0.08001,0.08000,-1.32838,0.08000,0.93138,0.08000,1.61827,0.08000,1.64435
0.09001,0.09000,-1.31433,0.09000,0.92628,0.09000,1.62519,0.09000,1.62984
0.10001,0.10000,-1.30050,0.10000,0.92085,0.10000,1.63197,0.10000,1.61533
0.11002,0.11000,-1.28713,0.11000,0.91500,0.11000,1.63843,0.11000,1.60094
0.12002,0.12000,-1.27440,0.12000,0.90868,0.12000,1.64439,0.12000,1.58679
0.13002,0.13000,-1.26251,0.13000,0.90182,0.13000,1.64965,0.13000,1.57301
0.14002,0.14000,-1.25158,0.14000,0.89444,0.14000,1.65403,0.14000,1.55969
0.15002,0.15000,-1.24170,0.15000,0.88655,0.15000,1.65736,0.15000,1.54694
0.16002,0.16000,-1.23293,0.16000,0.87825,0.16000,1.65952,0.16000,1.53485
0.17002,0.17000,-1.22529,0.17000,0.86965,0.17000,1.66048,0.17000,1.52348
0.18003,0.18000,-1.21876,0.18000,0.86090,0.18000,1.66026,0.18000,1.51294
0.19003,0.19000,-1.21328,0.19000,0.85220,0.19000,1.65897,0.19000,1.50328
0.20003,0.20000,-1.20880,0.20000,0.84372,0.20000,1.65680,0.20000,1.49456
0.21003,0.21000,-1.20525,0.21000,0.83566,0.21000,1.65399,0.21000,1.48686
0.22003,0.22000,-1.20254,0.22000,0.82817,0.22000,1.65080,0.22000,1.48019
0.23003,0.23000,-1.20062,0.23000,0.82137,0.23000,1.64749,0.23000,1.47457
0.24003,0.24000,-1.19942,0.24000,0.81532,0.24000,1.64426,0.24000,1.47001
0.25004,0.25000,-1.19888,0.25000,0.81006,0.25000,1.64127,0.25000,1.46646
0.26004,0.26000,-1.19896,0.26000,0.80553,0.26000,1.63858,0.26000,1.46388
0.27004,0.27000,-1.19963,0.27000,0.80169,0.27000,1.63614,0.27000,1.46220
0.28004,0.28000,-1.20085,0.28000,0.79842,0.28000,1.63382,0.28000,1.46132
0.29004,0.29000,-1.20255,0.29000,0.79560,0.29000,1.63144,0.29000,1.46112
0.30004,0.30000,-1.20466,0.30000,0.79310,0.30000,1.62878,0.30000,1.46145
0.31004,0.31000,-1.20706,0.31000,0.79081,0.31000,1.62563,0.31000,1.46214
0.32005,0.32000,-1.20961,0.32000,0.78859,0.32000,1.62182,0.32000,1.46301
0.33005,0.33000,-1.21211,0.33000,0.78635,0.33000,1.61727,0.33000,1.46382
0.34005,0.34000,-1.21436,0.34000,0.78403,0.34000,1.61196,0.34000,1.46438
0.35005,0.35000,-1.21616,0.35000,0.78158,0.35000,1.60596,0.35000,1.46447
0.36005,0.36000,-1.21729,0.36000,0.77899,0.36000,1.59938,0.36000,1.46391
0.37005,0.37000,-1.21759,0.37000,0.77626,0.37000,1.59235,0.37000,1.46257
0.38005,0.38000,-1.21692,0.38000,0.77342,0.38000,1.58500,0.38000,1.46034
0.39006,0.39000,-1.21524,0.39000,0.77050,0.39000,1.57745,0.39000,1.45720
0.40006,0.40000,-1.21253,0.40000,0.76752,0.40000,1.56977,0.40000,1.45316
0.41006,0.41000,-1.20884,0.41000,0.76451,0.41000,1.56198,0.41000,1.44827
0.42006,0.42000,-1.20429,0.42000,0.76147,0.42000,1.55408,0.42000,1.44263
0.43006,0.43000,-1.19901,0.43000,0.75844,0.43000,1.54606,0.43000,1.43637
0.44006,0.44000,-1.19315,0.44000,0.75543,0.44000,1.53791,0.44000,1.42963
0.45006,0.45000,-1.18688,0.45000,0.75249,0.45000,1.52968,0.45000,1.42259
0.46007,0.46000,-1.18036,0.46000,0.74969,0.46000,1.52147,0.46000,1.41541
0.47007,0.47000,-1.17373,0.47000,0.74712,0.47000,1.51344,0.47000,1.40827
0.48007,0.48000,-1.16712,0.48000,0.74489,0.48000,1.50579,0.48000,1.40135
0.49007,0.49000,-1.16062,0.49000,0.74310,0.49000,1.49873,0.49000,1.39477
0.50007,0.50000,-1.15429,0.50000,0.74184,0.50000,1.49245,0.50000,1.38864
0.51007,0.51000,-1.14815,0.51000,0.74117,0.51000,1.48706,0.51000,1.38303
0.52007,0.52000,-1.14219,0.52000,0.74111,0.52000,1.48259,0.52000,1.37793
0.53008,0.53000,-1.13638,0.53000,0.74161,0.53000,1.47893,0.53000,1.37329
0.54008,0.54000,-1.13063,0.54000,0.74260,0.54000,1.47587,0.54000,1.36899
0.55008,0.55000,-1.12489,0.55000,0.74394,0.55000,1.47309,0.55000,1.36491
0.56008,0.56000,-1.11904,0.56000,0.74547,0.56000,1.47018,0.56000,1.36086
0.57008,0.57000,-1.11303,0.57000,0.74704,0.57000,1.46671,0.57000,1.35669
0.58008,0.58000,-1.10678,0.58000,0.74849,0.58000,1.46228,0.58000,1.35226
0.59008,0.59000,-1.10028,0.59000,0.74967,0.59000,1.45653,0.59000,1.34746
0.60009,0.60000,-1.09354,0.60000,0.75049,0.60000,1.44927,0.60000,1.34224
0.61009,0.61000,-1.08659,0.61000,0.75088,0.61000,1.44043,0.61000,1.33660
0.62009,0.62000,-1.07952,0.62000,0.75083,0.62000,1.43014,0.62000,1.33060
0.63009,0.63000,-1.07243,0.63000,0.75034,0.63000,1.41868,0.63000,1.32432
0.64009,0.64000,-1.06541,0.64000,0.74949,0.64000,1.40646,0.64000,1.31789
0.65009,0.65000,-1.05858,0.65000,0.74832,0.65000,1.39395,0.65000,1.31144
0.66009,0.66000,-1.05204,0.66000,0.74695,0.66000,1.38162,0.66000,1.30511
0.67010,0.67000,-1.04583,0.67000,0.74545,0.67000,1.36992,0.67000,1.29900
0.68010,0.68000,-1.04001,0.68000,0.74392,0.68000,1.35918,0.68000,1.29321
0.69010,0.69000,-1.03458,0.69000,0.74243,0.69000,1.34965,0.69000,1.28778
0.70010,0.70000,-1.02949,0.70000,0.74106,0.70000,1.34146,0.70000,1.28272
