Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Flexo-extensión hombro izquierdo_X,Flexo-extensión hombro izquierdo_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Abducción-aducción hombro izquierdo_X,Abducción-aducción hombro izquierdo_Y,Rotación hombro derecho_X,Rotación hombro derecho_Y,Rotación hombro izquierdo_X,Rotación hombro izquierdo_Y
0.00000,0.00000,-1.13007,0.00000,-1.57928,0.00000,0.62790,0.00000,0.64273,0.00000,-1.11066,0.00000,-1.57641
0.01000,0.01000,-1.13048,0.01000,-1.58285,0.01000,0.63258,0.01000,0.64327,0.01000,-1.11094,0.01000,-1.58001
0.02000,0.02000,-1.13038,0.02000,-1.58710,0.02000,0.63789,0.02000,0.64369,0.02000,-1.11070,0.02000,-1.58428
0.03000,0.03000,-1.12966,0.03000,-1.59194,0.03000,0.64365,0.03000,0.64395,0.03000,-1.10983,0.03000,-1.58916
0.04001,0.04000,-1.12821,0.04000,-1.59727,0.04000,0.64966,0.04000,0.64403,0.04000,-1.10822,0.04000,-1.59454
0.05001,0.05000,-1.12598,0.05000,-1.60296,0.05000,0.65570,0.05000,0.64394,0.05000,-1.10584,0.05000,-1.60028
0.06001,0.06000,-1.12296,0.06000,-1.60882,0.06000,0.66158,0.06000,0.64369,0.06000,-1.10268,0.06000,-1.60620
0.07001,0.07000,-1.11919,0.07000,-1.61463,0.07000,0.66710,0.07000,0.64332,0.07000,-1.09878,0.07000,-1.61207
0.08001,0.08000,-1.11472,0.08000,-1.62016,0.08000,0.67212,0.08000,0.64287,0.08000,-1.09420,0.08000,-1.61765
0.09001,0.09000,-1.10966,0.09000,-1.62516,0.09000,0.67653,0.09000,0.64240,0.09000,-1.08906,0.09000,-1.62270
0.10001,0.10000,-1.10413,0.10000,-1.62939,0.10000,0.68027,0.10000,0.64195,0.10000,-1.08346,0.10000,-1.62698
0.11002,0.11000,-1.09824,0.11000,-1.63269,0.11000,0.68332,0.11000,0.64156,0.11000,-1.07754,0.11000,-1.63032
0.12002,0.12000,-1.09215,0.12000,-1.63489,0.12000,0.68565,0.12000,0.64127,0.12000,-1.07145,0.12000,-1.63256
