Tiempo,Flexo-extensión torso_X,Flexo-extensión torso_Y,Flexión lateral torso_X,Flexión lateral torso_Y,Rotación torso_X,Rotación torso_Y,Inclinación torso_X,Inclinación torso_Y
0.00000,0.00000,-0.15936,0.00000,-0.06996,0.00000,0.55942,0.00000,0.17279
0.01000,0.01000,-0.15660,0.01000,-0.07098,0.01000,0.56343,0.01000,0.17069
0.02000,0.02000,-0.15321,0.02000,-0.07247,0.02000,0.56794,0.02000,0.16831
0.03000,0.03000,-0.14922,0.03000,-0.07448,0.03000,0.57279,0.03000,0.16575
0.04001,0.04000,-0.14471,0.04000,-0.07705,0.04000,0.57779,0.04000,0.16313
0.05001,0.05000,-0.13977,0.05000,-0.08021,0.05000,0.58274,0.05000,0.16058
0.06001,0.06000,-0.13452,0.06000,-0.08394,0.06000,0.58738,0.06000,0.15827
0.07001,0.07000,-0.12908,0.07000,-0.08823,0.07000,0.59148,0.07000,0.15633
0.08001,0.08000,-0.12357,0.08000,-0.09305,0.08000,0.59478,0.08000,0.15488
0.09001,0.09000,-0.11812,0.09000,-0.09835,0.09000,0.59706,0.09000,0.15402
0.10001,0.10000,-0.11280,0.10000,-0.10407,0.10000,0.59810,0.10000,0.15384
0.11002,0.11000,-0.10772,0.11000,-0.11016,0.11000,0.59773,0.11000,0.15438
0.12002,0.12000,-0.10296,0.12000,-0.11657,0.12000,0.59585,0.12000,0.15568
0.13002,0.13000,-0.09857,0.13000,-0.12324,0.13000,0.59241,0.13000,0.15775
0.14002,0.14000,-0.09462,0.14000,-0.13013,0.14000,0.58744,0.14000,0.16058
0.15002,0.15000,-0.09116,0.15000,-0.13721,0.15000,0.58105,0.15000,0.16415
0.16002,0.16000,-0.08822,0.16000,-0.14444,0.16000,0.57338,0.16000,0.16842
0.17002,0.17000,-0.08583,0.17000,-0.15177,0.17000,0.56462,0.17000,0.17332
0.18003,0.18000,-0.08399,0.18000,-0.15915,0.18000,0.55501,0.18000,0.17876
0.19003,0.19000,-0.08271,0.19000,-0.16650,0.19000,0.54479,0.19000,0.18463
0.20003,0.20000,-0.08199,0.20000,-0.17375,0.20000,0.53420,0.20000,0.19081
0.21003,0.21000,-0.08180,0.21000,-0.18080,0.21000,0.52348,0.21000,0.19715
0.22003,0.22000,-0.08212,0.22000,-0.18754,0.22000,0.51289,0.22000,0.20352
0.23003,0.23000,-0.08293,0.23000,-0.19388,0.23000,0.50266,0.23000,0.20975
0.24003,0.24000,-0.08416,0.24000,-0.19970,0.24000,0.49299,0.24000,0.21572
0.25003,0.25000,-0.08576,0.25000,-0.20492,0.25000,0.48405,0.25000,0.22129
0.26004,0.26000,-0.08764,0.26000,-0.20947,0.26000,0.47600,0.26000,0.22634
0.27004,0.27000,-0.08971,0.27000,-0.21333,0.27000,0.46892,0.27000,0.23081
0.28004,0.28000,-0.09184,0.28000,-0.21647,0.28000,0.46285,0.28000,0.23462
0.29004,0.29000,-0.09392,0.29000,-0.21893,0.29000,0.45779,0.29000,0.23776
0.30004,0.30000,-0.09583,0.30000,-0.22077,0.30000,0.45369,0.30000,0.24024
0.31004,0.31000,-0.09748,0.31000,-0.22209,0.31000,0.45046,0.31000,0.24211
0.32004,0.32000,-0.09881,0.32000,-0.22300,0.32000,0.44798,0.32000,0.24345
0.33005,0.33000,-0.09977,0.33000,-0.22365,0.33000,0.44610,0.33000,0.24440
0.34005,0.34000,-0.10037,0.34000,-0.22417,0.34000,0.44468,0.34000,0.24507
0.35005,0.35000,-0.10065,0.35000,-0.22469,0.35000,0.44357,0.35000,0.24561
0.36005,0.36000,-0.10066,0.36000,-0.22532,0.36000,0.44261,0.36000,0.24615
0.37005,0.37000,-0.10046,0.37000,-0.22613,0.37000,0.44165,0.37000,0.24676
0.38005,0.38000,-0.10011,0.38000,-0.22715,0.38000,0.44055,0.38000,0.24751
0.39005,0.39000,-0.09965,0.39000,-0.22835,0.39000,0.43917,0.39000,0.24840
0.40006,0.40000,-0.09911,0.40000,-0.22971,0.40000,0.43736,0.40000,0.24940
0.41006,0.41000,-0.09848,0.41000,-0.23116,0.41000,0.43500,0.41000,0.25048
0.42006,0.42000,-0.09775,0.42000,-0.23264,0.42000,0.43197,0.42000,0.25156
0.43006,0.43000,-0.09688,0.43000,-0.23410,0.43000,0.42820,0.43000,0.25259
0.44006,0.44000,-0.09584,0.44000,-0.23549,0.44000,0.42363,0.44000,0.25351
0.45006,0.45000,-0.09458,0.45000,-0.23679,0.45000,0.41827,0.45000,0.25430
0.46006,0.46000,-0.09307,0.46000,-0.23801,0.46000,0.41218,0.46000,0.25494
0.47006,0.47000,-0.09129,0.47000,-0.23914,0.47000,0.40547,0.47000,0.25544
