Tiempo,Flexo-extensión torso_X,Flexo-extensión torso_Y,Flexión lateral torso_X,Flexión lateral torso_Y,Rotación torso_X,Rotación torso_Y,Inclinación torso_X,Inclinación torso_Y
0.00000,0.00000,-1.04302,0.00000,-0.08241,0.00000,-0.25622,0.00000,1.04657
0.01000,0.01000,-1.01944,0.01000,-0.08024,0.01000,-0.27088,0.01000,1.02281
0.02000,0.02000,-0.99125,0.02000,-0.07786,0.02000,-0.28735,0.02000,0.99443
0.03000,0.03000,-0.95879,0.03000,-0.07540,0.03000,-0.30520,0.03000,0.96178
0.04001,0.04000,-0.92262,0.04000,-0.07298,0.04000,-0.32396,0.04000,0.92544
0.05001,0.05000,-0.88344,0.05000,-0.07077,0.05000,-0.34313,0.05000,0.88615
0.06001,0.06000,-0.84207,0.06000,-0.06893,0.06000,-0.36227,0.06000,0.84477
0.07001,0.07000,-0.79937,0.07000,-0.06763,0.07000,-0.38098,0.07000,0.80216
0.08001,0.08000,-0.75616,0.08000,-0.06702,0.08000,-0.39900,0.08000,0.75922
0.09001,0.09000,-0.71321,0.09000,-0.06725,0.09000,-0.41615,0.09000,0.71672
0.10001,0.10000,-0.67118,0.10000,-0.06843,0.10000,-0.43238,0.10000,0.67538
0.11002,0.11000,-0.63063,0.11000,-0.07067,0.11000,-0.44772,0.11000,0.63579
0.12002,0.12000,-0.59205,0.12000,-0.07402,0.12000,-0.46228,0.12000,0.59843
0.13002,0.13000,-0.55580,0.13000,-0.07851,0.13000,-0.47623,0.13000,0.56369
0.14002,0.14000,-0.52220,0.14000,-0.08413,0.14000,-0.48974,0.14000,0.53188
0.15002,0.15000,-0.49150,0.15000,-0.09082,0.15000,-0.50295,0.15000,0.50322
0.16002,0.16000,-0.46385,0.16000,-0.09849,0.16000,-0.51601,0.16000,0.47785
0.17002,0.17000,-0.43936,0.17000,-0.10701,0.17000,-0.52895,0.17000,0.45580
0.18002,0.18000,-0.41800,0.18000,-0.11621,0.18000,-0.54178,0.18000,0.43702
0.19003,0.19000,-0.39960,0.19000,-0.12592,0.19000,-0.55442,0.19000,0.42130
0.20003,0.20000,-0.38382,0.20000,-0.13593,0.20000,-0.56674,0.20000,0.40831
0.21003,0.21000,-0.37017,0.21000,-0.14606,0.21000,-0.57856,0.21000,0.39756
0.22003,0.22000,-0.35797,0.22000,-0.15614,0.22000,-0.58967,0.22000,0.38847
0.23003,0.23000,-0.34645,0.23000,-0.16603,0.23000,-0.59985,0.23000,0.38041
0.24003,0.24000,-0.33476,0.24000,-0.17562,0.24000,-0.60890,0.24000,0.37276
0.25003,0.25000,-0.32210,0.25000,-0.18483,0.25000,-0.61666,0.25000,0.36498
0.26004,0.26000,-0.30772,0.26000,-0.19361,0.26000,-0.62302,0.26000,0.35670
0.27004,0.27000,-0.29104,0.27000,-0.20196,0.27000,-0.62793,0.27000,0.34773
0.28004,0.28000,-0.27165,0.28000,-0.20990,0.28000,-0.63145,0.28000,0.33810
0.29004,0.29000,-0.24932,0.29000,-0.21749,0.29000,-0.63366,0.29000,0.32806
0.30004,0.30000,-0.22404,0.30000,-0.22486,0.30000,-0.63477,0.30000,0.31805
0.31004,0.31000,-0.19596,0.31000,-0.23216,0.31000,-0.63503,0.31000,0.30868
0.32004,0.32000,-0.16541,0.32000,-0.23965,0.32000,-0.63480,0.32000,0.30066
0.33004,0.33000,-0.13282,0.33000,-0.24762,0.33000,-0.63453,0.33000,0.29474
0.34005,0.34000,-0.09876,0.34000,-0.25644,0.34000,-0.63477,0.34000,0.29165
0.35005,0.35000,-0.06385,0.35000,-0.26650,0.35000,-0.63612,0.35000,0.29205
0.36005,0.36000,-0.02881,0.36000,-0.27821,0.36000,-0.63927,0.36000,0.29645
0.37005,0.37000,0.00559,0.37000,-0.29193,0.37000,-0.64488,0.37000,0.30517
0.38005,0.38000,0.03853,0.38000,-0.30794,0.38000,-0.65359,0.38000,0.31830
0.39005,0.39000,0.06917,0.39000,-0.32637,0.39000,-0.66593,0.39000,0.33565
0.40005,0.40000,0.09668,0.40000,-0.34722,0.40000,-0.68224,0.40000,0.35680
0.41006,0.41000,0.12024,0.41000,-0.37029,0.41000,-0.70267,0.41000,0.38110
0.42006,0.42000,0.13911,0.42000,-0.39523,0.42000,-0.72710,0.42000,0.40774
0.43006,0.43000,0.15266,0.43000,-0.42157,0.43000,-0.75517,0.43000,0.43582
0.44006,0.44000,0.16045,0.44000,-0.44876,0.44000,-0.78626,0.44000,0.46444
0.45006,0.45000,0.16219,0.45000,-0.47625,0.45000,-0.81956,0.45000,0.49279
0.46006,0.46000,0.15787,0.46000,-0.50349,0.46000,-0.85416,0.46000,0.52021
0.47006,0.47000,0.14770,0.47000,-0.53006,0.47000,-0.88905,0.47000,0.54627
0.48006,0.48000,0.13213,0.48000,-0.55562,0.48000,-0.92327,0.48000,0.57071
0.49007,0.49000,0.11181,0.49000,-0.57996,0.49000,-0.95593,0.49000,0.59352
0.50007,0.50000,0.08756,0.50000,-0.60296,0.50000,-0.98628,0.50000,0.61481
0.51007,0.51000,0.06029,0.51000,-0.62461,0.51000,-1.01370,0.51000,0.63482
0.52007,0.52000,0.03093,0.52000,-0.64496,0.52000,-1.03771,0.52000,0.65384
0.53007,0.53000,0.00037,0.53000,-0.66409,0.53000,-1.05790,0.53000,0.67217
0.54007,0.54000,-0.03060,0.54000,-0.68210,0.54000,-1.07394,0.54000,0.69009
0.55007,0.55000,-0.06134,0.55000,-0.69911,0.55000,-1.08558,0.55000,0.70781
0.56008,0.56000,-0.09134,0.56000,-0.71520,0.56000,-1.09258,0.56000,0.72550
0.57008,0.57000,-0.12029,0.57000,-0.73046,0.57000,-1.09479,0.57000,0.74326
0.58008,0.58000,-0.14799,0.58000,-0.74493,0.58000,-1.09218,0.58000,0.76111
0.59008,0.59000,-0.17440,0.59000,-0.75863,0.59000,-1.08484,0.59000,0.77904
0.60008,0.60000,-0.19954,0.60000,-0.77157,0.60000,-1.07302,0.60000,0.79697
0.61008,0.61000,-0.22357,0.61000,-0.78371,0.61000,-1.05714,0.61000,0.81483
0.62008,0.62000,-0.24665,0.62000,-0.79502,0.62000,-1.03779,0.62000,0.83249
0.63008,0.63000,-0.26902,0.63000,-0.80544,0.63000,-1.01567,0.63000,0.84988
0.64009,0.64000,-0.29092,0.64000,-0.81495,0.64000,-0.99159,0.64000,0.86690
0.65009,0.65000,-0.31257,0.65000,-0.82354,0.65000,-0.96638,0.65000,0.88349
0.66009,0.66000,-0.33414,0.66000,-0.83120,0.66000,-0.94088,0.66000,0.89962
0.67009,0.67000,-0.35574,0.67000,-0.83797,0.67000,-0.91583,0.67000,0.91526
0.68009,0.68000,-0.37734,0.68000,-0.84393,0.68000,-0.89187,0.68000,0.93036
0.69009,0.69000,-0.39878,0.69000,-0.84915,0.69000,-0.86944,0.69000,0.94485
0.70009,0.70000,-0.41975,0.70000,-0.85376,0.70000,-0.84886,0.70000,0.95865
0.71010,0.71000,-0.43985,0.71000,-0.85790,0.71000,-0.83023,0.71000,0.97166
0.72010,0.72000,-0.45858,0.72000,-0.86172,0.72000,-0.81356,0.72000,0.98376
0.73010,0.73000,-0.47544,0.73000,-0.86541,0.73000,-0.79875,0.73000,0.99483
0.74010,0.74000,-0.48995,0.74000,-0.86912,0.74000,-0.78567,0.74000,1.00481
0.75010,0.75000,-0.50176,0.75000,-0.87300,0.75000,-0.77418,0.75000,1.01364
0.76010,0.76000,-0.51064,0.76000,-0.87718,0.76000,-0.76416,0.76000,1.02132
0.77010,0.77000,-0.51654,0.77000,-0.88174,0.77000,-0.75554,0.77000,1.02789
0.78010,0.78000,-0.51952,0.78000,-0.88670,0.78000,-0.74826,0.78000,1.03342
0.79011,0.79000,-0.51979,0.79000,-0.89203,0.79000,-0.74231,0.79000,1.03800
0.80011,0.80000,-0.51763,0.80000,-0.89767,0.80000,-0.73767,0.80000,1.04171
0.81011,0.81000,-0.51337,0.81000,-0.90349,0.81000,-0.73433,0.81000,1.04463
0.82011,0.82000,-0.50733,0.82000,-0.90933,0.82000,-0.73228,0.82000,1.04677
0.83011,0.83000,-0.49978,0.83000,-0.91498,0.83000,-0.73148,0.83000,1.04811
0.84011,0.84000,-0.49095,0.84000,-0.92025,0.84000,-0.73189,0.84000,1.04860
0.85011,0.85000,-0.48100,0.85000,-0.92491,0.85000,-0.73344,0.85000,1.04814
0.86012,0.86000,-0.47007,0.86000,-0.92876,0.86000,-0.73608,0.86000,1.04662
0.87012,0.87000,-0.45823,0.87000,-0.93161,0.87000,-0.73971,0.87000,1.04391
0.88012,0.88000,-0.44559,0.88000,-0.93332,0.88000,-0.74427,0.88000,1.03992
0.89012,0.89000,-0.43226,0.89000,-0.93377,0.89000,-0.74969,0.89000,1.03462
0.90012,0.90000,-0.41841,0.90000,-0.93292,0.90000,-0.75591,0.90000,1.02802
0.91012,0.91000,-0.40429,0.91000,-0.93079,0.91000,-0.76287,0.91000,1.02021
0.92012,0.92000,-0.39020,0.92000,-0.92742,0.92000,-0.77054,0.92000,1.01136
0.93012,0.93000,-0.37654,0.93000,-0.92295,0.93000,-0.77889,0.93000,1.00172
0.94013,0.94000,-0.36372,0.94000,-0.91754,0.94000,-0.78791,0.94000,0.99160
0.95013,0.95000,-0.35219,0.95000,-0.91141,0.95000,-0.79764,0.95000,0.98136
0.96013,0.96000,-0.34238,0.96000,-0.90481,0.96000,-0.80815,0.96000,0.97140
0.97013,0.97000,-0.33467,0.97000,-0.89800,0.97000,-0.81958,0.97000,0.96209
0.98013,0.98000,-0.32937,0.98000,-0.89121,0.98000,-0.83206,0.98000,0.95379
0.99013,0.99000,-0.32669,0.99000,-0.88464,0.99000,-0.84576,0.99000,0.94676
1.00013,1.00000,-0.32675,1.00000,-0.87843,1.00000,-0.86079,1.00000,0.94119
1.01014,1.01000,-0.32958,1.01000,-0.87260,1.01000,-0.87720,1.01000,0.93714
1.02014,1.02000,-0.33508,1.02000,-0.86711,1.02000,-0.89494,1.02000,0.93456
1.03014,1.03000,-0.34309,1.03000,-0.86181,1.03000,-0.91380,1.03000,0.93325
1.04014,1.04000,-0.35332,1.04000,-0.85650,1.04000,-0.93345,1.04000,0.93293
