Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Flexo-extensión hombro izquierdo_X,Flexo-extensión hombro izquierdo_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Abducción-aducción hombro izquierdo_X,Abducción-aducción hombro izquierdo_Y,Rotación hombro derecho_X,Rotación hombro derecho_Y,Rotación hombro izquierdo_X,Rotación hombro izquierdo_Y
0.00000,0.00000,-0.08327,0.00000,-0.21026,0.00000,0.05263,0.00000,0.11196,0.00000,-0.08332,0.00000,-0.21034
0.01000,0.01000,-0.08148,0.01000,-0.21262,0.01000,0.05151,0.01000,0.11050,0.01000,-0.08153,0.01000,-0.21270
0.02000,0.02000,-0.07941,0.02000,-0.21455,0.02000,0.04970,0.02000,0.10911,0.02000,-0.07945,0.02000,-0.21462
0.03000,0.03000,-0.07713,0.03000,-0.21579,0.03000,0.04714,0.03000,0.10789,0.03000,-0.07717,0.03000,-0.21587
0.04001,0.04000,-0.07474,0.04000,-0.21615,0.04000,0.04383,0.04000,0.10690,0.04000,-0.07478,0.04000,-0.21622
0.05001,0.05000,-0.07238,0.05000,-0.21543,0.05000,0.03982,0.05000,0.10618,0.05000,-0.07242,0.05000,-0.21550
0.06001,0.06000,-0.07018,0.06000,-0.21354,0.06000,0.03524,0.06000,0.10572,0.06000,-0.07021,0.06000,-0.21361
0.07001,0.07000,-0.06825,0.07000,-0.21043,0.07000,0.03024,0.07000,0.10546,0.07000,-0.06828,0.07000,-0.21050
0.08001,0.08000,-0.06673,0.08000,-0.20612,0.08000,0.02505,0.08000,0.10530,0.08000,-0.06675,0.08000,-0.20619
0.09001,0.09000,-0.06566,0.09000,-0.20068,0.09000,0.01988,0.09000,0.10509,0.09000,-0.06568,0.09000,-0.20075
0.10001,0.10000,-0.06510,0.10000,-0.19420,0.10000,0.01495,0.10000,0.10464,0.10000,-0.06511,0.10000,-0.19427
0.11002,0.11000,-0.06502,0.11000,-0.18682,0.11000,0.01049,0.11000,0.10377,0.11000,-0.06503,0.11000,-0.18689
0.12002,0.12000,-0.06535,0.12000,-0.17864,0.12000,0.00666,0.12000,0.10233,0.12000,-0.06536,0.12000,-0.17871
0.13002,0.13000,-0.06598,0.13000,-0.16976,0.13000,0.00360,0.13000,0.10019,0.13000,-0.06598,0.13000,-0.16983
0.14002,0.14000,-0.06673,0.14000,-0.16029,0.14000,0.00141,0.14000,0.09728,0.14000,-0.06674,0.14000,-0.16036
0.15002,0.15000,-0.06743,0.15000,-0.15028,0.15000,0.00010,0.15000,0.09361,0.15000,-0.06743,0.15000,-0.15035
0.16002,0.16000,-0.06788,0.16000,-0.13981,0.16000,-0.00033,0.16000,0.08924,0.16000,-0.06788,0.16000,-0.13988
0.17002,0.17000,-0.06789,0.17000,-0.12896,0.17000,0.00006,0.17000,0.08428,0.17000,-0.06789,0.17000,-0.12903
0.18003,0.18000,-0.06731,0.18000,-0.11784,0.18000,0.00113,0.18000,0.07891,0.18000,-0.06732,0.18000,-0.11790
0.19003,0.19000,-0.06608,0.19000,-0.10658,0.19000,0.00277,0.19000,0.07331,0.19000,-0.06609,0.19000,-0.10664
0.20003,0.20000,-0.06418,0.20000,-0.09536,0.20000,0.00483,0.20000,0.06767,0.20000,-0.06419,0.20000,-0.09542
0.21003,0.21000,-0.06168,0.21000,-0.08438,0.21000,0.00718,0.21000,0.06217,0.21000,-0.06170,0.21000,-0.08444
0.22003,0.22000,-0.05874,0.22000,-0.07384,0.22000,0.00970,0.22000,0.05698,0.22000,-0.05877,0.22000,-0.07390
0.23003,0.23000,-0.05555,0.23000,-0.06393,0.23000,0.01234,0.23000,0.05225,0.23000,-0.05557,0.23000,-0.06399
0.24003,0.24000,-0.05229,0.24000,-0.05482,0.24000,0.01506,0.24000,0.04808,0.24000,-0.05232,0.24000,-0.05487
0.25004,0.25000,-0.04916,0.25000,-0.04658,0.25000,0.01787,0.25000,0.04456,0.25000,-0.04920,0.25000,-0.04664
