Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,0.38700,0.00000,0.57322
0.01001,0.01000,0.38739,0.01000,0.57622
0.02001,0.02000,0.38803,0.02000,0.57969
0.03002,0.03000,0.38897,0.03000,0.58357
0.04003,0.04000,0.39025,0.04000,0.58774
0.05004,0.05000,0.39190,0.05000,0.59209
0.06004,0.06000,0.39393,0.06000,0.59649
0.07005,0.07000,0.39632,0.07000,0.60076
0.08006,0.08000,0.39906,0.08000,0.60476
0.09007,0.09000,0.40208,0.09000,0.60833
0.10007,0.10000,0.40533,0.10000,0.61131
0.11008,0.11000,0.40873,0.11000,0.61360
0.12009,0.12000,0.41220,0.12000,0.61510
0.13009,0.13000,0.41566,0.13000,0.61575
0.14010,0.14000,0.41903,0.14000,0.61557
0.15011,0.15000,0.42225,0.15000,0.61457
0.16012,0.16000,0.42525,0.16000,0.61285
0.17012,0.17000,0.42799,0.17000,0.61050
0.18013,0.18000,0.43045,0.18000,0.60766
0.19014,0.19000,0.43259,0.19000,0.60444
0.20014,0.20000,0.43438,0.20000,0.60098
0.21015,0.21000,0.43582,0.21000,0.59737
0.22016,0.22000,0.43689,0.22000,0.59372
0.23017,0.23000,0.43757,0.23000,0.59010
0.24017,0.24000,0.43787,0.24000,0.58655
0.25018,0.25000,0.43780,0.25000,0.58313
0.26019,0.26000,0.43739,0.26000,0.57987
0.27019,0.27000,0.43669,0.27000,0.57682
0.28020,0.28000,0.43575,0.28000,0.57402
0.29021,0.29000,0.43464,0.29000,0.57153
0.30022,0.30000,0.43342,0.30000,0.56943
0.31022,0.31000,0.43217,0.31000,0.56777
0.32023,0.32000,0.43094,0.32000,0.56664
0.33024,0.33000,0.42978,0.33000,0.56607
0.34024,0.34000,0.42873,0.34000,0.56609
0.35025,0.35000,0.42783,0.35000,0.56669
0.36026,0.36000,0.42706,0.36000,0.56781
0.37027,0.37000,0.42643,0.37000,0.56935
0.38027,0.38000,0.42593,0.38000,0.57117
0.39028,0.39000,0.42552,0.39000,0.57310
0.40029,0.40000,0.42519,0.40000,0.57496
0.41029,0.41000,0.42491,0.41000,0.57656
0.42030,0.42000,0.42467,0.42000,0.57777
0.43031,0.43000,0.42446,0.43000,0.57845
0.44032,0.44000,0.42428,0.44000,0.57855
0.45032,0.45000,0.42413,0.45000,0.57805
0.46033,0.46000,0.42402,0.46000,0.57698
0.47034,0.47000,0.42396,0.47000,0.57542
0.48035,0.48000,0.42396,0.48000,0.57346
0.49035,0.49000,0.42402,0.49000,0.57122
0.50036,0.50000,0.42412,0.50000,0.56879
0.51037,0.51000,0.42427,0.51000,0.56627
0.52037,0.52000,0.42446,0.52000,0.56374
0.53038,0.53000,0.42470,0.53000,0.56125
0.54039,0.54000,0.42500,0.54000,0.55881
0.55040,0.55000,0.42536,0.55000,0.55643
0.56040,0.56000,0.42580,0.56000,0.55409
0.57041,0.57000,0.42634,0.57000,0.55175
0.58042,0.58000,0.42701,0.58000,0.54939
0.59042,0.59000,0.42781,0.59000,0.54695
