Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Flexo-extensión hombro izquierdo_X,Flexo-extensión hombro izquierdo_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Abducción-aducción hombro izquierdo_X,Abducción-aducción hombro izquierdo_Y,Rotación hombro derecho_X,Rotación hombro derecho_Y,Rotación hombro izquierdo_X,Rotación hombro izquierdo_Y
0.00000,0.00000,-0.37794,0.00000,-0.29515,0.00000,-0.19328,0.00000,-0.74298,0.00000,-0.37558,0.00000,-0.29970
0.01000,0.01000,-0.37598,0.01000,-0.29266,0.01000,-0.19279,0.01000,-0.74322,0.01000,-0.37362,0.01000,-0.29721
0.02000,0.02000,-0.37380,0.02000,-0.28960,0.02000,-0.19205,0.02000,-0.74347,0.02000,-0.37144,0.02000,-0.29414
0.03000,0.03000,-0.37141,0.03000,-0.28592,0.03000,-0.19102,0.03000,-0.74370,0.03000,-0.36905,0.03000,-0.29048
0.04001,0.04000,-0.36883,0.04000,-0.28163,0.04000,-0.18969,0.04000,-0.74390,0.04000,-0.36647,0.04000,-0.28620
0.05001,0.05000,-0.36603,0.05000,-0.27671,0.05000,-0.18806,0.05000,-0.74407,0.05000,-0.36369,0.05000,-0.28131
0.06001,0.06000,-0.36301,0.06000,-0.27119,0.06000,-0.18616,0.06000,-0.74417,0.06000,-0.36068,0.06000,-0.27583
0.07001,0.07000,-0.35971,0.07000,-0.26512,0.07000,-0.18404,0.07000,-0.74421,0.07000,-0.35739,0.07000,-0.26980
0.08001,0.08000,-0.35611,0.08000,-0.25855,0.08000,-0.18176,0.08000,-0.74417,0.08000,-0.35381,0.08000,-0.26327
0.09001,0.09000,-0.35215,0.09000,-0.25159,0.09000,-0.17939,0.09000,-0.74403,0.09000,-0.34987,0.09000,-0.25635
0.10001,0.10000,-0.34783,0.10000,-0.24432,0.10000,-0.17703,0.10000,-0.74378,0.10000,-0.34558,0.10000,-0.24914
0.11002,0.11000,-0.34316,0.11000,-0.23687,0.11000,-0.17474,0.11000,-0.74341,0.11000,-0.34092,0.11000,-0.24173
0.12002,0.12000,-0.33817,0.12000,-0.22934,0.12000,-0.17260,0.12000,-0.74291,0.12000,-0.33596,0.12000,-0.23423
0.13002,0.13000,-0.33295,0.13000,-0.22182,0.13000,-0.17067,0.13000,-0.74231,0.13000,-0.33075,0.13000,-0.22675
0.14002,0.14000,-0.32759,0.14000,-0.21438,0.14000,-0.16898,0.14000,-0.74163,0.14000,-0.32541,0.14000,-0.21935
0.15002,0.15000,-0.32224,0.15000,-0.20710,0.15000,-0.16756,0.15000,-0.74092,0.15000,-0.32007,0.15000,-0.21210
0.16002,0.16000,-0.31704,0.16000,-0.20001,0.16000,-0.16641,0.16000,-0.74028,0.16000,-0.31487,0.16000,-0.20505
0.17002,0.17000,-0.31212,0.17000,-0.19316,0.17000,-0.16549,0.17000,-0.73978,0.17000,-0.30995,0.17000,-0.19824
0.18002,0.18000,-0.30762,0.18000,-0.18657,0.18000,-0.16476,0.18000,-0.73954,0.18000,-0.30545,0.18000,-0.19170
0.19003,0.19000,-0.30362,0.19000,-0.18028,0.19000,-0.16418,0.19000,-0.73963,0.19000,-0.30144,0.19000,-0.18546
0.20003,0.20000,-0.30017,0.20000,-0.17431,0.20000,-0.16369,0.20000,-0.74013,0.20000,-0.29797,0.20000,-0.17954
0.21003,0.21000,-0.29727,0.21000,-0.16867,0.21000,-0.16323,0.21000,-0.74110,0.21000,-0.29505,0.21000,-0.17395
0.22003,0.22000,-0.29487,0.22000,-0.16336,0.22000,-0.16278,0.22000,-0.74252,0.22000,-0.29264,0.22000,-0.16870
0.23003,0.23000,-0.29288,0.23000,-0.15836,0.23000,-0.16234,0.23000,-0.74438,0.23000,-0.29064,0.23000,-0.16377
0.24003,0.24000,-0.29120,0.24000,-0.15366,0.24000,-0.16193,0.24000,-0.74658,0.24000,-0.28894,0.24000,-0.15913
0.25003,0.25000,-0.28967,0.25000,-0.14919,0.25000,-0.16161,0.25000,-0.74904,0.25000,-0.28740,0.25000,-0.15473
0.26004,0.26000,-0.28814,0.26000,-0.14493,0.26000,-0.16145,0.26000,-0.75162,0.26000,-0.28586,0.26000,-0.15052
0.27004,0.27000,-0.28647,0.27000,-0.14080,0.27000,-0.16156,0.27000,-0.75420,0.27000,-0.28418,0.27000,-0.14645
0.28004,0.28000,-0.28452,0.28000,-0.13675,0.28000,-0.16201,0.28000,-0.75666,0.28000,-0.28222,0.28000,-0.14246
0.29004,0.29000,-0.28221,0.29000,-0.13273,0.29000,-0.16289,0.29000,-0.75888,0.29000,-0.27990,0.29000,-0.13849
0.30004,0.30000,-0.27947,0.30000,-0.12870,0.30000,-0.16426,0.30000,-0.76079,0.30000,-0.27716,0.30000,-0.13451
0.31004,0.31000,-0.27632,0.31000,-0.12463,0.31000,-0.16614,0.31000,-0.76234,0.31000,-0.27400,0.31000,-0.13048
0.32004,0.32000,-0.27279,0.32000,-0.12051,0.32000,-0.16853,0.32000,-0.76352,0.32000,-0.27047,0.32000,-0.12639
0.33004,0.33000,-0.26898,0.33000,-0.11634,0.33000,-0.17140,0.33000,-0.76435,0.33000,-0.26664,0.33000,-0.12226
