Tiempo,Rotación pelvis_X,Rotación pelvis_Y,Inclinación pelvis_X,Inclinación pelvis_Y,Oblicuidad pelvis_X,Oblicuidad pelvis_Y
0.00000,0.00000,0.45716,0.00000,1.38603,0.00000,0.52143
0.01000,0.01000,0.45821,0.01000,1.38365,0.01000,0.52046
0.02000,0.02000,0.45955,0.02000,1.38104,0.02000,0.51955
0.03001,0.03000,0.46117,0.03000,1.37827,0.03000,0.51875
0.04001,0.04000,0.46305,0.04000,1.37543,0.04000,0.51815
0.05001,0.05000,0.46517,0.05000,1.37262,0.05000,0.51778
0.06001,0.06000,0.46747,0.06000,1.36989,0.06000,0.51770
0.07001,0.07000,0.46992,0.07000,1.36731,0.07000,0.51792
0.08001,0.08000,0.47247,0.08000,1.36490,0.08000,0.51843
0.09001,0.09000,0.47511,0.09000,1.36265,0.09000,0.51919
0.10002,0.10000,0.47784,0.10000,1.36056,0.10000,0.52015
0.11002,0.11000,0.48066,0.11000,1.35854,0.11000,0.52124
0.12002,0.12000,0.48362,0.12000,1.35654,0.12000,0.52235
0.13002,0.13000,0.48675,0.13000,1.35446,0.13000,0.52342
0.14002,0.14000,0.49009,0.14000,1.35220,0.14000,0.52435
0.15002,0.15000,0.49365,0.15000,1.34966,0.15000,0.52508
0.16002,0.16000,0.49741,0.16000,1.34676,0.16000,0.52556
0.17003,0.17000,0.50132,0.17000,1.34342,0.17000,0.52577
0.18003,0.18000,0.50525,0.18000,1.33957,0.18000,0.52570
0.19003,0.19000,0.50902,0.19000,1.33518,0.19000,0.52536
0.20003,0.20000,0.51244,0.20000,1.33022,0.20000,0.52475
0.21003,0.21000,0.51529,0.21000,1.32466,0.21000,0.52389
0.22003,0.22000,0.51734,0.22000,1.31852,0.22000,0.52277
0.23004,0.23000,0.51841,0.23000,1.31177,0.23000,0.52136
0.24004,0.24000,0.51838,0.24000,1.30442,0.24000,0.51963
0.25004,0.25000,0.51718,0.25000,1.29644,0.25000,0.51752
0.26004,0.26000,0.51485,0.26000,1.28784,0.26000,0.51498
0.27004,0.27000,0.51149,0.27000,1.27857,0.27000,0.51196
0.28004,0.28000,0.50727,0.28000,1.26861,0.28000,0.50842
0.29004,0.29000,0.50239,0.29000,1.25793,0.29000,0.50435
0.30005,0.30000,0.49707,0.30000,1.24650,0.30000,0.49976
0.31005,0.31000,0.49150,0.31000,1.23427,0.31000,0.49466
0.32005,0.32000,0.48582,0.32000,1.22122,0.32000,0.48911
0.33005,0.33000,0.48009,0.33000,1.20732,0.33000,0.48317
0.34005,0.34000,0.47431,0.34000,1.19258,0.34000,0.47688
0.35005,0.35000,0.46843,0.35000,1.17698,0.35000,0.47032
0.36005,0.36000,0.46236,0.36000,1.16055,0.36000,0.46353
0.37006,0.37000,0.45601,0.37000,1.14333,0.37000,0.45656
0.38006,0.38000,0.44932,0.38000,1.12536,0.38000,0.44946
0.39006,0.39000,0.44224,0.39000,1.10673,0.39000,0.44226
0.40006,0.40000,0.43478,0.40000,1.08749,0.40000,0.43496
0.41006,0.41000,0.42696,0.41000,1.06776,0.41000,0.42759
0.42006,0.42000,0.41880,0.42000,1.04762,0.42000,0.42015
0.43007,0.43000,0.41034,0.43000,1.02720,0.43000,0.41266
0.44007,0.44000,0.40158,0.44000,1.00661,0.44000,0.40511
0.45007,0.45000,0.39256,0.45000,0.98600,0.45000,0.39753
0.46007,0.46000,0.38329,0.46000,0.96549,0.46000,0.38993
0.47007,0.47000,0.37381,0.47000,0.94525,0.47000,0.38235
0.48007,0.48000,0.36419,0.48000,0.92544,0.48000,0.37481
0.49007,0.49000,0.35450,0.49000,0.90621,0.49000,0.36737
0.50008,0.50000,0.34485,0.50000,0.88771,0.50000,0.36006
0.51008,0.51000,0.33537,0.51000,0.87009,0.51000,0.35293
0.52008,0.52000,0.32619,0.52000,0.85349,0.52000,0.34603
0.53008,0.53000,0.31744,0.53000,0.83799,0.53000,0.33940
0.54008,0.54000,0.30925,0.54000,0.82370,0.54000,0.33309
0.55008,0.55000,0.30168,0.55000,0.81067,0.55000,0.32716
0.56008,0.56000,0.29479,0.56000,0.79892,0.56000,0.32165
0.57009,0.57000,0.28856,0.57000,0.78844,0.57000,0.31662
0.58009,0.58000,0.28291,0.58000,0.77916,0.58000,0.31209
0.59009,0.59000,0.27773,0.59000,0.77100,0.59000,0.30810
0.60009,0.60000,0.27286,0.60000,0.76380,0.60000,0.30465
0.61009,0.61000,0.26813,0.61000,0.75741,0.61000,0.30176
0.62009,0.62000,0.26338,0.62000,0.75164,0.62000,0.29937
0.63010,0.63000,0.25847,0.63000,0.74630,0.63000,0.29746
0.64010,0.64000,0.25328,0.64000,0.74120,0.64000,0.29596
0.65010,0.65000,0.24776,0.65000,0.73619,0.65000,0.29480
0.66010,0.66000,0.24189,0.66000,0.73113,0.66000,0.29390
0.67010,0.67000,0.23569,0.67000,0.72592,0.67000,0.29318
0.68010,0.68000,0.22926,0.68000,0.72051,0.68000,0.29256
0.69010,0.69000,0.22271,0.69000,0.71486,0.69000,0.29194
0.70011,0.70000,0.21621,0.70000,0.70897,0.70000,0.29124
0.71011,0.71000,0.20994,0.71000,0.70288,0.71000,0.29038
0.72011,0.72000,0.20413,0.72000,0.69664,0.72000,0.28929
0.73011,0.73000,0.19900,0.73000,0.69031,0.73000,0.28792
0.74011,0.74000,0.19478,0.74000,0.68398,0.74000,0.28624
0.75011,0.75000,0.19162,0.75000,0.67774,0.75000,0.28423
0.76011,0.76000,0.18965,0.76000,0.67166,0.76000,0.28191
0.77012,0.77000,0.18887,0.77000,0.66582,0.77000,0.27932
0.78012,0.78000,0.18923,0.78000,0.66029,0.78000,0.27651
0.79012,0.79000,0.19055,0.79000,0.65510,0.79000,0.27355
0.80012,0.80000,0.19258,0.80000,0.65029,0.80000,0.27052
0.81012,0.81000,0.19500,0.81000,0.64584,0.81000,0.26749
0.82012,0.82000,0.19751,0.82000,0.64173,0.82000,0.26454
0.83013,0.83000,0.19977,0.83000,0.63788,0.83000,0.26173
0.84013,0.84000,0.20154,0.84000,0.63424,0.84000,0.25910
0.85013,0.85000,0.20262,0.85000,0.63072,0.85000,0.25671
0.86013,0.86000,0.20291,0.86000,0.62723,0.86000,0.25455
0.87013,0.87000,0.20241,0.87000,0.62367,0.87000,0.25264
0.88013,0.88000,0.20119,0.88000,0.61996,0.88000,0.25094
0.89013,0.89000,0.19943,0.89000,0.61602,0.89000,0.24943
0.90014,0.90000,0.19732,0.90000,0.61179,0.90000,0.24804
0.91014,0.91000,0.19509,0.91000,0.60720,0.91000,0.24672
0.92014,0.92000,0.19297,0.92000,0.60222,0.92000,0.24538
0.93014,0.93000,0.19114,0.93000,0.59681,0.93000,0.24396
0.94014,0.94000,0.18975,0.94000,0.59095,0.94000,0.24240
0.95014,0.95000,0.18891,0.95000,0.58462,0.95000,0.24065
0.96014,0.96000,0.18867,0.96000,0.57782,0.96000,0.23866
0.97015,0.97000,0.18909,0.97000,0.57054,0.97000,0.23642
0.98015,0.98000,0.19019,0.98000,0.56278,0.98000,0.23391
0.99015,0.99000,0.19198,0.99000,0.55455,0.99000,0.23114
1.00015,1.00000,0.19447,1.00000,0.54583,1.00000,0.22812
1.01015,1.01000,0.19761,1.01000,0.53665,1.01000,0.22488
1.02015,1.02000,0.20137,1.02000,0.52701,1.02000,0.22145
1.03016,1.03000,0.20564,1.03000,0.51693,1.03000,0.21788
1.04016,1.04000,0.21028,1.04000,0.50645,1.04000,0.21421
1.05016,1.05000,0.21512,1.05000,0.49561,1.05000,0.21049
1.06016,1.06000,0.21992,1.06000,0.48447,1.06000,0.20674
1.07016,1.07000,0.22445,1.07000,0.47309,1.07000,0.20300
1.08016,1.08000,0.22845,1.08000,0.46157,1.08000,0.19928
1.09016,1.09000,0.23167,1.09000,0.44999,1.09000,0.19560
1.10017,1.10000,0.23391,1.10000,0.43844,1.10000,0.19195
1.11017,1.11000,0.23501,1.11000,0.42701,1.11000,0.18836
1.12017,1.12000,0.23489,1.12000,0.41579,1.12000,0.18483
1.13017,1.13000,0.23357,1.13000,0.40483,1.13000,0.18135
1.14017,1.14000,0.23110,1.14000,0.39416,1.14000,0.17796
1.15017,1.15000,0.22761,1.15000,0.38382,1.15000,0.17463
1.16017,1.16000,0.22325,1.16000,0.37378,1.16000,0.17136
1.17018,1.17000,0.21817,1.17000,0.36400,1.17000,0.16811
1.18018,1.18000,0.21248,1.18000,0.35442,1.18000,0.16484
1.19018,1.19000,0.20627,1.19000,0.34495,1.19000,0.16147
1.20018,1.20000,0.19958,1.20000,0.33549,1.20000,0.15792
1.21018,1.21000,0.19240,1.21000,0.32594,1.21000,0.15412
1.22018,1.22000,0.18470,1.22000,0.31622,1.22000,0.15000
1.23019,1.23000,0.17641,1.23000,0.30625,1.23000,0.14551
1.24019,1.24000,0.16746,1.24000,0.29600,1.24000,0.14064
1.25019,1.25000,0.15779,1.25000,0.28545,1.25000,0.13540
1.26019,1.26000,0.14735,1.26000,0.27460,1.26000,0.12983
1.27019,1.27000,0.13615,1.27000,0.26349,1.27000,0.12399
1.28019,1.28000,0.12422,1.28000,0.25216,1.28000,0.11797
1.29019,1.29000,0.11166,1.29000,0.24069,1.29000,0.11185
1.30020,1.30000,0.09860,1.30000,0.22916,1.30000,0.10572
1.31020,1.31000,0.08523,1.31000,0.21765,1.31000,0.09967
1.32020,1.32000,0.07173,1.32000,0.20624,1.32000,0.09379
1.33020,1.33000,0.05832,1.33000,0.19500,1.33000,0.08812
1.34020,1.34000,0.04522,1.34000,0.18400,1.34000,0.08271
1.35020,1.35000,0.03264,1.35000,0.17330,1.35000,0.07760
1.36020,1.36000,0.02077,1.36000,0.16295,1.36000,0.07279
1.37021,1.37000,0.00977,1.37000,0.15300,1.37000,0.06828
1.38021,1.38000,-0.00019,1.38000,0.14348,1.38000,0.06408
1.39021,1.39000,-0.00902,1.39000,0.13442,1.39000,0.06018
1.40021,1.40000,-0.01663,1.40000,0.12587,1.40000,0.05658
1.41021,1.41000,-0.02299,1.41000,0.11786,1.41000,0.05328
1.42021,1.42000,-0.02812,1.42000,0.11040,1.42000,0.05032
1.43022,1.43000,-0.03210,1.43000,0.10353,1.43000,0.04772
1.44022,1.44000,-0.03502,1.44000,0.09727,1.44000,0.04552
1.45022,1.45000,-0.03704,1.45000,0.09162,1.45000,0.04373
1.46022,1.46000,-0.03831,1.46000,0.08660,1.46000,0.04238
1.47022,1.47000,-0.03900,1.47000,0.08220,1.47000,0.04147
1.48022,1.48000,-0.03925,1.48000,0.07842,1.48000,0.04099
1.49022,1.49000,-0.03920,1.49000,0.07523,1.49000,0.04089
1.50023,1.50000,-0.03894,1.50000,0.07258,1.50000,0.04108
1.51023,1.51000,-0.03855,1.51000,0.07043,1.51000,0.04149
1.52023,1.52000,-0.03804,1.52000,0.06868,1.52000,0.04199
1.53023,1.53000,-0.03744,1.53000,0.06726,1.53000,0.04246
1.54023,1.54000,-0.03673,1.54000,0.06604,1.54000,0.04278
1.55023,1.55000,-0.03589,1.55000,0.06491,1.55000,0.04285
1.56023,1.56000,-0.03489,1.56000,0.06376,1.56000,0.04256
