Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,2.04245,0.00000,7.80949
0.01001,0.01000,2.13342,0.01000,7.29457
0.02001,0.02000,2.24462,0.02000,6.68545
0.03002,0.03000,2.37563,0.03000,5.99070
0.04003,0.04000,2.52518,0.04000,5.22322
0.05003,0.05000,2.69123,0.05000,4.39925
0.06004,0.06000,2.87109,0.06000,3.53706
0.07004,0.07000,3.06148,0.07000,2.65570
0.08005,0.08000,3.25857,0.08000,1.77379
0.09006,0.09000,3.45806,0.09000,0.90845
0.10006,0.10000,3.65525,0.10000,0.07454
0.11007,0.11000,3.84520,0.11000,-0.71590
0.12007,0.12000,4.02293,0.12000,-1.45389
0.13008,0.13000,4.18366,0.13000,-2.13354
0.14009,0.14000,4.32316,0.14000,-2.75177
0.15009,0.15000,4.43795,0.15000,-3.30793
0.16010,0.16000,4.52556,0.16000,-3.80321
0.17010,0.17000,4.58465,0.17000,-4.24011
0.18011,0.18000,4.61504,0.18000,-4.62188
0.19012,0.19000,4.61765,0.19000,-4.95197
0.20012,0.20000,4.59431,0.20000,-5.23376
0.21013,0.21000,4.54759,0.21000,-5.47026
0.22014,0.22000,4.48053,0.22000,-5.66407
0.23014,0.23000,4.39634,0.23000,-5.81738
0.24015,0.24000,4.29821,0.24000,-5.93213
0.25015,0.25000,4.18905,0.25000,-6.01015
0.26016,0.26000,4.07130,0.26000,-6.05335
0.27017,0.27000,3.94686,0.27000,-6.06388
0.28017,0.28000,3.81698,0.28000,-6.04419
0.29018,0.29000,3.68224,0.29000,-5.99709
0.30018,0.30000,3.54263,0.30000,-5.92561
0.31019,0.31000,3.39764,0.31000,-5.83295
0.32020,0.32000,3.24637,0.32000,-5.72219
0.33020,0.33000,3.08775,0.33000,-5.59612
0.34021,0.34000,2.92072,0.34000,-5.45700
0.35022,0.35000,2.74444,0.35000,-5.30630
0.36022,0.36000,2.55851,0.36000,-5.14465
0.37023,0.37000,2.36307,0.37000,-4.97172
0.38023,0.38000,2.15890,0.38000,-4.78626
0.39024,0.39000,1.94749,0.39000,-4.58630
0.40025,0.40000,1.73092,0.40000,-4.36934
0.41025,0.41000,1.51177,0.41000,-4.13267
0.42026,0.42000,1.29294,0.42000,-3.87368
0.43026,0.43000,1.07740,0.43000,-3.59025
0.44027,0.44000,0.86801,0.44000,-3.28094
0.45028,0.45000,0.66727,0.45000,-2.94525
0.46028,0.46000,0.47722,0.46000,-2.58370
0.47029,0.47000,0.29933,0.47000,-2.19784
0.48030,0.48000,0.13450,0.48000,-1.79014
0.49030,0.49000,-0.01691,0.49000,-1.36380
0.50031,0.50000,-0.15492,0.50000,-0.92255
0.51031,0.51000,-0.27988,0.51000,-0.47037
0.52032,0.52000,-0.39233,0.52000,-0.01131
0.53033,0.53000,-0.49289,0.53000,0.45075
0.54033,0.54000,-0.58218,0.54000,0.91219
0.55034,0.55000,-0.66079,0.55000,1.36974
0.56034,0.56000,-0.72925,0.56000,1.82049
0.57035,0.57000,-0.78801,0.57000,2.26184
0.58036,0.58000,-0.83744,0.58000,2.69151
0.59036,0.59000,-0.87783,0.59000,3.10745
0.60037,0.60000,-0.90942,0.60000,3.50782
0.61037,0.61000,-0.93238,0.61000,3.89100
0.62038,0.62000,-0.94685,0.62000,4.25556
0.63039,0.63000,-0.95292,0.63000,4.60031
0.64039,0.64000,-0.95066,0.64000,4.92429
0.65040,0.65000,-0.94014,0.65000,5.22678
0.66041,0.66000,-0.92146,0.66000,5.50728
0.67041,0.67000,-0.89470,0.67000,5.76549
0.68042,0.68000,-0.85999,0.68000,6.00125
0.69042,0.69000,-0.81749,0.69000,6.21449
0.70043,0.70000,-0.76742,0.70000,6.40521
0.71044,0.71000,-0.71005,0.71000,6.57347
0.72044,0.72000,-0.64577,0.72000,6.71940
0.73045,0.73000,-0.57503,0.73000,6.84320
0.74045,0.74000,-0.49843,0.74000,6.94519
0.75046,0.75000,-0.41666,0.75000,7.02582
0.76047,0.76000,-0.33048,0.76000,7.08568
0.77047,0.77000,-0.24070,0.77000,7.12551
0.78048,0.78000,-0.14811,0.78000,7.14611
0.79049,0.79000,-0.05345,0.79000,7.14839
0.80049,0.80000,0.04268,0.80000,7.13319
0.81050,0.81000,0.13981,0.81000,7.10130
0.82050,0.82000,0.23762,0.82000,7.05330
0.83051,0.83000,0.33592,0.83000,6.98958
0.84052,0.84000,0.43463,0.84000,6.91023
0.85052,0.85000,0.53367,0.85000,6.81505
0.86053,0.86000,0.63290,0.86000,6.70360
0.87053,0.87000,0.73208,0.87000,6.57529
0.88054,0.88000,0.83077,0.88000,6.42944
0.89055,0.89000,0.92831,0.89000,6.26543
0.90055,0.90000,1.02382,0.90000,6.08281
0.91056,0.91000,1.11621,0.91000,5.88141
0.92057,0.92000,1.20422,0.92000,5.66148
0.93057,0.93000,1.28649,0.93000,5.42370
0.94058,0.94000,1.36165,0.94000,5.16923
0.95058,0.95000,1.42843,0.95000,4.89976
0.96059,0.96000,1.48572,0.96000,4.61743
0.97060,0.97000,1.53264,0.97000,4.32478
0.98060,0.98000,1.56861,0.98000,4.02469
0.99061,0.99000,1.59337,0.99000,3.72025
1.00061,1.00000,1.60695,1.00000,3.41465
1.01062,1.01000,1.60970,1.01000,3.11105
1.02063,1.02000,1.60223,1.02000,2.81252
1.03063,1.03000,1.58534,1.03000,2.52188
1.04064,1.04000,1.56000,1.04000,2.24166
1.05065,1.05000,1.52728,1.05000,1.97403
1.06065,1.06000,1.48830,1.06000,1.72079
1.07066,1.07000,1.44416,1.07000,1.48330
1.08066,1.08000,1.39595,1.08000,1.26253
1.09067,1.09000,1.34470,1.09000,1.05904
1.10068,1.10000,1.29132,1.10000,0.87300
1.11068,1.11000,1.23668,1.11000,0.70423
1.12069,1.12000,1.18152,1.12000,0.55220
1.13069,1.13000,1.12644,1.13000,0.41611
1.14070,1.14000,1.07197,1.14000,0.29493
1.15071,1.15000,1.01847,1.15000,0.18748
1.16071,1.16000,0.96620,1.16000,0.09245
1.17072,1.17000,0.91528,1.17000,0.00853
1.18072,1.18000,0.86575,1.18000,-0.06553
1.19073,1.19000,0.81756,1.19000,-0.13088
1.20074,1.20000,0.77058,1.20000,-0.18855
1.21074,1.21000,0.72467,1.21000,-0.23938
1.22075,1.22000,0.67965,1.22000,-0.28405
1.23076,1.23000,0.63535,1.23000,-0.32305
1.24076,1.24000,0.59161,1.24000,-0.35674
1.25077,1.25000,0.54827,1.25000,-0.38533
1.26077,1.26000,0.50524,1.26000,-0.40889
1.27078,1.27000,0.46248,1.27000,-0.42739
1.28079,1.28000,0.41997,1.28000,-0.44070
1.29079,1.29000,0.37780,1.29000,-0.44861
1.30080,1.30000,0.33611,1.30000,-0.45082
1.31080,1.31000,0.29514,1.31000,-0.44697
1.32081,1.32000,0.25519,1.32000,-0.43666
1.33082,1.33000,0.21663,1.33000,-0.41943
1.34082,1.34000,0.17986,1.34000,-0.39480
1.35083,1.35000,0.14530,1.35000,-0.36233
