Tiempo,Rotación pelvis_X,Rotación pelvis_Y,Inclinación pelvis_X,Inclinación pelvis_Y,Oblicuidad pelvis_X,Oblicuidad pelvis_Y
0.00000,0.00000,-1.00992,0.00000,-0.43320,0.00000,0.10992
0.01000,0.01000,-1.01643,0.01000,-0.43118,0.01000,0.10878
0.02000,0.02000,-1.02376,0.02000,-0.42890,0.02000,0.10746
0.03000,0.03000,-1.03170,0.03000,-0.42638,0.03000,0.10601
0.04001,0.04000,-1.04002,0.04000,-0.42367,0.04000,0.10446
0.05001,0.05000,-1.04850,0.05000,-0.42079,0.05000,0.10288
0.06001,0.06000,-1.05689,0.06000,-0.41777,0.06000,0.10132
0.07001,0.07000,-1.06498,0.07000,-0.41461,0.07000,0.09983
0.08001,0.08000,-1.07261,0.08000,-0.41131,0.08000,0.09844
0.09001,0.09000,-1.07964,0.09000,-0.40784,0.09000,0.09721
0.10001,0.10000,-1.08596,0.10000,-0.40417,0.10000,0.09616
0.11001,0.11000,-1.09148,0.11000,-0.40027,0.11000,0.09530
0.12002,0.12000,-1.09617,0.12000,-0.39611,0.12000,0.09462
0.13002,0.13000,-1.10000,0.13000,-0.39166,0.13000,0.09411
0.14002,0.14000,-1.10296,0.14000,-0.38690,0.14000,0.09375
0.15002,0.15000,-1.10509,0.15000,-0.38181,0.15000,0.09352
0.16002,0.16000,-1.10647,0.16000,-0.37639,0.16000,0.09338
0.17002,0.17000,-1.10718,0.17000,-0.37061,0.17000,0.09333
0.18002,0.18000,-1.10738,0.18000,-0.36449,0.18000,0.09335
0.19002,0.19000,-1.10724,0.19000,-0.35801,0.19000,0.09343
0.20003,0.20000,-1.10697,0.20000,-0.35119,0.20000,0.09357
0.21003,0.21000,-1.10677,0.21000,-0.34405,0.21000,0.09376
0.22003,0.22000,-1.10686,0.22000,-0.33661,0.22000,0.09398
0.23003,0.23000,-1.10745,0.23000,-0.32892,0.23000,0.09420
0.24003,0.24000,-1.10871,0.24000,-0.32105,0.24000,0.09439
0.25003,0.25000,-1.11079,0.25000,-0.31304,0.25000,0.09449
0.26003,0.26000,-1.11379,0.26000,-0.30495,0.26000,0.09446
0.27003,0.27000,-1.11774,0.27000,-0.29684,0.27000,0.09423
0.28004,0.28000,-1.12266,0.28000,-0.28875,0.28000,0.09375
0.29004,0.29000,-1.12851,0.29000,-0.28069,0.29000,0.09296
0.30004,0.30000,-1.13522,0.30000,-0.27269,0.30000,0.09182
0.31004,0.31000,-1.14270,0.31000,-0.26474,0.31000,0.09030
0.32004,0.32000,-1.15083,0.32000,-0.25681,0.32000,0.08838
0.33004,0.33000,-1.15949,0.33000,-0.24887,0.33000,0.08606
0.34004,0.34000,-1.16854,0.34000,-0.24089,0.34000,0.08334
0.35004,0.35000,-1.17783,0.35000,-0.23282,0.35000,0.08027
0.36005,0.36000,-1.18721,0.36000,-0.22462,0.36000,0.07688
0.37005,0.37000,-1.19649,0.37000,-0.21626,0.37000,0.07323
0.38005,0.38000,-1.20546,0.38000,-0.20770,0.38000,0.06939
0.39005,0.39000,-1.21390,0.39000,-0.19896,0.39000,0.06541
0.40005,0.40000,-1.22155,0.40000,-0.19004,0.40000,0.06138
0.41005,0.41000,-1.22818,0.41000,-0.18099,0.41000,0.05736
0.42005,0.42000,-1.23356,0.42000,-0.17187,0.42000,0.05341
0.43005,0.43000,-1.23755,0.43000,-0.16276,0.43000,0.04959
0.44006,0.44000,-1.24008,0.44000,-0.15376,0.44000,0.04592
0.45006,0.45000,-1.24118,0.45000,-0.14494,0.45000,0.04243
0.46006,0.46000,-1.24103,0.46000,-0.13638,0.46000,0.03912
0.47006,0.47000,-1.23987,0.47000,-0.12814,0.47000,0.03595
0.48006,0.48000,-1.23802,0.48000,-0.12025,0.48000,0.03292
0.49006,0.49000,-1.23584,0.49000,-0.11273,0.49000,0.02997
0.50006,0.50000,-1.23367,0.50000,-0.10556,0.50000,0.02708
0.51006,0.51000,-1.23181,0.51000,-0.09872,0.51000,0.02421
0.52006,0.52000,-1.23048,0.52000,-0.09217,0.52000,0.02135
0.53007,0.53000,-1.22983,0.53000,-0.08587,0.53000,0.01846
0.54007,0.54000,-1.22990,0.54000,-0.07977,0.54000,0.01554
0.55007,0.55000,-1.23065,0.55000,-0.07385,0.55000,0.01259
0.56007,0.56000,-1.23195,0.56000,-0.06807,0.56000,0.00960
0.57007,0.57000,-1.23363,0.57000,-0.06242,0.57000,0.00657
0.58007,0.58000,-1.23547,0.58000,-0.05689,0.58000,0.00351
0.59007,0.59000,-1.23726,0.59000,-0.05149,0.59000,0.00044
0.60007,0.60000,-1.23878,0.60000,-0.04622,0.60000,-0.00264
0.61008,0.61000,-1.23985,0.61000,-0.04110,0.61000,-0.00570
0.62008,0.62000,-1.24034,0.62000,-0.03614,0.62000,-0.00872
0.63008,0.63000,-1.24017,0.63000,-0.03134,0.63000,-0.01168
0.64008,0.64000,-1.23933,0.64000,-0.02672,0.64000,-0.01455
0.65008,0.65000,-1.23787,0.65000,-0.02226,0.65000,-0.01731
0.66008,0.66000,-1.23590,0.66000,-0.01795,0.66000,-0.01993
0.67008,0.67000,-1.23355,0.67000,-0.01376,0.67000,-0.02239
0.68008,0.68000,-1.23099,0.68000,-0.00968,0.68000,-0.02467
0.69009,0.69000,-1.22833,0.69000,-0.00566,0.69000,-0.02676
0.70009,0.70000,-1.22569,0.70000,-0.00169,0.70000,-0.02864
0.71009,0.71000,-1.22310,0.71000,0.00227,0.71000,-0.03031
0.72009,0.72000,-1.22052,0.72000,0.00623,0.72000,-0.03179
0.73009,0.73000,-1.21788,0.73000,0.01019,0.73000,-0.03307
0.74009,0.74000,-1.21501,0.74000,0.01416,0.74000,-0.03417
0.75009,0.75000,-1.21175,0.75000,0.01813,0.75000,-0.03510
0.76009,0.76000,-1.20794,0.76000,0.02210,0.76000,-0.03587
0.77010,0.77000,-1.20344,0.77000,0.02604,0.77000,-0.03648
0.78010,0.78000,-1.19816,0.78000,0.02994,0.78000,-0.03695
0.79010,0.79000,-1.19211,0.79000,0.03380,0.79000,-0.03728
0.80010,0.80000,-1.18541,0.80000,0.03758,0.80000,-0.03746
0.81010,0.81000,-1.17825,0.81000,0.04130,0.81000,-0.03751
0.82010,0.82000,-1.17091,0.82000,0.04493,0.82000,-0.03744
0.83010,0.83000,-1.16375,0.83000,0.04846,0.83000,-0.03725
0.84010,0.84000,-1.15711,0.84000,0.05188,0.84000,-0.03696
0.85011,0.85000,-1.15137,0.85000,0.05515,0.85000,-0.03661
0.86011,0.86000,-1.14684,0.86000,0.05823,0.86000,-0.03621
0.87011,0.87000,-1.14382,0.87000,0.06108,0.87000,-0.03580
0.88011,0.88000,-1.14250,0.88000,0.06364,0.88000,-0.03541
0.89011,0.89000,-1.14299,0.89000,0.06586,0.89000,-0.03507
0.90011,0.90000,-1.14535,0.90000,0.06771,0.90000,-0.03482
0.91011,0.91000,-1.14951,0.91000,0.06917,0.91000,-0.03466
0.92011,0.92000,-1.15536,0.92000,0.07024,0.92000,-0.03463
0.93012,0.93000,-1.16269,0.93000,0.07095,0.93000,-0.03474
0.94012,0.94000,-1.17126,0.94000,0.07136,0.94000,-0.03498
0.95012,0.95000,-1.18079,0.95000,0.07151,0.95000,-0.03538
0.96012,0.96000,-1.19095,0.96000,0.07147,0.96000,-0.03594
0.97012,0.97000,-1.20146,0.97000,0.07133,0.97000,-0.03669
0.98012,0.98000,-1.21202,0.98000,0.07115,0.98000,-0.03763
0.99012,0.99000,-1.22241,0.99000,0.07098,0.99000,-0.03880
