Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Flexo-extensión hombro izquierdo_X,Flexo-extensión hombro izquierdo_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Abducción-aducción hombro izquierdo_X,Abducción-aducción hombro izquierdo_Y,Rotación hombro derecho_X,Rotación hombro derecho_Y,Rotación hombro izquierdo_X,Rotación hombro izquierdo_Y
0.00000,0.00000,-0.96846,0.00000,1.14084,0.00000,-0.07751,0.00000,-0.03254,0.00000,-0.96897,0.00000,1.14115
0.01001,0.01000,-0.85722,0.01000,1.10471,0.01000,-0.04006,0.01000,-0.03961,0.01000,-0.85757,0.01000,1.10512
0.02001,0.02000,-0.72793,0.02000,1.06010,0.02000,0.00291,0.02000,-0.04775,0.02000,-0.72810,0.02000,1.06061
0.03002,0.03000,-0.58297,0.03000,1.00704,0.03000,0.05054,0.03000,-0.05691,0.03000,-0.58295,0.03000,1.00766
0.04003,0.04000,-0.42557,0.04000,0.94595,0.04000,0.10178,0.04000,-0.06707,0.04000,-0.42536,0.04000,0.94669
0.05004,0.05000,-0.25950,0.05000,0.87753,0.05000,0.15547,0.05000,-0.07825,0.05000,-0.25910,0.05000,0.87839
0.06004,0.06000,-0.08876,0.06000,0.80276,0.06000,0.21050,0.06000,-0.09051,0.06000,-0.08818,0.06000,0.80375
0.07005,0.07000,0.08271,0.07000,0.72283,0.07000,0.26586,0.07000,-0.10403,0.07000,0.08345,0.07000,0.72394
0.08006,0.08000,0.25125,0.08000,0.63904,0.08000,0.32074,0.08000,-0.11900,0.08000,0.25213,0.08000,0.64026
0.09006,0.09000,0.41365,0.09000,0.55275,0.09000,0.37457,0.09000,-0.13569,0.09000,0.41467,0.09000,0.55407
0.10007,0.10000,0.56730,0.10000,0.46535,0.10000,0.42698,0.10000,-0.15433,0.10000,0.56844,0.10000,0.46676
0.11008,0.11000,0.71015,0.11000,0.37815,0.11000,0.47780,0.11000,-0.17516,0.11000,0.71138,0.11000,0.37964
