Tiempo,Flexo-extensión torso_X,Flexo-extensión torso_Y,Flexión lateral torso_X,Flexión lateral torso_Y,Rotación torso_X,Rotación torso_Y,Inclinación torso_X,Inclinación torso_Y
0.00000,0.00000,-0.25173,0.00000,0.42637,0.00000,0.56709,0.00000,0.49739
0.01000,0.01000,-0.24589,0.01000,0.41983,0.01000,0.55082,0.01000,0.48871
0.02000,0.02000,-0.23932,0.02000,0.41257,0.02000,0.53177,0.02000,0.47905
0.03000,0.03000,-0.23220,0.03000,0.40480,0.03000,0.51022,0.03000,0.46866
0.04001,0.04000,-0.22468,0.04000,0.39676,0.04000,0.48653,0.04000,0.45783
0.05001,0.05000,-0.21693,0.05000,0.38868,0.05000,0.46114,0.05000,0.44685
0.06001,0.06000,-0.20911,0.06000,0.38077,0.06000,0.43452,0.06000,0.43597
0.07001,0.07000,-0.20133,0.07000,0.37317,0.07000,0.40716,0.07000,0.42539
0.08001,0.08000,-0.19368,0.08000,0.36600,0.08000,0.37953,0.08000,0.41524
0.09001,0.09000,-0.18621,0.09000,0.35930,0.09000,0.35209,0.09000,0.40561
0.10001,0.10000,-0.17892,0.10000,0.35308,0.10000,0.32525,0.10000,0.39651
0.11002,0.11000,-0.17178,0.11000,0.34732,0.11000,0.29938,0.11000,0.38791
0.12002,0.12000,-0.16475,0.12000,0.34195,0.12000,0.27479,0.12000,0.37977
0.13002,0.13000,-0.15773,0.13000,0.33691,0.13000,0.25172,0.13000,0.37200
0.14002,0.14000,-0.15062,0.14000,0.33213,0.14000,0.23034,0.14000,0.36451
0.15002,0.15000,-0.14330,0.15000,0.32752,0.15000,0.21074,0.15000,0.35722
0.16002,0.16000,-0.13566,0.16000,0.32302,0.16000,0.19293,0.16000,0.35005
0.17002,0.17000,-0.12760,0.17000,0.31856,0.17000,0.17688,0.17000,0.34293
0.18003,0.18000,-0.11903,0.18000,0.31406,0.18000,0.16251,0.18000,0.33578
0.19003,0.19000,-0.10991,0.19000,0.30945,0.19000,0.14972,0.19000,0.32855
0.20003,0.20000,-0.10023,0.20000,0.30466,0.20000,0.13844,0.20000,0.32120
0.21003,0.21000,-0.09001,0.21000,0.29964,0.21000,0.12857,0.21000,0.31369
0.22003,0.22000,-0.07933,0.22000,0.29431,0.22000,0.12007,0.22000,0.30600
