Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,0.22242,0.00000,0.07065
0.01001,0.01000,0.21298,0.01000,0.06507
0.02001,0.02000,0.20217,0.02000,0.05892
0.03002,0.03000,0.19027,0.03000,0.05241
0.04003,0.04000,0.17762,0.04000,0.04580
0.05004,0.05000,0.16460,0.05000,0.03933
0.06004,0.06000,0.15154,0.06000,0.03323
0.07005,0.07000,0.13875,0.07000,0.02772
0.08006,0.08000,0.12641,0.08000,0.02294
0.09006,0.09000,0.11465,0.09000,0.01899
0.10007,0.10000,0.10346,0.10000,0.01592
0.11008,0.11000,0.09281,0.11000,0.01372
0.12008,0.12000,0.08258,0.12000,0.01235
0.13009,0.13000,0.07268,0.13000,0.01173
0.14010,0.14000,0.06303,0.14000,0.01176
0.15010,0.15000,0.05359,0.15000,0.01229
0.16011,0.16000,0.04440,0.16000,0.01319
0.17012,0.17000,0.03557,0.17000,0.01429
0.18013,0.18000,0.02725,0.18000,0.01544
0.19013,0.19000,0.01965,0.19000,0.01649
0.20014,0.20000,0.01294,0.20000,0.01731
0.21015,0.21000,0.00725,0.21000,0.01782
0.22015,0.22000,0.00263,0.22000,0.01794
0.23016,0.23000,-0.00100,0.23000,0.01764
0.24017,0.24000,-0.00382,0.24000,0.01692
0.25017,0.25000,-0.00610,0.25000,0.01578
0.26018,0.26000,-0.00817,0.26000,0.01425
0.27019,0.27000,-0.01035,0.27000,0.01233
0.28019,0.28000,-0.01292,0.28000,0.01007
0.29020,0.29000,-0.01604,0.29000,0.00747
0.30021,0.30000,-0.01977,0.30000,0.00456
0.31022,0.31000,-0.02400,0.31000,0.00137
0.32022,0.32000,-0.02852,0.32000,-0.00208
0.33023,0.33000,-0.03303,0.33000,-0.00574
0.34024,0.34000,-0.03721,0.34000,-0.00957
0.35024,0.35000,-0.04073,0.35000,-0.01353
0.36025,0.36000,-0.04336,0.36000,-0.01761
0.37026,0.37000,-0.04496,0.37000,-0.02179
0.38026,0.38000,-0.04553,0.38000,-0.02610
0.39027,0.39000,-0.04522,0.39000,-0.03057
0.40028,0.40000,-0.04430,0.40000,-0.03525
0.41029,0.41000,-0.04315,0.41000,-0.04020
0.42029,0.42000,-0.04218,0.42000,-0.04546
0.43030,0.43000,-0.04178,0.43000,-0.05101
0.44031,0.44000,-0.04226,0.44000,-0.05683
0.45031,0.45000,-0.04381,0.45000,-0.06282
0.46032,0.46000,-0.04644,0.46000,-0.06883
0.47033,0.47000,-0.05005,0.47000,-0.07470
0.48033,0.48000,-0.05440,0.48000,-0.08020
0.49034,0.49000,-0.05918,0.49000,-0.08514
0.50035,0.50000,-0.06409,0.50000,-0.08933
0.51035,0.51000,-0.06887,0.51000,-0.09263
0.52036,0.52000,-0.07333,0.52000,-0.09499
0.53037,0.53000,-0.07739,0.53000,-0.09645
0.54038,0.54000,-0.08106,0.54000,-0.09716
0.55038,0.55000,-0.08440,0.55000,-0.09737
0.56039,0.56000,-0.08751,0.56000,-0.09741
0.57040,0.57000,-0.09046,0.57000,-0.09766
0.58040,0.58000,-0.09330,0.58000,-0.09849
0.59041,0.59000,-0.09601,0.59000,-0.10022
0.60042,0.60000,-0.09853,0.60000,-0.10311
0.61042,0.61000,-0.10076,0.61000,-0.10728
0.62043,0.62000,-0.10261,0.62000,-0.11277
0.63044,0.63000,-0.10399,0.63000,-0.11949
