Tiempo,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Flexo-extensión muñeca izquierda_X,Flexo-extensión muñeca izquierda_Y,Abducción-aducción muñeca derecha_X,Abducción-aducción muñeca derecha_Y,Abducción-aducción muñeca izquierda_X,Abducción-aducción muñeca izquierda_Y,Rotación muñeca derecha_X,Rotación muñeca derecha_Y,Rotación muñeca izquierda_X,Rotación muñeca izquierda_Y
0.00000,0.00000,-3.08331,0.00000,-2.14558,0.00000,-1.30869,0.00000,0.02472,0.00000,0.54959,0.00000,1.53535
0.01000,0.01000,-3.12026,0.01000,-2.06212,0.01000,-1.30175,0.01000,0.05863,0.01000,0.58625,0.01000,1.61257
0.02000,0.02000,-3.16037,0.02000,-1.96570,0.02000,-1.29836,0.02000,0.10430,0.02000,0.62758,0.02000,1.69143
0.03000,0.03000,-3.20168,0.03000,-1.85891,0.03000,-1.29953,0.03000,0.16193,0.03000,0.67124,0.03000,1.76664
0.04001,0.04000,-3.24186,0.04000,-1.74524,0.04000,-1.30598,0.04000,0.23087,0.04000,0.71396,0.04000,1.83238
0.05001,0.05000,-3.27831,0.05000,-1.62879,0.05000,-1.31794,0.05000,0.30952,0.05000,0.75177,0.05000,1.88279
0.06001,0.06000,-3.30833,0.06000,-1.51385,0.06000,-1.33516,0.06000,0.39531,0.06000,0.78019,0.06000,1.91253
0.07001,0.07000,-3.32935,0.07000,-1.40458,0.07000,-1.35684,0.07000,0.48483,0.07000,0.79470,0.07000,1.91735
0.08001,0.08000,-3.33908,0.08000,-1.30448,0.08000,-1.38172,0.08000,0.57403,0.08000,0.79116,0.08000,1.89453
0.09001,0.09000,-3.33579,0.09000,-1.21614,0.09000,-1.40827,0.09000,0.65845,0.09000,0.76644,0.09000,1.84320
0.10002,0.10000,-3.31844,0.10000,-1.14097,0.10000,-1.43478,0.10000,0.73362,0.10000,0.71884,0.10000,1.76445
0.11002,0.11000,-3.28682,0.11000,-1.07916,0.11000,-1.45958,0.11000,0.79541,0.11000,0.64848,0.11000,1.66121
0.12002,0.12000,-3.24155,0.12000,-1.02972,0.12000,-1.48111,0.12000,0.84036,0.12000,0.55737,0.12000,1.53793
0.13002,0.13000,-3.18400,0.13000,-0.99075,0.13000,-1.49802,0.13000,0.86607,0.13000,0.44927,0.13000,1.40012
0.14002,0.14000,-3.11611,0.14000,-0.95974,0.14000,-1.50919,0.14000,0.87135,0.14000,0.32932,0.14000,1.25377
0.15002,0.15000,-3.04012,0.15000,-0.93396,0.15000,-1.51374,0.15000,0.85634,0.15000,0.20345,0.15000,1.10479
0.16002,0.16000,-2.95838,0.16000,-0.91083,0.16000,-1.51097,0.16000,0.82249,0.16000,0.07784,0.16000,0.95847
0.17003,0.17000,-2.87305,0.17000,-0.88817,0.17000,-1.50035,0.17000,0.77233,0.17000,-0.04161,0.17000,0.81911
0.18003,0.18000,-2.78592,0.18000,-0.86445,0.18000,-1.48155,0.18000,0.70924,0.18000,-0.14973,0.18000,0.68979
0.19003,0.19000,-2.69835,0.19000,-0.83884,0.19000,-1.45438,0.19000,0.63709,0.19000,-0.24231,0.19000,0.57232
0.20003,0.20000,-2.61118,0.20000,-0.81114,0.20000,-1.41886,0.20000,0.55991,0.20000,-0.31617,0.20000,0.46731
0.21003,0.21000,-2.52480,0.21000,-0.78174,0.21000,-1.37521,0.21000,0.48156,0.21000,-0.36920,0.21000,0.37433
0.22003,0.22000,-2.43926,0.22000,-0.75140,0.22000,-1.32380,0.22000,0.40552,0.22000,-0.40037,0.22000,0.29224
0.23003,0.23000,-2.35443,0.23000,-0.72111,0.23000,-1.26513,0.23000,0.33464,0.23000,-0.40962,0.23000,0.21940
0.24004,0.24000,-2.27018,0.24000,-0.69189,0.24000,-1.19980,0.24000,0.27113,0.24000,-0.39779,0.24000,0.15398
0.25004,0.25000,-2.18656,0.25000,-0.66466,0.25000,-1.12845,0.25000,0.21645,0.25000,-0.36653,0.25000,0.09422
0.26004,0.26000,-2.10397,0.26000,-0.64017,0.26000,-1.05174,0.26000,0.17139,0.26000,-0.31815,0.26000,0.03857
0.27004,0.27000,-2.02321,0.27000,-0.61889,0.27000,-0.97025,0.27000,0.13612,0.27000,-0.25547,0.27000,-0.01418
0.28004,0.28000,-1.94557,0.28000,-0.60108,0.28000,-0.88456,0.28000,0.11031,0.28000,-0.18163,0.28000,-0.06482
0.29004,0.29000,-1.87269,0.29000,-0.58674,0.29000,-0.79517,0.29000,0.09324,0.29000,-0.09999,0.29000,-0.11377
0.30005,0.30000,-1.80650,0.30000,-0.57569,0.30000,-0.70255,0.30000,0.08393,0.30000,-0.01395,0.30000,-0.16103
0.31005,0.31000,-1.74898,0.31000,-0.56757,0.31000,-0.60718,0.31000,0.08127,0.31000,0.07316,0.31000,-0.20630
