Tiempo	Flexo-extensión cadera derecha_X	Flexo-extensión cadera derecha_Y	Flexo-extensión cadera izquierda_X	Flexo-extensión cadera izquierda_Y	Abducción-aducción cadera derecha_X	Abducción-aducción cadera derecha_Y	Abducción-aducción cadera izquierda_X	Abducción-aducción cadera izquierda_Y	Rotación cadera derecha_X	Rotación cadera derecha_Y	Rotación cadera izquierda_X	Rotación cadera izquierda_Y	Flexo-extensión codo derecho_X	Flexo-extensión codo derecho_Y	Flexo-extensión codo izquierdo_X	Flexo-extensión codo izquierdo_Y	Flexo-extensión cuello_X	Flexo-extensión cuello_Y	Flexión lateral cuello_X	Flexión lateral cuello_Y	Rotación cuello_X	Rotación cuello_Y	Flexo-extensión hombro derecho_X	Flexo-extensión hombro derecho_Y	Flexo-extensión hombro izquierdo_X	Flexo-extensión hombro izquierdo_Y	Abducción-aducción hombro derecho_X	Abducción-aducción hombro derecho_Y	Abducción-aducción hombro izquierdo_X	Abducción-aducción hombro izquierdo_Y	Rotación hombro derecho_X	Rotación hombro derecho_Y	Rotación hombro izquierdo_X	Rotación hombro izquierdo_Y	Flexo-extensión muñeca derecha_X	Flexo-extensión muñeca derecha_Y	Flexo-extensión muñeca izquierda_X	Flexo-extensión muñeca izquierda_Y	Abducción-aducción muñeca derecha_X	Abducción-aducción muñeca derecha_Y	Abducción-aducción muñeca izquierda_X	Abducción-aducción muñeca izquierda_Y	Rotación muñeca derecha_X	Rotación muñeca derecha_Y	Rotación muñeca izquierda_X	Rotación muñeca izquierda_Y	Rotación pelvis_X	Rotación pelvis_Y	Inclinación pelvis_X	Inclinación pelvis_Y	Oblicuidad pelvis_X	Oblicuidad pelvis_Y	Flexo-extensión rodilla derecha_X	Flexo-extensión rodilla derecha_Y	Flexo-extensión rodilla izquierda_X	Flexo-extensión rodilla izquierda_Y	Abducción-aducción rodilla derecha_X	Abducción-aducción rodilla derecha_Y	Abducción-aducción rodilla izquierda_X	Abducción-aducción rodilla izquierda_Y	Rotación rodilla derecha_X	Rotación rodilla derecha_Y	Rotación rodilla izquierda_X	Rotación rodilla izquierda_Y	Dorsiflexión-plantarflexión tobillo izquierdo_X	Dorsiflexión-plantarflexión tobillo izquierdo_Y	Dorsiflexión-plantarflexión tobillo izquierdo_X	Dorsiflexión-plantarflexión tobillo izquierdo_Y	Eversión-inversión tobillo derecho_X	Eversión-inversión tobillo derecho_Y	Eversión-inversión tobillo izquierdo_X	Eversión-inversión tobillo izquierdo_Y	Rotación tobillo derecho_X	Rotación tobillo derecho_Y	Rotación tobillo izquierdo_X	Rotación tobillo izquierdo_Y	Flexo-extensión torso_X	Flexo-extensión torso_Y	Flexión lateral torso_X	Flexión lateral torso_Y	Rotación torso_X	Rotación torso_Y	Inclinación torso_X	Inclinación torso_Y	
0.00000	0.00000	-0.24349	0.00000	-0.24818	0.00000	0.05492	0.00000	-0.27377	0.00000	-0.31891	0.00000	0.25399	0.00000	0.07501	0.00000	0.11745	0.00000	0.06928	0.00000	0.35852	0.00000	0.54614	0.00000	-0.13863	0.00000	-0.09576	0.00000	-0.16291	0.00000	0.44638	0.00000	-0.13881	0.00000	-0.09547	0.00000	-0.03682	0.00000	-0.09547	0.00000	-0.08887	0.00000	0.11566	0.00000	0.57293	0.00000	-0.01194	0.00000	-0.03360	0.00000	-0.08850	0.00000	0.00906	0.00000	-0.04402	0.00000	-0.25214	0.00000	0.10975	0.00000	0.22237	0.00000	0.13939	0.00000	0.07156	0.00000	0.31016	0.00000	-0.01450	0.00000	-0.17903	0.00000	-0.12276	0.00000	-0.11115	0.00000	0.15428	0.00000	0.29669	0.00000	0.21256	0.00000	0.03209	0.00000	0.36492	
0.01001	0.01000	-0.24459	0.01000	-0.24912	0.01000	0.05587	0.01000	-0.27661	0.01000	-0.31867	0.01000	0.25143	0.01000	0.07363	0.01000	0.12088	0.01000	0.07308	0.01000	0.35704	0.01000	0.54763	0.01000	-0.13730	0.01000	-0.09613	0.01000	-0.16452	0.01000	0.44678	0.01000	-0.13748	0.01000	-0.09586	0.01000	-0.03769	0.01000	-0.09720	0.01000	-0.08971	0.01000	0.11468	0.01000	0.57336	0.01000	-0.01820	0.01000	-0.03113	0.01000	-0.08630	0.01000	0.01068	0.01000	-0.04226	0.01000	-0.25124	0.01000	0.10943	0.01000	0.22476	0.01000	0.13998	0.01000	0.07658	0.01000	0.31101	0.01000	-0.01423	0.01000	-0.17800	0.01000	-0.12255	0.01000	-0.11335	0.01000	0.16204	0.01000	0.29724	0.01000	0.21081	0.01000	0.02903	0.01000	0.36439	
0.02001	0.02000	-0.24574	0.02000	-0.25013	0.02000	0.05696	0.02000	-0.27984	0.02000	-0.31849	0.02000	0.24865	0.02000	0.07236	0.02000	0.12465	0.02000	0.07720	0.02000	0.35559	0.02000	0.54953	0.02000	-0.13622	0.02000	-0.09640	0.02000	-0.16654	0.02000	0.44739	0.02000	-0.13641	0.02000	-0.09614	0.02000	-0.03852	0.02000	-0.09948	0.02000	-0.09079	0.02000	0.11381	0.02000	0.57286	0.02000	-0.02481	0.02000	-0.02841	0.02000	-0.08382	0.02000	0.01248	0.02000	-0.04024	0.02000	-0.25025	0.02000	0.10896	0.02000	0.22756	0.02000	0.13738	0.02000	0.08213	0.02000	0.31190	0.02000	-0.01399	0.02000	-0.17680	0.02000	-0.12236	0.02000	-0.11547	0.02000	0.17070	0.02000	0.29763	0.02000	0.20869	0.02000	0.02537	0.02000	0.36352	
0.03002	0.03000	-0.24688	0.03000	-0.25115	0.03000	0.05813	0.03000	-0.28338	0.03000	-0.31841	0.03000	0.24578	0.03000	0.07130	0.03000	0.12860	0.03000	0.08144	0.03000	0.35424	0.03000	0.55182	0.03000	-0.13556	0.03000	-0.09652	0.03000	-0.16892	0.03000	0.44824	0.03000	-0.13575	0.03000	-0.09627	0.03000	-0.03924	0.03000	-0.10234	0.03000	-0.09208	0.03000	0.11319	0.03000	0.57124	0.03000	-0.03148	0.03000	-0.02551	0.03000	-0.08114	0.03000	0.01440	0.03000	-0.03800	0.03000	-0.24920	0.03000	0.10832	0.03000	0.23069	0.03000	0.13328	0.03000	0.08803	0.03000	0.31277	0.03000	-0.01381	0.03000	-0.17544	0.03000	-0.12223	0.03000	-0.11740	0.03000	0.18001	0.03000	0.29779	0.03000	0.20624	0.03000	0.02115	0.03000	0.36227	
0.04002	0.04000	-0.24794	0.04000	-0.25218	0.04000	0.05933	0.04000	-0.28711	0.04000	-0.31850	0.04000	0.24296	0.04000	0.07057	0.04000	0.13257	0.04000	0.08562	0.04000	0.35302	0.04000	0.55446	0.04000	-0.13543	0.04000	-0.09649	0.04000	-0.17157	0.04000	0.44934	0.04000	-0.13564	0.04000	-0.09625	0.04000	-0.03977	0.04000	-0.10579	0.04000	-0.09349	0.04000	0.11291	0.04000	0.56834	0.04000	-0.03790	0.04000	-0.02252	0.04000	-0.07831	0.04000	0.01637	0.04000	-0.03561	0.04000	-0.24816	0.04000	0.10752	0.04000	0.23412	0.04000	0.13198	0.04000	0.09411	0.04000	0.31356	0.04000	-0.01369	0.04000	-0.17392	0.04000	-0.12218	0.04000	-0.11906	0.04000	0.18969	0.04000	0.29767	0.04000	0.20351	0.04000	0.01648	0.04000	0.36065	
0.05003	0.05000	-0.24888	0.05000	-0.25318	0.05000	0.06048	0.05000	-0.29090	0.05000	-0.31879	0.05000	0.24031	0.05000	0.07025	0.05000	0.13637	0.05000	0.08954	0.05000	0.35194	0.05000	0.55739	0.05000	-0.13596	0.05000	-0.09630	0.05000	-0.17439	0.05000	0.45070	0.05000	-0.13617	0.05000	-0.09606	0.05000	-0.04002	0.05000	-0.10982	0.05000	-0.09495	0.05000	0.11309	0.05000	0.56409	0.05000	-0.04378	0.05000	-0.01953	0.05000	-0.07542	0.05000	0.01832	0.05000	-0.03313	0.05000	-0.24720	0.05000	0.10655	0.05000	0.23775	0.05000	0.13409	0.05000	0.10016	0.05000	0.31422	0.05000	-0.01368	0.05000	-0.17226	0.05000	-0.12226	0.05000	-0.12044	0.05000	0.19944	0.05000	0.29725	0.05000	0.20059	0.05000	0.01147	0.05000	0.35867	
0.06003	0.06000	-0.24963	0.06000	-0.25415	0.06000	0.06150	0.06000	-0.29461	0.06000	-0.31933	0.06000	0.23800	0.06000	0.07039	0.06000	0.13985	0.06000	0.09299	0.06000	0.35099	0.06000	0.56051	0.06000	-0.13720	0.06000	-0.09598	0.06000	-0.17721	0.06000	0.45228	0.06000	-0.13742	0.06000	-0.09573	0.06000	-0.03994	0.06000	-0.11441	0.06000	-0.09633	0.06000	0.11381	0.06000	0.55853	0.06000	-0.04888	0.06000	-0.01662	0.06000	-0.07254	0.06000	0.02016	0.06000	-0.03065	0.06000	-0.24639	0.06000	0.10544	0.06000	0.24151	0.06000	0.14440	0.06000	0.10597	0.06000	0.31467	0.06000	-0.01379	0.06000	-0.17048	0.06000	-0.12250	0.06000	-0.12154	0.06000	0.20899	0.06000	0.29651	0.06000	0.19758	0.06000	0.00627	0.06000	0.35638	
0.07004	0.07000	-0.25016	0.07000	-0.25509	0.07000	0.06230	0.07000	-0.29808	0.07000	-0.32012	0.07000	0.23617	0.07000	0.07102	0.07000	0.14287	0.07000	0.09583	0.07000	0.35013	0.07000	0.56369	0.07000	-0.13919	0.07000	-0.09556	0.07000	-0.17988	0.07000	0.45406	0.07000	-0.13941	0.07000	-0.09531	0.07000	-0.03947	0.07000	-0.11949	0.07000	-0.09751	0.07000	0.11515	0.07000	0.55179	0.07000	-0.05299	0.07000	-0.01384	0.07000	-0.06972	0.07000	0.02184	0.07000	-0.02822	0.07000	-0.24579	0.07000	0.10422	0.07000	0.24530	0.07000	0.15561	0.07000	0.11137	0.07000	0.31487	0.07000	-0.01403	0.07000	-0.16858	0.07000	-0.12294	0.07000	-0.12246	0.07000	0.21809	0.07000	0.29546	0.07000	0.19458	0.07000	0.00106	0.07000	0.35385	
0.08004	0.08000	-0.25045	0.08000	-0.25603	0.08000	0.06283	0.08000	-0.30117	0.08000	-0.32114	0.08000	0.23497	0.08000	0.07211	0.08000	0.14530	0.08000	0.09795	0.08000	0.34928	0.08000	0.56680	0.08000	-0.14187	0.08000	-0.09513	0.08000	-0.18224	0.08000	0.45599	0.08000	-0.14209	0.08000	-0.09485	0.08000	-0.03860	0.08000	-0.12498	0.08000	-0.09836	0.08000	0.11711	0.08000	0.54409	0.08000	-0.05599	0.08000	-0.01123	0.08000	-0.06699	0.08000	0.02330	0.08000	-0.02589	0.08000	-0.24546	0.08000	0.10293	0.08000	0.24902	0.08000	0.16498	0.08000	0.11616	0.08000	0.31479	0.08000	-0.01441	0.08000	-0.16659	0.08000	-0.12362	0.08000	-0.12330	0.08000	0.22655	0.08000	0.29413	0.08000	0.19170	0.08000	-0.00401	0.08000	0.35115	
0.09005	0.09000	-0.25050	0.09000	-0.25698	0.09000	0.06304	0.09000	-0.30376	0.09000	-0.32234	0.09000	0.23449	0.09000	0.07362	0.09000	0.14707	0.09000	0.09928	0.09000	0.34836	0.09000	0.56967	0.09000	-0.14518	0.09000	-0.09473	0.09000	-0.18414	0.09000	0.45805	0.09000	-0.14540	0.09000	-0.09443	0.09000	-0.03734	0.09000	-0.13077	0.09000	-0.09880	0.09000	0.11969	0.09000	0.53571	0.09000	-0.05776	0.09000	-0.00880	0.09000	-0.06439	0.09000	0.02451	0.09000	-0.02370	0.09000	-0.24545	0.09000	0.10161	0.09000	0.25256	0.09000	0.17179	0.09000	0.12019	0.09000	0.31440	0.09000	-0.01492	0.09000	-0.16452	0.09000	-0.12457	0.09000	-0.12417	0.09000	0.23424	0.09000	0.29258	0.09000	0.18903	0.09000	-0.00876	0.09000	0.34838	
