Tiempo;Evento
2.24;Posición inicial
4.18;< Contacto inicial izquierdo
4.22;> Despegue derecho
4.7;< Contacto inicial derecho
4.76;> Despegue izquierdo
5.19;< Contacto inicial izquierdo
5.25;> Despegue derecho
5.69;< Contacto inicial derecho
5.76;> Despegue izquierdo
6.16;< Contacto inicial izquierdo
6.22;> Despegue derecho
6.66;< Contacto inicial derecho
6.73;> Despegue izquierdo
7.13;< Contacto inicial izquierdo
7.18;> Despegue derecho
7.6;< Contacto inicial derecho
7.67;> Despegue izquierdo
8.07;< Contacto inicial izquierdo
8.13;> Despegue derecho
8.55;< Contacto inicial derecho
8.62;> Despegue izquierdo
9.02;< Contacto inicial izquierdo
9.08;> Despegue derecho
9.5;< Contacto inicial derecho
9.57;> Despegue izquierdo
9.97;< Contacto inicial izquierdo
10.03;> Despegue derecho
10.46;< Contacto inicial derecho
10.53;> Despegue izquierdo
10.93;< Contacto inicial izquierdo
10.99;> Despegue derecho
11.4;< Contacto inicial derecho
11.48;> Despegue izquierdo
11.9;< Contacto inicial izquierdo
11.96;> Despegue derecho
12.38;< Contacto inicial derecho
12.45;> Despegue izquierdo
12.87;< Contacto inicial izquierdo
12.93;> Despegue derecho
13.36;< Contacto inicial derecho
13.43;> Despegue izquierdo
13.84;< Contacto inicial izquierdo
13.9;> Despegue derecho
14.33;< Contacto inicial derecho
14.41;> Despegue izquierdo
14.82;< Contacto inicial izquierdo
14.88;> Despegue derecho
15.31;< Contacto inicial derecho
15.42;> Despegue izquierdo
16.71;< Contacto inicial izquierdo
16.73;> Despegue derecho
17.23;< Contacto inicial derecho
17.28;> Despegue izquierdo
17.69;< Contacto inicial izquierdo
17.75;> Despegue derecho
18.18;< Contacto inicial derecho
18.25;> Despegue izquierdo
18.65;< Contacto inicial izquierdo
18.7;> Despegue derecho
19.13;< Contacto inicial derecho
19.2;> Despegue izquierdo
19.58;< Contacto inicial izquierdo
19.64;> Despegue derecho
20.06;< Contacto inicial derecho
20.13;> Despegue izquierdo
20.52;< Contacto inicial izquierdo
20.58;> Despegue derecho
21.01;< Contacto inicial derecho
21.07;> Despegue izquierdo
21.46;< Contacto inicial izquierdo
21.52;> Despegue derecho
21.95;< Contacto inicial derecho
22.02;> Despegue izquierdo
22.42;< Contacto inicial izquierdo
22.48;> Despegue derecho
22.9;< Contacto inicial derecho
22.98;> Despegue izquierdo
23.38;< Contacto inicial izquierdo
23.45;> Despegue derecho
23.92;< Contacto inicial derecho
23.99;> Despegue izquierdo
24.41;< Contacto inicial izquierdo
24.48;> Despegue derecho
25.03;< Contacto inicial derecho
25.09;> Despegue izquierdo
25.52;< Contacto inicial izquierdo
25.58;> Despegue derecho
26.02;< Contacto inicial derecho
26.09;> Despegue izquierdo
26.52;< Contacto inicial izquierdo
