Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Flexo-extensión hombro izquierdo_X,Flexo-extensión hombro izquierdo_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Abducción-aducción hombro izquierdo_X,Abducción-aducción hombro izquierdo_Y,Rotación hombro derecho_X,Rotación hombro derecho_Y,Rotación hombro izquierdo_X,Rotación hombro izquierdo_Y
0.00000,0.00000,-0.15194,0.00000,-0.10399,0.00000,0.25337,0.00000,-0.31427,0.00000,-0.15246,0.00000,-0.10532
0.01000,0.01000,-0.15346,0.01000,-0.10266,0.01000,0.24465,0.01000,-0.31040,0.01000,-0.15395,0.01000,-0.10396
0.02000,0.02000,-0.15617,0.02000,-0.10100,0.02000,0.23465,0.02000,-0.30611,0.02000,-0.15662,0.02000,-0.10227
0.03000,0.03000,-0.16024,0.03000,-0.09899,0.03000,0.22356,0.03000,-0.30153,0.03000,-0.16066,0.03000,-0.10022
0.04001,0.04000,-0.16579,0.04000,-0.09660,0.04000,0.21165,0.04000,-0.29679,0.04000,-0.16618,0.04000,-0.09778
0.05001,0.05000,-0.17285,0.05000,-0.09378,0.05000,0.19917,0.05000,-0.29201,0.05000,-0.17322,0.05000,-0.09492
0.06001,0.06000,-0.18133,0.06000,-0.09050,0.06000,0.18640,0.06000,-0.28733,0.06000,-0.18167,0.06000,-0.09159
0.07001,0.07000,-0.19100,0.07000,-0.08672,0.07000,0.17357,0.07000,-0.28288,0.07000,-0.19132,0.07000,-0.08776
0.08001,0.08000,-0.20153,0.08000,-0.08240,0.08000,0.16088,0.08000,-0.27875,0.08000,-0.20182,0.08000,-0.08339
0.09001,0.09000,-0.21247,0.09000,-0.07751,0.09000,0.14844,0.09000,-0.27503,0.09000,-0.21274,0.09000,-0.07846
0.10002,0.10000,-0.22331,0.10000,-0.07208,0.10000,0.13635,0.10000,-0.27179,0.10000,-0.22357,0.10000,-0.07299
0.11002,0.11000,-0.23356,0.11000,-0.06614,0.11000,0.12459,0.11000,-0.26905,0.11000,-0.23380,0.11000,-0.06701
0.12002,0.12000,-0.24274,0.12000,-0.05980,0.12000,0.11316,0.12000,-0.26680,0.12000,-0.24297,0.12000,-0.06065
0.13002,0.13000,-0.25048,0.13000,-0.05321,0.13000,0.10201,0.13000,-0.26500,0.13000,-0.25069,0.13000,-0.05404
0.14002,0.14000,-0.25654,0.14000,-0.04657,0.14000,0.09113,0.14000,-0.26360,0.14000,-0.25674,0.14000,-0.04738
0.15002,0.15000,-0.26084,0.15000,-0.04011,0.15000,0.08055,0.15000,-0.26253,0.15000,-0.26101,0.15000,-0.04092
0.16002,0.16000,-0.26345,0.16000,-0.03409,0.16000,0.07038,0.16000,-0.26170,0.16000,-0.26360,0.16000,-0.03489
0.17003,0.17000,-0.26459,0.17000,-0.02874,0.17000,0.06081,0.17000,-0.26105,0.17000,-0.26472,0.17000,-0.02954
0.18003,0.18000,-0.26458,0.18000,-0.02427,0.18000,0.05214,0.18000,-0.26055,0.18000,-0.26469,0.18000,-0.02508
0.19003,0.19000,-0.26383,0.19000,-0.02087,0.19000,0.04470,0.19000,-0.26018,0.19000,-0.26391,0.19000,-0.02169
0.20003,0.20000,-0.26275,0.20000,-0.01865,0.20000,0.03890,0.20000,-0.25996,0.20000,-0.26282,0.20000,-0.01947
0.21003,0.21000,-0.26178,0.21000,-0.01766,0.21000,0.03512,0.21000,-0.25997,0.21000,-0.26184,0.21000,-0.01849
0.22003,0.22000,-0.26130,0.22000,-0.01791,0.22000,0.03375,0.22000,-0.26028,0.22000,-0.26136,0.22000,-0.01875
0.23003,0.23000,-0.26162,0.23000,-0.01934,0.23000,0.03510,0.23000,-0.26101,0.23000,-0.26167,0.23000,-0.02019
0.24004,0.24000,-0.26295,0.24000,-0.02183,0.24000,0.03939,0.24000,-0.26228,0.24000,-0.26302,0.24000,-0.02270
