Tiempo,Flexo-extensión muñeca derecha_X,Flexo-extensión muñeca derecha_Y,Flexo-extensión muñeca izquierda_X,Flexo-extensión muñeca izquierda_Y,Abducción-aducción muñeca derecha_X,Abducción-aducción muñeca derecha_Y,Abducción-aducción muñeca izquierda_X,Abducción-aducción muñeca izquierda_Y,Rotación muñeca derecha_X,Rotación muñeca derecha_Y,Rotación muñeca izquierda_X,Rotación muñeca izquierda_Y
0.00000,0.00000,1.65872,0.00000,0.33414,0.00000,-3.19804,0.00000,0.28814,0.00000,1.28987,0.00000,1.80623
0.01001,0.01000,1.65332,0.01000,0.32780,0.01000,-3.14762,0.01000,0.26908,0.01000,1.28007,0.01000,1.75570
0.02002,0.02000,1.64398,0.02000,0.32036,0.02000,-3.09186,0.02000,0.24991,0.02000,1.26925,0.02000,1.70142
0.03002,0.03000,1.63028,0.03000,0.31208,0.03000,-3.03254,0.03000,0.23172,0.03000,1.25758,0.03000,1.64576
0.04003,0.04000,1.61211,0.04000,0.30334,0.04000,-2.97164,0.04000,0.21563,0.04000,1.24522,0.04000,1.59139
0.05004,0.05000,1.58965,0.05000,0.29465,0.05000,-2.91126,0.05000,0.20256,0.05000,1.23231,0.05000,1.54092
0.06004,0.06000,1.56343,0.06000,0.28657,0.06000,-2.85335,0.06000,0.19319,0.06000,1.21909,0.06000,1.49672
0.07005,0.07000,1.53416,0.07000,0.27975,0.07000,-2.79962,0.07000,0.18780,0.07000,1.20588,0.07000,1.46062
0.08006,0.08000,1.50270,0.08000,0.27480,0.08000,-2.75144,0.08000,0.18629,0.08000,1.19320,0.08000,1.43374
0.09007,0.09000,1.46985,0.09000,0.27230,0.09000,-2.70974,0.09000,0.18819,0.09000,1.18175,0.09000,1.41647
0.10007,0.10000,1.43627,0.10000,0.27268,0.10000,-2.67504,0.10000,0.19281,0.10000,1.17233,0.10000,1.40844
0.11008,0.11000,1.40242,0.11000,0.27624,0.11000,-2.64739,0.11000,0.19926,0.11000,1.16578,0.11000,1.40870
0.12009,0.12000,1.36847,0.12000,0.28309,0.12000,-2.62645,0.12000,0.20670,0.12000,1.16285,0.12000,1.41584
0.13010,0.13000,1.33442,0.13000,0.29311,0.13000,-2.61157,0.13000,0.21436,0.13000,1.16404,0.13000,1.42823
0.14010,0.14000,1.30011,0.14000,0.30600,0.14000,-2.60190,0.14000,0.22169,0.14000,1.16954,0.14000,1.44416
0.15011,0.15000,1.26540,0.15000,0.32123,0.15000,-2.59652,0.15000,0.22841,0.15000,1.17915,0.15000,1.46203
0.16012,0.16000,1.23021,0.16000,0.33813,0.16000,-2.59452,0.16000,0.23446,0.16000,1.19236,0.16000,1.48039
0.17013,0.17000,1.19461,0.17000,0.35586,0.17000,-2.59518,0.17000,0.24004,0.17000,1.20837,0.17000,1.49800
0.18013,0.18000,1.15891,0.18000,0.37348,0.18000,-2.59799,0.18000,0.24548,0.18000,1.22627,0.18000,1.51379
0.19014,0.19000,1.12357,0.19000,0.38996,0.19000,-2.60265,0.19000,0.25125,0.19000,1.24517,0.19000,1.52686
0.20015,0.20000,1.08920,0.20000,0.40427,0.20000,-2.60909,0.20000,0.25784,0.20000,1.26438,0.20000,1.53641
0.21016,0.21000,1.05642,0.21000,0.41538,0.21000,-2.61735,0.21000,0.26576,0.21000,1.28345,0.21000,1.54180
0.22016,0.22000,1.02581,0.22000,0.42237,0.22000,-2.62752,0.22000,0.27548,0.22000,1.30228,0.22000,1.54251
0.23017,0.23000,0.99778,0.23000,0.42445,0.23000,-2.63958,0.23000,0.28741,0.23000,1.32105,0.23000,1.53822
0.24018,0.24000,0.97248,0.24000,0.42106,0.24000,-2.65338,0.24000,0.30185,0.24000,1.34017,0.24000,1.52889
0.25019,0.25000,0.94986,0.25000,0.41196,0.25000,-2.66854,0.25000,0.31900,0.25000,1.36013,0.25000,1.51476
0.26019,0.26000,0.92963,0.26000,0.39725,0.26000,-2.68446,0.26000,0.33886,0.26000,1.38140,0.26000,1.49641
0.27020,0.27000,0.91141,0.27000,0.37744,0.27000,-2.70037,0.27000,0.36123,0.27000,1.40425,0.27000,1.47478
0.28021,0.28000,0.89479,0.28000,0.35349,0.28000,-2.71542,0.28000,0.38565,0.28000,1.42869,0.28000,1.45118
0.29022,0.29000,0.87952,0.29000,0.32679,0.29000,-2.72878,0.29000,0.41136,0.29000,1.45437,0.29000,1.42717
0.30022,0.30000,0.86559,0.30000,0.29910,0.30000,-2.73973,0.30000,0.43728,0.30000,1.48058,0.30000,1.40454
0.31023,0.31000,0.85332,0.31000,0.27252,0.31000,-2.74771,0.31000,0.46201,0.31000,1.50625,0.31000,1.38510
0.32024,0.32000,0.84339,0.32000,0.24928,0.32000,-2.75241,0.32000,0.48386,0.32000,1.53002,0.32000,1.37051
0.33024,0.33000,0.83675,0.33000,0.23160,0.33000,-2.75365,0.33000,0.50097,0.33000,1.55027,0.33000,1.36204
0.34025,0.34000,0.83456,0.34000,0.22140,0.34000,-2.75138,0.34000,0.51138,0.34000,1.56518,0.34000,1.36035
0.35026,0.35000,0.83795,0.35000,0.22011,0.35000,-2.74545,0.35000,0.51328,0.35000,1.57278,0.35000,1.36533
0.36027,0.36000,0.84786,0.36000,0.22842,0.36000,-2.73552,0.36000,0.50510,0.36000,1.57092,0.36000,1.37598
0.37027,0.37000,0.86477,0.37000,0.24615,0.37000,-2.72083,0.37000,0.48581,0.37000,1.55731,0.37000,1.39043
0.38028,0.38000,0.88847,0.38000,0.27215,0.38000,-2.70010,0.38000,0.45501,0.38000,1.52956,0.38000,1.40610
0.39029,0.39000,0.91783,0.39000,0.30434,0.39000,-2.67139,0.39000,0.41311,0.39000,1.48517,0.39000,1.41989
0.40030,0.40000,0.95072,0.40000,0.33987,0.40000,-2.63214,0.40000,0.36131,0.40000,1.42165,0.40000,1.42850
0.41030,0.41000,0.98393,0.41000,0.37527,0.41000,-2.57922,0.41000,0.30157,0.41000,1.33667,0.41000,1.42877
0.42031,0.42000,1.01331,0.42000,0.40677,0.42000,-2.50915,0.42000,0.23646,0.42000,1.22825,0.42000,1.41786
0.43032,0.43000,1.03404,0.43000,0.43056,0.43000,-2.41841,0.43000,0.16888,0.43000,1.09512,0.43000,1.39354
0.44033,0.44000,1.04104,0.44000,0.44307,0.44000,-2.30389,0.44000,0.10180,0.44000,0.93709,0.44000,1.35424
0.45033,0.45000,1.02946,0.45000,0.44119,0.45000,-2.16333,0.45000,0.03801,0.45000,0.75550,0.45000,1.29906
0.46034,0.46000,0.99527,0.46000,0.42245,0.46000,-1.99588,0.46000,-0.02013,0.46000,0.55362,0.46000,1.22773
0.47035,0.47000,0.93581,0.47000,0.38514,0.47000,-1.80264,0.47000,-0.07076,0.47000,0.33694,0.47000,1.14053
0.48036,0.48000,0.85033,0.48000,0.32833,0.48000,-1.58699,0.48000,-0.11256,0.48000,0.11311,0.48000,1.03824
0.49036,0.49000,0.74032,0.49000,0.25194,0.49000,-1.35479,0.49000,-0.14464,0.49000,-0.10839,0.49000,0.92208
0.50037,0.50000,0.60962,0.50000,0.15666,0.50000,-1.11429,0.50000,-0.16634,0.50000,-0.31707,0.50000,0.79381
0.51038,0.51000,0.46436,0.51000,0.04400,0.51000,-0.87565,0.51000,-0.17708,0.51000,-0.50266,0.51000,0.65580
0.52039,0.52000,0.31245,0.52000,-0.08382,0.52000,-0.65007,0.52000,-0.17618,0.52000,-0.65648,0.52000,0.51116
0.53039,0.53000,0.16293,0.53000,-0.22381,0.53000,-0.44866,0.53000,-0.16272,0.53000,-0.77286,0.53000,0.36385
0.54040,0.54000,0.02515,0.54000,-0.37229,0.54000,-0.28118,0.54000,-0.13565,0.54000,-0.85007,0.54000,0.21880
0.55041,0.55000,-0.09219,0.55000,-0.52483,0.55000,-0.15496,0.55000,-0.09391,0.55000,-0.89050,0.55000,0.08181
0.56042,0.56000,-0.18183,0.56000,-0.67630,0.56000,-0.07410,0.56000,-0.03676,0.56000,-0.90006,0.56000,-0.04052
0.57042,0.57000,-0.23870,0.57000,-0.82091,0.57000,-0.03919,0.57000,0.03583,0.57000,-0.88693,0.57000,-0.14118
0.58043,0.58000,-0.26031,0.58000,-0.95240,0.58000,-0.04756,0.58000,0.12281,0.58000,-0.85988,0.58000,-0.21322
0.59044,0.59000,-0.24693,0.59000,-1.06430,0.59000,-0.09387,0.59000,0.22175,0.59000,-0.82666,0.59000,-0.25038
0.60044,0.60000,-0.20149,0.60000,-1.15031,0.60000,-0.17104,0.60000,0.32869,0.60000,-0.79263,0.60000,-0.24781
0.61045,0.61000,-0.12921,0.61000,-1.20484,0.61000,-0.27126,0.61000,0.43832,0.61000,-0.75990,0.61000,-0.20281
0.62046,0.62000,-0.03705,0.62000,-1.22353,0.62000,-0.38686,0.62000,0.54431,0.62000,-0.72714,0.62000,-0.11530
0.63047,0.63000,0.06695,0.63000,-1.20381,0.63000,-0.51108,0.63000,0.63997,0.63000,-0.69000,0.63000,0.01187
0.64047,0.64000,0.17441,0.64000,-1.14523,0.64000,-0.63850,0.64000,0.71899,0.64000,-0.64212,0.64000,0.17303
0.65048,0.65000,0.27730,0.65000,-1.04966,0.65000,-0.76518,0.65000,0.77620,0.65000,-0.57653,0.65000,0.36009
0.66049,0.66000,0.36857,0.66000,-0.92126,0.66000,-0.88859,0.66000,0.80830,0.66000,-0.48713,0.66000,0.56318
0.67050,0.67000,0.44265,0.67000,-0.76625,0.67000,-1.00730,0.67000,0.81424,0.67000,-0.37014,0.67000,0.77147
0.68050,0.68000,0.49577,0.68000,-0.59245,0.68000,-1.12064,0.68000,0.79535,0.68000,-0.22505,0.68000,0.97400
0.69051,0.69000,0.52614,0.69000,-0.40871,0.69000,-1.22843,0.69000,0.75519,0.69000,-0.05500,0.69000,1.16052
0.70052,0.70000,0.53387,0.70000,-0.22420,0.70000,-1.33061,0.70000,0.69900,0.70000,0.13343,0.70000,1.32219
0.71053,0.71000,0.52081,0.71000,-0.04760,0.71000,-1.42721,0.71000,0.63305,0.71000,0.33106,0.71000,1.45225
0.72053,0.72000,0.49019,0.72000,0.11363,0.72000,-1.51822,0.72000,0.56380,0.72000,0.52725,0.72000,1.54648
0.73054,0.73000,0.44621,0.73000,0.25391,0.73000,-1.60364,0.73000,0.49712,0.73000,0.71124,0.73000,1.60341
0.74055,0.74000,0.39356,0.74000,0.36999,0.74000,-1.68351,0.74000,0.43761,0.74000,0.87335,0.74000,1.62438
0.75056,0.75000,0.33700,0.75000,0.46119,0.75000,-1.75795,0.75000,0.38812,0.75000,1.00602,0.75000,1.61321
0.76056,0.76000,0.28091,0.76000,0.52925,0.76000,-1.82721,0.76000,0.34954,0.76000,1.10439,0.76000,1.57573
0.77057,0.77000,0.22904,0.77000,0.57805,0.77000,-1.89159,0.77000,0.32093,0.77000,1.16658,0.77000,1.51918
0.78058,0.78000,0.18425,0.78000,0.61296,0.78000,-1.95143,0.78000,0.29980,0.78000,1.19349,0.78000,1.45143
0.79059,0.79000,0.14847,0.79000,0.64011,0.79000,-2.00701,0.79000,0.28272,0.79000,1.18841,0.79000,1.38032
0.80059,0.80000,0.12266,0.80000,0.66561,0.80000,-2.05849,0.80000,0.26600,0.80000,1.15637,0.80000,1.31292
0.81060,0.81000,0.10693,0.81000,0.69470,0.81000,-2.10581,0.81000,0.24634,0.81000,1.10347,0.81000,1.25509
0.82061,0.82000,0.10068,0.82000,0.73112,0.82000,-2.14875,0.82000,0.22152,0.82000,1.03619,0.82000,1.21101
0.83061,0.83000,0.10282,0.83000,0.77666,0.83000,-2.18692,0.83000,0.19079,0.83000,0.96085,0.83000,1.18310
0.84062,0.84000,0.11193,0.84000,0.83089,0.84000,-2.21989,0.84000,0.15505,0.84000,0.88307,0.84000,1.17192
0.85063,0.85000,0.12652,0.85000,0.89129,0.85000,-2.24728,0.85000,0.11683,0.85000,0.80745,0.85000,1.17639
0.86064,0.86000,0.14519,0.86000,0.95355,0.86000,-2.26884,0.86000,0.07989,0.86000,0.73732,0.86000,1.19396
0.87064,0.87000,0.16676,0.87000,1.01209,0.87000,-2.28450,0.87000,0.04872,0.87000,0.67464,0.87000,1.22096
0.88065,0.88000,0.19037,0.88000,1.06077,0.88000,-2.29431,0.88000,0.02784,0.88000,0.62010,0.88000,1.25289
0.89066,0.89000,0.21545,0.89000,1.09357,0.89000,-2.29844,0.89000,0.02118,0.89000,0.57341,0.89000,1.28473
0.90067,0.90000,0.24160,0.90000,1.10523,0.90000,-2.29705,0.90000,0.03140,0.90000,0.53359,0.90000,1.31116
0.91067,0.91000,0.26851,0.91000,1.09187,0.91000,-2.29020,0.91000,0.05953,0.91000,0.49946,0.91000,1.32689
0.92068,0.92000,0.29576,0.92000,1.05133,0.92000,-2.27780,0.92000,0.10463,0.92000,0.46993,0.92000,1.32689
0.93069,0.93000,0.32273,0.93000,0.98334,0.93000,-2.25952,0.93000,0.16392,0.93000,0.44428,0.93000,1.30673
0.94070,0.94000,0.34859,0.94000,0.88953,0.94000,-2.23482,0.94000,0.23297,0.94000,0.42219,0.94000,1.26289
0.95070,0.95000,0.37226,0.95000,0.77325,0.95000,-2.20295,0.95000,0.30626,0.95000,0.40361,0.95000,1.19320
0.96071,0.96000,0.39261,0.96000,0.63925,0.96000,-2.16298,0.96000,0.37774,0.96000,0.38859,0.96000,1.09716
0.97072,0.97000,0.40857,0.97000,0.49332,0.97000,-2.11392,0.97000,0.44155,0.97000,0.37699,0.97000,0.97620
0.98073,0.98000,0.41936,0.98000,0.34186,0.98000,-2.05484,0.98000,0.49257,0.98000,0.36824,0.98000,0.83368
0.99073,0.99000,0.42461,0.99000,0.19138,0.99000,-1.98501,0.99000,0.52694,0.99000,0.36129,0.99000,0.67464
1.00074,1.00000,0.42452,1.00000,0.04800,1.00000,-1.90404,1.00000,0.54238,1.00000,0.35452,1.00000,0.50537
1.01075,1.01000,0.41989,1.01000,-0.08300,1.01000,-1.81209,1.01000,0.53833,1.01000,0.34596,1.01000,0.33278
1.02076,1.02000,0.41210,1.02000,-0.19753,1.02000,-1.70999,1.02000,0.51585,1.02000,0.33358,1.02000,0.16382
1.03076,1.03000,0.40307,1.03000,-0.29296,1.03000,-1.59935,1.03000,0.47747,1.03000,0.31558,1.03000,0.00480
1.04077,1.04000,0.39503,1.04000,-0.36820,1.04000,-1.48258,1.04000,0.42679,1.04000,0.29082,1.04000,-0.13914
