Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Flexo-extensión hombro izquierdo_X,Flexo-extensión hombro izquierdo_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Abducción-aducción hombro izquierdo_X,Abducción-aducción hombro izquierdo_Y,Rotación hombro derecho_X,Rotación hombro derecho_Y,Rotación hombro izquierdo_X,Rotación hombro izquierdo_Y
0.00000,0.00000,0.30682,0.00000,-1.77489,0.00000,0.29184,0.00000,-1.09770,0.00000,0.30129,0.00000,-1.78953
0.01000,0.01000,0.35318,0.01000,-1.78135,0.01000,0.28914,0.01000,-1.09370,0.01000,0.34787,0.01000,-1.79594
0.02000,0.02000,0.40488,0.02000,-1.78953,0.02000,0.28349,0.02000,-1.09164,0.02000,0.39985,0.02000,-1.80409
0.03000,0.03000,0.45997,0.03000,-1.79946,0.03000,0.27450,0.03000,-1.09200,0.03000,0.45528,0.03000,-1.81403
0.04001,0.04000,0.51603,0.04000,-1.81116,0.04000,0.26199,0.04000,-1.09508,0.04000,0.51175,0.04000,-1.82578
0.05001,0.05000,0.57037,0.05000,-1.82462,0.05000,0.24606,0.05000,-1.10087,0.05000,0.56653,0.05000,-1.83935
0.06001,0.06000,0.62018,0.06000,-1.83991,0.06000,0.22718,0.06000,-1.10909,0.06000,0.61682,0.06000,-1.85482
0.07001,0.07000,0.66280,0.07000,-1.85724,0.07000,0.20612,0.07000,-1.11920,0.07000,0.65991,0.07000,-1.87237
0.08001,0.08000,0.69583,0.08000,-1.87696,0.08000,0.18403,0.08000,-1.13044,0.08000,0.69340,0.08000,-1.89237
0.09001,0.09000,0.71730,0.09000,-1.89964,0.09000,0.16229,0.09000,-1.14191,0.09000,0.71529,0.09000,-1.91538
0.10002,0.10000,0.72576,0.10000,-1.92598,0.10000,0.14243,0.10000,-1.15271,0.10000,0.72412,0.10000,-1.94208
0.11002,0.11000,0.72033,0.11000,-1.95675,0.11000,0.12604,0.11000,-1.16199,0.11000,0.71898,0.11000,-1.97322
0.12002,0.12000,0.70068,0.12000,-1.99262,0.12000,0.11460,0.12000,-1.16908,0.12000,0.69952,0.12000,-2.00945
0.13002,0.13000,0.66703,0.13000,-2.03400,0.13000,0.10938,0.13000,-1.17352,0.13000,0.66596,0.13000,-2.05119
0.14002,0.14000,0.62009,0.14000,-2.08089,0.14000,0.11131,0.14000,-1.17509,0.14000,0.61899,0.14000,-2.09840
0.15002,0.15000,0.56103,0.15000,-2.13273,0.15000,0.12092,0.15000,-1.17383,0.15000,0.55980,0.15000,-2.15052
0.16002,0.16000,0.49141,0.16000,-2.18832,0.16000,0.13828,0.16000,-1.16998,0.16000,0.48995,0.16000,-2.20636
0.17003,0.17000,0.41313,0.17000,-2.24587,0.17000,0.16299,0.17000,-1.16391,0.17000,0.41134,0.17000,-2.26412
0.18003,0.18000,0.32832,0.18000,-2.30308,0.18000,0.19422,0.18000,-1.15601,0.18000,0.32613,0.18000,-2.32150
0.19003,0.19000,0.23928,0.19000,-2.35734,0.19000,0.23075,0.19000,-1.14665,0.19000,0.23664,0.19000,-2.37589
0.20003,0.20000,0.14838,0.20000,-2.40590,0.20000,0.27106,0.20000,-1.13608,0.20000,0.14526,0.20000,-2.42453
0.21003,0.21000,0.05796,0.21000,-2.44613,0.21000,0.31335,0.21000,-1.12436,0.21000,0.05434,0.21000,-2.46479
0.22003,0.22000,-0.02979,0.22000,-2.47570,0.22000,0.35570,0.22000,-1.11139,0.22000,-0.03387,0.22000,-2.49435
0.23003,0.23000,-0.11285,0.23000,-2.49276,0.23000,0.39608,0.23000,-1.09683,0.23000,-0.11736,0.23000,-2.51131
0.24004,0.24000,-0.18951,0.24000,-2.49601,0.24000,0.43246,0.24000,-1.08025,0.24000,-0.19439,0.24000,-2.51438
0.25004,0.25000,-0.25840,0.25000,-2.48475,0.25000,0.46294,0.25000,-1.06109,0.25000,-0.26355,0.25000,-2.50285
0.26004,0.26000,-0.31856,0.26000,-2.45889,0.26000,0.48576,0.26000,-1.03881,0.26000,-0.32388,0.26000,-2.47661
0.27004,0.27000,-0.36946,0.27000,-2.41891,0.27000,0.49947,0.27000,-1.01291,0.27000,-0.37483,0.27000,-2.43615
0.28004,0.28000,-0.41105,0.28000,-2.36581,0.28000,0.50299,0.28000,-0.98309,0.28000,-0.41636,0.28000,-2.38247
0.29004,0.29000,-0.44373,0.29000,-2.30103,0.29000,0.49567,0.29000,-0.94924,0.29000,-0.44886,0.29000,-2.31700
0.30005,0.30000,-0.46833,0.30000,-2.22639,0.30000,0.47736,0.30000,-0.91154,0.30000,-0.47317,0.30000,-2.24160
0.31005,0.31000,-0.48602,0.31000,-2.14402,0.31000,0.44841,0.31000,-0.87040,0.31000,-0.49045,0.31000,-2.15839
0.32005,0.32000,-0.49821,0.32000,-2.05621,0.32000,0.40962,0.32000,-0.82650,0.32000,-0.50217,0.32000,-2.06970
0.33005,0.33000,-0.50650,0.33000,-1.96539,0.33000,0.36218,0.33000,-0.78071,0.33000,-0.50991,0.33000,-1.97796
