Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,5.06264,0.00000,0.79230
0.01000,0.01000,5.05868,0.01000,0.68629
0.02000,0.02000,5.04234,0.02000,0.55955
0.03000,0.03000,5.01146,0.03000,0.41334
0.04001,0.04000,4.96478,0.04000,0.24974
0.05001,0.05000,4.90235,0.05000,0.07142
0.06001,0.06000,4.82574,0.06000,-0.11873
0.07001,0.07000,4.73821,0.07000,-0.31792
0.08001,0.08000,4.64463,0.08000,-0.52376
0.09001,0.09000,4.55136,0.09000,-0.73454
0.10001,0.10000,4.46576,0.10000,-0.94936
0.11002,0.11000,4.39572,0.11000,-1.16814
0.12002,0.12000,4.34887,0.12000,-1.39152
0.13002,0.13000,4.33187,0.13000,-1.62066
0.14002,0.14000,4.34964,0.14000,-1.85691
0.15002,0.15000,4.40469,0.15000,-2.10150
0.16002,0.16000,4.49670,0.16000,-2.35525
0.17002,0.17000,4.62246,0.17000,-2.61825
0.18003,0.18000,4.77606,0.18000,-2.88968
0.19003,0.19000,4.94944,0.19000,-3.16763
0.20003,0.20000,5.13317,0.20000,-3.44907
0.21003,0.21000,5.31745,0.21000,-3.72981
0.22003,0.22000,5.49303,0.22000,-4.00466
0.23003,0.23000,5.65221,0.23000,-4.26760
0.24003,0.24000,5.78958,0.24000,-4.51213
0.25003,0.25000,5.90266,0.25000,-4.73162
0.26004,0.26000,5.99223,0.26000,-4.91976
0.27004,0.27000,6.06247,0.27000,-5.07093
0.28004,0.28000,6.12071,0.28000,-5.18064
0.29004,0.29000,6.17690,0.29000,-5.24573
0.30004,0.30000,6.24275,0.30000,-5.26463
0.31004,0.31000,6.33060,0.31000,-5.23734
0.32004,0.32000,6.45216,0.32000,-5.16542
0.33005,0.33000,6.61720,0.33000,-5.05183
0.34005,0.34000,6.83252,0.34000,-4.90069
0.35005,0.35000,7.10130,0.35000,-4.71704
0.36005,0.36000,7.42297,0.36000,-4.50655
0.37005,0.37000,7.79363,0.37000,-4.27525
0.38005,0.38000,8.20687,0.38000,-4.02927
0.39005,0.39000,8.65488,0.39000,-3.77459
0.40006,0.40000,9.12955,0.40000,-3.51678
0.41006,0.41000,9.62335,0.41000,-3.26084
0.42006,0.42000,10.12992,0.42000,-3.01106
0.43006,0.43000,10.64424,0.43000,-2.77084
0.44006,0.44000,11.16254,0.44000,-2.54273
0.45006,0.45000,11.68192,0.45000,-2.32832
0.46006,0.46000,12.19987,0.46000,-2.12836
0.47006,0.47000,12.71376,0.47000,-1.94279
0.48007,0.48000,13.22033,0.48000,-1.77089
0.49007,0.49000,13.71533,0.49000,-1.61143
0.50007,0.50000,14.19317,0.50000,-1.46286
0.51007,0.51000,14.64678,0.51000,-1.32345
0.52007,0.52000,15.06753,0.52000,-1.19157
0.53007,0.53000,15.44542,0.53000,-1.06578
0.54007,0.54000,15.76937,0.54000,-0.94502
0.55008,0.55000,16.02784,0.55000,-0.82872
0.56008,0.56000,16.20956,0.56000,-0.71687
0.57008,0.57000,16.30433,0.57000,-0.61001
0.58008,0.58000,16.30393,0.58000,-0.50923
0.59008,0.59000,16.20277,0.59000,-0.41602
0.60008,0.60000,15.99840,0.60000,-0.33221
0.61008,0.61000,15.69169,0.61000,-0.25981
0.62009,0.62000,15.28674,0.62000,-0.20081
0.63009,0.63000,14.79057,0.63000,-0.15706
0.64009,0.64000,14.21260,0.64000,-0.13009
0.65009,0.65000,13.56406,0.65000,-0.12097
0.66009,0.66000,12.85743,0.66000,-0.13018
0.67009,0.67000,12.10589,0.67000,-0.15755
0.68009,0.68000,11.32302,0.68000,-0.20220
0.69009,0.69000,10.52245,0.69000,-0.26266
0.70010,0.70000,9.71772,0.70000,-0.33700
0.71010,0.71000,8.92210,0.71000,-0.42307
0.72010,0.72000,8.14833,0.72000,-0.51873
0.73010,0.73000,7.40831,0.73000,-0.62213
0.74010,0.74000,6.71271,0.74000,-0.73179
0.75010,0.75000,6.07049,0.75000,-0.84669
0.76010,0.76000,5.48850,0.76000,-0.96626
0.77011,0.77000,4.97107,0.77000,-1.09017
0.78011,0.78000,4.51991,0.78000,-1.21826
0.79011,0.79000,4.13410,0.79000,-1.35028
0.80011,0.80000,3.81038,0.80000,-1.48574
0.81011,0.81000,3.54349,0.81000,-1.62376
0.82011,0.82000,3.32672,0.82000,-1.76300
0.83011,0.83000,3.15236,0.83000,-1.90166
0.84012,0.84000,3.01219,0.84000,-2.03748
0.85012,0.85000,2.89782,0.85000,-2.16784
0.86012,0.86000,2.80102,0.86000,-2.28991
0.87012,0.87000,2.71390,0.87000,-2.40079
0.88012,0.88000,2.62908,0.88000,-2.49762
0.89012,0.89000,2.53984,0.89000,-2.57776
0.90012,0.90000,2.44030,0.90000,-2.63893
0.91012,0.91000,2.32561,0.91000,-2.67922
