Tiempo	Flexo-extensión cadera derecha_X	Flexo-extensión cadera derecha_Y	Flexo-extensión cadera izquierda_X	Flexo-extensión cadera izquierda_Y	Abducción-aducción cadera derecha_X	Abducción-aducción cadera derecha_Y	Abducción-aducción cadera izquierda_X	Abducción-aducción cadera izquierda_Y	Rotación cadera derecha_X	Rotación cadera derecha_Y	Rotación cadera izquierda_X	Rotación cadera izquierda_Y	Flexo-extensión codo derecho_X	Flexo-extensión codo derecho_Y	Flexo-extensión codo izquierdo_X	Flexo-extensión codo izquierdo_Y	Flexo-extensión cuello_X	Flexo-extensión cuello_Y	Flexión lateral cuello_X	Flexión lateral cuello_Y	Rotación cuello_X	Rotación cuello_Y	Flexo-extensión hombro derecho_X	Flexo-extensión hombro derecho_Y	Flexo-extensión hombro izquierdo_X	Flexo-extensión hombro izquierdo_Y	Abducción-aducción hombro derecho_X	Abducción-aducción hombro derecho_Y	Abducción-aducción hombro izquierdo_X	Abducción-aducción hombro izquierdo_Y	Rotación hombro derecho_X	Rotación hombro derecho_Y	Rotación hombro izquierdo_X	Rotación hombro izquierdo_Y	Flexo-extensión muñeca derecha_X	Flexo-extensión muñeca derecha_Y	Flexo-extensión muñeca izquierda_X	Flexo-extensión muñeca izquierda_Y	Abducción-aducción muñeca derecha_X	Abducción-aducción muñeca derecha_Y	Abducción-aducción muñeca izquierda_X	Abducción-aducción muñeca izquierda_Y	Rotación muñeca derecha_X	Rotación muñeca derecha_Y	Rotación muñeca izquierda_X	Rotación muñeca izquierda_Y	Rotación pelvis_X	Rotación pelvis_Y	Inclinación pelvis_X	Inclinación pelvis_Y	Oblicuidad pelvis_X	Oblicuidad pelvis_Y	Flexo-extensión rodilla derecha_X	Flexo-extensión rodilla derecha_Y	Flexo-extensión rodilla izquierda_X	Flexo-extensión rodilla izquierda_Y	Abducción-aducción rodilla derecha_X	Abducción-aducción rodilla derecha_Y	Abducción-aducción rodilla izquierda_X	Abducción-aducción rodilla izquierda_Y	Rotación rodilla derecha_X	Rotación rodilla derecha_Y	Rotación rodilla izquierda_X	Rotación rodilla izquierda_Y	Dorsiflexión-plantarflexión tobillo izquierdo_X	Dorsiflexión-plantarflexión tobillo izquierdo_Y	Dorsiflexión-plantarflexión tobillo izquierdo_X	Dorsiflexión-plantarflexión tobillo izquierdo_Y	Eversión-inversión tobillo derecho_X	Eversión-inversión tobillo derecho_Y	Eversión-inversión tobillo izquierdo_X	Eversión-inversión tobillo izquierdo_Y	Rotación tobillo derecho_X	Rotación tobillo derecho_Y	Rotación tobillo izquierdo_X	Rotación tobillo izquierdo_Y	Flexo-extensión torso_X	Flexo-extensión torso_Y	Flexión lateral torso_X	Flexión lateral torso_Y	Rotación torso_X	Rotación torso_Y	Inclinación torso_X	Inclinación torso_Y	
0.00000	0.00000	-1.48576	0.00000	-0.59735	0.00000	-0.83480	0.00000	1.14958	0.00000	-1.67781	0.00000	-3.67147	0.00000	0.76456	0.00000	6.22462	0.00000	-1.14059	0.00000	1.61884	0.00000	2.59478	0.00000	0.07207	0.00000	0.55738	0.00000	0.24522	0.00000	-1.72297	0.00000	0.06446	0.00000	0.37811	0.00000	0.04502	0.00000	0.38542	0.00000	-0.32081	0.00000	-2.12314	0.00000	-0.52085	0.00000	0.06332	0.00000	1.49401	0.00000	0.01625	0.00000	-0.47822	0.00000	0.09078	0.00000	1.88707	0.00000	-0.15774	0.00000	-0.42171	0.00000	-1.40826	0.00000	-1.78103	0.00000	1.13389	0.00000	2.09109	0.00000	0.81739	0.00000	-3.51991	0.00000	-3.60190	0.00000	1.56399	0.00000	-0.78725	0.00000	-0.97163	0.00000	-0.89541	0.00000	1.25501	
0.01001	0.01000	-1.53431	0.01000	-0.69751	0.01000	-0.79448	0.01000	1.13098	0.01000	-1.60920	0.01000	-3.67165	0.01000	0.73349	0.01000	6.33222	0.01000	-1.06858	0.01000	1.61744	0.01000	2.59576	0.01000	0.02155	0.01000	0.63113	0.01000	0.33468	0.01000	-1.83727	0.01000	0.01067	0.01000	0.44069	0.01000	-0.04897	0.01000	0.40563	0.01000	-0.32240	0.01000	-2.05874	0.01000	-0.47373	0.01000	0.04950	0.01000	1.46026	0.01000	0.04533	0.01000	-0.42296	0.01000	0.07291	0.01000	1.81909	0.01000	-0.15507	0.01000	-0.42954	0.01000	-1.42433	0.01000	-1.73134	0.01000	1.14916	0.01000	2.13947	0.01000	0.78466	0.01000	-3.61769	0.01000	-3.47664	0.01000	1.82930	0.01000	-0.76529	0.01000	-1.00843	0.01000	-0.90437	0.01000	1.26548	
0.02002	0.02000	-1.58381	0.02000	-0.79903	0.02000	-0.74977	0.02000	1.10724	0.02000	-1.52506	0.02000	-3.63679	0.02000	0.69410	0.02000	6.45481	0.02000	-0.98043	0.02000	1.61061	0.02000	2.59055	0.02000	-0.03930	0.02000	0.71063	0.02000	0.43845	0.02000	-1.96705	0.02000	-0.05408	0.02000	0.50747	0.02000	-0.15742	0.02000	0.42750	0.02000	-0.32299	0.02000	-1.98763	0.02000	-0.42668	0.02000	0.02704	0.02000	1.41830	0.02000	0.07356	0.02000	-0.36540	0.02000	0.04978	0.02000	1.74049	0.02000	-0.15375	0.02000	-0.43728	0.02000	-1.39005	0.02000	-1.66769	0.02000	1.16192	0.02000	2.18328	0.02000	0.74529	0.02000	-3.69806	0.02000	-3.31864	0.02000	2.13291	0.02000	-0.74629	0.02000	-1.03899	0.02000	-0.90966	0.02000	1.27431	
0.03003	0.03000	-1.63143	0.03000	-0.89592	0.03000	-0.70249	0.03000	1.07928	0.03000	-1.42601	0.03000	-3.56100	0.03000	0.64608	0.03000	6.59027	0.03000	-0.87683	0.03000	1.59726	0.03000	2.57724	0.03000	-0.10953	0.03000	0.79233	0.03000	0.55436	0.03000	-2.10845	0.03000	-0.12874	0.03000	0.57533	0.03000	-0.27794	0.03000	0.45012	0.03000	-0.32172	0.03000	-1.91208	0.03000	-0.38242	0.03000	-0.00507	0.03000	1.36821	0.03000	0.09892	0.03000	-0.30848	0.03000	0.02145	0.03000	1.65376	0.03000	-0.15405	0.03000	-0.44443	0.03000	-1.35260	0.03000	-1.59009	0.03000	1.17099	0.03000	2.21871	0.03000	0.69973	0.03000	-3.75127	0.03000	-3.12813	0.03000	2.46704	0.03000	-0.73216	0.03000	-1.05921	0.03000	-0.90967	0.03000	1.28040	
0.04003	0.04000	-1.67426	0.04000	-0.98214	0.04000	-0.65486	0.04000	1.04877	0.04000	-1.31349	0.04000	-3.44134	0.04000	0.58942	0.04000	6.73618	0.04000	-0.75931	0.04000	1.57659	0.04000	2.55399	0.04000	-0.18749	0.04000	0.87223	0.04000	0.67947	0.04000	-2.25650	0.04000	-0.21156	0.04000	0.64082	0.04000	-0.40743	0.04000	0.47237	0.04000	-0.31747	0.04000	-1.83462	0.04000	-0.34360	0.04000	-0.04733	0.04000	1.31046	0.04000	0.11949	0.04000	-0.25521	0.04000	-0.01160	0.04000	1.56226	0.04000	-0.15611	0.04000	-0.45050	0.04000	-1.33949	0.04000	-1.49924	0.04000	1.17545	0.04000	2.24230	0.04000	0.64884	0.04000	-3.76874	0.04000	-2.90714	0.04000	2.82155	0.04000	-0.72458	0.04000	-1.06513	0.04000	-0.90294	0.04000	1.28270	
0.05004	0.05000	-1.70970	0.05000	-1.05234	0.05000	-0.60927	0.05000	1.01815	0.05000	-1.18978	0.05000	-3.27865	0.05000	0.52436	0.05000	6.89006	0.05000	-0.63024	0.05000	1.54823	0.05000	2.51923	0.05000	-0.27083	0.05000	0.94626	0.05000	0.81028	0.05000	-2.40555	0.05000	-0.30002	0.05000	0.70050	0.05000	-0.54233	0.05000	0.49304	0.05000	-0.30884	0.05000	-1.75767	0.05000	-0.31248	0.05000	-0.09953	0.05000	1.24583	0.05000	0.13370	0.05000	-0.20840	0.05000	-0.04853	0.05000	1.46987	0.05000	-0.15980	0.05000	-0.45518	0.05000	-1.30431	0.05000	-1.39630	0.05000	1.17481	0.05000	2.25135	0.05000	0.59381	0.05000	-3.74438	0.05000	-2.65946	0.05000	3.18458	0.05000	-0.72468	0.05000	-1.05337	0.05000	-0.88820	0.05000	1.28033	
0.06005	0.06000	-1.73576	0.06000	-1.10252	0.06000	-0.56809	0.06000	0.99046	0.06000	-1.05783	0.06000	-3.07779	0.06000	0.45134	0.06000	7.04953	0.06000	-0.49272	0.06000	1.51236	0.06000	2.47170	0.06000	-0.35657	0.06000	1.01073	0.06000	0.94300	0.06000	-2.54960	0.06000	-0.39099	0.06000	0.75141	0.06000	-0.67886	0.06000	0.51082	0.06000	-0.29423	0.06000	-1.68315	0.06000	-0.29075	0.06000	-0.16066	0.06000	1.17539	0.06000	0.14054	0.06000	-0.17025	0.06000	-0.08812	0.06000	1.38060	0.06000	-0.16466	0.06000	-0.45843	0.06000	-1.21029	0.06000	-1.28271	0.06000	1.16916	0.06000	2.24431	0.06000	0.53609	0.06000	-3.67568	0.06000	-2.39049	0.06000	3.54334	0.06000	-0.73296	0.06000	-1.02152	0.06000	-0.86460	0.06000	1.27271	
0.07006	0.07000	-1.75130	0.07000	-1.13059	0.07000	-0.53341	0.07000	0.96897	0.07000	-0.92108	0.07000	-2.84728	0.07000	0.37103	0.07000	7.21226	0.07000	-0.35048	0.07000	1.46970	0.07000	2.41060	0.07000	-0.44121	0.07000	1.06278	0.07000	1.07379	0.07000	-2.68275	0.07000	-0.48076	0.07000	0.79136	0.07000	-0.81335	0.07000	0.52438	0.07000	-0.27186	0.07000	-1.61213	0.07000	-0.27939	0.07000	-0.22879	0.07000	1.10040	0.07000	0.13970	0.07000	-0.14209	0.07000	-0.12885	0.07000	1.29806	0.07000	-0.16993	0.07000	-0.46065	0.07000	-1.07707	0.07000	-1.15994	0.07000	1.15908	0.07000	2.22090	0.07000	0.47734	0.07000	-3.56436	0.07000	-2.10692	0.07000	3.88496	0.07000	-0.74910	0.07000	-0.96848	0.07000	-0.83168	0.07000	1.25962	
0.08007	0.08000	-1.75611	0.08000	-1.13653	0.08000	-0.50675	0.08000	0.95671	0.08000	-0.78327	0.08000	-2.59835	0.08000	0.28421	0.08000	7.37591	0.08000	-0.20766	0.08000	1.42148	0.08000	2.33562	0.08000	-0.52088	0.08000	1.10071	0.08000	1.19897	0.08000	-2.79960	0.08000	-0.56525	0.08000	0.81932	0.08000	-0.94239	0.08000	0.53241	0.08000	-0.23991	0.08000	-1.54448	0.08000	-0.27873	0.08000	-0.30108	0.08000	1.02230	0.08000	0.13161	0.08000	-0.12413	0.08000	-0.16904	0.08000	1.22505	0.08000	-0.17448	0.08000	-0.46264	0.08000	-0.97102	0.08000	-1.02942	0.08000	1.14567	0.08000	2.18219	0.08000	0.41925	0.08000	-3.41637	0.08000	-1.81631	0.08000	4.19743	0.08000	-0.77207	0.08000	-0.89466	0.08000	-0.78941	0.08000	1.24129	
0.09007	0.09000	-1.75086	0.09000	-1.12233	0.09000	-0.48895	0.09000	0.95588	0.09000	-0.64817	0.09000	-2.34358	0.09000	0.19184	0.09000	7.53780	0.09000	-0.06868	0.09000	1.36938	0.09000	2.24699	0.09000	-0.59154	0.09000	1.12429	0.09000	1.31525	0.09000	-2.89559	0.09000	-0.64022	0.09000	0.83561	0.09000	-1.06296	0.09000	0.53368	0.09000	-0.19666	0.09000	-1.47875	0.09000	-0.28856	0.09000	-0.37377	0.09000	0.94262	0.09000	0.11735	0.09000	-0.11545	0.09000	-0.20698	0.09000	1.16330	0.09000	-0.17691	0.09000	-0.46562	0.09000	-0.89066	0.09000	-0.89263	0.09000	1.13035	0.09000	2.13035	0.09000	0.36340	0.09000	-3.24121	0.09000	-1.52653	0.09000	4.47052	0.09000	-0.80024	0.09000	-0.80206	0.09000	-0.73812	0.09000	1.21832	
