Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,-0.15310,0.00000,0.04765
0.01000,0.01000,-0.15253,0.01000,0.05075
0.02000,0.02000,-0.15178,0.02000,0.05505
0.03000,0.03000,-0.15083,0.03000,0.06058
0.04001,0.04000,-0.14969,0.04000,0.06726
0.05001,0.05000,-0.14836,0.05000,0.07491
0.06001,0.06000,-0.14686,0.06000,0.08328
0.07001,0.07000,-0.14522,0.07000,0.09205
0.08001,0.08000,-0.14346,0.08000,0.10087
0.09001,0.09000,-0.14160,0.09000,0.10941
0.10002,0.10000,-0.13963,0.10000,0.11737
0.11002,0.11000,-0.13753,0.11000,0.12449
0.12002,0.12000,-0.13526,0.12000,0.13060
0.13002,0.13000,-0.13276,0.13000,0.13561
0.14002,0.14000,-0.12999,0.14000,0.13947
0.15002,0.15000,-0.12693,0.15000,0.14223
0.16002,0.16000,-0.12357,0.16000,0.14397
0.17003,0.17000,-0.11995,0.17000,0.14483
0.18003,0.18000,-0.11611,0.18000,0.14492
0.19003,0.19000,-0.11215,0.19000,0.14439
0.20003,0.20000,-0.10814,0.20000,0.14333
0.21003,0.21000,-0.10420,0.21000,0.14182
0.22003,0.22000,-0.10043,0.22000,0.13990
0.23003,0.23000,-0.09692,0.23000,0.13760
0.24004,0.24000,-0.09373,0.24000,0.13491
0.25004,0.25000,-0.09089,0.25000,0.13183
0.26004,0.26000,-0.08841,0.26000,0.12836
0.27004,0.27000,-0.08623,0.27000,0.12450
0.28004,0.28000,-0.08430,0.28000,0.12027
0.29004,0.29000,-0.08250,0.29000,0.11570
0.30004,0.30000,-0.08074,0.30000,0.11083
0.31005,0.31000,-0.07891,0.31000,0.10571
0.32005,0.32000,-0.07692,0.32000,0.10039
0.33005,0.33000,-0.07474,0.33000,0.09493
0.34005,0.34000,-0.07235,0.34000,0.08940
0.35005,0.35000,-0.06979,0.35000,0.08385
0.36005,0.36000,-0.06715,0.36000,0.07832
0.37005,0.37000,-0.06454,0.37000,0.07287
0.38006,0.38000,-0.06213,0.38000,0.06751
0.39006,0.39000,-0.06008,0.39000,0.06229
0.40006,0.40000,-0.05859,0.40000,0.05722
0.41006,0.41000,-0.05780,0.41000,0.05229
0.42006,0.42000,-0.05788,0.42000,0.04748
0.43006,0.43000,-0.05893,0.43000,0.04277
0.44007,0.44000,-0.06100,0.44000,0.03812
0.45007,0.45000,-0.06410,0.45000,0.03351
0.46007,0.46000,-0.06819,0.46000,0.02892
0.47007,0.47000,-0.07313,0.47000,0.02440
0.48007,0.48000,-0.07878,0.48000,0.01999
0.49007,0.49000,-0.08492,0.49000,0.01581
0.50007,0.50000,-0.09132,0.50000,0.01201
0.51008,0.51000,-0.09774,0.51000,0.00877
0.52008,0.52000,-0.10396,0.52000,0.00628
0.53008,0.53000,-0.10978,0.53000,0.00472
0.54008,0.54000,-0.11504,0.54000,0.00419
0.55008,0.55000,-0.11963,0.55000,0.00476
0.56008,0.56000,-0.12351,0.56000,0.00640
0.57008,0.57000,-0.12668,0.57000,0.00896
0.58009,0.58000,-0.12923,0.58000,0.01223
0.59009,0.59000,-0.13124,0.59000,0.01590
0.60009,0.60000,-0.13286,0.60000,0.01963
0.61009,0.61000,-0.13422,0.61000,0.02307
0.62009,0.62000,-0.13545,0.62000,0.02589
0.63009,0.63000,-0.13662,0.63000,0.02787
0.64009,0.64000,-0.13773,0.64000,0.02885
0.65010,0.65000,-0.13872,0.65000,0.02881
0.66010,0.66000,-0.13948,0.66000,0.02782
0.67010,0.67000,-0.13984,0.67000,0.02603
0.68010,0.68000,-0.13962,0.68000,0.02366
0.69010,0.69000,-0.13868,0.69000,0.02096
0.70010,0.70000,-0.13690,0.70000,0.01817
0.71010,0.71000,-0.13424,0.71000,0.01549
0.72011,0.72000,-0.13068,0.72000,0.01309
0.73011,0.73000,-0.12628,0.73000,0.01105
0.74011,0.74000,-0.12115,0.74000,0.00940
0.75011,0.75000,-0.11543,0.75000,0.00809
0.76011,0.76000,-0.10928,0.76000,0.00704
0.77011,0.77000,-0.10288,0.77000,0.00615
0.78012,0.78000,-0.09642,0.78000,0.00527
0.79012,0.79000,-0.09008,0.79000,0.00430
0.80012,0.80000,-0.08401,0.80000,0.00314
0.81012,0.81000,-0.07834,0.81000,0.00169
0.82012,0.82000,-0.07316,0.82000,-0.00008
0.83012,0.83000,-0.06853,0.83000,-0.00220
0.84012,0.84000,-0.06447,0.84000,-0.00468
0.85013,0.85000,-0.06100,0.85000,-0.00751
0.86013,0.86000,-0.05814,0.86000,-0.01067
0.87013,0.87000,-0.05593,0.87000,-0.01414
0.88013,0.88000,-0.05443,0.88000,-0.01789
0.89013,0.89000,-0.05375,0.89000,-0.02190
0.90013,0.90000,-0.05401,0.90000,-0.02614
0.91013,0.91000,-0.05534,0.91000,-0.03058
0.92014,0.92000,-0.05786,0.92000,-0.03519
0.93014,0.93000,-0.06169,0.93000,-0.03993
0.94014,0.94000,-0.06687,0.94000,-0.04477
0.95014,0.95000,-0.07339,0.95000,-0.04966
0.96014,0.96000,-0.08116,0.96000,-0.05454
0.97014,0.97000,-0.09003,0.97000,-0.05937
0.98014,0.98000,-0.09975,0.98000,-0.06406
0.99015,0.99000,-0.11002,0.99000,-0.06853
1.00015,1.00000,-0.12049,1.00000,-0.07268
1.01015,1.01000,-0.13079,1.01000,-0.07638
1.02015,1.02000,-0.14054,1.02000,-0.07950
1.03015,1.03000,-0.14935,1.03000,-0.08190
1.04015,1.04000,-0.15692,1.04000,-0.08343
1.05015,1.05000,-0.16296,1.05000,-0.08397
1.06016,1.06000,-0.16729,1.06000,-0.08343
1.07016,1.07000,-0.16979,1.07000,-0.08174
1.08016,1.08000,-0.17044,1.08000,-0.07891
1.09016,1.09000,-0.16932,1.09000,-0.07501
1.10016,1.10000,-0.16655,1.10000,-0.07016
1.11016,1.11000,-0.16237,1.11000,-0.06457
1.12016,1.12000,-0.15702,1.12000,-0.05847
1.13017,1.13000,-0.15079,1.13000,-0.05217
1.14017,1.14000,-0.14399,1.14000,-0.04597
1.15017,1.15000,-0.13690,1.15000,-0.04015
1.16017,1.16000,-0.12973,1.16000,-0.03496
1.17017,1.17000,-0.12266,1.17000,-0.03060
1.18017,1.18000,-0.11577,1.18000,-0.02717
1.19018,1.19000,-0.10909,1.19000,-0.02474
1.20018,1.20000,-0.10262,1.20000,-0.02332
1.21018,1.21000,-0.09635,1.21000,-0.02284
1.22018,1.22000,-0.09030,1.22000,-0.02325
1.23018,1.23000,-0.08454,1.23000,-0.02441
1.24018,1.24000,-0.07918,1.24000,-0.02622
1.25018,1.25000,-0.07436,1.25000,-0.02853
1.26019,1.26000,-0.07021,1.26000,-0.03120
1.27019,1.27000,-0.06686,1.27000,-0.03409
1.28019,1.28000,-0.06440,1.28000,-0.03706
1.29019,1.29000,-0.06287,1.29000,-0.03999
1.30019,1.30000,-0.06224,1.30000,-0.04276
1.31019,1.31000,-0.06245,1.31000,-0.04528
1.32019,1.32000,-0.06338,1.32000,-0.04748
1.33020,1.33000,-0.06488,1.33000,-0.04931
1.34020,1.34000,-0.06681,1.34000,-0.05074
1.35020,1.35000,-0.06901,1.35000,-0.05179
1.36020,1.36000,-0.07133,1.36000,-0.05249
1.37020,1.37000,-0.07368,1.37000,-0.05293
1.38020,1.38000,-0.07595,1.38000,-0.05321
1.39020,1.39000,-0.07813,1.39000,-0.05349
1.40021,1.40000,-0.08021,1.40000,-0.05394
1.41021,1.41000,-0.08227,1.41000,-0.05473
1.42021,1.42000,-0.08440,1.42000,-0.05604
1.43021,1.43000,-0.08672,1.43000,-0.05801
1.44021,1.44000,-0.08935,1.44000,-0.06073
1.45021,1.45000,-0.09240,1.45000,-0.06425
1.46021,1.46000,-0.09593,1.46000,-0.06854
1.47022,1.47000,-0.09995,1.47000,-0.07354
1.48022,1.48000,-0.10437,1.48000,-0.07912
1.49022,1.49000,-0.10910,1.49000,-0.08514
1.50022,1.50000,-0.11394,1.50000,-0.09141
1.51022,1.51000,-0.11871,1.51000,-0.09776
1.52022,1.52000,-0.12321,1.52000,-0.10404
1.53023,1.53000,-0.12727,1.53000,-0.11009
1.54023,1.54000,-0.13075,1.54000,-0.11581
1.55023,1.55000,-0.13360,1.55000,-0.12109
1.56023,1.56000,-0.13584,1.56000,-0.12587
1.57023,1.57000,-0.13755,1.57000,-0.13007
1.58023,1.58000,-0.13888,1.58000,-0.13364
1.59023,1.59000,-0.14000,1.59000,-0.13652
1.60024,1.60000,-0.14113,1.60000,-0.13865
1.61024,1.61000,-0.14244,1.61000,-0.14000
1.62024,1.62000,-0.14412,1.62000,-0.14055
1.63024,1.63000,-0.14631,1.63000,-0.14031
1.64024,1.64000,-0.14908,1.64000,-0.13933
1.65024,1.65000,-0.15250,1.65000,-0.13772
1.66024,1.66000,-0.15657,1.66000,-0.13564
1.67025,1.67000,-0.16125,1.67000,-0.13328
1.68025,1.68000,-0.16649,1.68000,-0.13083
1.69025,1.69000,-0.17219,1.69000,-0.12849
1.70025,1.70000,-0.17824,1.70000,-0.12642
1.71025,1.71000,-0.18451,1.71000,-0.12472
1.72025,1.72000,-0.19086,1.72000,-0.12342
1.73025,1.73000,-0.19714,1.73000,-0.12247
1.74026,1.74000,-0.20319,1.74000,-0.12175
1.75026,1.75000,-0.20887,1.75000,-0.12108
1.76026,1.76000,-0.21405,1.76000,-0.12024
1.77026,1.77000,-0.21860,1.77000,-0.11901
1.78026,1.78000,-0.22243,1.78000,-0.11718
1.79026,1.79000,-0.22543,1.79000,-0.11461
1.80026,1.80000,-0.22752,1.80000,-0.11117
1.81027,1.81000,-0.22863,1.81000,-0.10683
1.82027,1.82000,-0.22872,1.82000,-0.10159
1.83027,1.83000,-0.22777,1.83000,-0.09554
1.84027,1.84000,-0.22578,1.84000,-0.08878
1.85027,1.85000,-0.22279,1.85000,-0.08146
1.86027,1.86000,-0.21887,1.86000,-0.07377
1.87028,1.87000,-0.21409,1.87000,-0.06589
1.88028,1.88000,-0.20853,1.88000,-0.05804
1.89028,1.89000,-0.20228,1.89000,-0.05041
1.90028,1.90000,-0.19540,1.90000,-0.04317
1.91028,1.91000,-0.18795,1.91000,-0.03648
1.92028,1.92000,-0.17998,1.92000,-0.03046
1.93028,1.93000,-0.17151,1.93000,-0.02518
1.94029,1.94000,-0.16257,1.94000,-0.02068
1.95029,1.95000,-0.15319,1.95000,-0.01694
1.96029,1.96000,-0.14343,1.96000,-0.01386
1.97029,1.97000,-0.13332,1.97000,-0.01131
1.98029,1.98000,-0.12293,1.98000,-0.00911
1.99029,1.99000,-0.11233,1.99000,-0.00705
2.00029,2.00000,-0.10158,2.00000,-0.00492
2.01030,2.01000,-0.09076,2.01000,-0.00251
2.02030,2.02000,-0.07994,2.02000,0.00034
2.03030,2.03000,-0.06922,2.03000,0.00372
2.04030,2.04000,-0.05870,2.04000,0.00765
2.05030,2.05000,-0.04849,2.05000,0.01209
2.06030,2.06000,-0.03872,2.06000,0.01690
2.07030,2.07000,-0.02951,2.07000,0.02192
2.08031,2.08000,-0.02098,2.08000,0.02694
2.09031,2.09000,-0.01321,2.09000,0.03177
2.10031,2.10000,-0.00628,2.10000,0.03622
2.11031,2.11000,-0.00023,2.11000,0.04016
2.12031,2.12000,0.00491,2.12000,0.04351
2.13031,2.13000,0.00914,2.13000,0.04624
2.14031,2.14000,0.01250,2.14000,0.04837
2.15032,2.15000,0.01502,2.15000,0.04996
2.16032,2.16000,0.01676,2.16000,0.05111
2.17032,2.17000,0.01781,2.17000,0.05188
2.18032,2.18000,0.01825,2.18000,0.05234
2.19032,2.19000,0.01816,2.19000,0.05252
2.20032,2.20000,0.01766,2.20000,0.05242
2.21033,2.21000,0.01684,2.21000,0.05199
2.22033,2.22000,0.01580,2.22000,0.05120
2.23033,2.23000,0.01465,2.23000,0.04997
2.24033,2.24000,0.01347,2.24000,0.04827
2.25033,2.25000,0.01235,2.25000,0.04607
2.26033,2.26000,0.01137,2.26000,0.04338
2.27033,2.27000,0.01055,2.27000,0.04024
2.28034,2.28000,0.00988,2.28000,0.03672
2.29034,2.29000,0.00933,2.29000,0.03290
2.30034,2.30000,0.00881,2.30000,0.02889
2.31034,2.31000,0.00820,2.31000,0.02478
2.32034,2.32000,0.00739,2.32000,0.02067
2.33034,2.33000,0.00625,2.33000,0.01664
2.34034,2.34000,0.00469,2.34000,0.01271
2.35035,2.35000,0.00265,2.35000,0.00890
2.36035,2.36000,0.00009,2.36000,0.00516
2.37035,2.37000,-0.00298,2.37000,0.00142
2.38035,2.38000,-0.00651,2.38000,-0.00240
2.39035,2.39000,-0.01042,2.39000,-0.00637
2.40035,2.40000,-0.01461,2.40000,-0.01054
2.41035,2.41000,-0.01894,2.41000,-0.01489
2.42036,2.42000,-0.02327,2.42000,-0.01936
2.43036,2.43000,-0.02743,2.43000,-0.02385
2.44036,2.44000,-0.03128,2.44000,-0.02821
2.45036,2.45000,-0.03466,2.45000,-0.03228
2.46036,2.46000,-0.03741,2.46000,-0.03588
2.47036,2.47000,-0.03944,2.47000,-0.03886
2.48036,2.48000,-0.04064,2.48000,-0.04111
2.49037,2.49000,-0.04100,2.49000,-0.04253
