Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Flexo-extensión hombro izquierdo_X,Flexo-extensión hombro izquierdo_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Abducción-aducción hombro izquierdo_X,Abducción-aducción hombro izquierdo_Y,Rotación hombro derecho_X,Rotación hombro derecho_Y,Rotación hombro izquierdo_X,Rotación hombro izquierdo_Y
0.00000,0.00000,0.04975,0.00000,0.03248,0.00000,-0.01239,0.00000,0.20471,0.00000,0.04975,0.00000,0.03292
0.01000,0.01000,0.05327,0.01000,0.03259,0.01000,-0.01473,0.01000,0.20514,0.01000,0.05327,0.01000,0.03303
0.02000,0.02000,0.05715,0.02000,0.03270,0.02000,-0.01723,0.02000,0.20549,0.02000,0.05716,0.02000,0.03312
0.03000,0.03000,0.06130,0.03000,0.03278,0.03000,-0.01974,0.03000,0.20569,0.03000,0.06131,0.03000,0.03320
0.04001,0.04000,0.06561,0.04000,0.03283,0.04000,-0.02212,0.04000,0.20571,0.04000,0.06562,0.04000,0.03324
0.05001,0.05000,0.06996,0.05000,0.03283,0.05000,-0.02419,0.05000,0.20552,0.05000,0.06997,0.05000,0.03324
0.06001,0.06000,0.07422,0.06000,0.03273,0.06000,-0.02580,0.06000,0.20509,0.06000,0.07424,0.06000,0.03314
0.07001,0.07000,0.07829,0.07000,0.03250,0.07000,-0.02684,0.07000,0.20442,0.07000,0.07831,0.07000,0.03291
0.08001,0.08000,0.08206,0.08000,0.03209,0.08000,-0.02722,0.08000,0.20352,0.08000,0.08207,0.08000,0.03250
0.09001,0.09000,0.08544,0.09000,0.03146,0.09000,-0.02694,0.09000,0.20241,0.09000,0.08546,0.09000,0.03187
0.10001,0.10000,0.08839,0.10000,0.03061,0.10000,-0.02603,0.10000,0.20118,0.10000,0.08840,0.10000,0.03103
0.11002,0.11000,0.09088,0.11000,0.02957,0.11000,-0.02461,0.11000,0.19989,0.11000,0.09089,0.11000,0.03000
0.12002,0.12000,0.09292,0.12000,0.02839,0.12000,-0.02281,0.12000,0.19862,0.12000,0.09294,0.12000,0.02882
0.13002,0.13000,0.09455,0.13000,0.02711,0.13000,-0.02077,0.13000,0.19744,0.13000,0.09456,0.13000,0.02755
0.14002,0.14000,0.09580,0.14000,0.02578,0.14000,-0.01865,0.14000,0.19636,0.14000,0.09581,0.14000,0.02624
0.15002,0.15000,0.09671,0.15000,0.02442,0.15000,-0.01657,0.15000,0.19540,0.15000,0.09672,0.15000,0.02489
0.16002,0.16000,0.09732,0.16000,0.02303,0.16000,-0.01460,0.16000,0.19451,0.16000,0.09733,0.16000,0.02352
0.17002,0.17000,0.09767,0.17000,0.02160,0.17000,-0.01280,0.17000,0.19364,0.17000,0.09768,0.17000,0.02209
0.18003,0.18000,0.09780,0.18000,0.02008,0.18000,-0.01119,0.18000,0.19271,0.18000,0.09781,0.18000,0.02058
0.19003,0.19000,0.09773,0.19000,0.01842,0.19000,-0.00975,0.19000,0.19163,0.19000,0.09774,0.19000,0.01892
0.20003,0.20000,0.09748,0.20000,0.01657,0.20000,-0.00844,0.20000,0.19032,0.20000,0.09749,0.20000,0.01708
0.21003,0.21000,0.09706,0.21000,0.01448,0.21000,-0.00722,0.21000,0.18874,0.21000,0.09707,0.21000,0.01499
0.22003,0.22000,0.09646,0.22000,0.01210,0.22000,-0.00602,0.22000,0.18684,0.22000,0.09646,0.22000,0.01260
0.23003,0.23000,0.09563,0.23000,0.00937,0.23000,-0.00477,0.23000,0.18461,0.23000,0.09564,0.23000,0.00986
0.24003,0.24000,0.09455,0.24000,0.00626,0.24000,-0.00341,0.24000,0.18207,0.24000,0.09455,0.24000,0.00673
0.25004,0.25000,0.09316,0.25000,0.00273,0.25000,-0.00191,0.25000,0.17925,0.25000,0.09316,0.25000,0.00318
0.26004,0.26000,0.09145,0.26000,-0.00120,0.26000,-0.00024,0.26000,0.17621,0.26000,0.09145,0.26000,-0.00077
0.27004,0.27000,0.08943,0.27000,-0.00549,0.27000,0.00159,0.27000,0.17303,0.27000,0.08942,0.27000,-0.00508
0.28004,0.28000,0.08714,0.28000,-0.01007,0.28000,0.00356,0.28000,0.16977,0.28000,0.08713,0.28000,-0.00968
0.29004,0.29000,0.08465,0.29000,-0.01484,0.29000,0.00564,0.29000,0.16649,0.29000,0.08464,0.29000,-0.01447
0.30004,0.30000,0.08204,0.30000,-0.01971,0.30000,0.00781,0.30000,0.16324,0.30000,0.08203,0.30000,-0.01937
0.31004,0.31000,0.07937,0.31000,-0.02463,0.31000,0.01004,0.31000,0.16002,0.31000,0.07936,0.31000,-0.02430
0.32005,0.32000,0.07668,0.32000,-0.02952,0.32000,0.01234,0.32000,0.15685,0.32000,0.07666,0.32000,-0.02921
0.33005,0.33000,0.07399,0.33000,-0.03436,0.33000,0.01469,0.33000,0.15368,0.33000,0.07397,0.33000,-0.03407
0.34005,0.34000,0.07131,0.34000,-0.03911,0.34000,0.01712,0.34000,0.15050,0.34000,0.07130,0.34000,-0.03884
0.35005,0.35000,0.06867,0.35000,-0.04371,0.35000,0.01961,0.35000,0.14726,0.35000,0.06866,0.35000,-0.04345
0.36005,0.36000,0.06610,0.36000,-0.04807,0.36000,0.02213,0.36000,0.14394,0.36000,0.06609,0.36000,-0.04782
0.37005,0.37000,0.06365,0.37000,-0.05207,0.37000,0.02467,0.37000,0.14055,0.37000,0.06365,0.37000,-0.05182
0.38005,0.38000,0.06139,0.38000,-0.05556,0.38000,0.02718,0.38000,0.13711,0.38000,0.06139,0.38000,-0.05533
0.39006,0.39000,0.05937,0.39000,-0.05844,0.39000,0.02962,0.39000,0.13366,0.39000,0.05937,0.39000,-0.05821
0.40006,0.40000,0.05760,0.40000,-0.06061,0.40000,0.03196,0.40000,0.13026,0.40000,0.05761,0.40000,-0.06039
