Tiempo,Flexo-extensión torso_X,Flexo-extensión torso_Y,Flexión lateral torso_X,Flexión lateral torso_Y,Rotación torso_X,Rotación torso_Y,Inclinación torso_X,Inclinación torso_Y
0.00000,0.00000,0.01681,0.00000,-0.05704,0.00000,0.14584,0.00000,0.06152
0.01000,0.01000,0.02091,0.01000,-0.05893,0.01000,0.14341,0.01000,0.06467
0.02000,0.02000,0.02493,0.02000,-0.06081,0.02000,0.14076,0.02000,0.06778
0.03000,0.03000,0.02857,0.03000,-0.06250,0.03000,0.13805,0.03000,0.07057
0.04001,0.04000,0.03158,0.04000,-0.06381,0.04000,0.13546,0.04000,0.07278
0.05001,0.05000,0.03372,0.05000,-0.06457,0.05000,0.13321,0.05000,0.07414
0.06001,0.06000,0.03483,0.06000,-0.06460,0.06000,0.13147,0.06000,0.07441
0.07001,0.07000,0.03484,0.07000,-0.06378,0.07000,0.13041,0.07000,0.07346
0.08001,0.08000,0.03376,0.08000,-0.06203,0.08000,0.13011,0.08000,0.07121
0.09001,0.09000,0.03172,0.09000,-0.05936,0.09000,0.13061,0.09000,0.06770
0.10001,0.10000,0.02890,0.10000,-0.05580,0.10000,0.13191,0.10000,0.06306
0.11002,0.11000,0.02553,0.11000,-0.05148,0.11000,0.13395,0.11000,0.05748
0.12002,0.12000,0.02187,0.12000,-0.04653,0.12000,0.13664,0.12000,0.05123
0.13002,0.13000,0.01817,0.13000,-0.04115,0.13000,0.13989,0.13000,0.04459
0.14002,0.14000,0.01464,0.14000,-0.03554,0.14000,0.14360,0.14000,0.03786
0.15002,0.15000,0.01143,0.15000,-0.02989,0.15000,0.14765,0.15000,0.03136
0.16002,0.16000,0.00865,0.16000,-0.02439,0.16000,0.15188,0.16000,0.02533
0.17002,0.17000,0.00633,0.17000,-0.01917,0.17000,0.15612,0.17000,0.02000
0.18003,0.18000,0.00442,0.18000,-0.01435,0.18000,0.16019,0.18000,0.01553
0.19003,0.19000,0.00285,0.19000,-0.00998,0.19000,0.16386,0.19000,0.01202
0.20003,0.20000,0.00151,0.20000,-0.00606,0.20000,0.16691,0.20000,0.00952
0.21003,0.21000,0.00029,0.21000,-0.00256,0.21000,0.16912,0.21000,0.00801
0.22003,0.22000,-0.00087,0.22000,0.00058,0.22000,0.17026,0.22000,0.00744
0.23003,0.23000,-0.00203,0.23000,0.00346,0.23000,0.17015,0.23000,0.00774
0.24003,0.24000,-0.00316,0.24000,0.00616,0.24000,0.16866,0.24000,0.00880
0.25004,0.25000,-0.00423,0.25000,0.00877,0.25000,0.16575,0.25000,0.01051
0.26004,0.26000,-0.00516,0.26000,0.01136,0.26000,0.16150,0.26000,0.01275
0.27004,0.27000,-0.00585,0.27000,0.01400,0.27000,0.15611,0.27000,0.01538
0.28004,0.28000,-0.00624,0.28000,0.01672,0.28000,0.14989,0.28000,0.01831
0.29004,0.29000,-0.00628,0.29000,0.01955,0.29000,0.14327,0.29000,0.02142
0.30004,0.30000,-0.00597,0.30000,0.02250,0.30000,0.13670,0.30000,0.02465
0.31004,0.31000,-0.00536,0.31000,0.02558,0.31000,0.13065,0.31000,0.02795
0.32005,0.32000,-0.00453,0.32000,0.02881,0.32000,0.12549,0.32000,0.03130
0.33005,0.33000,-0.00357,0.33000,0.03219,0.33000,0.12152,0.33000,0.03471
0.34005,0.34000,-0.00259,0.34000,0.03575,0.34000,0.11894,0.34000,0.03820
0.35005,0.35000,-0.00170,0.35000,0.03950,0.35000,0.11780,0.35000,0.04180
0.36005,0.36000,-0.00093,0.36000,0.04345,0.36000,0.11809,0.36000,0.04553
0.37005,0.37000,-0.00031,0.37000,0.04761,0.37000,0.11968,0.37000,0.04942
0.38005,0.38000,0.00024,0.38000,0.05197,0.38000,0.12237,0.38000,0.05348
0.39006,0.39000,0.00079,0.39000,0.05650,0.39000,0.12594,0.39000,0.05768
0.40006,0.40000,0.00147,0.40000,0.06115,0.40000,0.13014,0.40000,0.06202
0.41006,0.41000,0.00241,0.41000,0.06586,0.41000,0.13473,0.41000,0.06643
0.42006,0.42000,0.00372,0.42000,0.07057,0.42000,0.13952,0.42000,0.07089
0.43006,0.43000,0.00549,0.43000,0.07520,0.43000,0.14437,0.43000,0.07532
0.44006,0.44000,0.00775,0.44000,0.07966,0.44000,0.14923,0.44000,0.07968
0.45007,0.45000,0.01054,0.45000,0.08388,0.45000,0.15411,0.45000,0.08391
0.46007,0.46000,0.01383,0.46000,0.08775,0.46000,0.15905,0.46000,0.08797
0.47007,0.47000,0.01760,0.47000,0.09116,0.47000,0.16414,0.47000,0.09180
0.48007,0.48000,0.02183,0.48000,0.09402,0.48000,0.16945,0.48000,0.09536
0.49007,0.49000,0.02649,0.49000,0.09620,0.49000,0.17504,0.49000,0.09863
0.50007,0.50000,0.03156,0.50000,0.09758,0.50000,0.18091,0.50000,0.10157
0.51007,0.51000,0.03705,0.51000,0.09808,0.51000,0.18699,0.51000,0.10419
0.52008,0.52000,0.04295,0.52000,0.09760,0.52000,0.19319,0.52000,0.10648
0.53008,0.53000,0.04924,0.53000,0.09611,0.53000,0.19934,0.53000,0.10850
0.54008,0.54000,0.05593,0.54000,0.09360,0.54000,0.20526,0.54000,0.11030
0.55008,0.55000,0.06299,0.55000,0.09013,0.55000,0.21081,0.55000,0.11197
0.56008,0.56000,0.07041,0.56000,0.08579,0.56000,0.21586,0.56000,0.11365
0.57008,0.57000,0.07815,0.57000,0.08077,0.57000,0.22039,0.57000,0.11549
0.58008,0.58000,0.08618,0.58000,0.07527,0.58000,0.22442,0.58000,0.11764
0.59009,0.59000,0.09449,0.59000,0.06951,0.59000,0.22809,0.59000,0.12030
0.60009,0.60000,0.10308,0.60000,0.06374,0.60000,0.23158,0.60000,0.12365
0.61009,0.61000,0.11197,0.61000,0.05816,0.61000,0.23510,0.61000,0.12786
0.62009,0.62000,0.12120,0.62000,0.05290,0.62000,0.23881,0.62000,0.13307
0.63009,0.63000,0.13081,0.63000,0.04806,0.63000,0.24288,0.63000,0.13937
0.64009,0.64000,0.14084,0.64000,0.04362,0.64000,0.24738,0.64000,0.14679
0.65009,0.65000,0.15126,0.65000,0.03951,0.65000,0.25236,0.65000,0.15525
0.66010,0.66000,0.16202,0.66000,0.03564,0.66000,0.25782,0.66000,0.16459
0.67010,0.67000,0.17296,0.67000,0.03188,0.67000,0.26375,0.67000,0.17459
0.68010,0.68000,0.18387,0.68000,0.02814,0.68000,0.27014,0.68000,0.18490
0.69010,0.69000,0.19448,0.69000,0.02436,0.69000,0.27700,0.69000,0.19518
0.70010,0.70000,0.20449,0.70000,0.02053,0.70000,0.28431,0.70000,0.20501
0.71010,0.71000,0.21357,0.71000,0.01673,0.71000,0.29206,0.71000,0.21402
0.72010,0.72000,0.22143,0.72000,0.01307,0.72000,0.30023,0.72000,0.22185
0.73011,0.73000,0.22785,0.73000,0.00966,0.73000,0.30874,0.73000,0.22825
0.74011,0.74000,0.23266,0.74000,0.00665,0.74000,0.31748,0.74000,0.23304
0.75011,0.75000,0.23582,0.75000,0.00410,0.75000,0.32628,0.75000,0.23617
0.76011,0.76000,0.23737,0.76000,0.00206,0.76000,0.33495,0.76000,0.23767
0.77011,0.77000,0.23744,0.77000,0.00048,0.77000,0.34332,0.77000,0.23769
0.78011,0.78000,0.23619,0.78000,-0.00073,0.78000,0.35124,0.78000,0.23640
0.79011,0.79000,0.23383,0.79000,-0.00171,0.79000,0.35861,0.79000,0.23403
0.80012,0.80000,0.23058,0.80000,-0.00263,0.80000,0.36544,0.80000,0.23081
0.81012,0.81000,0.22663,0.81000,-0.00368,0.81000,0.37181,0.81000,0.22694
0.82012,0.82000,0.22213,0.82000,-0.00502,0.82000,0.37790,0.82000,0.22260
