Tiempo,Flexo-extensión hombro derecho_X,Flexo-extensión hombro derecho_Y,Flexo-extensión hombro izquierdo_X,Flexo-extensión hombro izquierdo_Y,Abducción-aducción hombro derecho_X,Abducción-aducción hombro derecho_Y,Abducción-aducción hombro izquierdo_X,Abducción-aducción hombro izquierdo_Y,Rotación hombro derecho_X,Rotación hombro derecho_Y,Rotación hombro izquierdo_X,Rotación hombro izquierdo_Y
0.00000,0.00000,0.06965,0.00000,0.06816,0.00000,0.05327,0.00000,0.04346,0.00000,0.06952,0.00000,0.06822
0.01001,0.01000,0.07330,0.01000,0.07056,0.01000,0.04955,0.01000,0.04298,0.01000,0.07318,0.01000,0.07062
0.02001,0.02000,0.07761,0.02000,0.07335,0.02000,0.04546,0.02000,0.04240,0.02000,0.07749,0.02000,0.07341
0.03002,0.03000,0.08251,0.03000,0.07647,0.03000,0.04114,0.03000,0.04174,0.03000,0.08241,0.03000,0.07653
0.04003,0.04000,0.08790,0.04000,0.07982,0.04000,0.03673,0.04000,0.04105,0.04000,0.08781,0.04000,0.07987
0.05003,0.05000,0.09365,0.05000,0.08327,0.05000,0.03238,0.05000,0.04038,0.05000,0.09356,0.05000,0.08332
0.06004,0.06000,0.09960,0.06000,0.08671,0.06000,0.02821,0.06000,0.03980,0.06000,0.09952,0.06000,0.08676
0.07004,0.07000,0.10560,0.07000,0.08999,0.07000,0.02432,0.07000,0.03940,0.07000,0.10553,0.07000,0.09003
0.08005,0.08000,0.11150,0.08000,0.09298,0.08000,0.02079,0.08000,0.03929,0.08000,0.11145,0.08000,0.09302
0.09006,0.09000,0.11720,0.09000,0.09559,0.09000,0.01763,0.09000,0.03959,0.09000,0.11715,0.09000,0.09563
0.10006,0.10000,0.12259,0.10000,0.09774,0.10000,0.01482,0.10000,0.04038,0.10000,0.12255,0.10000,0.09777
0.11007,0.11000,0.12764,0.11000,0.09939,0.11000,0.01231,0.11000,0.04175,0.11000,0.12760,0.11000,0.09941
0.12008,0.12000,0.13231,0.12000,0.10055,0.12000,0.01002,0.12000,0.04374,0.12000,0.13228,0.12000,0.10057
0.13008,0.13000,0.13662,0.13000,0.10131,0.13000,0.00791,0.13000,0.04633,0.13000,0.13660,0.13000,0.10132
0.14009,0.14000,0.14061,0.14000,0.10177,0.14000,0.00592,0.14000,0.04947,0.14000,0.14060,0.14000,0.10178
0.15010,0.15000,0.14435,0.15000,0.10208,0.15000,0.00404,0.15000,0.05305,0.15000,0.14434,0.15000,0.10209
0.16010,0.16000,0.14789,0.16000,0.10238,0.16000,0.00228,0.16000,0.05695,0.16000,0.14788,0.16000,0.10239
0.17011,0.17000,0.15127,0.17000,0.10278,0.17000,0.00063,0.17000,0.06100,0.17000,0.15127,0.17000,0.10278
0.18011,0.18000,0.15451,0.18000,0.10332,0.18000,-0.00088,0.18000,0.06502,0.18000,0.15451,0.18000,0.10332
