Tiempo;Evento
8.99;Posición inicial
11.42;< Contacto inicial izquierdo
11.45;> Despegue derecho
11.9;< Contacto inicial derecho
11.95;> Despegue izquierdo
12.35;< Contacto inicial izquierdo
12.42;> Despegue derecho
12.85;< Contacto inicial derecho
12.91;> Despegue izquierdo
13.3;< Contacto inicial izquierdo
13.37;> Despegue derecho
13.79;< Contacto inicial derecho
13.85;> Despegue izquierdo
14.26;< Contacto inicial izquierdo
14.33;> Despegue derecho
14.78;< Contacto inicial derecho
14.84;> Despegue izquierdo
15.27;< Contacto inicial izquierdo
15.33;> Despegue derecho
15.75;< Contacto inicial derecho
15.81;> Despegue izquierdo
16.21;< Contacto inicial izquierdo
16.27;> Despegue derecho
16.69;< Contacto inicial derecho
16.75;> Despegue izquierdo
17.18;< Contacto inicial izquierdo
17.25;> Despegue derecho
17.67;< Contacto inicial derecho
17.73;> Despegue izquierdo
18.14;< Contacto inicial izquierdo
18.21;> Despegue derecho
18.63;< Contacto inicial derecho
18.69;> Despegue izquierdo
19.09;< Contacto inicial izquierdo
19.16;> Despegue derecho
19.56;< Contacto inicial derecho
19.62;> Despegue izquierdo
20.02;< Contacto inicial izquierdo
20.1;> Despegue derecho
20.5;< Contacto inicial derecho
20.57;> Despegue izquierdo
20.99;< Contacto inicial izquierdo
21.06;> Despegue derecho
21.47;< Contacto inicial derecho
21.56;> Despegue izquierdo
22;< Contacto inicial izquierdo
22.08;> Despegue derecho
22.38;< Contacto inicial derecho
22.5;> Despegue izquierdo
23.9;< Contacto inicial izquierdo
24.23;> Despegue derecho
24.44;< Contacto inicial derecho
24.5;> Despegue izquierdo
24.92;< Contacto inicial izquierdo
24.98;> Despegue derecho
25.47;< Contacto inicial derecho
25.53;> Despegue izquierdo
25.9;< Contacto inicial izquierdo
25.97;> Despegue derecho
26.42;< Contacto inicial derecho
26.49;> Despegue izquierdo
26.89;< Contacto inicial izquierdo
26.95;> Despegue derecho
27.39;< Contacto inicial derecho
27.45;> Despegue izquierdo
27.83;< Contacto inicial izquierdo
27.9;> Despegue derecho
28.34;< Contacto inicial derecho
28.4;> Despegue izquierdo
28.79;< Contacto inicial izquierdo
28.86;> Despegue derecho
29.27;< Contacto inicial derecho
29.34;> Despegue izquierdo
29.71;< Contacto inicial izquierdo
29.79;> Despegue derecho
30.21;< Contacto inicial derecho
30.28;> Despegue izquierdo
30.68;< Contacto inicial izquierdo
30.74;> Despegue derecho
31.17;< Contacto inicial derecho
31.24;> Despegue izquierdo
31.62;< Contacto inicial izquierdo
31.69;> Despegue derecho
32.14;< Contacto inicial derecho
32.21;> Despegue izquierdo
32.64;< Contacto inicial izquierdo
32.7;> Despegue derecho
33.13;< Contacto inicial derecho
33.2;> Despegue izquierdo
33.58;< Contacto inicial izquierdo
33.65;> Despegue derecho
34.08;< Contacto inicial derecho
34.15;> Despegue izquierdo
34.53;< Contacto inicial izquierdo
34.61;> Despegue derecho
35.04;< Contacto inicial derecho
35.12;> Despegue izquierdo
35.4;< Contacto inicial izquierdo
35.51;> Despegue derecho
35.79;< Contacto inicial derecho
35.93;> Despegue izquierdo
36.98;< Contacto inicial derecho
37.03;> Despegue izquierdo
37.47;< Contacto inicial izquierdo
37.52;> Despegue derecho
38.02;< Contacto inicial derecho
38.08;> Despegue izquierdo
38.46;< Contacto inicial izquierdo
38.53;> Despegue derecho
38.98;< Contacto inicial derecho
39.04;> Despegue izquierdo
39.42;< Contacto inicial izquierdo
39.49;> Despegue derecho
39.91;< Contacto inicial derecho
39.98;> Despegue izquierdo
40.35;< Contacto inicial izquierdo
40.42;> Despegue derecho
40.85;< Contacto inicial derecho
40.92;> Despegue izquierdo
41.31;< Contacto inicial izquierdo
41.38;> Despegue derecho
41.81;< Contacto inicial derecho
41.88;> Despegue izquierdo
42.28;< Contacto inicial izquierdo
42.34;> Despegue derecho
42.76;< Contacto inicial derecho
