Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,0.14093,0.00000,1.02060
0.01001,0.01000,0.13086,0.01000,0.97851
0.02001,0.02000,0.11829,0.02000,0.92569
0.03002,0.03000,0.10318,0.03000,0.86226
0.04003,0.04000,0.08559,0.04000,0.78889
0.05003,0.05000,0.06565,0.05000,0.70685
0.06004,0.06000,0.04359,0.06000,0.61796
0.07005,0.07000,0.01973,0.07000,0.52451
0.08005,0.08000,-0.00556,0.08000,0.42912
0.09006,0.09000,-0.03183,0.09000,0.33463
0.10007,0.10000,-0.05860,0.10000,0.24391
0.11007,0.11000,-0.08533,0.11000,0.15967
0.12008,0.12000,-0.11151,0.12000,0.08427
0.13009,0.13000,-0.13663,0.13000,0.01959
0.14009,0.14000,-0.16023,0.14000,-0.03311
0.15010,0.15000,-0.18190,0.15000,-0.07322
0.16010,0.16000,-0.20134,0.16000,-0.10082
0.17011,0.17000,-0.21836,0.17000,-0.11664
0.18012,0.18000,-0.23288,0.18000,-0.12189
0.19012,0.19000,-0.24496,0.19000,-0.11823
0.20013,0.20000,-0.25478,0.20000,-0.10755
0.21014,0.21000,-0.26261,0.21000,-0.09182
0.22014,0.22000,-0.26882,0.22000,-0.07299
0.23015,0.23000,-0.27380,0.23000,-0.05280
0.24016,0.24000,-0.27793,0.24000,-0.03269
0.25016,0.25000,-0.28155,0.25000,-0.01373
0.26017,0.26000,-0.28493,0.26000,0.00344
0.27018,0.27000,-0.28823,0.27000,0.01856
0.28018,0.28000,-0.29153,0.28000,0.03179
0.29019,0.29000,-0.29479,0.29000,0.04353
0.30020,0.30000,-0.29790,0.30000,0.05442
0.31020,0.31000,-0.30067,0.31000,0.06514
0.32021,0.32000,-0.30289,0.32000,0.07637
0.33022,0.33000,-0.30433,0.33000,0.08867
0.34022,0.34000,-0.30477,0.34000,0.10241
