Tiempo,Flexo-extensión torso_X,Flexo-extensión torso_Y,Flexión lateral torso_X,Flexión lateral torso_Y,Rotación torso_X,Rotación torso_Y,Inclinación torso_X,Inclinación torso_Y
0.00000,0.00000,1.02709,0.00000,-1.41848,0.00000,-0.63793,0.00000,1.73897
0.01001,0.01000,1.02133,0.01000,-1.40375,0.01000,-0.62812,0.01000,1.72235
0.02001,0.02000,1.01144,0.02000,-1.38420,0.02000,-0.61450,0.02000,1.69950
0.03002,0.03000,0.99646,0.03000,-1.35948,0.03000,-0.59659,0.03000,1.66975
0.04003,0.04000,0.97547,0.04000,-1.32939,0.04000,-0.57402,0.04000,1.63267
0.05003,0.05000,0.94762,0.05000,-1.29396,0.05000,-0.54653,0.05000,1.58805
0.06004,0.06000,0.91228,0.06000,-1.25343,0.06000,-0.51397,0.06000,1.53600
0.07004,0.07000,0.86906,0.07000,-1.20828,0.07000,-0.47632,0.07000,1.47698
0.08005,0.08000,0.81790,0.08000,-1.15917,0.08000,-0.43368,0.08000,1.41173
0.09006,0.09000,0.75915,0.09000,-1.10696,0.09000,-0.38630,0.09000,1.34132
0.10006,0.10000,0.69359,0.10000,-1.05262,0.10000,-0.33448,0.10000,1.26705
0.11007,0.11000,0.62248,0.11000,-0.99718,0.11000,-0.27869,0.11000,1.19036
0.12008,0.12000,0.54745,0.12000,-0.94170,0.12000,-0.21945,0.12000,1.11278
0.13008,0.13000,0.47052,0.13000,-0.88721,0.13000,-0.15740,0.13000,1.03575
0.14009,0.14000,0.39392,0.14000,-0.83465,0.14000,-0.09331,0.14000,0.96056
0.15009,0.15000,0.32002,0.15000,-0.78486,0.15000,-0.02803,0.15000,0.88827
0.16010,0.16000,0.25115,0.16000,-0.73854,0.16000,0.03744,0.16000,0.81964
0.17011,0.17000,0.18950,0.17000,-0.69623,0.17000,0.10198,0.17000,0.75512
0.18011,0.18000,0.13697,0.18000,-0.65824,0.18000,0.16442,0.18000,0.69488
0.19012,0.19000,0.09504,0.19000,-0.62465,0.19000,0.22350,0.19000,0.63880
0.20012,0.20000,0.06466,0.20000,-0.59521,0.20000,0.27799,0.20000,0.58661
0.21013,0.21000,0.04613,0.21000,-0.56932,0.21000,0.32676,0.21000,0.53794
0.22014,0.22000,0.03908,0.22000,-0.54595,0.22000,0.36878,0.22000,0.49242
0.23014,0.23000,0.04237,0.23000,-0.52368,0.23000,0.40328,0.23000,0.44984
0.24015,0.24000,0.05420,0.24000,-0.50064,0.24000,0.42973,0.24000,0.41023
0.25016,0.25000,0.07213,0.25000,-0.47465,0.25000,0.44795,0.25000,0.37402
0.26016,0.26000,0.09326,0.26000,-0.44323,0.26000,0.45809,0.26000,0.34208
0.27017,0.27000,0.11438,0.27000,-0.40384,0.27000,0.46067,0.27000,0.31579
0.28017,0.28000,0.13217,0.28000,-0.35398,0.28000,0.45652,0.28000,0.29703
0.29018,0.29000,0.14349,0.29000,-0.29148,0.29000,0.44676,0.29000,0.28807
0.30019,0.30000,0.14557,0.30000,-0.21466,0.30000,0.43266,0.30000,0.29143
0.31019,0.31000,0.13628,0.31000,-0.12260,0.31000,0.41558,0.31000,0.30958
0.32020,0.32000,0.11430,0.32000,-0.01526,0.32000,0.39676,0.32000,0.34467
0.33021,0.33000,0.07927,0.33000,0.10636,0.33000,0.37721,0.33000,0.39812
0.34021,0.34000,0.03184,0.34000,0.24023,0.34000,0.35752,0.34000,0.47030
0.35022,0.35000,-0.02640,0.35000,0.38336,0.35000,0.33782,0.35000,0.56024
0.36022,0.36000,-0.09310,0.36000,0.53202,0.36000,0.31766,0.36000,0.66557
0.37023,0.37000,-0.16534,0.37000,0.68200,0.37000,0.29607,0.37000,0.78262
0.38024,0.38000,-0.23997,0.38000,0.82895,0.38000,0.27161,0.38000,0.90682
0.39024,0.39000,-0.31390,0.39000,0.96873,0.39000,0.24256,0.39000,1.03309
