Tiempo,Flexo-extensión codo derecho_X,Flexo-extensión codo derecho_Y,Flexo-extensión codo izquierdo_X,Flexo-extensión codo izquierdo_Y
0.00000,0.00000,0.30811,0.00000,0.00813
0.01000,0.01000,0.32120,0.01000,0.02047
0.02000,0.02000,0.33597,0.02000,0.03535
0.03000,0.03000,0.35195,0.03000,0.05252
0.04001,0.04000,0.36852,0.04000,0.07160
0.05001,0.05000,0.38500,0.05000,0.09204
0.06001,0.06000,0.40064,0.06000,0.11316
0.07001,0.07000,0.41471,0.07000,0.13422
0.08001,0.08000,0.42653,0.08000,0.15447
0.09001,0.09000,0.43549,0.09000,0.17317
0.10002,0.10000,0.44108,0.10000,0.18969
0.11002,0.11000,0.44293,0.11000,0.20350
0.12002,0.12000,0.44080,0.12000,0.21425
0.13002,0.13000,0.43460,0.13000,0.22176
0.14002,0.14000,0.42439,0.14000,0.22602
0.15002,0.15000,0.41039,0.15000,0.22718
0.16002,0.16000,0.39296,0.16000,0.22553
0.17003,0.17000,0.37260,0.17000,0.22145
0.18003,0.18000,0.34992,0.18000,0.21533
0.19003,0.19000,0.32565,0.19000,0.20760
0.20003,0.20000,0.30056,0.20000,0.19861
0.21003,0.21000,0.27544,0.21000,0.18868
0.22003,0.22000,0.25103,0.22000,0.17802
0.23003,0.23000,0.22801,0.23000,0.16676
0.24004,0.24000,0.20691,0.24000,0.15499
0.25004,0.25000,0.18815,0.25000,0.14271
0.26004,0.26000,0.17197,0.26000,0.12989
0.27004,0.27000,0.15848,0.27000,0.11649
0.28004,0.28000,0.14765,0.28000,0.10248
0.29004,0.29000,0.13938,0.29000,0.08783
0.30004,0.30000,0.13349,0.30000,0.07257
0.31005,0.31000,0.12981,0.31000,0.05679
0.32005,0.32000,0.12817,0.32000,0.04063
0.33005,0.33000,0.12847,0.33000,0.02431
0.34005,0.34000,0.13066,0.34000,0.00808
0.35005,0.35000,0.13479,0.35000,-0.00776
0.36005,0.36000,0.14094,0.36000,-0.02288
0.37005,0.37000,0.14921,0.37000,-0.03695
0.38006,0.38000,0.15973,0.38000,-0.04967
0.39006,0.39000,0.17253,0.39000,-0.06075
0.40006,0.40000,0.18760,0.40000,-0.06996
0.41006,0.41000,0.20480,0.41000,-0.07712
0.42006,0.42000,0.22386,0.42000,-0.08213
0.43006,0.43000,0.24443,0.43000,-0.08493
0.44006,0.44000,0.26603,0.44000,-0.08554
0.45007,0.45000,0.28816,0.45000,-0.08403
0.46007,0.46000,0.31028,0.46000,-0.08051
0.47007,0.47000,0.33186,0.47000,-0.07509
0.48007,0.48000,0.35244,0.48000,-0.06793
0.49007,0.49000,0.37163,0.49000,-0.05915
