Tiempo,Rotación pelvis_X,Rotación pelvis_Y,Inclinación pelvis_X,Inclinación pelvis_Y,Oblicuidad pelvis_X,Oblicuidad pelvis_Y
0.00000,0.00000,-1.56871,0.00000,-0.56459,0.00000,-0.32377
0.01000,0.01000,-1.55014,0.01000,-0.56462,0.01000,-0.32565
0.02000,0.02000,-1.52767,0.02000,-0.56419,0.02000,-0.32770
0.03000,0.03000,-1.50142,0.03000,-0.56320,0.03000,-0.32985
0.04001,0.04000,-1.47172,0.04000,-0.56157,0.04000,-0.33200
0.05001,0.05000,-1.43899,0.05000,-0.55923,0.05000,-0.33405
0.06001,0.06000,-1.40375,0.06000,-0.55617,0.06000,-0.33588
0.07001,0.07000,-1.36660,0.07000,-0.55240,0.07000,-0.33741
0.08001,0.08000,-1.32811,0.08000,-0.54797,0.08000,-0.33852
0.09001,0.09000,-1.28888,0.09000,-0.54293,0.09000,-0.33916
0.10002,0.10000,-1.24946,0.10000,-0.53739,0.10000,-0.33927
0.11002,0.11000,-1.21035,0.11000,-0.53143,0.11000,-0.33879
0.12002,0.12000,-1.17200,0.12000,-0.52513,0.12000,-0.33772
0.13002,0.13000,-1.13479,0.13000,-0.51857,0.13000,-0.33603
0.14002,0.14000,-1.09903,0.14000,-0.51181,0.14000,-0.33373
0.15002,0.15000,-1.06499,0.15000,-0.50489,0.15000,-0.33081
0.16002,0.16000,-1.03286,0.16000,-0.49786,0.16000,-0.32729
0.17003,0.17000,-1.00279,0.17000,-0.49072,0.17000,-0.32318
0.18003,0.18000,-0.97489,0.18000,-0.48350,0.18000,-0.31850
0.19003,0.19000,-0.94921,0.19000,-0.47622,0.19000,-0.31331
0.20003,0.20000,-0.92573,0.20000,-0.46887,0.20000,-0.30765
0.21003,0.21000,-0.90443,0.21000,-0.46148,0.21000,-0.30161
0.22003,0.22000,-0.88518,0.22000,-0.45406,0.22000,-0.29530
0.23003,0.23000,-0.86782,0.23000,-0.44661,0.23000,-0.28885
0.24004,0.24000,-0.85214,0.24000,-0.43913,0.24000,-0.28237
0.25004,0.25000,-0.83788,0.25000,-0.43161,0.25000,-0.27602
0.26004,0.26000,-0.82478,0.26000,-0.42403,0.26000,-0.26992
0.27004,0.27000,-0.81254,0.27000,-0.41637,0.27000,-0.26419
0.28004,0.28000,-0.80088,0.28000,-0.40859,0.28000,-0.25891
0.29004,0.29000,-0.78954,0.29000,-0.40066,0.29000,-0.25413
0.30004,0.30000,-0.77830,0.30000,-0.39251,0.30000,-0.24989
0.31005,0.31000,-0.76699,0.31000,-0.38408,0.31000,-0.24616
0.32005,0.32000,-0.75548,0.32000,-0.37528,0.32000,-0.24292
0.33005,0.33000,-0.74370,0.33000,-0.36604,0.33000,-0.24010
0.34005,0.34000,-0.73162,0.34000,-0.35627,0.34000,-0.23761
0.35005,0.35000,-0.71927,0.35000,-0.34590,0.35000,-0.23537
0.36005,0.36000,-0.70668,0.36000,-0.33491,0.36000,-0.23327
0.37005,0.37000,-0.69394,0.37000,-0.32330,0.37000,-0.23122
0.38006,0.38000,-0.68113,0.38000,-0.31112,0.38000,-0.22914
0.39006,0.39000,-0.66836,0.39000,-0.29849,0.39000,-0.22694
0.40006,0.40000,-0.65573,0.40000,-0.28558,0.40000,-0.22459
0.41006,0.41000,-0.64334,0.41000,-0.27259,0.41000,-0.22208
