Tiempo,Flexo-extensión torso_X,Flexo-extensión torso_Y,Flexión lateral torso_X,Flexión lateral torso_Y,Rotación torso_X,Rotación torso_Y,Inclinación torso_X,Inclinación torso_Y
0.00000,0.00000,-0.01509,0.00000,-0.20364,0.00000,-0.72001,0.00000,0.20581
0.01000,0.01000,0.00429,0.01000,-0.23460,0.01000,-0.72722,0.01000,0.23791
0.02000,0.02000,0.02799,0.02000,-0.27010,0.02000,-0.73476,0.02000,0.27573
0.03000,0.03000,0.05596,0.03000,-0.30935,0.03000,-0.74231,0.03000,0.31873
0.04001,0.04000,0.08798,0.04000,-0.35141,0.04000,-0.74956,0.04000,0.36616
0.05001,0.05000,0.12370,0.05000,-0.39519,0.05000,-0.75627,0.05000,0.41712
0.06001,0.06000,0.16269,0.06000,-0.43964,0.06000,-0.76226,0.06000,0.47068
0.07001,0.07000,0.20447,0.07000,-0.48379,0.07000,-0.76750,0.07000,0.52591
0.08001,0.08000,0.24854,0.08000,-0.52683,0.08000,-0.77207,0.08000,0.58201
0.09001,0.09000,0.29444,0.09000,-0.56817,0.09000,-0.77620,0.09000,0.63835
0.10002,0.10000,0.34177,0.10000,-0.60748,0.10000,-0.78022,0.10000,0.69447
0.11002,0.11000,0.39018,0.11000,-0.64462,0.11000,-0.78455,0.11000,0.75012
0.12002,0.12000,0.43937,0.12000,-0.67968,0.12000,-0.78968,0.12000,0.80520
0.13002,0.13000,0.48910,0.13000,-0.71292,0.13000,-0.79607,0.13000,0.85976
0.14002,0.14000,0.53914,0.14000,-0.74470,0.14000,-0.80416,0.14000,0.91392
0.15002,0.15000,0.58927,0.15000,-0.77546,0.15000,-0.81427,0.15000,0.96780
0.16002,0.16000,0.63921,0.16000,-0.80563,0.16000,-0.82666,0.16000,1.02154
0.17003,0.17000,0.68868,0.17000,-0.83560,0.17000,-0.84147,0.17000,1.07519
0.18003,0.18000,0.73737,0.18000,-0.86570,0.18000,-0.85871,0.18000,1.12872
0.19003,0.19000,0.78495,0.19000,-0.89612,0.19000,-0.87834,0.19000,1.18201
0.20003,0.20000,0.83111,0.20000,-0.92694,0.20000,-0.90020,0.20000,1.23485
0.21003,0.21000,0.87557,0.21000,-0.95810,0.21000,-0.92406,0.21000,1.28696
0.22003,0.22000,0.91810,0.22000,-0.98940,0.22000,-0.94962,0.22000,1.33801
0.23003,0.23000,0.95857,0.23000,-1.02054,0.23000,-0.97645,0.23000,1.38763
0.24004,0.24000,0.99691,0.24000,-1.05114,0.24000,-1.00407,0.24000,1.43547
0.25004,0.25000,1.03314,0.25000,-1.08077,0.25000,-1.03188,0.25000,1.48123
0.26004,0.26000,1.06735,0.26000,-1.10901,0.26000,-1.05921,0.26000,1.52462
0.27004,0.27000,1.09969,0.27000,-1.13543,0.27000,-1.08537,0.27000,1.56545
0.28004,0.28000,1.13035,0.28000,-1.15965,0.28000,-1.10965,0.28000,1.60358
0.29004,0.29000,1.15954,0.29000,-1.18136,0.29000,-1.13138,0.29000,1.63896
0.30004,0.30000,1.18749,0.30000,-1.20035,0.30000,-1.14999,0.30000,1.67159
0.31005,0.31000,1.21444,0.31000,-1.21649,0.31000,-1.16506,0.31000,1.70156
0.32005,0.32000,1.24061,0.32000,-1.22973,0.32000,-1.17631,0.32000,1.72906
0.33005,0.33000,1.26624,0.33000,-1.24015,0.33000,-1.18365,0.33000,1.75430
0.34005,0.34000,1.29155,0.34000,-1.24789,0.34000,-1.18715,0.34000,1.77758
0.35005,0.35000,1.31675,0.35000,-1.25316,0.35000,-1.18705,0.35000,1.79923
0.36005,0.36000,1.34204,0.36000,-1.25620,0.36000,-1.18372,0.36000,1.81960
0.37005,0.37000,1.36758,0.37000,-1.25729,0.37000,-1.17760,0.37000,1.83901
0.38006,0.38000,1.39350,0.38000,-1.25665,0.38000,-1.16918,0.38000,1.85776
0.39006,0.39000,1.41987,0.39000,-1.25451,0.39000,-1.15900,0.39000,1.87608
0.40006,0.40000,1.44674,0.40000,-1.25100,0.40000,-1.14755,0.40000,1.89412
0.41006,0.41000,1.47404,0.41000,-1.24622,0.41000,-1.13530,0.41000,1.91194
0.42006,0.42000,1.50165,0.42000,-1.24021,0.42000,-1.12269,0.42000,1.92948
0.43006,0.43000,1.52937,0.43000,-1.23296,0.43000,-1.11010,0.43000,1.94660
0.44006,0.44000,1.55689,0.44000,-1.22446,0.44000,-1.09788,0.44000,1.96307
0.45007,0.45000,1.58387,0.45000,-1.21468,0.45000,-1.08635,0.45000,1.97861
0.46007,0.46000,1.60991,0.46000,-1.20364,0.46000,-1.07579,0.46000,1.99289
0.47007,0.47000,1.63460,0.47000,-1.19137,0.47000,-1.06644,0.47000,2.00564
0.48007,0.48000,1.65758,0.48000,-1.17795,0.48000,-1.05847,0.48000,2.01658
0.49007,0.49000,1.67855,0.49000,-1.16354,0.49000,-1.05198,0.49000,2.02554
0.50007,0.50000,1.69728,0.50000,-1.14827,0.50000,-1.04701,0.50000,2.03242
0.51007,0.51000,1.71369,0.51000,-1.13234,0.51000,-1.04348,0.51000,2.03723
0.52008,0.52000,1.72776,0.52000,-1.11593,0.52000,-1.04128,0.52000,2.04007
